Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Fore	A	0103	828-596	C5829BA-A	 		 	614		G3 V					10	
Fore	A	0104	716-040	A000465-C	Z		 	233		A3 II					13	
Fore	A	0202	120-463	B376669-A	 		 	925		M4 V   M9 D   M5 VI					19	
Fore	A	0203	002-380	A851868-A	 		 	201		K8 V					13	
Fore	A	0302	642-365	C251662-9	 		 	202		F9 V					9	
Fore	A	0304	200-244	B435424-C	 		 	204		K3 V					9	
Fore	A	0305	444-332	B654335-B	 		 	705		G3 V   M1 D 					10	
Fore	A	0306	032-182	A321868-C	Z		 	314		M2 II					18	
Fore	A	0308	882-10A	X525000-0	 		R	005		K0 V   M4 V 					14	
Fore	A	0309	378-432	A465301-D	Z		 	200		G4 III					9	
Fore	A	0401	191-042	B313454-E	Z		 	704		M3 V					8	
Fore	A	0402	176-440	A676402-C	 		 	803		A7 V					11	
Fore	A	0403	408-3A1	A456AA8-E	Z		 	324		G2 V					13	
Fore	A	0404	732-350	A450546-E	Z		 	204		F8 V					13	
Fore	A	0408	732-450	A477521-A	Z		 	104		K1 V   M3 V 					13	
Fore	A	0502	668-273	B2427AB-B	Z		 	400		G0 V 					7	
Fore	A	0503	431-044	B5A3421-B	 		 	104		M5 V   M8 D					13	
Fore	A	0504	849-653	B997541-B	Z		 	704		G4 III					10	
Fore	A	0505	824-079	E000778-8	 		 	724		K5 V					14	
Fore	A	0507	619-528	D78A27A-6	 		 	402		K6 V					11	
Fore	A	0508	711-094	B5139CB-D	Z		 	805		M5 V   M7 D 					16	
Fore	A	0604	596-465	C578636-7	Z		 	703		G9 V   M8 D					12	
Fore	A	0607	849-30B	X458000-0	 		R	015		G3 III M3 V					12	
Fore	A	0610	088-275	C533754-7	 		 	704		F9 V   M4 D					17	
Fore	A	0708	724-454	B7745AA-A	Z		 	200		G1 V					10	
Fore	A	0801	926-265	C537652-8	Z		 	803		G4 V					14	
Fore	A	0807	939-372	A75A766-E	 		 	201		G2 V					5	
Fore	A	0810	118-484	C779876-8	 		A	912		F9 V					9	
Fore	B	0902	947-432	B572367-9	 		 	324		G2 V					10	
Fore	B	0908	301-154	B724522-A	 		 	924		G1 V					15	
Fore	B	0909	787-275	C1407AD-8	 		 	013		F1 V					14	
Fore	B	0910	359-592	B68799C-D	Z		 	204		G5 V					11	
Fore	B	1007	699-066	C3116AB-A	Z		 	203		K2 V					8	
Fore	B	1102	979-253	B230567-D	Z		 	103		G9 V					8	
Fore	B	1103	192-043	B000414-C	Z		 	202		M3 V   M6 D 					6	
Fore	B	1109	131-474	C465764-6	 		 	712		F5 V   M2 D  					14	
Fore	B	1205	223-065	C0006AD-A	 		 	323		F6 V   M5 D					12	
Fore	B	1209	633-585	C5838AE-7	 		A	710		F3 V					14	
Fore	B	1303	641-575	C887778-7	 		 	202		F9 V					15	
Fore	B	1304	045-326	C250231-6	Z		 	813		G5 V					13	
Fore	B	1307	910-442	B666446-B	Z		 	804		G2 V					10	
Fore	B	1403	067-013	B511122-C	 		 	310		M1 V   M6 D					6	
Fore	B	1404	486-691	A6939A6-D	Z		 	113		G3 V   M9 D					16	
Fore	B	1405	553-162	B325678-C	Z		 	303		G9 V					11	
Fore	B	1410	867-454	C564589-7	 		 	402		G4 V					10	
Fore	B	1501	993-378	E95A788-5	 		 	305		G5 V					16	
Fore	B	1504	502-259	E43456A-7	 		 	310		G0 V 					10	
Fore	B	1507	020-025	C9B2269-A	 		 	214		K4 IV  M6 V					16	
Fore	B	1602	234-434	C270331-6	 		 	300		K4 V					7	
Fore	C	1701	124-122	A320220-C	 		 	302		G3 V   M1 D 					10	
Fore	C	1703	886-031	A211368-E	 		 	304		K8 V					10	
Fore	C	1704	203-20B	X541000-0	 		R	005		M1 V   M5 D					13	
Fore	C	1804	943-664	B695668-6	 		 	603		K6 V					13	
Fore	C	1806	064-231	A642369-9	 		 	101		G3 V					9	
Fore	C	1807	003-052	A411576-E	 		 	815		M3 V					14	
Fore	C	1808	237-260	A533664-A	 		 	803		F1 V					10	
Fore	C	1901	835-20B	X638000-0	 		R	000		F9 V					6	
Fore	C	1905	735-573	B684778-8	Z		 	623		G4 V					10	
Fore	C	2002	417-232	B246362-C	 		 	105		M8 II  M3 V					11	
Fore	C	2003	499-476	C76678C-5	 		 	105		G3 V					15	
Fore	C	2005	303-20C	X530000-0	 		R	004		M3 V   M4 D					12	
Fore	C	2102	322-063	B100679-B	Z		 	604		F7 V   M9 D  M3 D					8	
Fore	C	2103	011-175	C320726-9	 		 	402		G8 IV					14	
Fore	C	2202	954-071	A3017BF-C	Z		A	400		M7 V   M5 D  					8	
Fore	C	2209	911-667	D592654-3	 		 	400		G2 V					11	
Fore	C	2304	993-033	B310330-D	Z		 	403		M6 V					6	
Fore	C	2306	263-00C	X100000-0	 		R	004		M1 V   M9 D					15	
Fore	C	2309	857-40A	X567000-0	 		R	004		F6 V					12	
Fore	C	2310	640-229	E237262-7	 		 	305		G1 V					15	
Fore	D	2501	860-0A5	C100A8A-C	 		 	304		K4 V					10	
Fore	D	2502	952-16A	E623646-7	 		A	923		M6 V   M8 D  M6 D					9	
Fore	D	2505	917-242	A246442-A	 		 	604		G1 V   M0 D 					10	
Fore	D	2602	700-496	C87A967-A	Z		 	920		K8 V   M8 D  M9 D					7	
Fore	D	2603	935-554	C887588-5	 		 	700		M4 V					6	
Fore	D	2607	865-134	C223333-B	Z		 	615		M9 V   M2 D 					11	
Fore	D	2608	287-40C	X776000-0	 		R	002		K9 V					10	
Fore	D	2610	078-30A	X757000-0	 		R	004		G0 V					9	
Fore	D	2710	063-042	B100445-E	X		 	214		M7 V					13	
Fore	D	2805	297-065	C8B669A-9	 		 	802		M7 V					8	
Fore	D	2807	999-012	B200100-9	 		 	134		M4 V   M4 D					17	
Fore	D	2808	258-449	E778452-8	 		 	500		M9 V					12	
Fore	D	2905	065-040	A9C6474-D	X		 	913		G9 V					16	
Fore	D	2907	400-248	E547423-5	 		 	805		M2 V   K5 D  M6 D					13	
Fore	D	2910	699-43A	E672310-6	 		 	814		G4 V					12	
Fore	D	3003	769-473	B4657X9-9	 		R	623		M3 V   K2 D					12	
Fore	D	3006	600-057	DAB5552-8	 		 	725		M9 V   M3 D 					13	
Fore	D	3107	677-463	B664651-6	 		 	602		G3 III M3 V 					11	
Fore	D	3108	800-236	C648358-6	Z		 	312		M5 V   M7 D 					14	
Fore	D	3201	512-055	C200534-7	 		 	202		G3 V					10	
Fore	D	3204	452-244	C431411-B	Z		 	414		M2 V   M9 D 					13	
Fore	D	3205	170-265	C333654-8	 		 	513		M6 V   M3 D 					8	
Fore	D	3206	417-075	C300743-8	 		 	614		F0 V   M8 D 					12	
Fore	E	0112	015-352	B652579-A	 		 	801		G9 V   M8 D					9	
Fore	E	0113	260-262	B53667B-8	 		 	202		F5 V					12	
Fore	E	0116	154-062	AAB8656-B	 		 	822		K3 V					9	
Fore	E	0211	697-376	C459759-9	 		 	401		G5 V					13	
Fore	E	0212	073-00B	XAC5000-0	 		R	004		A3 II					12	
Fore	E	0213	915-00A	X404000-0	 		R	004		K6 V					13	
Fore	E	0214	373-053	B6A2566-9	 		 	704		K1 V					9	
Fore	E	0218	400-466	D566600-7	 		 	103		G0 V					11	
Fore	E	0312	409-091	A000973-E	Z		 	125		F5 V   M8 D 					14	
Fore	E	0411	110-083	B9A5899-B	 		 	105		K3 V   M5 D					10	
Fore	E	0412	131-464	C666663-7	Z		 	705		G4 V					15	
Fore	E	0418	859-363	B352688-A	Z		 	623		G5 V					11	
Fore	E	0513	328-484	B5628X8-8	 		R	312		F8 V					12	
Fore	E	0516	791-571	A886758-A	Z		 	302		G9 V   M4 D					8	
Fore	E	0517	778-444	C765454-7	Z		 	304		G9 V   M8 D					11	
Fore	E	0520	666-018	D9C8115-7	 		 	402		K2 IV					10	
Fore	E	0612	495-463	B666653-A	 		 	401		G3 V 					8	
Fore	E	0712	491-084	B7A28BB-B	Z		 	503		K4 V					12	
Fore	E	0716	406-24A	E549456-9	 		A	613		G4 V					12	
Fore	E	0717	712-587	D6868AA-5	 		 	724		G1 V					16	
Fore	E	0814	297-60A	X796000-0	 		R	013		F1 V					13	
Fore	E	0815	783-419	E472102-6	 		 	214		G3 V					13	
Fore	E	0818	787-264	B447687-B	 		 	114		G2 V 					12	
Fore	E	0819	430-024	C7A1252-A	 		 	223		F7 V					16	
Fore	E	0820	446-456	D878565-7	 		 	200		G4 V					7	
Fore	F	0911	347-00C	X8B1000-0	 		R	010		K6 V 					12	
Fore	F	0914	874-464	C661646-7	 		A	503		G9 V					13	
Fore	F	0915	368-663	B895630-A	 		 	921		F8 V   M4 D					12	
Fore	F	0919	756-484	C573873-7	 		 	401		F9 V					9	
Fore	F	1012	387-242	B537458-7	Z		 	111		M2 III					7	
Fore	F	1016	397-043	B402487-C	 		 	101		K4 IV  M6 V					5	
Fore	F	1111	442-289	E330885-6	 		 	524		F6 V   M5 D					15	
Fore	F	1112	265-086	C000854-A	 		 	922		F9 V					11	
Fore	F	1115	380-472	A777784-A	 		 	504		F0 V					9	
Fore	F	1212	371-380	A65588A-9	Z		 	103		M9 V   M1 D					11	
Fore	F	1214	501-314	C557134-8	 		 	213		F2 V					12	
Fore	F	1216	137-47A	E360787-4	 		 	920		M1 V					12	
Fore	F	1218	407-083	B000888-B	 		 	423		F5 V					11	
Fore	F	1312	553-430	A474332-B	Y		 	213		G9 V					14	
Fore	F	1314	038-052	A210525-E	Z		 	811		K2 V					6	
Fore	F	1316	005-275	C535769-6	 		 	803		F5 V   M8 D					12	
Fore	F	1317	542-327	D553231-3	 		 	700		G3 V   M1 V					10	
Fore	F	1319	162-289	E6458BE-2	 		A	701		G1 V					9	
Fore	F	1411	194-470	A573795-C	 		 	224		F9 V					16	
Fore	F	1412	695-252	B446567-C	Z		 	804		F3 V					9	
Fore	F	1416	048-471	A56A756-B	 		 	404		F1 V					11	
Fore	F	1419	398-054	C6A4554-8	 		 	900		M9 V					8	
Fore	F	1519	393-334	C754320-7	 		 	312		F9 V   M4 D					13	
Fore	F	1612	502-274	B443754-A	Z		 	202		G1 V					12	
Fore	F	1617	359-00C	X210000-0	 		R	024		M5 V   M0 D					14	
Fore	F	1618	577-562	A889614-D	X		 	825		G9 V   M8 D					15	
Fore	F	1619	230-00B	X110000-0	 		 	023		M3 V   M1 D					9	
Fore	F	1620	439-254	C236545-7	 		 	910		K2 V					7	
Fore	G	1712	093-086	D8AA87A-7	 		 	401		M3 III					10	
Fore	G	1813	916-475	C879758-9	 		 	200		M3 III					9	
Fore	G	1815	483-072	B400784-B	X		 	214		F3 V   M3 D 					13	
Fore	G	1816	139-256	C633552-7	 		 	903		M3 V					8	
Fore	G	1817	583-384	B5528CD-9	 		 	703		G1 V   M7 D 					8	
Fore	G	1915	286-484	C765876-7	A		 	110		F7 V					11	
Fore	G	1920	346-274	C53576B-9	X		 	204		M5 V					12	
Fore	G	2017	340-024	C7A9215-A	 		 	200		K1 II					5	
Fore	G	2113	660-20A	X543000-0	 		R	023		F4 V   M6 D 					9	
Fore	G	2211	470-464	C867645-A	 		 	612		K1 V					9	
Fore	G	2214	259-256	D539598-5	 		 	803		F5 V 					10	
Fore	G	2311	119-178	E222750-6	 		 	203		M8 V					15	
Fore	G	2320	681-683	B9988AB-9	Z		 	804		F8 V   M1 V 					13	
Fore	G	2412	728-066	C110667-B	 		 	610		M3 V					5	
Fore	G	2415	946-475	C5677BA-A	 		A	224		G2 V					13	
Fore	G	2420	306-136	D526332-5	 		 	115		M4 V					13	
Fore	H	2517	042-053	B502565-B	Z		 	305		M2 III					10	
Fore	H	2518	734-475	C668742-7	 		A	304		F2 V   M2 D 					14	
Fore	H	2520	518-050	AAB5500-D	X		 	500		G2 IV					9	
Fore	H	2611	762-256	C340564-7	 		 	904		M0 V					9	
Fore	H	2613	654-46A	E765674-5	 		A	202		K1 V   M3 V 					11	
Fore	H	2614	168-476	D66475A-6	X		 	310		F7 V					10	
Fore	H	2615	764-459	E676500-4	 		 	201		G6 V					7	
Fore	H	2616	424-483	B7658DG-7	 		A	413		F2 V   M8 D 					12	
Fore	H	2712	132-366	C65667A-9	 		A	323		F8 V					14	
Fore	H	2715	522-352	B855598-B	 		 	404		F5 V   M3 D  M2 V 					14	
Fore	H	2811	986-474	C564789-8	 		 	902		G5 V					11	
Fore	H	2812	324-046	C100433-D	 		A	100		K2 V					6	
Fore	H	2814	684-093	B510999-D	S		 	200		M3 V   M4 D 					9	
Fore	H	2820	920-154	B322569-A	 		 	200		G6 IV					7	
Fore	H	2920	993-058	D410555-B	 		 	425		M3 V					15	
Fore	H	3013	976-224	B747221-A	N		 	113		K4 V 					17	
Fore	H	3014	925-24A	E431432-6	 		 	303		M6 V 					9	
Fore	H	3015	007-376	C656795-9	 		A	312		G0 V					11	
Fore	H	3018	116-665	C694655-C	 		 	510		F9 V					11	
Fore	H	3020	831-255	C442535-9	 		 	303		G5 V   M2 D 					9	
Fore	H	3111	123-60A	X597000-0	 		R	014		F8 V 					12	
Fore	H	3115	196-245	C333472-8	 		 	114		A7 V					11	
Fore	H	3116	364-562	B787699-7	 		A	612		G3 V					14	
Fore	H	3119	718-214	C438131-8	 		 	303		K0 V   M4 V 					7	
Fore	H	3212	604-472	B769758-A	 		 	504		F1 V					13	
Fore	H	3214	838-464	B470689-C	 		 	112		M2 II					7	
Fore	H	3215	075-478	D56A755-9	 		 	105		G3 V					11	
Fore	H	3217	435-438	E764300-4	 		A	324		F4 V					15	
Fore	I	0129	302-265	C430698-6	 		 	400		G2 V					8	
Fore	I	0130	108-656	C694568-7	 		 	814		F2 V   M3 D 					11	
Fore	I	0223	684-00A	X300000-0	 		R	023		M4 V					13	
Fore	I	0224	938-038	E7A1305-6	 		 	100		M3 V   M6 D 					8	
Fore	I	0226	709-045	C301410-8	M		 	510		G2 V   M8 D 					9	
Fore	I	0227	653-044	C110446-A	 		 	504		M2 II					12	
Fore	I	0422	458-00B	X100000-0	 		R	004		K8 V  					9	
Fore	I	0424	786-435	C578322-7	 		 	203		G4 V					11	
Fore	I	0426	682-436	C473388-8	 		 	125		F5 V					17	
Fore	I	0526	317-474	B565779-8	 		 	103		F5 V   M2 D 					10	
Fore	I	0527	333-476	C57477A-6	 		 	424		G1 V					13	
Fore	I	0623	774-449	E675464-5	 		 	312		G9 V   M3 V 					12	
Fore	I	0726	888-436	D37236A-7	 		 	210		F6 V					6	
Fore	I	0730	480-039	E300310-6	 		 	813		G2 IV  					11	
Fore	I	0822	192-043	B415430-9	 		 	103		F0 V					13	
Fore	I	0825	931-575	C888732-6	 		A	103		G5 V   M3 D 					14	
Fore	J	0926	830-484	B566879-9	 		 	213		F7 V 					9	
Fore	J	0930	819-052	B211512-9	 		 	104		M2 V					11	
Fore	J	1026	216-015	C8B9101-B	 		 	604		M8 V					8	
Fore	J	1124	308-275	C335797-A	J		 	114		F0 V 					13	
Fore	J	1126	729-465	C574651-6	 		A	723		F6 V   M4 D 					14	
Fore	J	1224	540-496	D573944-5	 		 	203		G0 V   M1 D 					13	
Fore	J	1325	161-028	D202200-7	 		 	803		M0 V					13	
Fore	J	1329	227-078	E2007AB-8	 		A	401		M4 V					14	
Fore	J	1330	730-287	D130897-7	 		 	504		F7 II					9	
Fore	J	1422	381-355	C65658B-5	 		A	600		F7 V   M0 D 					8	
