Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gush	I	0125	Hannrii	X565437-2	 	             Ni Pa 		204	Wild	M2 V	-3	(730-1)	[4141]	Bc	9	-21
Gush	I	0126	Egurgadi	X65A000-7	 	           Di Wa 		003	Wild	K1 V	-3	(400+2)	[0000]	B	9	8
Gush	I	0130	Praodelf	XAB6000-A	 	         (ENIL)  Di Fl 		000	Wild	G4 V M1 V	-1	(A00+3)	[0000]	B	13	30
Gush	M	0131	Sirir	X796000-2	 	        Fo   (NIL)  Di 		023	Wild	K3 V	-3	(B00+2)	[0000]	B	12	22
Gush	M	0132	Aapu	X560000-5	 	           De Di 		000	Wild	K1 V M2 V	-3	(500+4)	[0000]	B	13	20
Gush	M	0135	Maerol	X200000-8	 	            Di Va 		002	Wild	K1 V	-3	(B00-5)	[0000]	B	9	-55
Gush	M	0136	Choltonrul	X587000-4	 	        TapaW     Di 		024	Wild	M0 V	-3	(600+1)	[0000]	B	10	6
Gush	M	0137	Ushulu	X782000-8	 	        Pz   (NIL)  Di 		000	Wild	M0 V M4 V	-3	(B00+1)	[0000]	B	13	11
Gush	M	0138	Roolyz	X433000-B	 	           Di Po 		022	Wild	G8 V M3 V M0 V	-1	(700-1)	[0000]	B	12	-7
Gush	M	0140	Joutect	X768000-3	 	           Di 		000	Wild	M0 V M7 V	-3	(300+5)	[0000]	B	12	15
Gush	I	0222	Daze	X776000-4	 	           Di 		000	Wild	K7 V	-3	(500+2)	[0000]	B	6	10
Gush	I	0223	Abalesk	X433000-C	 	           Di Po 		013	Wild	M0 V	-1	(B00-4)	[0000]	B	13	-44
Gush	I	0227	Stoend	X86A7BE-4	 	         (NIL)  Ri Wa (NIL)		124	Wild	M2 V	-1	(967+3)	[8656]	BC	13	1134
Gush	I	0228	Barren	X652000-0	 	      Fo      Ba Po 		000	Wild	M1 V M2 V	-3	(200-3)	[0000]	B	13	-6
Gush	I	0229	Foussough	X65369B-1	 	           Ni Po 		200	WiFo	K0 V M5 V	-3	(852+1)	[7351]	B	13	80
Gush	I	0230	Estos	X425000-D	 	           Di 		005	WiFo	K2 V M6 V M1 V	-1	(D00+1)	[0000]	B	15	13
Gush	M	0231	Hentor	X503000-7	 	             Di Ic Va 		022	WiFo	M3 V D	-3	(700-2)	[0000]	B	16	-14
Gush	M	0233	Abaelou	X695000-3	 	       (eskalth)0     Di 		003	WiFo	M1 V	-3	(500+1)	[0000]	B	11	5
