Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Anta	A	0102	Riry	X756400-2	 	     Ga Ni Pa 		414	Wild	G5 V	-3	(832-3)	[6131]	Bc	8	-144
Anta	A	0103	Khadiraash	X000000-7	 	      As Va Di 		023	Wild	K8 V	-3	(300+1)	[0000]	B	11	3
Anta	A	0108	Sag	XABA000-A	 	     Di Fl 		015	Wild	M2 V M2 V	-1	(C00-1)	[0000]	B	12	-12
Anta	A	0110	Llupi	X798000-4	 	      Di 		003	Wild	G2 V	-3	(600+4)	[0000]	B	8	24
Anta	E	0112	Aomori	X525000-9	 	     Di 		002	Wild	M1 V M7 V	-2	(500-4)	[0000]	B	12	-20
Anta	E	0113	Yerba Buena	XA85430-1	 	      Ni Pa 		203	Wild	M1 V	-3	(731+1)	[6195]	Bc	13	21
Anta	E	0114	Raguegh	X000000-F	 	      Pz  As Va Di Na In 		002	Wild	F2 V	0	(D00+4)	[0000]	BE	13	52
Anta	E	0115	Sursir	D87A000-7	 	     Di Wa 		004	Wild	K2 V	-3	(400+1)	[0000]	B	14	4
Anta	E	0118	Juba	X423000-A	 	       Di Na In Po (NIL)		022	Wild	K5 V	0	(F00-4)	[0000]	BE	10	-60
Anta	E	0120	Kingfish	X423000-8	 	     Da  Di Na Po 		011	Wild	G0 V	-3	(A00-3)	[0000]	B	8	-30
Anta	I	0123	Laipanna	X428000-C	 	     Di 		004	Wild	K5 V M9 V	-1	(A00-4)	[0000]	B	7	-40
Anta	I	0124	Ogguengan	X564775-0	 	     Urun9 rg1  Ag Ri (NIL)		200	Wild	G3 V M2 V	0	(965+1)	[77A1]	BC	8	270
Anta	I	0125	Anmi	X8B3000-B	 	      Di Fl 		000	Wild	K6 IV M8 V	-1	(700+3)	[0000]	B	9	21
Anta	I	0126	Lyrihnele	X515000-8	 	     Di Ic 		004	Wild	M3 V M5 V	-3	(A00-2)	[0000]	B	15	-20
Anta	I	0127	Kaze	X85A598-0	 	     Ni Wa 		204	Wild	F3 V	-3	(740+1)	[5251]	B	11	28
Anta	I	0128	Akuu	X510000-9	 	     Di Na 		000	Wild	K4 V	-2	(800-5)	[0000]	B	12	-40
Anta	M	0131	Fogdonvef	X587000-1	 	     Di 		004	Wild	G2 V M9 V	-3	(400+2)	[0000]	B	13	8
Anta	M	0132	Mudir	X565572-1	 	      Ag Pr Ni 		215	Wild	M2 V	-2	(740-1)	[6341]	BcC	13	-28
Anta	M	0133	Kargigar	X433000-F	 	     Di Po 		012	Wild	M1 V M4 V	-1	(700+4)	[0000]	B	10	28
Anta	M	0134	Loungel	D695000-5	 	     Pz  Di (NIL)		012	Wild	G5 V M5 V	-3	(B00+3)	[0000]	B	7	33
Anta	M	0135	Gamma	X544000-2	 	      Di (NIL)		000	Wild	M0 V	-3	(B00+1)	[0000]	B	13	11
Anta	A	0203	Occulun	E5426B9-0	 	     Pz  He Ni Po (NIL)		500	Wild	K3 V M1 V	-3	(B50-1)	[4371]	B	11	-55
Anta	A	0204	Anashakila	X674833-0	 	     Pz  Pa Pi Ph (NIL)		403	Wild	F8 V	-2	(A73-4)	[8661]	BcDe	7	-840
Anta	A	0206	Gii	E564755-5	 	      Ag Ri (NIL)		204	Wild	F3 V M9 V	0	(968+2)	[8754]	BC	7	864
Anta	A	0207	Uran	X989779-1	 	      Ri (NIL)		202	Wild	G0 V	-1	(968+3)	[9663]	BC	9	1296
Anta	A	0210	Luolilali	X566000-2	 	     (Sokorrin)  Di 		055	Wild	F8 V	-3	(600-3)	[0000]	B	15	-18
Anta	E	0211	Dinderi	X424000-A	 	     Di 		002	Wild	K9 V	-1	(500-4)	[0000]	B	11	-20
Anta	E	0213	Kamkin	X676000-4	 	     O:0114  Di Pi (NIL)		003	Wild	F1 V	-3	(A00+1)	[0000]	BD	7	10
Anta	E	0216	Ambemshan	X545755-0	 	      Pz (Cassilldans)  Ag Pi (NIL)		413	Wild	M3 V M6 V	-1	(966+5)	[7691]	BCD	10	1620
Anta	E	0220	Shenirlar	D545000-7	 	     Di 		001	Wild	F6 V M9 V	-3	(400+2)	[0000]	B	13	8
Anta	I	0223	Mi	E645000-4	 	     Da  Di 		004	Wild	F6 V	-3	(700+1)	[0000]	B	8	7
Anta	I	0224	Girgaka	X574000-5	 	      Di 		002	Wild	K2 V M2 V	-3	(800+3)	[0000]	B	11	24
Anta	I	0225	Cane	X554000-4	 	     Di 		000	Wild	K0 V	-3	(500+1)	[0000]	B	13	5
Anta	I	0227	Shythaces	X420000-7	 	        De He Di Na Pi Po (NIL)		004	Wild	F3 V M0 V	-3	(A00+1)	[0000]	BD	10	10
Anta	M	0231	Argusap	X654000-5	 	      Di (NIL)		015	Wild	G0 V	-3	(C00+1)	[0000]	B	9	12
Anta	M	0235	Roeggasdoor	X5868C9-0	 	      Pa Ri Ph (NIL)		224	Wild	F6 V	-1	(A77-1)	[C711]	BcCe	14	-490
Anta	M	0236	Rathlesg	X5567A6-0	 	     Ag (NIL)		400	Wild	K3 V M6 V	-1	(968-3)	[46A4]	BC	13	-1296
Anta	M	0237	Swari	X560000-8	 	      De Di (NIL)		004	Wild	G2 V M4 V	-3	(E00+2)	[0000]	B	7	28
Anta	M	0239	Utanpain	X768744-0	 	      Ag Ri (NIL)		424	Wild	G4 V	0	(967-2)	[6763]	BC	9	-756
Anta	A	0302	Utenowhu	X000000-C	 	      As Va Di 		023	Wild	M0 V	-1	(C00+5)	[0000]	B	10	60
Anta	A	0304	Amam	X646000-2	 	      Di 		002	Wild	G4 V	-3	(600+3)	[0000]	B	10	18
Anta	A	0307	Urlulimiim	E549000-7	 	     Di 		012	Wild	F6 V M4 V	-3	(600+1)	[0000]	B	15	6
Anta	A	0309	Kakuukudi	X544000-6	 	      Di 		002	Wild	K8 V M4 V	-3	(700+1)	[0000]	B	15	7
Anta	A	0310	Rakupii	D68678B-1	 	     O:0410  Ag Ri Ga (NIL)		104	Wild	G2 V	0	(96C-2)	[6713]	BC	11	-1296
Anta	E	0312	Isamran	X77A000-8	 	   Pz  Di Pi Wa (NIL)		001	Wild	G4 V M2 V	-3	(A00+1)	[0000]	BD	9	10
