Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Anta	A	0102	Riry	D756653-7	S	     Ag Ga Ni 		814	ImDa	G5 V	-2	(852-5)	[3424]	BC	8	-400
1201	Anta	A	0102	Riry	X7566AC-7	 	     Ag Ga Ni 	B	914	ImDa	G5 V	-2	(854-4)	[646B]	BC	8	-640
1240	Anta	A	0102	Riry	X756400-2	 	     Ga Ni Pa 		414	Wild	G5 V	-3	(832-3)	[6131]	Bc	8	-144
1508	Anta	A	0102	Riry	X756416-2	 	     Ga Ni Pa 		314	Wild	G5 V	-3	(833+2)	[1171]	Bc	8	144
1900	Anta	A	0102	Riry	X756422-3	 	     Ga Ni Pa 		214	Wild	G5 V	-3	(832+2)	[8186]	Bc	8	96

1105	Anta	A	0103	Khadiraash	E000110-7	 	      As Va Lo 		323	ImDa	K8 V	-3	(300-5)	[1112]	B	11	-15
1201	Anta	A	0103	Khadiraash	X000000-7	 	      As Va Di 		023	ImDa	K8 V	-3	(300-4)	[0000]	B	11	-12
1240	Anta	A	0103	Khadiraash	X000000-7	 	      As Va Di 		023	Wild	K8 V	-3	(300+1)	[0000]	B	11	3
1508	Anta	A	0103	Khadiraash	X000000-7	 	      As Va Di 		023	Wild	K8 V	-3	(300+5)	[0000]	B	11	15
1900	Anta	A	0103	Khadiraash	X000000-7	 	      As Va Di 		023	Wild	K8 V	-3	(300-1)	[0000]	B	11	-3

1105	Anta	A	0108	Sag	BABA455-A	N 	     Fl Ni 		115	ImDa	M2 V M2 V	1	(C34-1)	[2538]	B	12	-144
1201	Anta	A	0108	Sag	XABA000-A	 	     Di Fl 		015	ImDa	M2 V M2 V	-1	(C00+3)	[0000]	B	12	36
1240	Anta	A	0108	Sag	XABA000-A	 	     Di Fl 		015	Wild	M2 V M2 V	-1	(C00-1)	[0000]	B	12	-12
1508	Anta	A	0108	Sag	XABA000-A	 	     Di Fl 		015	Wild	M2 V M2 V	-1	(C00-3)	[0000]	B	12	-36
1900	Anta	A	0108	Sag	XABA000-A	 	     Di Fl 		015	Wild	M2 V M2 V	-1	(C00-3)	[0000]	B	12	-36

1105	Anta	A	0110	Llupi	E798400-5	 	     Ni Pa 		203	ImDa	G2 V	-3	(631-5)	[1111]	Bc	8	-90
1201	Anta	A	0110	Llupi	X798412-4	 	     Ni Pa 	B	203	ImDa	G2 V	-3	(630+1)	[6154]	Bc	8	18
1240	Anta	A	0110	Llupi	X798000-4	 	      Di 		003	Wild	G2 V	-3	(600+4)	[0000]	B	8	24
1508	Anta	A	0110	Llupi	X798000-4	 	      Di 		003	Wild	G2 V	-3	(600-4)	[0000]	B	8	-24
1900	Anta	A	0110	Llupi	X798000-4	 	      Di 		003	Wild	G2 V	-3	(600-3)	[0000]	B	8	-18

1105	Anta	E	0112	Aomori	C525120-9	 	     Lo 		402	ImDa	M1 V M7 V	-1	(500-5)	[1114]	B	12	-25
1201	Anta	E	0112	Aomori	X525000-9	 	     Di 		002	ImDa	M1 V M7 V	-2	(500+3)	[0000]	B	12	15
1240	Anta	E	0112	Aomori	X525000-9	 	     Di 		002	Wild	M1 V M7 V	-2	(500-4)	[0000]	B	12	-20
1508	Anta	E	0112	Aomori	X525000-9	 	     Di 		002	Wild	M1 V M7 V	-2	(500+3)	[0000]	B	12	15
1900	Anta	E	0112	Aomori	X525000-9	 	     Di 		002	Wild	M1 V M7 V	-2	(500-3)	[0000]	B	12	-15

1105	Anta	E	0113	Yerba Buena	AA85547-D	NS	      Ag Pr Ni 		103	ImDa	M1 V	3	(A47+3)	[585D]	BcC	13	840
1201	Anta	E	0113	Yerba Buena	XA85475-4	 	      Ni Pa 	B	503	ImDa	M1 V	-3	(732-2)	[51A4]	Bc	13	-84
1240	Anta	E	0113	Yerba Buena	XA85430-1	 	      Ni Pa 		203	Wild	M1 V	-3	(731+1)	[6195]	Bc	13	21
1508	Anta	E	0113	Yerba Buena	XA85431-2	 	      Ni Pa 		203	Wild	M1 V	-3	(731-2)	[1183]	Bc	13	-42
