Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Beyo	A	0101	Delzin	D424000-8	 	    Di 		011	Wild	K5 V	-3	(800+1)	[0000]	B	7	8
Beyo	A	0104	Barba Amarilla	D440000-9	 	 An De He Di Po 		013	Wild	M0 V M5 V	-2	(E00+1)	[0000]	B	13	14
Beyo	A	0105	Shalimar	E867000-7	 	   Di Ga 		011	Wild	G6 V	-3	(800+2)	[0000]	B	12	16
Beyo	A	0107	Lanthesandra	D940000-6	 	  De He Di Po 		022	Wild	K6 V	-3	(300+1)	[0000]	B	9	3
Beyo	A	0110	Luz Negra	C833535-9	 	   Ni Po 		212	Wild	K7 V M3 V M1 V	-1	(A41-2)	[748E]	B	13	-80
Beyo	E	0111	Nehwon	D866425-3	 	  Ga Ni Pa 		902	Wild	G4 V	-3	(630-3)	[2117]	Bc	7	-54
Beyo	E	0113	Al Mustan	E869000-8	 	    Di 		021	Wild	K2 V	-3	(900+4)	[0000]	B	9	36
Beyo	E	0114	Gehenna	B548788-9	 	    Ag Pi (NIL)		114	Wild	F5 V D	2	(G67+1)	[8947]	BCD	9	672
Beyo	E	0116	Quatenon	D8A6000-4	 	  An Di Fl 		012	Wild	M1 V	-3	(800-1)	[0000]	B	11	-8
Beyo	E	0119	Sha'anoe	B86379A-A	 	    Ri (NIL)		313	Wild	M1 V	3	(B6C+4)	[6A6B]	BC	14	3168
Beyo	I	0121	Besulla	D500000-8	 	  Di Sa Va 		004	Wild	M6 V	-3	(900-2)	[0000]	B	9	-18
Beyo	I	0122	Rabanitas	D869000-B	 	    Di 		022	Wild	F9 V	-1	(900-2)	[0000]	B	7	-18
Beyo	I	0125	Thynca	E558000-7	 	    Di 		012	Wild	K5 V	-3	(A00+4)	[0000]	B	6	40
Beyo	I	0127	Lyheric	D445000-D	 	    Di (NIL)		011	Wild	M1 V M6 V	-1	(A00-4)	[0000]	B	12	-40
Beyo	I	0128	Destrada	E511000-8	 	   Di Ic 		002	Wild	M1 V D	-3	(600+3)	[0000]	B	8	18
Beyo	I	0130	Dizuro	X000000-B	 	   As Va Di 		001	Wild	M3 V M4 V	-1	(A00-3)	[0000]	B	6	-30
Beyo	M	0135	Khiiszarbi	E775000-A	 	    Di 		010	Wild	K3 V	-1	(900+1)	[0000]	B	8	9
Beyo	M	0136	Trend	B562404-9	 	    Ni 		310	Wild	K1 V	0	(635+1)	[442B]	B	8	90
Beyo	A	0205	Alpha Centre	B6687A6-7	 	    Ag Ri (NIL)		312	Wild	G8 V K4 V	2	(969-1)	[B928]	BC	15	-486
Beyo	A	0208	Gullan	XA02000-0	 	   Ba Ic Va 		013	Wild	M7 V	-3	(900+1)	[0000]	B	11	9
Beyo	E	0214	Z'chmel	D559677-3	 	   Ni Sa 		111	Wild	M0 V M7 V	-3	(950+1)	[4341]	B	8	45
Beyo	E	0216	Dorstyal	BA96794-A	 	    Ag Pi (NIL)		312	Wild	K3 V	3	(C6A+2)	[7A7A]	BCD	11	1440
Beyo	E	0218	Utopia	E855000-9	 	   Di Ga 		010	Wild	G3 V M1 V	-2	(700+2)	[0000]	B	5	14
Beyo	E	0220	Innuit	CB97777-7	 	    Ag Pi (NIL)		221	Wild	G2 V BD	0	(363+1)	[7728]	BCD	11	54
Beyo	I	0226	Phoenix	C666478-7	 	  Ga Ni Pa 		413	Wild	G1 V	-2	(633+1)	[1235]	Bc	13	54
Beyo	M	0232	Zydoquir	D522000-8	 	 Di He Po Sa 		024	Wild	G2 V D	-3	(C00+5)	[0000]	B	14	60
Beyo	M	0238	Deata Chi	D323000-6	 	   Di Po 		012	Wild	K8 V	-3	(900-3)	[0000]	B	12	-27
Beyo	A	0304	Sextans	B76788A-8	 	  Ga Pa Ri Ph (NIL)		320	Wild	K3 V M1 V	1	(77B-5)	[898D]	BcCe	10	-2695
Beyo	A	0307	Araataga	D446000-7	 	   Di Sa 		024	Wild	K6 V M3 V	-3	(700+2)	[0000]	B	10	14
Beyo	E	0311	Trayfowen	XA64000-9	 	    Di 		022	Wild	K1 V	-2	(D00-1)	[0000]	B	10	-13
Beyo	E	0312	Chicomecal	D333000-8	 	   Di Po 		024	Wild	M2 V M2 V	-3	(A00-2)	[0000]	B	11	-20
Beyo	E	0313	Qat's Key	CA54457-5	 	   Ni Pa 		224	Wild	K5 V	-2	(230-3)	[3296]	Bc	15	-18
