Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Beyo	A	0101	Delzin	C424630-8	 	    Ni 		211	NaHu	K5 V	-2	(852-1)	[44A9]	B	7	-80
1281	Beyo	A	0101	Delzin	D424000-8	 	    Di 		011	Wild	K5 V	-3	(800+2)	[0000]	B	7	16
1508	Beyo	A	0101	Delzin	D424000-8	 	    Di 		011	Wild	K5 V	-3	(800+1)	[0000]	B	7	8
1900	Beyo	A	0101	Delzin	D424000-8	 	    Di 		011	Wild	K5 V	-3	(800-3)	[0000]	B	7	-24

1105	Beyo	A	0104	Barba Amarilla	D440234-9	 	 An De He Lo Po 		313	MaCl	M0 V M5 V	-2	(E10+3)	[217C]	B	13	42
1281	Beyo	A	0104	Barba Amarilla	D440000-9	 	 An De He Di Po 		013	Wild	M0 V M5 V	-2	(E00+2)	[0000]	B	13	28
1508	Beyo	A	0104	Barba Amarilla	D440000-9	 	 An De He Di Po 		013	Wild	M0 V M5 V	-2	(E00+1)	[0000]	B	13	14
1900	Beyo	A	0104	Barba Amarilla	D440000-9	 	 An De He Di Po 		013	Wild	M0 V M5 V	-2	(E00-5)	[0000]	B	13	-70

1105	Beyo	A	0105	Shalimar	C867649-7	 	  Ag Ri Ga Ni 		611	MaCl	G6 V	0	(854+1)	[6649]	BC	12	160
1281	Beyo	A	0105	Shalimar	E867000-7	 	   Di Ga 		011	Wild	G6 V	-3	(800+4)	[0000]	B	12	32
1508	Beyo	A	0105	Shalimar	E867000-7	 	   Di Ga 		011	Wild	G6 V	-3	(800+2)	[0000]	B	12	16
1900	Beyo	A	0105	Shalimar	E867000-7	 	   Di Ga 		011	Wild	G6 V	-3	(800+4)	[0000]	B	12	32

1105	Beyo	A	0107	Lanthesandra	D940576-6	 	  De He Ni Po 		322	CoLg	K6 V	-3	(341+1)	[5295]	B	9	12
1281	Beyo	A	0107	Lanthesandra	D940000-6	 	  De He Di Po 		022	Wild	K6 V	-3	(300-1)	[0000]	B	9	-3
1508	Beyo	A	0107	Lanthesandra	D940000-6	 	  De He Di Po 		022	Wild	K6 V	-3	(300+1)	[0000]	B	9	3
1900	Beyo	A	0107	Lanthesandra	D940000-6	 	  De He Di Po 		022	Wild	K6 V	-3	(300-3)	[0000]	B	9	-9

1105	Beyo	A	0110	Luz Negra	C833684-9	 	   Na Po Ni 		212	CoLg	K7 V M3 V M1 V	-1	(A51-3)	[657A]	B	13	-150
1281	Beyo	A	0110	Luz Negra	C833545-8	 	   Ni Po 		112	Wild	K7 V M3 V M1 V	-2	(A40-4)	[6375]	B	13	-160
1508	Beyo	A	0110	Luz Negra	C833535-9	 	   Ni Po 		212	Wild	K7 V M3 V M1 V	-1	(A41-2)	[748E]	B	13	-80
1900	Beyo	A	0110	Luz Negra	C8335A9-A	 	   Ni Px Po 		212	Wild	K7 V M3 V M1 V	0	(A44+3)	[1568]	B	13	480

1105	Beyo	E	0111	Nehwon	D866572-4	 	  Ag Pr Ga Ni 		302	CoLg	G4 V	-2	(641+3)	[8379]	BcC	7	72
1281	Beyo	E	0111	Nehwon	D866576-2	 	  Ag Pr Ga Ni 		102	Wild	G4 V	-2	(640-1)	[3351]	BcC	7	-24
1508	Beyo	E	0111	Nehwon	D866425-3	 	  Ga Ni Pa 		902	Wild	G4 V	-3	(630-3)	[2117]	Bc	7	-54
1900	Beyo	E	0111	Nehwon	D866452-5	 	  Ga Ni Pa 		802	Wild	G4 V	-3	(630+3)	[7166]	Bc	7	54

1105	Beyo	E	0113	Al Mustan	C869363-8	 	    Lo 		521	CoLg	K2 V	-2	(920-1)	[4194]	B	9	-18
1281	Beyo	E	0113	Al Mustan	E869000-8	 	    Di 		021	Wild	K2 V	-3	(900-2)	[0000]	B	9	-18
1508	Beyo	E	0113	Al Mustan	E869000-8	 	    Di 		021	Wild	K2 V	-3	(900+4)	[0000]	B	9	36
1900	Beyo	E	0113	Al Mustan	E869000-8	 	    Di 		021	Wild	K2 V	-3	(900+1)	[0000]	B	9	9

1105	Beyo	E	0114	Gehenna	B5487AA-A	 	    Ag Pi (NIL)		414	CoLg	F5 V D	3	(G6C+2)	[7A1A]	BCD	9	2304
1281	Beyo	E	0114	Gehenna	B548751-9	 	    Ag Pi (NIL)		214	Wild	F5 V D	2	(G68+2)	[695C]	BCD	9	1536
1508	Beyo	E	0114	Gehenna	B548788-9	 	    Ag Pi (NIL)		114	Wild	F5 V D	2	(G67+1)	[8947]	BCD	9	672
1900	Beyo	E	0114	Gehenna	B54878A-A	 	    Ag Pi (NIL)		214	Wild	F5 V D	3	(G68+1)	[AA46]	BCD	9	768

1105	Beyo	E	0116	Quatenon	D8A6674-4	 	  An Fl Ni 		212	CoLg	M1 V	-3	(850+1)	[4361]	B	11	40
1281	Beyo	E	0116	Quatenon	D8A6000-4	 	  An Di Fl 		012	Wild	M1 V	-3	(800+1)	[0000]	B	11	8
1508	Beyo	E	0116	Quatenon	D8A6000-4	 	  An Di Fl 		012	Wild	M1 V	-3	(800-1)	[0000]	B	11	-8
1900	Beyo	E	0116	Quatenon	D8A6000-4	 	  An Di Fl 		012	Wild	M1 V	-3	(800+2)	[0000]	B	11	16

1105	Beyo	E	0119	Sha'anoe	B863788-B	 	    Ri (NIL)		713	CoLg	M1 V	3	(B6A-2)	[8A8G]	BC	14	-1320
1281	Beyo	E	0119	Sha'anoe	B863788-9	 	    Ri (NIL)		313	Wild	M1 V	2	(B6B+2)	[4957]	BC	14	1452
1508	Beyo	E	0119	Sha'anoe	B86379A-A	 	    Ri (NIL)		313	Wild	M1 V	3	(B6C+4)	[6A6B]	BC	14	3168
1900	Beyo	E	0119	Sha'anoe	B86378A-B	 	    Ri (NIL)		313	Wild	M1 V	3	(B69+1)	[3A5D]	BC	14	594

1105	Beyo	I	0121	Besulla	D500110-8	 	  Lo Sa Va 		504	CoLg	M6 V	-3	(900-1)	[1173]	B	9	-9
1281	Beyo	I	0121	Besulla	D500000-8	 	  Di Sa Va 		004	Wild	M6 V	-3	(900+1)	[0000]	B	9	9
1508	Beyo	I	0121	Besulla	D500000-8	 	  Di Sa Va 		004	Wild	M6 V	-3	(900-2)	[0000]	B	9	-18
1900	Beyo	I	0121	Besulla	D500000-8	 	  Di Sa Va 		004	Wild	M6 V	-3	(900+2)	[0000]	B	9	18

