Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Core	A	0103	Irkigkhan	X9C4000-9	 	   Di Fl (ENIL)		023	Wild	M2 V	-2	(E00-3)	[0000]	B	8	-42
Core	A	0104	Shana Ma	X551000-6	 	   Di Po 		003	Wild	K2 IV M7 V	-3	(300-1)	[0000]	B	9	-3
Core	A	0106	Niizediju	X9C6000-A	 	   Di Fl (ENIL)		004	Wild	A1 V	-1	(E00-4)	[0000]	B	7	-56
Core	E	0112	Per	E673000-6	 	    Di 		003	Wild	M0 V M0 V	-3	(600+2)	[0000]	B	13	12
Core	E	0113	Khishi	E798000-5	 	    Di 		003	Wild	M0 V	-3	(400+1)	[0000]	B	11	4
Core	E	0114	Khid	X550000-7	 	  De Di Po 		020	Wild	M1 V	-3	(600+1)	[0000]	B	14	6
Core	E	0116	Idpuu	C5857CC-7	 	    Ag Ri (NIL)		311	Wild	M2 V	1	(96B+2)	[6897]	BC	8	1188
Core	E	0117	Neki	X664543-0	 	   Ag Pr Ni 		210	Wild	M0 V M9 V M4 V	-2	(740+1)	[4371]	BcC	13	28
Core	E	0120	Kein	E544000-8	 	    Di 		000	Wild	K2 V	-3	(600+2)	[0000]	B	11	12
Core	I	0125	Trevor	X664433-2	 	   Ni Pa 		110	Wild	M0 V M1 V	-3	(630-1)	[5175]	Bc	4	-18
Core	I	0126	Deseca	D5418A9-5	 	  He Ph Pi Po (NIL)		213	Wild	G7 V M4 V	-2	(978+3)	[7668]	BDe	12	1512
Core	I	0127	Marsus	X578000-0	 	    Ba 		014	Wild	M1 V	-3	(700+2)	[0000]	B	10	14
Core	I	0128	Protalus	X559443-3	 	    Ni 		323	Wild	K0 V	-3	(733+4)	[4168]	B	13	252
Core	I	0129	Rollabon	D984444-4	 	   Ni Pa 		222	Wild	M3 V	-3	(632+2)	[6121]	Bc	13	72
Core	I	0130	Katock	X200000-A	 	   Di Va 		002	Wild	M0 V M2 V	-1	(700+1)	[0000]	B	8	7
Core	M	0132	Brygella	X76A000-0	 	   Ba Wa 		021	Wild	K3 V M0 V	-3	(500-1)	[0000]	B	14	-5
Core	M	0133	Holt	X8D7000-C	 	    Di 		015	Wild	G5 V	-1	(B00-2)	[0000]	B	11	-22
Core	M	0134	Blanum	X421000-C	 	  Di He Po 		003	Wild	M1 V	-1	(B00-1)	[0000]	B	14	-11
Core	M	0135	Erthun	X667000-0	 	   Ba Ga 		004	Wild	M2 V	-3	(700+2)	[0000]	B	15	14
