Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Core	A	0103	Irkigkhan	C9C4733-9	 	    Fl (ENIL)		123	ImDc	M2 V	0	(E69-3)	[4726]	B	8	-2268
1201	Core	A	0103	Irkigkhan	X9C4000-9	 	   Di Fl (ENIL)		023	ImDc	M2 V	-2	(E00+2)	[0000]	B	8	28
1281	Core	A	0103	Irkigkhan	X9C4000-9	 	   Di Fl (ENIL)		023	Wild	M2 V	-2	(E00+4)	[0000]	B	8	56
1508	Core	A	0103	Irkigkhan	X9C4000-9	 	   Di Fl (ENIL)		023	Wild	M2 V	-2	(E00+1)	[0000]	B	8	14
1900	Core	A	0103	Irkigkhan	X9C4000-9	 	   Di Fl (ENIL)		023	Wild	M2 V	-2	(E00-4)	[0000]	B	8	-56

1105	Core	A	0104	Shana Ma	E551112-7	 	   Lo Po 		903	ImDc	K2 IV M7 V	-3	(300-5)	[1113]	B	9	-15
1201	Core	A	0104	Shana Ma	X551156-6	 	   Lo Po 		603	ImDc	K2 IV M7 V	-3	(300+4)	[1187]	B	9	12
1281	Core	A	0104	Shana Ma	X551000-6	 	   Di Po 		003	Wild	K2 IV M7 V	-3	(300+3)	[0000]	B	9	9
1508	Core	A	0104	Shana Ma	X551000-6	 	   Di Po 		003	Wild	K2 IV M7 V	-3	(300+2)	[0000]	B	9	6
1900	Core	A	0104	Shana Ma	X551000-6	 	   Di Po 		003	Wild	K2 IV M7 V	-3	(300+5)	[0000]	B	9	15

1105	Core	A	0106	Niizediju	B9C6886-A	N 	   Fl Ph (ENIL)		704	ImDc	A1 V	2	(E7B+1)	[7A49]	Be	7	1078
1201	Core	A	0106	Niizediju	X9C6000-A	 	   Di Fl (ENIL)		004	ImDc	A1 V	-1	(E00-2)	[0000]	B	7	-28
1281	Core	A	0106	Niizediju	X9C6000-A	 	   Di Fl (ENIL)		004	Wild	A1 V	-1	(E00-1)	[0000]	B	7	-14
1508	Core	A	0106	Niizediju	X9C6000-A	 	   Di Fl (ENIL)		004	Wild	A1 V	-1	(E00-5)	[0000]	B	7	-70
1900	Core	A	0106	Niizediju	X9C6000-A	 	   Di Fl (ENIL)		004	Wild	A1 V	-1	(E00-4)	[0000]	B	7	-56

1105	Core	E	0112	Per	A673410-C	 	    Ni 		103	ImDc	M0 V M0 V	1	(934-3)	[1517]	B	13	-324
1201	Core	E	0112	Per	X673337-0	 	    Lo 	B	203	ImDc	M0 V M0 V	-3	(620-1)	[6132]	B	13	-12
1281	Core	E	0112	Per	X673000-0	 	    Ba 		003	Wild	M0 V M0 V	-3	(600-2)	[0000]	B	13	-12
1508	Core	E	0112	Per	X673000-0	 	    Ba 		003	Wild	M0 V M0 V	-3	(600+1)	[0000]	B	13	6
1900	Core	E	0112	Per	X673000-0	 	    Ba 		003	Wild	M0 V M0 V	-3	(600-4)	[0000]	B	13	-24

1105	Core	E	0113	Khishi	C798200-A	 	    Lo 		303	ImDc	M0 V	0	(710-4)	[1215]	B	11	-28
1201	Core	E	0113	Khishi	E798200-8	 	    Lo 		503	ImDc	M0 V	-3	(710+2)	[1194]	B	11	14
1281	Core	E	0113	Khishi	E798000-8	 	    Di 		003	Wild	M0 V	-3	(700+1)	[0000]	B	11	7
1508	Core	E	0113	Khishi	E798000-8	 	    Di 		003	Wild	M0 V	-3	(700-4)	[0000]	B	11	-28
1900	Core	E	0113	Khishi	E798000-8	 	    Di 		003	Wild	M0 V	-3	(700+3)	[0000]	B	11	21

1105	Core	E	0114	Khid	B550401-C	NS	  De Ni Po 		220	ImDc	M1 V	2	(835-2)	[1618]	B	14	-240
1201	Core	E	0114	Khid	X550344-0	 	  De Lo Po 	B	620	ImDc	M1 V	-3	(620+4)	[4141]	B	14	48
1281	Core	E	0114	Khid	X550000-0	 	  Ba De Po 		020	Wild	M1 V	-3	(600-4)	[0000]	B	14	-24
1508	Core	E	0114	Khid	X550000-0	 	  Ba De Po 		020	Wild	M1 V	-3	(600+1)	[0000]	B	14	6
1900	Core	E	0114	Khid	X550000-0	 	  Ba De Po 		020	Wild	M1 V	-3	(600+1)	[0000]	B	14	6

