Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Corr	A	0102	Tersta	E57458A-6	 	    An  Ag Ni 		220	ImDv	F3 V	{ -2 }	(742-2)	[1367]	BC	11	-112
Corr	A	0104	Khouth	X8C3000-D	 	      Di Fl In 		020	ImDv	M3 V	{ 0 }	(D00-5)	[0000]	BE	13	-65
Corr	A	0105	Ankirst	X556210-2	 	     Lo 		721	ImDv	K3 V M1 V	{ -3 }	(310-1)	[2121]	B	11	-3
Corr	A	0106	Ofo-Nebus	X541477-2	 	    rg1  He Ni Po 	B	401	ImDv	M0 V M1 V	{ -3 }	(630+3)	[31A1]	B	11	54
Corr	A	0109	Synez	X864344-5	 	     Lo 		420	ImDv	M2 V	{ -3 }	(420-1)	[3137]	B	9	-8
Corr	E	0111	Shinku	X879320-5	 	    rg1  Lo 		322	ImDv	F9 V	{ -3 }	(320-1)	[6134]	B	8	-6
Corr	E	0112	Kiran	X554867-4	 	     Pa Ph 	B	801	ImDv	K5 V M0 V	{ -2 }	(A76-2)	[9634]	Bce	10	-840
Corr	E	0113	Aga Sugek	X9B8000-B	 	     Di Fl 		001	ImDv	K7 V M2 V	{ -1 }	(600+4)	[0000]	B	10	24
Corr	E	0115	Khikhuushir	X676513-4	 	     Ag Ni 	B	424	ImDv	M0 V	{ -2 }	(744-2)	[6375]	BC	9	-224
Corr	E	0119	Ka Eto	B615345-C	N 	     Ic Lo 		502	ImDv	M3 V	{ 1 }	(721-1)	[143A]	B	13	-14
Corr	A	0205	Koergfoes	C543533-5	 	    rgW RsE  Ni Po 	B	222	ImDv	M1 V	{ -2 }	(742+1)	[7345]	B	7	56
Corr	A	0206	Mikesh	X8B7000-D	 	      Di Fl In 		025	ImDv	K1 V	{ 0 }	(K00+3)	[0000]	BE	10	57
Corr	A	0209	Pergzitt	X625000-B	 	     Di 		011	ImDv	K5 V M6 V	{ -1 }	(700-3)	[0000]	B	11	-21
Corr	A	0210	Dry	X310000-A	 	      Di Na Pi 		001	ImDv	M1 V M9 V	{ -1 }	(B00-2)	[0000]	BD	6	-22
Corr	E	0213	Erlu	X7C0000-9	 	     Di He 		004	ImDv	M0 V	{ -2 }	(C00+5)	[0000]	B	12	60
Corr	E	0218	Lobok	C582876-8	 	     Ph Ri 		335	ImDv	G1 V	{ 0 }	(J78-1)	[7847]	BCe	11	-1008
Corr	I	0221	Shush	C664642-7	 	    Ag Ri Ni 		623	NaHu	F8 V G3 V	{ -2 }	(410-5)	[1113]	BC	15	-20
Corr	A	0301	Overlook	X5758CC-4	 	      Pa Pi Ph 	B	701	ImDv	M0 V	{ -2 }	(A76-1)	[6634]	BcDe	12	-420
Corr	A	0304	Serk	X89A000-C	 	      Di Pi Wa 		023	ImDv	M2 V	{ -1 }	(F00-1)	[0000]	BD	8	-15
Corr	A	0306	Hesarus	D553544-6	 	     Ni Po 		220	ImDv	M1 V	{ -3 }	(740+1)	[6236]	B	8	28
Corr	A	0307	Caulins Belt	X000000-C	 	       As Va Di 		011	ImDv	M5 V	{ -1 }	(600-3)	[0000]	B	9	-18
Corr	A	0308	Faraway	X682520-3	 	     Ni Pr 	B	413	ImDv	M1 V	{ -3 }	(742-1)	[A231]	Bc	7	-56
Corr	E	0311	Jubal	X300000-9	 	      Di Va 		023	NaVa	G8 IV M8 V	{ -2 }	(B00+1)	[0000]	B	17	11
Corr	E	0312	Muugagen	X553400-4	 	      Ni Po 		401	ImDv	M0 V	{ -3 }	(632+1)	[4153]	B	8	36
Corr	E	0313	Yubitty	E96A174-6	 	      Lo Wa 		132	ImDv	K9 V	{ -3 }	(B00-1)	[1132]	B	8	-11
Corr	M	0338	Ishirdu	X776287-3	 	     (Irdu)  Lo 		903	CsIm	M3 V	{ -3 }	(510+4)	[1151]	B	10	20
Corr	A	0401	Auritaurus	E859131-6	 	     Lo 	B	521	ImDv	F9 V	{ -3 }	(500-2)	[5195]	B	12	-10
Corr	A	0402	Rrev Rigr	X100000-C	 	    rg6  Di Na Va 		010	ImDv	M7 V	{ -1 }	(900+1)	[0000]	B	11	9
Corr	A	0407	Sigma 7	X000000-7	 	      As Va Di Na Pi 		012	ImDv	A9 V M9 V	{ -3 }	(900+3)	[0000]	BD	16	27
Corr	E	0411	Daban	X514000-8	 	     Di Ic Pi 		002	ImDv	K2 V	{ -3 }	(C00-3)	[0000]	BD	6	-36
Corr	E	0416	Ian	X598866-1	 	        Pa Pi Ph 	B	203	ImDv	M2 V	{ -2 }	(A7A+1)	[66A1]	BcDe	10	700
Corr	E	0417	Irasumshu	X554732-6	 	     Ag 		901	ImDv	M0 V	{ -1 }	(C6A+1)	[4615]	BC	12	720
Corr	A	0502	Koppel	X563111-5	 	     Lo 		434	ImDv	K9 V	{ -3 }	(500-5)	[2144]	B	10	-25
Corr	A	0509	Naxx-Iygo	X7B5000-8	 	      Di Fl 		012	ImDv	M8 V	{ -3 }	(900-2)	[0000]	B	10	-18
Corr	A	0510	Pamock	E561576-5	 	     Ni Pr 		423	ImDv	K8 V M2 V	{ -3 }	(740+2)	[9245]	Bc	11	56
Corr	E	0511	Linix' Cha	X422000-8	 	     Di He Px Po 		022	ImDv	M2 V	{ -3 }	(B00+1)	[0000]	B	12	11
Corr	E	0512	Beta Regilis	X543510-3	 	      Ni Po 	B	414	ImDv	M1 V	{ -3 }	(742+1)	[2251]	B	11	56
Corr	E	0513	Kumorie	X431000-C	 	     Di Na Po 		025	ImDv	K7 V	{ -1 }	(G00+1)	[0000]	B	12	16
Corr	E	0516	Raiga	X664547-2	 	       Ag Pr Ni 	B	414	ImDv	M2 V	{ -2 }	(744+1)	[5344]	BcC	8	112
Corr	A	0601	Greenrok	X560156-5	 	     De Lo 		601	ImDv	M2 V M5 V	{ -3 }	(400+1)	[1152]	B	14	4
Corr	A	0603	Taratun	X893402-5	 	     Ni 	B	223	ImDv	M5 V	{ -3 }	(630+1)	[2196]	B	12	18
Corr	A	0605	Aka Gee	X432000-B	 	     Di Px Po 		003	ImDv	K3 V M0 V	{ -1 }	(A00-4)	[0000]	B	13	-40
Corr	A	0606	Degarla	X611000-A	 	     Di Ic Na 		010	ImDv	K8 V	{ -1 }	(900-3)	[0000]	B	12	-27
Corr	A	0608	Desolate	X9B4000-A	 	     Di Fl 		020	ImDv	G5 V	{ -1 }	(900+1)	[0000]	B	8	9
Corr	A	0609	Semiplast	X561674-6	 	      Ni Ri 		602	ImDv	M1 V M7 V	{ -2 }	(853-3)	[6446]	BC	9	-360
Corr	E	0611	Ikhur	X756500-5	 	    rg1  Ag Ga Ni 	B	201	ImDv	M0 V	{ -2 }	(744+1)	[3368]	BC	13	112
Corr	E	0614	Dywosik	X547577-2	 	     Ag Ni 	B	531	ImDv	G5 V M8 V	{ -2 }	(640+1)	[3353]	BC	11	24
Corr	E	0617	Vom	X423000-9	 	     Di Px Po 		002	ImDv	F9 V	{ -2 }	(900-2)	[0000]	B	15	-18
Corr	M	0638	Esi-obe	X542100-3	 	      He Lo Po 		911	NaHu	G4 V	{ -3 }	(A00+1)	[5112]	B	8	10
Corr	A	0701	Gzorraeth	X590410-3	 	      De He Ni 	B	301	NaVa	K6 V	{ -3 }	(630+3)	[6122]	B	11	54
Corr	A	0709	Mowanda	X200000-A	 	     Di Va 		011	ImDv	A9 V	{ -1 }	(900+2)	[0000]	B	11	18
Corr	E	0714	Teras	X438000-B	 	     Di 		010	ImDv	M0 V M3 V	{ -1 }	(500+1)	[0000]	B	7	5
