Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Corr	A	0102	Tersta	C574522-7	 	    An  Ag Ni 		320	ImDv	F3 V	-1	(743-5)	[1413]	BC	11	-420
1201	Corr	A	0102	Tersta	X574532-3	 	    An  Ag Ni 	B	220	ImDv	F3 V	-2	(743+1)	[4346]	BC	11	84
1240	Corr	A	0102	Tersta	X574000-3	 	     An  Di 		020	Wild	F3 V	-3	(700+2)	[0000]	B	11	14
1508	Corr	A	0102	Tersta	X574000-3	 	     An  Di 		020	Wild	F3 V	-3	(700+1)	[0000]	B	11	7
1900	Corr	A	0102	Tersta	X574000-3	 	     An  Di 		020	Wild	F3 V	-3	(700-2)	[0000]	B	11	-14

1105	Corr	A	0104	Khouth	A8C3999-D	 	      Fl Hi In (ENIL)		420	ImDv	M3 V	4	(D8G+5)	[AD6E]	BEf	13	8320
1201	Corr	A	0104	Khouth	X8C3000-D	 	      Di Fl In (ENIL)		020	ImDv	M3 V	0	(D00-1)	[0000]	BE	13	-13
1240	Corr	A	0104	Khouth	X8C3000-D	 	      Di Fl In (ENIL)		020	Wild	M3 V	0	(D00-3)	[0000]	BE	13	-39
1508	Corr	A	0104	Khouth	X8C3000-D	 	       Di Fl (ENIL)		020	Wild	M3 V	-1	(D00-2)	[0000]	B	13	-26
1900	Corr	A	0104	Khouth	X8C3000-D	 	       Di Fl (ENIL)		020	Wild	M3 V	-1	(D00+3)	[0000]	B	13	39

1105	Corr	A	0105	Ankirst	C556112-9	 	     Lo 		421	ImDv	K3 V M1 V	-1	(600-5)	[1115]	B	11	-30
1201	Corr	A	0105	Ankirst	E556100-5	 	     Lo 		221	ImDv	K3 V M1 V	-3	(300-4)	[2162]	B	11	-12
1240	Corr	A	0105	Ankirst	E556000-5	 	     Di 		021	Wild	K3 V M1 V	-3	(300-2)	[0000]	B	11	-6
1508	Corr	A	0105	Ankirst	E556000-5	 	     Di 		021	Wild	K3 V M1 V	-3	(300-2)	[0000]	B	11	-6
1900	Corr	A	0105	Ankirst	E556000-5	 	     Di 		021	Wild	K3 V M1 V	-3	(300+1)	[0000]	B	11	3

1105	Corr	A	0106	Ofo-Nebus	B541488-9	N 	    rg1  He Ni Po 		701	ImDv	M0 V M1 V	0	(733+1)	[4459]	B	11	63
1201	Corr	A	0106	Ofo-Nebus	D54149C-7	 	    rg1  He Ni Po 		401	ImDv	M0 V M1 V	-3	(630+1)	[8167]	B	11	18
1240	Corr	A	0106	Ofo-Nebus	D541000-7	 	    rg1  Di He Po 		001	Wild	M0 V M1 V	-3	(600-2)	[0000]	B	11	-12
1508	Corr	A	0106	Ofo-Nebus	D541000-7	 	    rg1  Di He Po 		001	Wild	M0 V M1 V	-3	(600-1)	[0000]	B	11	-6
