Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Cruc	A	0101	Aiwo	D685787-2	 	   Ag Ri Ga (NIL)		402	Wild	A9 V F0 V	0	(965+1)	[4784]	BC	10	270
Cruc	A	0103	Boe	X897000-4	 	    Di (NIL)		001	Wild	G2 V K7 V	-3	(A00+1)	[0000]	B	12	10
Cruc	A	0106	Acier	XAC5000-9	 	   Di Fl 		020	Wild	F9 V M1 V	-2	(A00-1)	[0000]	B	12	-10
Cruc	A	0109	Yaren	E574000-7	 	    Di 		010	Wild	K1 V M2 V	-3	(600-4)	[0000]	B	7	-24
Cruc	E	0113	Jammu	D75A000-7	 	   Di Wa 		000	Wild	G6 V	-3	(500+1)	[0000]	B	8	5
Cruc	E	0120	Negril	X652641-0	 	   Ni Po 		312	Wild	K4 V	-3	(852-2)	[4381]	B	12	-160
Cruc	I	0121	Okaya	X629000-A	 	    Di (NIL)		004	Wild	M3 V	-1	(E00+2)	[0000]	B	16	28
Cruc	I	0123	Suwa	X7C5000-9	 	   Di Fl 		000	Wild	M1 V	-2	(500+4)	[0000]	B	9	20
Cruc	I	0124	Uda	E641000-4	 	  Di He Po 		003	Wild	F4 V	-3	(400+1)	[0000]	B	12	4
Cruc	I	0129	Kilchu	X431000-6	 	   Di Po 		000	Wild	F3 V M1 V	-3	(300-3)	[0000]	B	11	-9
Cruc	M	0136	Zynki	X78A000-0	 	   Ba Wa 		004	Wild	K7 V	-3	(500+3)	[0000]	B	13	15
Cruc	M	0140	K'Mara	X534000-A	 	    Di (NIL)		011	Wild	G8 V M1 V	-1	(B00-1)	[0000]	B	10	-11
Cruc	A	0202	Baiti	X575000-7	 	    Di 		020	Wild	G5 V M7 V	-3	(700+2)	[0000]	B	10	14
Cruc	A	0204	Anetan	E663657-6	 	   Ni Ri 		503	Wild	M3 V	-2	(854-1)	[5474]	BC	11	-160
Cruc	A	0206	Nauru	E599000-5	 	    Di 		000	Wild	F6 V M4 V	-3	(500-2)	[0000]	B	6	-10
Cruc	A	0209	Masinloc	X520000-7	 	  De He Di Po 		001	Wild	M2 V	-3	(400+1)	[0000]	B	8	4
Cruc	E	0214	Fauve	X665744-1	 	   Ag Ri Ga (NIL)		503	Wild	F7 V	0	(968-1)	[7754]	BC	6	-432
Cruc	E	0215	Nagar	X545000-5	 	    Di 		012	Wild	M7 III	-3	(800+2)	[0000]	B	9	16
Cruc	E	0217	Macroform	E542000-6	 	  Di He Po 		000	Wild	G9 V	-3	(700-2)	[0000]	B	10	-14
Cruc	E	0219	Ochon	X422000-7	 	  Di He Po 		003	Wild	M0 V	-3	(600+1)	[0000]	B	11	6
Cruc	I	0222	Odate	X541000-6	 	  Di He Po 		000	Wild	M0 V	-3	(800+1)	[0000]	B	8	8
Cruc	I	0225	Kobe	C553675-7	 	   Ni Po 		501	Wild	M1 V M3 V	-2	(854+4)	[7448]	B	9	640
Cruc	I	0227	Iida	X8C4000-9	 	   Di Fl (ENIL)		000	Wild	M3 V M9 V	-2	(A00-1)	[0000]	B	8	-10
Cruc	M	0233	Hmrilma	E562000-5	 	    Di 		000	Wild	K6 V	-3	(600+2)	[0000]	B	6	12
Cruc	M	0234	Rill	D879000-5	 	    Di (NIL)		011	Wild	F5 V M1 V	-3	(900+5)	[0000]	B	8	45
Cruc	M	0238	Sora	X200000-B	 	   Di Va 		004	Wild	F0 V	-1	(800+2)	[0000]	B	13	16
Cruc	M	0240	Himrai	X666000-5	 	   Di Ga 		000	Wild	M2 III F0 V	-3	(800+2)	[0000]	B	6	16
Cruc	A	0302	Nibok	E55477B-6	 	    Ag (NIL)		310	Wild	F5 V	-1	(967+4)	[5663]	BC	10	1512
Cruc	A	0304	Masyaf	X756654-2	 	  Ag Ga Ni 		302	Wild	M3 V	-2	(853-3)	[9461]	BC	7	-360
Cruc	A	0306	Gali	D797000-6	 	    Di 		003	Wild	A8 V	-3	(700+1)	[0000]	B	9	7
Cruc	A	0308	Koniek	X567778-0	 	    Ag Ri (NIL)		300	Wild	K6 V	0	(966+1)	[8771]	BC	8	324
