Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Cruc	A	0101	Aiwo	B685740-6	 	   Ag Ri Ga (NIL)		502	NaHu	A9 V F0 V	2	(969-2)	[2911]	BC	10	-972
1201	Cruc	A	0101	Aiwo	D685721-6	 	   Ag Ri Ga (NIL)	B	602	NaHu	A9 V F0 V	0	(965-3)	[6723]	BC	10	-810
1323	Cruc	A	0101	Aiwo	D685797-0	 	   Ag Ri Ga (NIL)		302	Wild	A9 V F0 V	0	(964-3)	[7751]	BC	10	-648
1508	Cruc	A	0101	Aiwo	D685758-2	 	   Ag Ri Ga (NIL)		402	Wild	A9 V F0 V	0	(967-1)	[7717]	BC	10	-378
1900	Cruc	A	0101	Aiwo	D685787-2	 	   Ag Ri Ga (NIL)		402	Wild	A9 V F0 V	0	(965+1)	[4784]	BC	10	270

1105	Cruc	A	0103	Boe	B897875-A	 	   Pa Pi Ph (NIL)		301	NaHu	G2 V K7 V	2	(B7B+1)	[6A38]	BcDe	12	847
1201	Cruc	A	0103	Boe	X897858-4	 	   Pa Pi Ph (NIL)	B	301	NaHu	G2 V K7 V	-2	(A76-2)	[8653]	BcDe	12	-840
1323	Cruc	A	0103	Boe	X897000-4	 	   Di Pi (NIL)		001	Wild	G2 V K7 V	-3	(A00+1)	[0000]	BD	12	10
1508	Cruc	A	0103	Boe	X897000-4	 	    Di (NIL)		001	Wild	G2 V K7 V	-3	(A00+2)	[0000]	B	12	20
1900	Cruc	A	0103	Boe	X897000-4	 	    Di (NIL)		001	Wild	G2 V K7 V	-3	(A00+1)	[0000]	B	12	10

1105	Cruc	A	0106	Acier	EAC5652-9	 	   Fl Ni 		920	NaHu	F9 V M1 V	-2	(A52-5)	[2415]	B	12	-500
1201	Cruc	A	0106	Acier	XAC5000-9	 	   Di Fl 		020	NaHu	F9 V M1 V	-2	(A00+1)	[0000]	B	12	10
1323	Cruc	A	0106	Acier	XAC5000-9	 	   Di Fl 		020	Wild	F9 V M1 V	-2	(A00-4)	[0000]	B	12	-40
1508	Cruc	A	0106	Acier	XAC5000-9	 	   Di Fl 		020	Wild	F9 V M1 V	-2	(A00+4)	[0000]	B	12	40
1900	Cruc	A	0106	Acier	XAC5000-9	 	   Di Fl 		020	Wild	F9 V M1 V	-2	(A00-1)	[0000]	B	12	-10

1105	Cruc	A	0109	Yaren	C574497-8	 	   Ni Pa 		410	NaHu	K1 V M2 V	-2	(731-2)	[4258]	Bc	7	-42
1201	Cruc	A	0109	Yaren	E574430-7	 	   Ni Pa 		310	NaHu	K1 V M2 V	-3	(632-1)	[2184]	Bc	7	-36
1323	Cruc	A	0109	Yaren	E574000-7	 	    Di 		010	Wild	K1 V M2 V	-3	(600-2)	[0000]	B	7	-12
1508	Cruc	A	0109	Yaren	E574000-7	 	    Di 		010	Wild	K1 V M2 V	-3	(600+5)	[0000]	B	7	30
1900	Cruc	A	0109	Yaren	E574000-7	 	    Di 		010	Wild	K1 V M2 V	-3	(600-4)	[0000]	B	7	-24

1105	Cruc	E	0113	Jammu	B75A348-A	 	   Lo Wa 		900	NaHu	G6 V	1	(521+1)	[345A]	B	8	10
1201	Cruc	E	0113	Jammu	D75A120-7	 	   Lo Wa 		500	NaHu	G6 V	-3	(500-2)	[1182]	B	8	-10
1323	Cruc	E	0113	Jammu	D75A000-7	 	   Di Wa 		000	Wild	G6 V	-3	(500+1)	[0000]	B	8	5
