Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dagu	A	0103	Kashmiir	X9687A8-5	 	   Ag Ri Cp (NIL)	B	313	ImDv	M1 V M2 V	0	(967-2)	[2795]	BCF	10	-756
Dagu	A	0105	Kedaa	X551456-6	 	   Ni Po 	B	302	ImLc	M0 V	-3	(630-1)	[4154]	B	6	-18
Dagu	A	0106	Akimu	X9B6000-9	 	  Di Fl In (ENIL)		003	ImLc	K9 V	-1	(E00+1)	[0000]	BE	8	14
Dagu	A	0108	Zukchurukh	E582877-8	 	   Ph Ri (NIL)	B	815	ImLc	M2 V	-1	(G79+2)	[8779]	BCe	9	2016
Dagu	A	0109	Tscho	E68586E-5	 	  Ga Pa Ri Ph (NIL)		104	ImLc	K2 V M3 V	-1	(974-1)	[8798]	BcCe	12	-252
Dagu	A	0110	Kaza	X542537-4	 	  He Ni Po 		524	ImLc	G4 V	-3	(743+1)	[1241]	B	10	84
Dagu	E	0111	Upag	X310000-F	 	   Di Na In 		014	ImLc	M0 V	0	(H00-1)	[0000]	BE	8	-17
Dagu	E	0113	Teoech	E977444-5	 	   Ni Pa 	B	602	ImDv	M1 V	-3	(730-1)	[2194]	Bc	11	-21
Dagu	E	0115	Chathi	X8C3000-9	 	   Di Fl 		010	ImDv	K4 V	-2	(500+1)	[0000]	B	14	5
Dagu	E	0117	Gwi	X563478-4	 	    Ni 		412	ImDv	M0 V M7 V	-3	(630+3)	[4151]	B	14	54
Dagu	I	0123	Nueva Esperanza	X555311-0	 	    Lo 		623	ImDv	M1 V M8 V	-3	(420-2)	[7132]	B	14	-16
Dagu	I	0126	Coroico	E665279-4	 	   Ga Lo 		214	ImAp	K5 V M7 V	-3	(510-1)	[3153]	B	13	-5
Dagu	I	0129	Ushkhir	X724000-7	 	    Di 		003	ImAp	M0 V	-3	(800+1)	[0000]	B	12	8
Dagu	M	0137	Ekha	E568332-3	 	    Lo 		304	ImDv	K2 V	-3	(520-1)	[3135]	B	17	-10
Dagu	M	0138	Altamachi	X201000-D	 	   Di Ic Va 		012	ImDv	K0 V	-1	(700-3)	[0000]	B	16	-21
Dagu	A	0201	Nuikh	X310000-F	 	    Di 		010	ImDv	K9 V	-1	(500+1)	[0000]	B	12	5
Dagu	A	0202	Osakis	X675775-4	 	    Ag Pi (NIL)	B	603	ImDv	M2 V	-1	(963+4)	[7695]	BCD	7	648
Dagu	A	0208	Mimu	X58396A-4	 	   Hi Pr (NIL)	B	214	ImLc	F8 V	-1	(C81-2)	[C894]	BcE	8	-192
Dagu	A	0210	Rathas	X95A000-B	 	   Di Wa (NIL)		003	ImLc	M2 V M6 V	-1	(D00+4)	[0000]	B	10	52
Dagu	E	0211	Iliika	X436000-D	 	    Di 		024	ImLc	M0 V M7 V	-1	(E00+4)	[0000]	B	11	56
Dagu	E	0212	Khikaeg	X5656BB-3	 	   Ag Ri Ni 		604	ImDv	M1 V	-1	(854-4)	[8532]	BC	11	-640
Dagu	E	0213	Aaki	X434000-D	 	    Di 		023	ImDv	G7 V	-1	(C00+1)	[0000]	B	9	12
Dagu	E	0214	Cablu	X548479-6	 	   Ni Pa 		600	ImDv	K1 V	-3	(731+1)	[5186]	Bc	13	21
Dagu	E	0216	Oewni	X564425-3	 	  Mr Ni Pa 		222	ImDv	K5 V M2 V M5 V	-3	(631+1)	[2165]	Bc	7	18
Dagu	E	0217	Fau	X423000-A	 	   Di Na Pi Po (NIL)		000	ImDv	K5 V M7 V	-1	(900+3)	[0000]	BD	9	27
Dagu	I	0222	Maq'appav	X200000-D	 	   Di Va 		014	ImAp	M2 V	-1	(A00-2)	[0000]	B	9	-20
Dagu	I	0223	Shammud	X546122-2	 	    Lo 		803	ImAp	K5 IV M1 V	-3	(300+1)	[3172]	B	10	3
Dagu	I	0227	Ekhor	X7A8000-9	 	   Di Fl 		003	ImAp	M2 V	-2	(A00-1)	[0000]	B	8	-10
Dagu	I	0228	Kaattji	E545145-6	 	    Lo 		403	ImAp	M2 V	-3	(400+1)	[3145]	B	12	4
Dagu	I	0229	Hu	X8B6000-A	 	   Di Fl 		003	ImAp	M3 V	-1	(900+3)	[0000]	B	11	27
Dagu	I	0230	Dudin	X9CA000-E	 	  Di Fl In (ENIL)		000	ImAp	M2 V	0	(B00-3)	[0000]	BE	8	-33
Dagu	M	0232	Danse	X9B4000-8	 	   Di Fl (ENIL)		002	ImDv	K3 V	-3	(B00+4)	[0000]	B	10	44
Dagu	M	0235	Gaad	E778440-5	 	   Ni Pa 	B	603	ImDv	M0 V M1 V	-3	(730+5)	[6121]	Bc	16	105
Dagu	M	0236	Feym'n	X435000-6	 	    Di (NIL)		024	ImDv	M0 V M3 V	-3	(A00+3)	[0000]	B	10	30
Dagu	M	0240	Bolivar	X78696B-3	 	 Cp Ga Hi Pr (NIL)	B	714	ImDv	K1 V M9 V	-1	(B86+1)	[9831]	BcEF	11	528
Dagu	A	0301	Halimaa	X6B8000-8	 	  An Di Fl 		012	ImDv	F7 V	-3	(A00-2)	[0000]	B	8	-20
Dagu	A	0302	Karrana'ch	D555540-7	S	   Ag Ni 		503	ImDv	M0 V M7 V	-2	(740-1)	[7319]	BC	6	-28
Dagu	A	0307	Manoh	X000000-A	 	  As Va Di Na 		013	ImLc	M7 V	-1	(C00+2)	[0000]	B	10	24
Dagu	E	0311	Unishpiir	X86A56C-2	 	  Ni Pr Wa (NIL)	B	304	ImLc	G1 V M4 V	-3	(B43-3)	[5274]	Bc	9	-396
Dagu	E	0319	Sagikii	X100000-9	 	  Di Na Pi Va 		002	ImDv	K4 V M5 V	-2	(C00+1)	[0000]	BD	13	12
Dagu	E	0320	Adaskaglu	X544876-8	 	   Pa Pi Ph (NIL)		923	ImDv	K9 V M9 V	-2	(F76+2)	[A669]	BcDe	8	1260
Dagu	I	0321	Hoaz	D545424-2	S	  An Re Ni Pa 	B	300	ImDv	M2 V	-3	(630+1)	[1161]	Bc	13	18
Dagu	I	0322	Tsuchi	X310000-B	 	    Di 		015	ImAp	M2 V	-1	(A00+1)	[0000]	B	15	10
Dagu	I	0323	Biik	E557222-7	 	    Lo (NIL)		323	ImDv	K1 V M2 V	-3	(C10-2)	[114C]	B	11	-24
Dagu	I	0324	Khadda	X421000-9	 	  Di He Po 		003	ImDv	K4 V M3 V	-2	(700+1)	[0000]	B	12	7
Dagu	I	0325	Giirakh	D986787-9	 	    Ag Ri (NIL)	B	820	ImDv	G0 V	1	(B65+2)	[5845]	BC	13	660
Dagu	I	0329	Syrna	D966877-8	 	   Pa Ri Ph (NIL)	B	713	ImAp	M2 V	-1	(E75+2)	[A716]	BcCe	14	980
Dagu	M	0331	Kinhe	X79A587-3	 	   Ni Wa 	B	304	ImAp	K2 V	-3	(841+3)	[7224]	B	11	96
Dagu	A	0401	Ges	X868401-3	 	   Ni Pa 	B	403	ImDv	G4 V M9 V	-3	(630-2)	[5162]	Bc	12	-36
Dagu	A	0402	Serpent's Reach	X66976A-4	 	    Ri (NIL)	B	414	ImDv	K1 V M0 V	-1	(965+2)	[4633]	BC	8	540
Dagu	A	0405	Tree'chuakh	X78976E-5	 	    Ri (NIL)	B	810	ImLc	M1 V M3 V	-1	(967+4)	[9646]	BC	12	1512
Dagu	A	0406	Muikha	X000000-E	 	   As Va Di 		022	ImLc	K4 V M0 V	-1	(B00+1)	[0000]	B	11	11
Dagu	A	0407	Kaldi	D947235-4	 	   Lo Mr 	B	713	ImLc	M0 V M2 V	-3	(510-5)	[1173]	B	11	-25
Dagu	A	0408	Tae	E552641-5	 	  Mr Ni Po 		704	ImLc	K0 V M2 V	-3	(850+5)	[2379]	B	17	200
Dagu	E	0412	Amigu	X436000-B	 	    Di 		014	ImDv	K0 V M9 V	-1	(C00+1)	[0000]	B	12	12
Dagu	E	0419	Oeth	X310000-B	 	    Di 		022	ImDv	K0 IV	-1	(900+2)	[0000]	B	9	18
Dagu	E	0420	Cleci	E561567-6	 	   Ni Pr 		214	ImDv	K0 V	-3	(741+1)	[526A]	Bc	15	28
Dagu	I	0421	Mirkan	X422000-A	 	  Di He Po 		021	ImDv	G9 V M2 V	-1	(700+2)	[0000]	B	10	14
Dagu	I	0423	Maudhii	X55066C-3	 	 De Ni Po Sa (NIL)	B	904	ImDv	M3 V	-3	(A51+2)	[5365]	B	9	100
Dagu	I	0425	Sagan	X877232-2	 	    Lo 	B	904	ImDv	K3 V M1 V	-3	(410+1)	[7184]	B	10	4
Dagu	I	0426	Aksa	X8C3000-9	 	   Di Fl 		002	ImDv	K1 V	-2	(800-4)	[0000]	B	15	-32
Dagu	M	0440	Cobija	X775445-4	 	   Ni Pa 		203	ImDv	K3 V	-3	(631-2)	[9164]	Bc	13	-36
Dagu	A	0502	Ushkhuur	EA7A741-6	 	   Oc Pi (NIL)	B	610	ImDv	G2 V M2 V	-2	(967+1)	[75A8]	BD	11	378
Dagu	A	0503	Geka	X311000-A	 	   Di Ic 		004	ImDv	M9 III M0 V	-1	(B00+1)	[0000]	B	10	11
Dagu	A	0504	Gushnemasha	X888730-4	 	   Ag Ri Sa (NIL)	B	513	ImLc	M2 V	0	(967+3)	[A746]	BC	14	1134
Dagu	A	0505	Iiu	X5A6000-A	 	   Di Fl (ENIL)		002	ImLc	M4 V M5 V	-1	(C00+3)	[0000]	B	6	36
Dagu	A	0506	Siakmasfa	X540138-5	 	  De He Lo Po 		404	ImLc	K2 V	-3	(400+2)	[1152]	B	13	8
Dagu	A	0509	Refuge	X578640-5	 	   Ag Ni 		324	ImLc	K1 V	-2	(850+1)	[7424]	BC	9	40
Dagu	E	0513	Gishi	E555674-8	 	   Ag Ni 	B	600	ImDv	M3 V M4 V	-2	(850-4)	[5455]	BC	13	-160
Dagu	E	0514	Tarterus	X000000-E	 	   As Va Di 		001	ImDv	A2 V K3 V	-1	(700+1)	[0000]	B	14	7
Dagu	E	0515	Irphothe	X679886-5	 	   Ph Pi (NIL)		500	ImDv	M0 V	-2	(A78+1)	[7632]	BDe	9	560
Dagu	E	0517	Station One	E668867-6	 	   Pa Ri Ph (NIL)	B	802	ImDv	K5 V	-1	(A7A-2)	[5762]	BcCe	15	-1400
Dagu	E	0518	Dakushan	X200000-A	 	  Di Na In Va 		000	ImDv	K5 V	0	(B00-1)	[0000]	BE	13	-11
Dagu	E	0519	Osha	X625000-D	 	    Di 		004	ImDv	M2 V	-1	(A00-2)	[0000]	B	10	-20
Dagu	E	0520	Sloethu	X69A599-4	 	  Ni Sa Wa 	B	413	ImDv	M2 V	-3	(741+1)	[3256]	B	13	28
Dagu	I	0521	Ashes	X54057B-3	 	  De He Ni Po 		503	ImDv	M2 V	-3	(742+1)	[52A3]	B	11	56
Dagu	I	0523	Bhuur	E899126-5	 	   An Lo 	B	302	ImDv	M2 V	-3	(500+1)	[1138]	B	9	5
Dagu	I	0524	Ghaedzaekh	X315000-B	 	   Di Ic 		014	ImDv	M3 V	-1	(A00-1)	[0000]	B	11	-10
Dagu	I	0526	Bh'ai	X86A122-4	 	   Lo Wa 	B	204	ImDv	M3 V M7 V	-3	(500+4)	[4198]	B	11	20
Dagu	I	0528	Nidavellir	E683145-5	 	   Lo Re 		920	ImAp	M0 V	-3	(300+1)	[1176]	B	8	3
Dagu	I	0530	T'azhqava	X430000-9	 	  De Di Po 		002	ImAp	G6 V	-2	(600-2)	[0000]	B	10	-12
Dagu	M	0531	Eddum	X797000-5	 	   Cp Re Di (NIL)		002	ImAp	M0 V M2 V	-3	(B00-1)	[0000]	BF	9	-11
Dagu	M	0535	Khaguu	X310000-9	 	    Di 		012	ImDv	K4 V	-2	(A00+2)	[0000]	B	15	20
Dagu	M	0539	Tarija	X200000-C	 	   Di Va 		010	ImDv	M1 III	-1	(800-5)	[0000]	B	13	-40
Dagu	M	0540	Shanim	X000000-C	 	 As Va Cy Di Mr Na 		003	ImDv	G1 V	-1	(B00-2)	[0000]	B	7	-22
Dagu	A	0601	Ninaan	X544575-5	 	   Ag Ni 		235	ImDv	M1 V M2 V	-2	(740+1)	[3333]	BC	12	28
Dagu	A	0604	Seminary	X422000-B	 	  Di He Po 		000	ImLc	M1 V	-1	(600-2)	[0000]	B	11	-12
Dagu	A	0610	Zishku	X7A5000-9	 	   Di Fl (ENIL)		024	ImDv	K0 V	-2	(F00+2)	[0000]	B	9	30
Dagu	E	0613	Niirkhi	D657775-8	 	   Ag Ga (NIL)		305	ImDv	G1 V M2 V	-1	(E66-1)	[2665]	BC	9	-504
Dagu	E	0614	Gladsheim	X9D5000-D	 	    Di 		000	ImDv	K9 V	-1	(300-1)	[0000]	B	9	-3
Dagu	E	0615	Gaae	E540453-6	 	  De He Ni Po 		600	ImDv	K4 V M1 V	-3	(730+1)	[3126]	B	13	21
Dagu	E	0619	Kaelm'katwi	X553497-5	 	   Ni Po 		525	ImDv	G1 V	-3	(732+1)	[8127]	B	10	42
Dagu	E	0620	Glachith	X6A4000-9	 	   Di Fl (ENIL)		003	ImDv	M3 V M3 V	-2	(D00+2)	[0000]	B	10	26
Dagu	I	0621	Rias'qanaa	X420000-9	 	  De He Di Po 		004	ImDv	K2 IV	-2	(A00+2)	[0000]	B	12	20
Dagu	I	0622	Mai	X530000-7	 	  De Di Na Po 		022	ImDv	M2 V M2 V	-3	(800-1)	[0000]	B	7	-8
Dagu	I	0625	Keshga	D666450-4	 	  Ga Ni Pa 	B	424	ImDv	G4 V	-3	(631+1)	[5198]	Bc	9	18
Dagu	I	0628	Iur	X796474-3	 	   Ni Pa 	B	302	ImAp	M3 V	-3	(630-1)	[5123]	Bc	8	-18
Dagu	M	0631	Shumuu	X300000-A	 	   Di Va 		002	ImAp	M5 V	-1	(500+1)	[0000]	B	15	5
Dagu	M	0633	Anshaar	X637000-A	 	    Di 		024	ImAp	G7 V	-1	(B00-2)	[0000]	B	13	-22
Dagu	M	0635	Khika	X500000-C	 	   Di Va 		002	ImDv	M1 V M3 V	-1	(700-3)	[0000]	B	13	-21
Dagu	M	0636	Gya	E546200-7	 	    Lo 		712	ImDv	G0 V	-3	(310-3)	[4166]	B	10	-9
Dagu	M	0638	Lamdas	D541147-6	 	  He Lo Po 		804	ImDv	K7 V M7 V	-3	(500-1)	[1184]	B	12	-5
Dagu	M	0639	Ascension	X420000-E	 	  De He Di Na Po 		010	ImDv	M2 V	-1	(900+4)	[0000]	B	13	36
Dagu	A	0705	Zuiar	D550577-7	 	 De Mr Ni Po (NIL)	B	223	ImLc	K0 V	-3	(B40+1)	[4226]	B	8	44
Dagu	A	0707	Khumara	X561572-3	 	   Ni Pr 		500	ImLc	M1 V M2 V	-3	(740+1)	[2245]	Bc	12	28
Dagu	A	0708	Ssi	X758869-2	 	  Mr Pa Ph (NIL)	B	703	ImLc	K6 V M9 V	-2	(A76+1)	[6641]	Bce	6	420
Dagu	A	0709	Irshe	X94A301-2	 	   Lo Wa 		813	ImLc	M2 V M6 V	-3	(320+1)	[4155]	B	13	6
Dagu	E	0711	Kima	X522000-9	 	  Di He Na Pi Po (NIL)		003	ImDv	M3 V M5 V	-2	(D00+1)	[0000]	BD	11	13
Dagu	E	0714	Diishalum	X420000-E	 	 Cp De He Di Na In Po (NIL)		013	ImDv	M3 V	0	(F00-1)	[0000]	BEF	8	-15
Dagu	E	0716	Hourara	X578311-5	 	    Lo 	B	403	ImDv	M0 V M1 V M8 V	-3	(520+2)	[4148]	B	8	20
Dagu	E	0718	Ekli	E54376A-6	 	   An Pi Po (NIL)		920	ImDv	M1 V M5 V	-2	(965-3)	[55A6]	BD	10	-810
Dagu	E	0719	Ziamr	X310000-A	 	   Di Na Pi 		000	ImDv	K2 V	-1	(A00+1)	[0000]	BD	11	10
Dagu	I	0721	Zeda	X873976-7	 	  Cp Mr Hi In (NIL)	B	524	ImDv	K4 V	0	(B8B+1)	[993C]	BEF	14	968
Dagu	I	0723	A'niaqoro	X9AA000-C	 	   Di Fl 		004	ImDv	K4 V M2 V	-1	(900+3)	[0000]	B	8	27
Dagu	I	0724	Guan	X510000-7	 	    Di 		001	ImDv	M0 V	-3	(600+1)	[0000]	B	9	6
Dagu	I	0725	Sumuu	X300000-B	 	   Di Va 		013	ImDv	K2 V	-1	(B00+1)	[0000]	B	11	11
Dagu	I	0729	Shogun	X89A56A-9	 	   Ni Wa 		411	ImAp	M1 V	-2	(940+2)	[831A]	B	8	72
Dagu	M	0733	Mindahm	X436000-9	 	   Di Sa (NIL)		004	ImDv	M1 V M6 V	-2	(D00-5)	[0000]	B	12	-65
Dagu	M	0734	Apolo	X9AA000-D	 	   Di Fl (ENIL)		020	ImDv	M0 V	-1	(C00-2)	[0000]	B	8	-24
