Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Dagu	A	0103	Kashmiir	A9687BB-C	N 	Ag Ri 	A	313	ImDv	M1 V M2 V	{ 4 }	(D6E+5)	[9B7E]	BCf	10	5460
1201	Dagu	A	0103	Kashmiir	X968765-5	 	Ag Ri 	B	313	ImDv	M1 V M2 V	{ 0 }	(968+1)	[27A7]	BC	10	432
1281	Dagu	A	0103	Kashmiir	X968789-0	 	Ag Ri 		113	Wild	M1 V M2 V	{ 0 }	(96B+1)	[6751]	BC	10	594
1508	Dagu	A	0103	Kashmiir	X968620-1	 	Ag Ri Ni 		913	Wild	M1 V M2 V	{ -1 }	(955+3)	[3591]	BC	10	675
1900	Dagu	A	0103	Kashmiir	A968334-D	 	Lo 		813	Wild	M1 V M2 V	{ 1 }	(D21-5)	[245G]	B	10	-130

1105	Dagu	A	0105	Kedaa	B551410-A	S	Ni Po 		402	ImLc	M0 V	{ 1 }	(834-3)	[1515]	B	6	-288
1201	Dagu	A	0105	Kedaa	D551423-6	 	Ni Po 		302	ImLc	M0 V	{ -3 }	(630+2)	[1183]	B	6	36
1281	Dagu	A	0105	Kedaa	D551000-6	 	Di Po 		002	Wild	M0 V	{ -3 }	(600+3)	[0000]	B	6	18
1508	Dagu	A	0105	Kedaa	D551000-6	 	Di Po 		002	Wild	M0 V	{ -3 }	(600-2)	[0000]	B	6	-12
1900	Dagu	A	0105	Kedaa	D551000-6	 	Di Po 		002	Wild	M0 V	{ -3 }	(600-1)	[0000]	B	6	-6

1105	Dagu	A	0106	Akimu	C9B69CC-9	S	Fl Hi In S'mr8 Kiak1 	A	303	ImLc	K9 V	{ 2 }	(E8C+5)	[CB8C]	BE	8	6720
1201	Dagu	A	0106	Akimu	X9B6000-9	 	Di Fl In S'mr8 Kiak1 		003	ImLc	K9 V	{ -1 }	(E00+2)	[0000]	BE	8	28
1281	Dagu	A	0106	Akimu	X9B6000-9	 	Di Fl In S'mr8 Kiak1 		003	Wild	K9 V	{ -1 }	(E00-1)	[0000]	BE	8	-14
1508	Dagu	A	0106	Akimu	X9B6000-9	 	Di Fl S'mr8 Kiak1 		003	Wild	K9 V	{ -2 }	(E00+1)	[0000]	B	8	14
1900	Dagu	A	0106	Akimu	B9B6510-A	 	Fl Ni S'mr8 Kiak1 		503	Wild	K9 V	{ 1 }	(E42+1)	[662A]	B	8	112

1105	Dagu	A	0108	Zukchurukh	C582867-8	 	Ph Ri S'mr8 Kiak1 		715	ImLc	M2 V	{ 0 }	(G78+1)	[8858]	BCe	9	896
1201	Dagu	A	0108	Zukchurukh	E58288A-8	 	Ph Ri S'mr8 Kiak1 		815	ImLc	M2 V	{ -1 }	(G79-3)	[5726]	BCe	9	-3024
1281	Dagu	A	0108	Zukchurukh	E582875-4	 	Ph Ri S'mr8 Kiak1 		415	Wild	M2 V	{ -1 }	(A76-2)	[8796]	BCe	9	-840
1508	Dagu	A	0108	Zukchurukh	E582877-5	 	Ph Ri S'mr8 Kiak1 		515	Wild	M2 V	{ -1 }	(A74-2)	[4737]	BCe	9	-560
1900	Dagu	A	0108	Zukchurukh	C5827C7-8	 	Ri S'mr8 Kiak1 		915	Wild	M2 V	{ 0 }	(G62-3)	[777A]	BC	9	-576

1105	Dagu	A	0109	Tscho	C685767-8	 	Ag Ri Ga S'mrW 		904	ImLc	K2 V M3 V	{ 1 }	(D69+1)	[7858]	BC	12	702
1201	Dagu	A	0109	Tscho	E685844-8	 	Ga Pa Ri Ph S'mrW 		104	ImLc	K2 V M3 V	{ -1 }	(D75-1)	[9786]	BcCe	12	-455
1281	Dagu	A	0109	Tscho	E685779-4	 	Ag Ri Ga S'mrW 		504	Wild	K2 V M3 V	{ 0 }	(96C-5)	[5791]	BC	12	-3240
1508	Dagu	A	0109	Tscho	E685789-5	 	Ag Ri Ga S'mrW 		404	Wild	K2 V M3 V	{ 0 }	(968-2)	[5765]	BC	12	-864
1900	Dagu	A	0109	Tscho	C685276-9	 	Ga Lo S'mrW 		504	Wild	K2 V M3 V	{ -1 }	(D10-4)	[1199]	B	12	-52

1105	Dagu	A	0110	Kaza	C542510-9	 	He Ni Po 		924	ImLc	G4 V	{ -1 }	(D43-5)	[1414]	B	10	-780
1201	Dagu	A	0110	Kaza	X54256D-3	 	He Ni Po 		524	ImLc	G4 V	{ -3 }	(741-1)	[1216]	B	10	-28
1281	Dagu	A	0110	Kaza	X542000-3	 	Di He Po 		024	Wild	G4 V	{ -3 }	(700-5)	[0000]	B	10	-35
1508	Dagu	A	0110	Kaza	X542000-3	 	Di He Po 		024	Wild	G4 V	{ -3 }	(700+2)	[0000]	B	10	14
1900	Dagu	A	0110	Kaza	X542000-3	 	Di He Po 		024	Wild	G4 V	{ -3 }	(700+1)	[0000]	B	10	7

1105	Dagu	E	0111	Upag	A310A76-F	 	Hi LancW Na In 		914	ImLc	M0 V	{ 4 }	(H9G+3)	[9E4E]	BEf	8	7344
1201	Dagu	E	0111	Upag	X310000-F	 	Di LancW Na In 		014	ImLc	M0 V	{ 0 }	(H00+3)	[0000]	BE	8	51
1281	Dagu	E	0111	Upag	X310000-F	 	Di LancW Na In 		014	Wild	M0 V	{ 0 }	(H00-3)	[0000]	BE	8	-51
1508	Dagu	E	0111	Upag	X310000-F	 	Di LancW 		014	Wild	M0 V	{ -1 }	(H00-3)	[0000]	B	8	-51
1900	Dagu	E	0111	Upag	B310A7B-D	 	Hi LancW Na In 		314	Wild	M0 V	{ 4 }	(H9B-3)	[9E8E]	BEf	8	-5049

1105	Dagu	E	0113	Teoech	C977559-7	S	Ag Ni 		102	ImDv	M1 V	{ -1 }	(743+1)	[6468]	BC	11	84
1201	Dagu	E	0113	Teoech	E977474-6	 	Ni Pa 		602	ImDv	M1 V	{ -3 }	(732-3)	[5167]	Bc	11	-126
1281	Dagu	E	0113	Teoech	E977000-6	 	Di 		002	Wild	M1 V	{ -3 }	(700+1)	[0000]	B	11	7
1508	Dagu	E	0113	Teoech	E977000-6	 	Di 		002	Wild	M1 V	{ -3 }	(700+1)	[0000]	B	11	7
1900	Dagu	E	0113	Teoech	C977200-7	 	Lo 		902	Wild	M1 V	{ -2 }	(710-3)	[1177]	B	11	-21

1105	Dagu	E	0115	Chathi	E8C3215-9	 	Fl Lo 		710	ImDv	K4 V	{ -2 }	(510-4)	[1137]	B	14	-20
1201	Dagu	E	0115	Chathi	X8C3000-9	 	Di Fl 		010	ImDv	K4 V	{ -2 }	(500-3)	[0000]	B	14	-15
1281	Dagu	E	0115	Chathi	X8C3000-9	 	Di Fl 		010	Wild	K4 V	{ -2 }	(500+1)	[0000]	B	14	5
1508	Dagu	E	0115	Chathi	X8C3000-9	 	Di Fl 		010	Wild	K4 V	{ -2 }	(500+1)	[0000]	B	14	5
1900	Dagu	E	0115	Chathi	X8C3000-9	 	Di Fl 		010	Wild	K4 V	{ -2 }	(500-4)	[0000]	B	14	-20

1105	Dagu	E	0117	Gwi	D563430-7	S	Ni 		612	ImDv	M0 V M7 V	{ -3 }	(631-5)	[1112]	B	14	-90
1201	Dagu	E	0117	Gwi	X563437-6	 	Ni 		412	ImDv	M0 V M7 V	{ -3 }	(630+1)	[3196]	B	14	18
1281	Dagu	E	0117	Gwi	X563443-1	 	Ni 		212	Wild	M0 V M7 V	{ -3 }	(631-1)	[5163]	B	14	-18
1508	Dagu	E	0117	Gwi	X563474-2	 	Ni 		112	Wild	M0 V M7 V	{ -3 }	(630-1)	[3161]	B	14	-18
1900	Dagu	E	0117	Gwi	X563352-4	 	Lo 		912	Wild	M0 V M7 V	{ -3 }	(620-2)	[5125]	B	14	-24

1105	Dagu	I	0123	Nueva Esperanza	A555200-E	 	Lo 		123	ImDv	M1 V M8 V	{ 1 }	(911-3)	[1319]	B	14	-27
1201	Dagu	I	0123	Nueva Esperanza	X555100-4	 	Lo 		223	ImDv	M1 V M8 V	{ -3 }	(400+1)	[1195]	B	14	4
1281	Dagu	I	0123	Nueva Esperanza	X555000-4	 	Di 		023	Wild	M1 V M8 V	{ -3 }	(400+1)	[0000]	B	14	4
1508	Dagu	I	0123	Nueva Esperanza	X555000-4	 	Di 		023	Wild	M1 V M8 V	{ -3 }	(400-2)	[0000]	B	14	-8
1900	Dagu	I	0123	Nueva Esperanza	X555000-4	 	Di 		023	Wild	M1 V M8 V	{ -3 }	(400+4)	[0000]	B	14	16

1105	Dagu	I	0126	Coroico	C665357-8	 	Ga Lo 		514	ImAp	K5 V M7 V	{ -2 }	(A20-2)	[3158]	B	13	-40
1201	Dagu	I	0126	Coroico	E665200-7	 	Ga Lo 		914	ImAp	K5 V M7 V	{ -3 }	(510+2)	[2179]	B	13	10
1281	Dagu	I	0126	Coroico	E665000-7	 	Di Ga 		014	Wild	K5 V M7 V	{ -3 }	(500+1)	[0000]	B	13	5
1508	Dagu	I	0126	Coroico	E665000-7	 	Di Ga 		014	Wild	K5 V M7 V	{ -3 }	(500-2)	[0000]	B	13	-10
1900	Dagu	I	0126	Coroico	D665686-4	 	Ag Ri Ga Ni 		414	Wild	K5 V M7 V	{ -1 }	(554+1)	[3546]	BC	13	100

1105	Dagu	I	0129	Ushkhir	C724664-7	 	Ni 		303	ImAp	M0 V	{ -2 }	(852-4)	[4435]	B	12	-320
1201	Dagu	I	0129	Ushkhir	X724000-7	 	Di 		003	ImAp	M0 V	{ -3 }	(800-1)	[0000]	B	12	-8
1281	Dagu	I	0129	Ushkhir	X724000-7	 	Di 		003	Wild	M0 V	{ -3 }	(800+3)	[0000]	B	12	24
1508	Dagu	I	0129	Ushkhir	X724000-7	 	Di 		003	Wild	M0 V	{ -3 }	(800-1)	[0000]	B	12	-8
1900	Dagu	I	0129	Ushkhir	X724000-7	 	Di 		003	Wild	M0 V	{ -3 }	(800-2)	[0000]	B	12	-16

1105	Dagu	M	0137	Ekha	C568310-7	 	Lo 	A	904	ImDv	K2 V	{ -2 }	(520-5)	[1112]	B	17	-50
1201	Dagu	M	0137	Ekha	E568341-6	 	Lo 		704	ImDv	K2 V	{ -3 }	(520+4)	[11A6]	B	17	40
1281	Dagu	M	0137	Ekha	E568000-6	 	Di 		004	Wild	K2 V	{ -3 }	(500+2)	[0000]	B	17	10
1508	Dagu	M	0137	Ekha	E568000-6	 	Di 		004	Wild	K2 V	{ -3 }	(500+4)	[0000]	B	17	20
1900	Dagu	M	0137	Ekha	E568000-6	 	Di 		004	Wild	K2 V	{ -3 }	(500+2)	[0000]	B	17	10

1105	Dagu	M	0138	Altamachi	B201240-D	 	Ic Va Lo 		112	ImDv	K0 V	{ 1 }	(711-3)	[1318]	B	16	-21
1201	Dagu	M	0138	Altamachi	X201000-D	 	Di Ic Va 		012	ImDv	K0 V	{ -1 }	(700+1)	[0000]	B	16	7
1281	Dagu	M	0138	Altamachi	X201000-D	 	Di Ic Va 		012	Wild	K0 V	{ -1 }	(700+4)	[0000]	B	16	28
1508	Dagu	M	0138	Altamachi	X201000-D	 	Di Ic Va 		012	Wild	K0 V	{ -1 }	(700+1)	[0000]	B	16	7
