Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Daib	E	0112	Korik	X200000-E	 	     Di Va 		003	Wild	M0 V	-1	(900+3)	[0000]	B	11	27
Daib	E	0114	Woomera	X583897-1	 	     Pz  Ph Ri (NIL)		900	Wild	K3 V	-1	(B77+1)	[8782]	BCe	10	539
Daib	E	0120	Illyana	X100000-E	 	     Di Va 		003	Wild	M2 V	-1	(900+3)	[0000]	B	13	27
Daib	I	0122	Zypher	X78A000-5	 	      Di Wa 		002	Wild	K3 V	-3	(800+1)	[0000]	B	8	8
Daib	I	0123	Luna	X100000-F	 	     Di Va 		004	Wild	M2 V	-1	(A00+3)	[0000]	B	8	30
Daib	I	0124	Ostia	X888000-7	 	     Di 		014	Wild	K6 V	-3	(300-2)	[0000]	B	8	-6
Daib	I	0126	Ashima	X749778-2	 	      Pi (NIL)		201	Wild	M1 V M7 V	-2	(B69+1)	[65A4]	BD	14	594
Daib	I	0127	Sineli	X526000-E	 	     Di 		003	Wild	K0 V	-1	(900+3)	[0000]	B	7	27
Daib	M	0131	Townend	X410000-B	 	    O:Reav-3232  Di 		013	Wild	K2 V M3 V	-1	(A00+1)	[0000]	B	8	10
Daib	M	0133	Cynowa	X310000-B	 	     Di 		013	Wild	M2 V M3 V	-1	(B00+4)	[0000]	B	11	44
Daib	M	0138	Elk	X100000-C	 	     Di Va 		014	Wild	M0 V M0 V	-1	(B00-2)	[0000]	B	13	-22
Daib	M	0139	Uston	X100000-E	 	       Di Va 		002	Wild	F4 V	-1	(E00+2)	[0000]	B	13	28
Daib	M	0140	Aston	X000000-E	 	      Da  As Va Di 		005	Wild	M0 V	-1	(C00+1)	[0000]	B	18	12
Daib	A	0210	Grumith	X8D5000-8	 	    Da  Di 		023	Wild	M2 V	-3	(A00+1)	[0000]	B	11	10
Daib	E	0220	Shinnar	X100000-F	 	     Di Va 		004	Wild	K0 IV M3 V	-1	(A00-4)	[0000]	B	11	-40
Daib	I	0223	Locri	X98A573-4	 	     Ni Pr Wa 		124	Wild	M1 V M1 V	-3	(743+2)	[4231]	Bc	9	168
Daib	I	0228	Iulii	X855000-6	 	     Di Ga 		010	Wild	M0 V M1 V	-3	(500-1)	[0000]	B	9	-5
Daib	M	0236	Diana's World	X566000-2	 	       Di 		003	Wild	K0 V	-3	(700-3)	[0000]	B	11	-21
Daib	M	0237	Odin	X310000-E	 	     Di 		034	Wild	G0 V M1 V	-1	(E00-3)	[0000]	B	18	-42
Daib	M	0240	Magyar	X424000-A	 	     Di (NIL)		003	Wild	M0 V	-1	(C00+1)	[0000]	B	10	12
Daib	E	0316	Nyola	X766000-3	 	    O:0114  Di Ga 		024	Wild	F4 V M7 V	-3	(400+1)	[0000]	B	10	4
Daib	E	0317	L'kus	X967533-2	 	      Ag Pr Ni 		102	Wild	M0 V M6 V	-2	(742+2)	[6311]	BcC	11	112
