Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Daib	E	0112	Korik	B200456-E	N 	     Ni Va 		303	ImDi	M0 V	1	(934+1)	[354D]	B	11	108
1201	Daib	E	0112	Korik	X200000-E	 	     Di Va 		003	ImDi	M0 V	-1	(900-2)	[0000]	B	11	-18
1364	Daib	E	0112	Korik	X200000-E	 	     Di Va 		003	Wild	M0 V	-1	(900-1)	[0000]	B	11	-9
1508	Daib	E	0112	Korik	X200000-E	 	     Di Va 		003	Wild	M0 V	-1	(900+3)	[0000]	B	11	27
1900	Daib	E	0112	Korik	X200000-E	 	     Di Va 		003	Wild	M0 V	-1	(900-3)	[0000]	B	11	-27

1105	Daib	E	0114	Woomera	A5839CC-E	 	     Pz  Hi Pr (NIL)	A	600	ImDi	K3 V	3	(B8F+5)	[CC8H]	BcE	10	6600
1201	Daib	E	0114	Woomera	X58396C-0	 	     Pz  Hi Pr (NIL)	B	300	ImDi	K3 V	-1	(B88-2)	[8831]	BcE	10	-1408
1364	Daib	E	0114	Woomera	X58398B-2	 	     Pz  Hi Pr (NIL)		100	Wild	K3 V	-1	(B82+1)	[9871]	BcE	10	176
1508	Daib	E	0114	Woomera	X583897-1	 	     Pz  Ph Ri (NIL)		900	Wild	K3 V	-1	(B77+1)	[8782]	BCe	10	539
1900	Daib	E	0114	Woomera	X5838CH-2	 	     Pz  Ph Ri (NIL)		800	Wild	K3 V	-1	(B79+1)	[8726]	BCe	10	693

1105	Daib	E	0120	Illyana	B100413-E	 	     Ni Va 		303	ImDi	M2 V	1	(934-2)	[152B]	B	13	-216
1201	Daib	E	0120	Illyana	X100000-E	 	     Di Va 		003	ImDi	M2 V	-1	(900+1)	[0000]	B	13	9
1364	Daib	E	0120	Illyana	X100000-E	 	     Di Va 		003	Wild	M2 V	-1	(900+1)	[0000]	B	13	9
1508	Daib	E	0120	Illyana	X100000-E	 	     Di Va 		003	Wild	M2 V	-1	(900+3)	[0000]	B	13	27
1900	Daib	E	0120	Illyana	X100000-E	 	     Di Va 		003	Wild	M2 V	-1	(900+1)	[0000]	B	13	9

