Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dark	A	0106	Uiwe	X100000-A	 	    Tz  Di Va 		023	AsMw	M2 V	-1	(A00+3)	[0000]	B	17	30
Dark	A	0107	Oukheayekh	X100000-8	 	    Co  Di Na Va 		000	AsVc	K0 V	-3	(800-4)	[0000]	B	9	-32
Dark	A	0109	Oifalrouw	X646174-3	 	    Co Tu  Lo 		212	AsMw	G6 V	-3	(400-3)	[1153]	B	9	-12
Dark	E	0112	Htealyahwa	B5857B9-7	 	      Ag Ri (NIL)		104	AsVc	M1 V	2	(969-2)	[8915]	BC	14	-972
Dark	E	0114	Ouleawos	E556100-7	 	    Co Tz  Lo 		902	AsVc	M2 V M2 V	-3	(500+5)	[1156]	B	10	25
Dark	E	0115	Tyakhyo	X100000-A	 	    Tz  Di Va 		000	AsVc	M1 V	-1	(500+2)	[0000]	B	10	10
Dark	E	0116	Ftaikhao	X79A274-3	 	     Lo Wa 		114	AsMw	G1 V	-3	(510-4)	[2165]	B	10	-20
Dark	E	0117	Hteoe	E59477C-8	 	      Ag Pi (NIL)	B	703	AsSc	K2 V	-1	(C6A+1)	[568A]	BCD	12	720
Dark	E	0120	Waeorsya	X100000-7	 	    Fo Lk  Di Va 		002	AsSc	G6 V M5 V	-3	(400-1)	[0000]	B	9	-4
Dark	I	0128	Eiyea	X8B3000-9	 	    Di Fl Px 		014	AsTv	G3 V	-2	(D00+1)	[0000]	B	13	13
Dark	I	0130	Kteatau	X998300-6	 	    Fo  Lo 		803	AsTv	K1 V	-3	(320+1)	[6178]	B	14	6
Dark	M	0135	Aoaou	X9B6000-9	 	     Di Fl 		023	AsMw	K0 V M8 V	-2	(C00+1)	[0000]	B	18	12
Dark	M	0136	Iykye	X6B6000-9	 	    Co  Di Fl 		005	AsT7	F1 V	-2	(D00+1)	[0000]	B	10	13
Dark	M	0140	Hkiho	X553321-3	 	    O:Iwah-3239 Lk  Lo Po 		313	AsT2	F9 V M3 V	-3	(420-2)	[2135]	B	10	-16
Dark	A	0201	Yeasea	X584236-5	 	    O:Iwah-3202 Tz  Lo 		902	AsSc	M1 V M7 V	-3	(510-1)	[3145]	B	7	-5
Dark	A	0206	Eahaeah	X523000-7	 	    Fo Tz  Di Px Po 		014	AsT7	M1 V M2 V	-3	(600+1)	[0000]	B	14	6
Dark	A	0207	Aohoikiy	X400000-D	 	    O:0307 Lk  Di Va 		024	AsSc	M3 V	-1	(900-1)	[0000]	B	16	-9
Dark	A	0210	Uileawi	E66AAA8-8	 	      Hi Wa (NIL)		101	AsVc	K4 V	-1	(B98+1)	[997C]	BE	5	792
Dark	E	0214	Ktiyrhaniy	X648412-2	 	    Tz  Ni Pa 	B	513	AsMw	M1 V	-3	(630-1)	[7184]	Bc	7	-18
Dark	E	0220	Au'aiyyee	X100000-D	 	     Co Sa  Di Na In Va 		023	AsSc	K2 V M4 V	0	(G00-3)	[0000]	BE	12	-48
Dark	I	0222	Syerakhir	D77487A-9	 	      Pa Pi Ph (NIL)		325	AsSc	K2 V M9 V	-1	(H76-4)	[B75E]	BcDe	14	-2856
Dark	I	0223	Fuarl	X300000-7	 	     Di Va 		033	AsVc	K4 V	-3	(500+1)	[0000]	B	16	5
Dark	I	0224	Uiaio	X77747A-2	 	     Ni Pa 	B	213	AsT7	K6 V M6 V	-3	(633-3)	[2111]	Bc	16	-162
Dark	I	0226	Yehta	X100000-A	 	     Lk  Di Na Pi Va 		004	AsSc	M1 V M2 V	-1	(E00+4)	[0000]	BD	12	56
Dark	I	0227	Seilrye	X100000-8	 	    Tz  Di Va 		003	AsMw	M0 V	-3	(900+2)	[0000]	B	15	18
Dark	M	0233	Aoliyyaea	X654876-6	 	    Pa Ph (NIL)		101	AsVc	G2 V	-2	(973+1)	[8628]	Bce	11	189
Dark	M	0239	Khtyu	X310000-B	 	    Lk  Di Na 		004	AsT5	M3 V M9 V	-1	(C00+3)	[0000]	B	12	36
Dark	A	0301	Hfautekaoao	E563113-6	 	    O:Iwah-3202  Lo 		603	AsSc	K4 V	-3	(400-5)	[1137]	B	10	-20
Dark	A	0305	Aiaokheh	X434000-9	 	     Di 		002	AsTv	K3 V	-2	(800+1)	[0000]	B	6	8
Dark	A	0307	Earle	X532000-9	 	     Huma4 Ho  Di Na Po (NIL)		013	AsSc	G0 V M8 V	-2	(G00-4)	[0000]	B	12	-64
Dark	E	0311	Ayeiyfua	X100000-8	 	    Ho Lk  Di Na Va 		003	AsWc	G0 V M6 V	-3	(B00+1)	[0000]	B	13	11
Dark	E	0314	Kikeasa	X400000-7	 	    Tz  Di Va 		011	AsT4	M1 V	-3	(300-2)	[0000]	B	10	-6
Dark	E	0315	Etlaorla	XDC5000-A	 	     Di Fl 		002	AsVc	K4 V M9 V	-1	(500+1)	[0000]	B	12	5
Dark	E	0316	Oyuyes	X799205-6	 	    Tz  Lo 		700	AsTv	M2 V M2 V	-3	(510-4)	[1166]	B	6	-20
Dark	E	0317	Huuira'alr	X410000-C	 	    Tz  Di 		002	AsSc	M1 V M3 V	-1	(800+1)	[0000]	B	7	8
Dark	E	0319	Hfayulealr	E55678A-6	 	     Ag (NIL)		335	AsTv	F5 V	-1	(966-1)	[B653]	BC	13	-324
Dark	I	0321	Iyyoiy	X6A3000-B	 	   Fr  Di Fl Px 		003	AsSc	M2 V	-1	(900+1)	[0000]	B	13	9
