Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Dark	A	0106	Uiwe	D100389-A	 	   Lo Va 		523	AsMw	M2 V	-1	(A20+1)	[426B]	B	17	20
1201	Dark	A	0106	Uiwe	X100000-A	 	   Di Va 		023	AsMw	M2 V	-1	(A00-2)	[0000]	B	17	-20
1406	Dark	A	0106	Uiwe	X100000-A	 	   Di Va 		023	Wild	M2 V	-1	(A00+1)	[0000]	B	17	10
1508	Dark	A	0106	Uiwe	X100000-A	 	   Di Va 		023	Wild	M2 V	-1	(A00-1)	[0000]	B	17	-10
1900	Dark	A	0106	Uiwe	X100000-A	 	   Di Va 		023	Wild	M2 V	-1	(A00-3)	[0000]	B	17	-30

1105	Dark	A	0107	Oukheayekh	C10068A-8	 	  Na Ni Va 		200	AsVc	K0 V	-2	(852+1)	[847A]	B	9	80
1201	Dark	A	0107	Oukheayekh	X100000-8	 	  Di Na Va 		000	AsVc	K0 V	-3	(800-4)	[0000]	B	9	-32
1406	Dark	A	0107	Oukheayekh	X100000-8	 	  Di Na Va 		000	Wild	K0 V	-3	(800+4)	[0000]	B	9	32
1508	Dark	A	0107	Oukheayekh	X100000-8	 	   Di Va 		000	Wild	K0 V	-3	(800-3)	[0000]	B	9	-24
1900	Dark	A	0107	Oukheayekh	X100000-8	 	   Di Va 		000	Wild	K0 V	-3	(800-4)	[0000]	B	9	-32

1105	Dark	A	0109	Oifalrouw	A646215-9	 	    Lo 		512	AsMw	G6 V	0	(710-2)	[1237]	B	9	-14
1201	Dark	A	0109	Oifalrouw	C646200-7	 	    Lo 		312	AsMw	G6 V	-2	(410+4)	[1175]	B	9	16
1406	Dark	A	0109	Oifalrouw	D646000-7	 	    Di 		012	Wild	G6 V	-3	(400+1)	[0000]	B	9	4
1508	Dark	A	0109	Oifalrouw	D646000-7	 	    Di 		012	Wild	G6 V	-3	(400+1)	[0000]	B	9	4
1900	Dark	A	0109	Oifalrouw	D646000-7	 	    Di 		012	Wild	G6 V	-3	(400-3)	[0000]	B	9	-12

1105	Dark	E	0112	Htealyahwa	A585745-C	 	    Ag Ri (NIL)		104	AsVc	M1 V	4	(D6E+2)	[5B3A]	BCf	14	2184
1201	Dark	E	0112	Htealyahwa	X585789-9	 	    Ag Ri (NIL)		204	AsVc	M1 V	1	(D68-1)	[B86D]	BC	14	-624
1406	Dark	E	0112	Htealyahwa	X5857AD-0	 	    Ag Ri (NIL)		104	Wild	M1 V	0	(965+3)	[C781]	BC	14	810
1508	Dark	E	0112	Htealyahwa	X585644-1	 	   Ag Ri Ni (NIL)		904	Wild	M1 V	-1	(951-1)	[65A4]	BC	14	-45
1900	Dark	E	0112	Htealyahwa	X585689-2	 	   Ag Ri Ni (NIL)		804	Wild	M1 V	-1	(953+1)	[5561]	BC	14	135

1105	Dark	E	0114	Ouleawos	C556348-8	 	    Lo 		302	AsVc	M2 V M2 V	-2	(720-2)	[3158]	B	10	-28
1201	Dark	E	0114	Ouleawos	E556200-4	 	    Lo 		102	AsVc	M2 V M2 V	-3	(510+3)	[5141]	B	10	15
1406	Dark	E	0114	Ouleawos	E556000-4	 	    Di 		002	Wild	M2 V M2 V	-3	(500+1)	[0000]	B	10	5
1508	Dark	E	0114	Ouleawos	E556000-4	 	    Di 		002	Wild	M2 V M2 V	-3	(500-5)	[0000]	B	10	-25
1900	Dark	E	0114	Ouleawos	E556000-4	 	    Di 		002	Wild	M2 V M2 V	-3	(500+3)	[0000]	B	10	15

1105	Dark	E	0115	Tyakhyo	D100389-A	 	   Lo Va 		200	AsVc	M1 V	-1	(520+1)	[426B]	B	10	10
1201	Dark	E	0115	Tyakhyo	X100000-A	 	   Di Va 		000	AsVc	M1 V	-1	(500+1)	[0000]	B	10	5
1406	Dark	E	0115	Tyakhyo	X100000-A	 	   Di Va 		000	Wild	M1 V	-1	(500-1)	[0000]	B	10	-5
1508	Dark	E	0115	Tyakhyo	X100000-A	 	   Di Va 		000	Wild	M1 V	-1	(500-1)	[0000]	B	10	-5
1900	Dark	E	0115	Tyakhyo	X100000-A	 	   Di Va 		000	Wild	M1 V	-1	(500-4)	[0000]	B	10	-20

1105	Dark	E	0116	Ftaikhao	B79A38A-A	 	   Lo Wa 		314	AsMw	G1 V	1	(A21+3)	[547C]	B	10	60
1201	Dark	E	0116	Ftaikhao	X79A232-3	 	   Lo Wa 	B	714	AsMw	G1 V	-3	(510-4)	[7146]	B	10	-20
1406	Dark	E	0116	Ftaikhao	X79A000-3	 	   Di Wa 		014	Wild	G1 V	-3	(500+1)	[0000]	B	10	5
1508	Dark	E	0116	Ftaikhao	X79A000-3	 	   Di Wa 		014	Wild	G1 V	-3	(500+1)	[0000]	B	10	5
1900	Dark	E	0116	Ftaikhao	X79A000-3	 	   Di Wa 		014	Wild	G1 V	-3	(500+1)	[0000]	B	10	5

1105	Dark	E	0117	Hteoe	C594778-8	 	    Ag Pi (NIL)		603	AsSc	K2 V	0	(C68+1)	[7758]	BCD	12	576
1201	Dark	E	0117	Hteoe	E594799-7	 	    Ag Pi (NIL)		703	AsSc	K2 V	-1	(96A-3)	[3685]	BCD	12	-1620
1406	Dark	E	0117	Hteoe	E594000-7	 	   Di Pi (NIL)		003	Wild	K2 V	-3	(900-2)	[0000]	BD	12	-18
1508	Dark	E	0117	Hteoe	E594000-7	 	    Di (NIL)		003	Wild	K2 V	-3	(900+1)	[0000]	B	12	9
1900	Dark	E	0117	Hteoe	E594000-7	 	    Di (NIL)		003	Wild	K2 V	-3	(900-1)	[0000]	B	12	-9

1105	Dark	E	0120	Waeorsya	E100276-7	 	  Lk Lo Va 	R	602	AsSc	G6 V M5 V	-3	(410-4)	[1146]	B	9	-16
1201	Dark	E	0120	Waeorsya	X100000-7	 	  Di Lk Va 		002	AsSc	G6 V M5 V	-3	(400+1)	[0000]	B	9	4
1406	Dark	E	0120	Waeorsya	X100000-7	 	  Di Lk Va 		002	Wild	G6 V M5 V	-3	(400+4)	[0000]	B	9	16
1508	Dark	E	0120	Waeorsya	X100000-7	 	  Di Lk Va 		002	Wild	G6 V M5 V	-3	(400-1)	[0000]	B	9	-4
1900	Dark	E	0120	Waeorsya	X100000-7	 	  Di Lk Va 		002	Wild	G6 V M5 V	-3	(400-2)	[0000]	B	9	-8

1105	Dark	I	0128	Eiyea	B8B3699-9	 	  Fl Ni Px 		714	AsTv	G3 V	0	(D54+1)	[766A]	B	13	260
1201	Dark	I	0128	Eiyea	X8B3000-9	 	  Di Fl Px 		014	AsTv	G3 V	-2	(D00+2)	[0000]	B	13	26
1406	Dark	I	0128	Eiyea	X8B3000-9	 	  Di Fl Px 		014	Wild	G3 V	-2	(D00+2)	[0000]	B	13	26
1508	Dark	I	0128	Eiyea	X8B3000-9	 	   Di Fl 		014	Wild	G3 V	-2	(D00+1)	[0000]	B	13	13
1900	Dark	I	0128	Eiyea	X8B3000-9	 	   Di Fl 		014	Wild	G3 V	-2	(D00+3)	[0000]	B	13	39

1105	Dark	I	0130	Kteatau	E998123-7	 	    Lo 	R	803	AsTv	K1 V	-3	(300-5)	[1124]	B	14	-15
1201	Dark	I	0130	Kteatau	X998200-5	 	    Lo 		703	AsTv	K1 V	-3	(310+1)	[3147]	B	14	3
1406	Dark	I	0130	Kteatau	X998000-5	 	    Di 		003	Wild	K1 V	-3	(300+3)	[0000]	B	14	9
1508	Dark	I	0130	Kteatau	X998000-5	 	    Di 		003	Wild	K1 V	-3	(300-3)	[0000]	B	14	-9
1900	Dark	I	0130	Kteatau	X998000-5	 	    Di 		003	Wild	K1 V	-3	(300+1)	[0000]	B	14	3

1105	Dark	M	0135	Aoaou	C9B6598-9	 	   Fl Ni 		323	AsMw	K0 V M8 V	-1	(C43-1)	[5459]	B	18	-144
1201	Dark	M	0135	Aoaou	X9B6000-9	 	   Di Fl 		023	AsMw	K0 V M8 V	-2	(C00-2)	[0000]	B	18	-24
1406	Dark	M	0135	Aoaou	X9B6000-9	 	   Di Fl 		023	Wild	K0 V M8 V	-2	(C00-3)	[0000]	B	18	-36
1508	Dark	M	0135	Aoaou	X9B6000-9	 	   Di Fl 		023	Wild	K0 V M8 V	-2	(C00-2)	[0000]	B	18	-24
