Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Delp	A	0102	Murphy	E544000-5	 	      Di 		001	Wild	M0 V	-3	(700-4)	[0000]	B	11	-28
Delp	A	0103	Oxnard	X675000-5	 	      Di 		024	Wild	M2 V M6 V	-3	(800-1)	[0000]	B	15	-8
Delp	A	0105	Dunlap	X575000-2	 	     Di 		004	Wild	K3 V M8 V	-3	(400+1)	[0000]	B	15	4
Delp	A	0106	Wrall	X100000-9	 	    Da  Di Va 		000	Wild	M2 V	-2	(700-2)	[0000]	B	6	-14
Delp	A	0107	McPherson	X56467A-0	 	       Ag Ri Ni 		103	Wild	K4 V	-1	(854+2)	[4521]	BC	10	320
Delp	A	0108	Kornag	X310000-9	 	     Di 		020	Wild	G4 V M2 V	-2	(600+1)	[0000]	B	12	6
Delp	A	0109	Freyja	X435000-9	 	     Di 		000	Wild	G7 V	-2	(700+1)	[0000]	B	9	7
Delp	A	0110	Ravenkin	X310000-9	 	     Di 		003	Wild	M0 V M6 V	-2	(A00-3)	[0000]	B	6	-30
Delp	E	0112	Catan	E679000-8	 	     Di 		004	Wild	M2 V M7 V	-3	(900+3)	[0000]	B	10	27
Delp	E	0114	Leng-Hioh	X100000-7	 	     Di Va 		023	Wild	M0 V	-3	(300-4)	[0000]	B	11	-12
Delp	E	0118	Doghailen	E541000-3	 	     Di He Po 		020	Wild	G2 V M2 V	-3	(600-3)	[0000]	B	13	-18
Delp	I	0122	Aprapo	X310000-8	 	     Pz  Di Na Pi 		003	Wild	M7 III	-3	(D00-3)	[0000]	BD	6	-39
Delp	I	0123	Cosimio	D667000-5	 	     Di Ga 		003	Wild	G0 V	-3	(400+1)	[0000]	B	15	4
Delp	I	0127	Kirby	X893000-5	 	     Di 		003	Wild	G2 V	-3	(300+1)	[0000]	B	14	3
Delp	I	0129	Walden	X687721-0	 	     O:0329  Ag Ri Ga (NIL)		333	Wild	G1 V	0	(964-1)	[8761]	BC	12	-216
Delp	M	0133	Cey	X310000-9	 	     Di 		012	Wild	M6 V M8 V	-2	(600-4)	[0000]	B	8	-24
Delp	M	0134	Iimnime	X767974-0	 	     Ga Hi Pr (NIL)		223	Wild	M1 V	-1	(B87-2)	[4871]	BcE	13	-1232
Delp	M	0138	Dashuun	X577000-5	 	    O:Mass-3136  Di Pi (NIL)		012	Wild	G0 V M8 V	-3	(900-5)	[0000]	BD	9	-45
Delp	M	0139	Bditri	X310000-8	 	    Pz  Di Na Pi 		012	Wild	G2 V	-3	(C00-2)	[0000]	BD	13	-24
Delp	M	0140	Critzer	X524000-7	 	     Di 		001	Wild	M1 V M9 V	-3	(400+1)	[0000]	B	11	4
Delp	A	0202	Ewoin	X664877-0	 	     Fo DroyW  Pa Ri Ph (NIL)		104	Wild	M3 V	-1	(A73-4)	[7721]	BcCe	9	-840
Delp	A	0204	Per	X100000-D	 	     Di Va 		025	Wild	M2 V	-1	(E00-2)	[0000]	B	11	-28
Delp	A	0205	Dareene	X526000-7	 	    Fo  Di 		025	Wild	M1 V	-3	(500-1)	[0000]	B	10	-5
Delp	A	0209	Waconthaco	X693000-5	 	     Di 		001	Wild	M2 V M8 V	-3	(800+1)	[0000]	B	11	8
Delp	A	0210	Ceileachan	X428000-8	 	     Di Pi (NIL)		003	Wild	K1 V	-3	(D00+1)	[0000]	BD	7	13
Delp	E	0211	Ildwater	X310000-7	 	     Di 		024	Wild	M0 V M2 V	-3	(700-3)	[0000]	B	12	-21
Delp	E	0214	Moravia	X627000-7	 	    O:0313  Di 		001	Wild	M0 V	-3	(500-2)	[0000]	B	11	-10
Delp	E	0218	Linor	D544000-5	 	      Di 		024	Wild	M0 V	-3	(700+1)	[0000]	B	9	7
Delp	E	0219	Yildiz	D566426-2	 	     Ni Pa 		105	Wild	M0 V M4 V	-3	(630+1)	[2134]	Bc	12	18
Delp	E	0220	Winnie	X100000-D	 	     Di Va 		010	Wild	M0 V M2 V	-1	(400-2)	[0000]	B	14	-8
Delp	I	0222	Duana	D653000-6	 	    Da  Di Po 		004	Wild	K1 V M9 V	-3	(400+2)	[0000]	B	8	8
Delp	I	0225	Monmouth	X893000-3	 	     Di 		023	Wild	K6 V M1 V	-3	(400+2)	[0000]	B	11	8
Delp	I	0226	Bishan	X7699CE-0	 	    Pz  Hi Pr (NIL)		204	Wild	M1 V	-1	(B8A-4)	[9884]	BcE	8	-3520
Delp	I	0228	Koenig	D792000-7	 	      Di He (NIL)		003	Wild	M1 V	-3	(A00+1)	[0000]	B	14	10
Delp	M	0238	Facendaa	X200000-7	 	    Da  Di Na Va 		001	Wild	A4 V D	-3	(800+2)	[0000]	B	13	16
