Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Delp	A	0102	Murphy	C544596-6	 	     Ag Ni 		101	ImDc	M0 V	-1	(743-2)	[4445]	BC	11	-168
1201	Delp	A	0102	Murphy	E544424-5	 	     Ni Pa 		601	ImDc	M0 V	-3	(733+1)	[4145]	Bc	11	63
1323	Delp	A	0102	Murphy	E544000-5	 	      Di 		001	Wild	M0 V	-3	(700-4)	[0000]	B	11	-28
1508	Delp	A	0102	Murphy	E544000-5	 	      Di 		001	Wild	M0 V	-3	(700-1)	[0000]	B	11	-7
1900	Delp	A	0102	Murphy	E544000-5	 	      Di 		001	Wild	M0 V	-3	(700-5)	[0000]	B	11	-35

1105	Delp	A	0103	Oxnard	E6756A9-5	 	     Ag Ni 		524	ImDc	M2 V M6 V	-2	(852-1)	[7466]	BC	15	-80
1201	Delp	A	0103	Oxnard	X6756BG-5	 	     Ag Ni 		624	ImDc	M2 V M6 V	-2	(850+1)	[5458]	BC	15	40
1323	Delp	A	0103	Oxnard	X675000-5	 	      Di 		024	Wild	M2 V M6 V	-3	(800-1)	[0000]	B	15	-8
1508	Delp	A	0103	Oxnard	X675000-5	 	      Di 		024	Wild	M2 V M6 V	-3	(800-2)	[0000]	B	15	-16
1900	Delp	A	0103	Oxnard	X675000-5	 	      Di 		024	Wild	M2 V M6 V	-3	(800-2)	[0000]	B	15	-16

1105	Delp	A	0105	Dunlap	A575221-B	 	     Lo 		604	ImDc	K3 V M8 V	1	(811-3)	[1317]	B	15	-24
1201	Delp	A	0105	Dunlap	X575201-2	 	     Lo 	B	204	ImDc	K3 V M8 V	-3	(410-1)	[4165]	B	15	-4
1323	Delp	A	0105	Dunlap	X575000-2	 	     Di 		004	Wild	K3 V M8 V	-3	(400+1)	[0000]	B	15	4
1508	Delp	A	0105	Dunlap	X575000-2	 	     Di 		004	Wild	K3 V M8 V	-3	(400-4)	[0000]	B	15	-16
1900	Delp	A	0105	Dunlap	X575000-2	 	     Di 		004	Wild	K3 V M8 V	-3	(400-1)	[0000]	B	15	-4

1105	Delp	A	0106	Wrall	D100595-9	 	    Da  Ni Va 	A	600	ImDc	M2 V	-2	(742-4)	[3337]	B	6	-224
1201	Delp	A	0106	Wrall	X100000-9	 	    Da  Di Va 		000	ImDc	M2 V	-2	(700-2)	[0000]	B	6	-14
1323	Delp	A	0106	Wrall	X100000-9	 	    Da  Di Va 		000	Wild	M2 V	-2	(700-2)	[0000]	B	6	-14
1508	Delp	A	0106	Wrall	X100000-9	 	    Da  Di Va 		000	Wild	M2 V	-2	(700-3)	[0000]	B	6	-21
1900	Delp	A	0106	Wrall	X100000-9	 	    Da  Di Va 		000	Wild	M2 V	-2	(700+1)	[0000]	B	6	7

1105	Delp	A	0107	McPherson	B564657-9	 	       Ag Ri Ni 		303	ImDc	K4 V	2	(B56+2)	[6859]	BC	10	660
1201	Delp	A	0107	McPherson	X564673-5	 	       Ag Ri Ni 		303	ImDc	K4 V	-1	(853-1)	[4587]	BC	10	-120
1323	Delp	A	0107	McPherson	X56467A-0	 	       Ag Ri Ni 		103	Wild	K4 V	-1	(854+2)	[4521]	BC	10	320
1508	Delp	A	0107	McPherson	X564643-0	 	       Ag Ri Ni 		203	Wild	K4 V	-1	(852-3)	[4521]	BC	10	-240
1900	Delp	A	0107	McPherson	X564652-1	 	       Ag Ri Ni 		303	Wild	K4 V	-1	(850-5)	[7531]	BC	10	-200

1105	Delp	A	0108	Kornag	E310240-9	 	     Lo 		820	ImDc	G4 V M2 V	-2	(610-5)	[1114]	B	12	-30
1201	Delp	A	0108	Kornag	X310000-9	 	     Di 		020	ImDc	G4 V M2 V	-2	(600-1)	[0000]	B	12	-6
1323	Delp	A	0108	Kornag	X310000-9	 	     Di 		020	Wild	G4 V M2 V	-2	(600+1)	[0000]	B	12	6
1508	Delp	A	0108	Kornag	X310000-9	 	     Di 		020	Wild	G4 V M2 V	-2	(600-1)	[0000]	B	12	-6
1900	Delp	A	0108	Kornag	X310000-9	 	     Di 		020	Wild	G4 V M2 V	-2	(600+4)	[0000]	B	12	24

1105	Delp	A	0109	Freyja	B435522-9	S	     Ni 		100	ImDc	G7 V	0	(744-4)	[1515]	B	9	-448
1201	Delp	A	0109	Freyja	X435000-9	 	     Di 		000	ImDc	G7 V	-2	(700+3)	[0000]	B	9	21
1323	Delp	A	0109	Freyja	X435000-9	 	     Di 		000	Wild	G7 V	-2	(700+1)	[0000]	B	9	7
1508	Delp	A	0109	Freyja	X435000-9	 	     Di 		000	Wild	G7 V	-2	(700+1)	[0000]	B	9	7
1900	Delp	A	0109	Freyja	X435000-9	 	     Di 		000	Wild	G7 V	-2	(700-2)	[0000]	B	9	-14

1105	Delp	A	0110	Ravenkin	E310587-9	 	     Ni 		303	ImDc	M0 V M6 V	-2	(A42-2)	[5359]	B	6	-160
1201	Delp	A	0110	Ravenkin	X310000-9	 	     Di 		003	ImDc	M0 V M6 V	-2	(A00+1)	[0000]	B	6	10
