Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dene	A	0108	New Ramma	D565555-7	S	   Ag Pr Ni 		703	CoWx	G6 V K6 V M6 V	-2	(740+1)	[7398]	BcC	8	28
Dene	E	0113	Saarinen	B566201-9	 	    Lo 		613	CoWx	K6 V M6 V	0	(810+1)	[6249]	B	10	8
Dene	I	0123	Rena	D596248-7	S	    Lo 		503	CoWx	G4 V	-3	(410+1)	[11AA]	B	12	4
Dene	I	0124	Gulistan	CAB5326-7	S	  Fl Lo Px 		820	CoWx	K6 III	-2	(520+2)	[5158]	B	12	20
Dene	I	0130	Chaosheo	E87A7BD-5	 	   Pi Wa (NIL)		225	Wild	K8 V	-2	(962+1)	[9557]	BD	10	108
Dene	M	0138	Iruku	B310442-9	 	    Ni 		301	Wild	F1 V M2 V	0	(732+3)	[5494]	B	13	126
Dene	A	0201	Marz	A5848C8-8	S	   Pa Ri Ph (NIL)		501	Wild	G4 V G6 V	1	(C77+5)	[897A]	BcCe	10	2940
Dene	A	0202	Carthage	B310778-C	 	    Na Pi 		324	Wild	M2 V	2	(F69+1)	[597E]	BD	13	810
Dene	A	0203	Enaaka	B777756-7	 	   Ag Pi An (NIL)		622	Wild	F5 V	1	(967-1)	[986A]	BCD	10	-378
Dene	A	0207	Rubrak	C554586-7	S	   Ag Ni 		501	CoWx	K3 V M7 V	-1	(742+1)	[6456]	BC	12	56
Dene	A	0208	Teh	D563110-5	S	    Lo 		802	CoWx	M2 V	-3	(300-2)	[2168]	B	7	-6
Dene	A	0209	Kretikaa	B200533-C	 	   Ni Va 		623	CoWx	K2 V	1	(C42-3)	[768B]	B	8	-288
Dene	E	0211	Suvfoto	D954889-6	S	   Pa Ph (NIL)		304	CoWx	K6 V	-2	(A78+3)	[7626]	Bce	7	1680
Dene	E	0214	Musayid	E544852-6	 	   Pa Pi Ph (NIL)	A	614	CoWx	K5 V	-2	(A75-2)	[4648]	BcDe	18	-700
Dene	E	0217	Umiikam	DAA6350-8	 	   Fl Lo 		401	CoWx	M0 V M1 V	-3	(620+3)	[6128]	B	14	36
Dene	E	0218	Vanzeti	C52A577-C	S	    Ni 		401	CoWx	M3 V M7 V	0	(846+1)	[2558]	B	14	192
Dene	I	0221	Mater Nova	B57578D-9	 	    Ag Pi (NIL)		214	CoWx	G8 V M6 V	2	(E6E-5)	[7987]	BCD	10	-5880
Dene	I	0222	Breslow	X540695-4	 	  De He Ni Po 	R	202	CoWx	K8 V M4 V	-3	(752+1)	[5363]	B	11	70
Dene	I	0223	Daumier	B88A476-D	 	   Ni Wa 		710	CoWx	K7 V M9 V	1	(733-2)	[358E]	B	10	-126
Dene	I	0224	Adapam	E796500-8	 	   Ag Ni 		122	CoWx	K8 V	-2	(A44+1)	[9367]	BC	7	160
Dene	I	0226	Wroclaw	C56679B-7	 	    Ag Ri (NIL)	A	823	CoWx	G8 V K2 V	1	(967+4)	[8898]	BC	12	1512
Dene	I	0228	Rimkuku	D9A888A-8	S	   Fl Ph (ENIL)		424	CoWx	G1 V M3 V	-2	(G77-1)	[9619]	Be	15	-784
Dene	I	0229	Aziziyah	C86A410-B	 	   Ni Wa 		324	Wild	G3 V	0	(C35+3)	[347C]	B	9	540
Dene	M	0233	Inkekush	E540000-D	T 	  De He Di Po 		031	Wild	F9 V M2 V	-1	(B00+2)	[0000]	B	14	22
Dene	M	0235	Saguenay	E438000-E	T 	    Di 		024	Wild	M0 V	-1	(A00+1)	[0000]	B	9	10
Dene	M	0237	Taman	E874000-5	 	    Di 		010	Wild	G7 V M3 V	-3	(500+5)	[0000]	B	11	25
Dene	M	0238	Nouakchat	X532000-6	T 	   Di Po 		003	Wild	M4 V	-3	(300+1)	[0000]	B	14	3
Dene	A	0303	Kiiga	D530000-7	 	  De Di Po 		001	Wild	M0 V M7 V	-3	(800-2)	[0000]	B	11	-16
