Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Dene	A	0108	New Ramma	D565540-6	S	      Ag Pr Ni 		703	ImDd	G6 V K6 V M6 V	{ -2 }	(742-5)	[1311]	BcC	8	-280
1201	Dene	A	0108	New Ramma	D565540-6	S	      Ag Pr Ni 		703	ImDd	G6 V K6 V M6 V	{ -2 }	(742-5)	[1311]	BcC	8	-280
1240	Dene	A	0108	New Ramma	D565540-6	S	      Ag Pr Ni 		703	ImDd	G6 V K6 V M6 V	{ -2 }	(742-5)	[1311]	BcC	8	-280
1508	Dene	A	0108	New Ramma	D565578-5	S	      Ag Pr Ni 		803	ImDd	G6 V K6 V M6 V	{ -2 }	(740+3)	[8367]	BcC	8	84
1900	Dene	A	0108	New Ramma	D56557C-6	S	      Ag Pr Ni 		803	ImDd	G6 V K6 V M6 V	{ -2 }	(742+1)	[2365]	BcC	8	56

1105	Dene	E	0113	Saarinen	B566212-8	 	    RsE  Lo 		513	ImDd	K6 V M6 V	{ -1 }	(810-5)	[1114]	B	10	-40
1201	Dene	E	0113	Saarinen	B566212-8	 	    RsE  Lo 		513	ImDd	K6 V M6 V	{ -1 }	(810-5)	[1114]	B	10	-40
1240	Dene	E	0113	Saarinen	B566212-8	 	    RsE  Lo 		513	ImDd	K6 V M6 V	{ -1 }	(810-5)	[1114]	B	10	-40
1508	Dene	E	0113	Saarinen	B566200-8	 	    RsE  Lo 		613	ImDd	K6 V M6 V	{ -1 }	(810-2)	[6146]	B	10	-16
1900	Dene	E	0113	Saarinen	B566226-8	 	    RsE  Lo 		513	ImDd	K6 V M6 V	{ -1 }	(810-4)	[717C]	B	10	-32

1105	Dene	I	0123	Rena	D596211-7	S	     Lo 		403	ImDd	G4 V	{ -3 }	(410-5)	[1113]	B	12	-20
1201	Dene	I	0123	Rena	D596211-7	S	     Lo 		403	ImDd	G4 V	{ -3 }	(410-5)	[1113]	B	12	-20
1240	Dene	I	0123	Rena	D596211-7	S	     Lo 		403	ImDd	G4 V	{ -3 }	(410-5)	[1113]	B	12	-20
1508	Dene	I	0123	Rena	D596236-6	S	     Lo 		503	ImDd	G4 V	{ -3 }	(410+1)	[4123]	B	12	4
1900	Dene	I	0123	Rena	D596200-8	S	     Lo 		603	ImDd	G4 V	{ -3 }	(710+2)	[116B]	B	12	14

1105	Dene	I	0124	Gulistan	CAB5358-8	S	    Fl Lo Px 		820	ImDd	K6 III	{ -2 }	(720-2)	[3158]	B	12	-28
1201	Dene	I	0124	Gulistan	CAB5358-8	S	    Fl Lo Px 		820	ImDd	K6 III	{ -2 }	(720-2)	[3158]	B	12	-28
1240	Dene	I	0124	Gulistan	CAB5358-8	S	    Fl Lo Px 		820	ImDd	K6 III	{ -2 }	(720-2)	[3158]	B	12	-28
1508	Dene	I	0124	Gulistan	CAB5374-6	S	     Fl Lo 		920	ImDd	K6 III	{ -2 }	(520+5)	[51A1]	B	12	50
1900	Dene	I	0124	Gulistan	CAB5436-7	S	    Fl Ni Px 		120	ImDd	K6 III	{ -2 }	(533+1)	[125C]	B	12	45

1105	Dene	I	0130	Chaosheo	E87A788-5	 	     (Shi'awei)  Pi Wa 	A	625	ImDd	K8 V	{ -2 }	(965-2)	[7555]	BD	10	-540
1201	Dene	I	0130	Chaosheo	E87A788-5	 	     (Shi'awei)  Pi Wa 	A	625	ImDd	K8 V	{ -2 }	(965-2)	[7555]	BD	10	-540
1240	Dene	I	0130	Chaosheo	E87A726-3	 	     (Shi'awei)  Pi Wa 		325	Wild	K8 V	{ -2 }	(965-1)	[5551]	BD	10	-270
1508	Dene	I	0130	Chaosheo	E87A751-5	 	     (Shi'awei)  Pi Wa 		225	Wild	K8 V	{ -2 }	(963+1)	[5568]	BD	10	162
1900	Dene	I	0130	Chaosheo	E87A77C-5	 	     (Shi'awei)  Pi Wa 		325	Wild	K8 V	{ -2 }	(963+4)	[6553]	BD	10	648

1105	Dene	M	0138	Iruku	B31048A-9	 	     Ni 		501	ImDd	F1 V M2 V	{ 0 }	(733+2)	[647B]	B	13	126
1201	Dene	M	0138	Iruku	B31048A-9	 	     Ni 		501	ImDd	F1 V M2 V	{ 0 }	(733+2)	[647B]	B	13	126
1240	Dene	M	0138	Iruku	B310403-8	 	     Ni 		201	Wild	F1 V M2 V	{ -1 }	(734+5)	[235C]	B	13	420
1508	Dene	M	0138	Iruku	B310472-8	 	     Ni 		301	Wild	F1 V M2 V	{ -1 }	(733+1)	[135D]	B	13	63
1900	Dene	M	0138	Iruku	B310443-9	 	     Ni 		201	Wild	F1 V M2 V	{ 0 }	(734+3)	[44A6]	B	13	252

1105	Dene	A	0201	Marz	A584985-A	S	    (Marzians)  Hi Pr 		101	ImDd	G4 V G6 V	{ 3 }	(C8D+1)	[7C38]	BcE	10	1248
1201	Dene	A	0201	Marz	A584985-A	S	    (Marzians)  Hi Pr 		101	ImDd	G4 V G6 V	{ 3 }	(C8D+1)	[7C38]	BcE	10	1248
1240	Dene	A	0201	Marz	A5848DA-8	S	    (Marzians)  Pa Ri Ph 		501	Wild	G4 V G6 V	{ 1 }	(C78+1)	[B978]	BcCe	10	672
1508	Dene	A	0201	Marz	A58487B-7	S	    (Marzians)  Pa Ri Ph 		601	Wild	G4 V G6 V	{ 1 }	(B7B+2)	[89A6]	BcCe	10	1694
1900	Dene	A	0201	Marz	A5848BB-8	S	    (Marzians)  Pa Ri Ph 		501	Wild	G4 V G6 V	{ 1 }	(C77-2)	[6959]	BcCe	10	-1176

1105	Dene	A	0202	Carthage	B3107B9-C	 	       Na Pi 	A	724	ImDd	M2 V	{ 2 }	(F6C+3)	[896D]	BD	13	3240
1201	Dene	A	0202	Carthage	B3107B9-C	 	       Na Pi 	A	724	ImDd	M2 V	{ 2 }	(F6C+3)	[896D]	BD	13	3240
1240	Dene	A	0202	Carthage	B31079C-A	 	       Na Pi 		324	Wild	M2 V	{ 2 }	(F6A-1)	[2948]	BD	13	-900
1508	Dene	A	0202	Carthage	B310744-B	 	       Na Pi 		424	Wild	M2 V	{ 2 }	(F6A+3)	[3946]	BD	13	2700
1900	Dene	A	0202	Carthage	B310751-D	 	       Na Pi 		424	Wild	M2 V	{ 2 }	(F69+1)	[B99D]	BD	13	810

1105	Dene	A	0203	Enaaka	B777786-6	 	    An   Ag Pi 		922	ImDd	F5 V	{ 1 }	(968+1)	[6845]	BCD	10	432
1201	Dene	A	0203	Enaaka	B777786-6	 	    An   Ag Pi 		922	ImDd	F5 V	{ 1 }	(968+1)	[6845]	BCD	10	432
1240	Dene	A	0203	Enaaka	D777000-6	 	   An   Di Pi 		022	Wild	F5 V	{ -3 }	(900-3)	[0000]	BD	10	-27
1508	Dene	A	0203	Enaaka	D777000-6	 	    An   Di 		022	Wild	F5 V	{ -3 }	(900-3)	[0000]	B	10	-27
1900	Dene	A	0203	Enaaka	D777000-6	 	    An   Di 		022	Wild	F5 V	{ -3 }	(900+1)	[0000]	B	10	9

1105	Dene	A	0207	Rubrak	C554511-7	S	     Ag Ni 		701	ImDd	K3 V M7 V	{ -1 }	(743-5)	[1413]	BC	12	-420
1201	Dene	A	0207	Rubrak	C554511-7	S	     Ag Ni 		701	ImDd	K3 V M7 V	{ -1 }	(743-5)	[1413]	BC	12	-420
1240	Dene	A	0207	Rubrak	C554511-7	S	     Ag Ni 		701	ImDd	K3 V M7 V	{ -1 }	(743-5)	[1413]	BC	12	-420
1508	Dene	A	0207	Rubrak	C554500-7	S	     Ag Ni 		801	ImDd	K3 V M7 V	{ -1 }	(742+1)	[3466]	BC	12	56
1900	Dene	A	0207	Rubrak	C554586-7	S	     Ag Ni 		801	ImDd	K3 V M7 V	{ -1 }	(745+1)	[745A]	BC	12	140

1105	Dene	A	0208	Teh	D563136-5	S	     Lo 		802	ImDd	M2 V	{ -3 }	(300-4)	[1144]	B	7	-12
1201	Dene	A	0208	Teh	D563136-5	S	     Lo 		802	ImDd	M2 V	{ -3 }	(300-4)	[1144]	B	7	-12
1240	Dene	A	0208	Teh	D563136-5	S	     Lo 		802	ImDd	M2 V	{ -3 }	(300-4)	[1144]	B	7	-12
1508	Dene	A	0208	Teh	D563110-4	S	     Lo 		902	ImDd	M2 V	{ -3 }	(300-2)	[1118]	B	7	-6
1900	Dene	A	0208	Teh	D563100-6	S	     Lo 		802	ImDd	M2 V	{ -3 }	(300-2)	[111A]	B	7	-6

