Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dhue	A	0101	Figirrugkfuksulaka	C130232-7	 	De Lo Po 		802	NaVa	K1 IV M8 V	{ -2 }	(610+2)	[1152]	B	0	12
Dhue	A	0106	Kfoevokhonuerrgh	DA6A675-3	 	Ni Oc Ri 	B	210	NaVa	F4 V M7 D	{ -2 }	(950+1)	[4416]	BC	0	45
Dhue	I	0121	Foegulu	A656457-7	 	Ga Ni Pa 		420	NaVa	G1 V	{ -1 }	(734-4)	[5356]	Bc	0	-336
Dhue	I	0130	Zadzaenksaelaes	B410345-8	 	Lo 		903	NaVa	M8 V	{ -1 }	(C20+1)	[4235]	B	0	24
Dhue	M	0133	Vougzueg	B63867A-A	 	Ni 		400	NaVa	M0 V	{ 1 }	(857-3)	[676A]	B	0	-840
Dhue	M	0139	Dadhoezorzksagaenkharze	C7A4233-8	 	Fl Lo 		100	NaVa	M3 V	{ -2 }	(810+1)	[618B]	B	0	8
Dhue	M	0140	Aeakirfaetsuentuerrghgvaedz	C381542-6	 	Ni Pr 		810	NaVa	F5 V	{ -2 }	(A40-1)	[6357]	Bc	0	-40
Dhue	A	0201	Gikungoenzaegh	A555240-A	 	Lo 		310	NaVa	F3 V M3 D	{ 1 }	(811-3)	[5386]	B	0	-24
Dhue	A	0206	Tsuakhkigorrg	C221453-B	 	Ni Po 		815	NaVa	F3 V M3 D	{ 0 }	(D31+2)	[5429]	B	0	78
Dhue	A	0207	Ueagzaegikh	D97A225-6	 	Lo Wa 		102	NaVa	F7 V	{ -3 }	(510+1)	[5158]	B	0	5
Dhue	A	0209	Ikougagh	C674577-8	 	Ag Ni 		303	NaVa	G5 V	{ -1 }	(845-1)	[A416]	BC	0	-160
Dhue	E	0215	Allughe	C759554-5	 	Ni 	B	711	NaVa	F8 V M4 D	{ -2 }	(641+4)	[3335]	B	0	96
Dhue	E	0218	Rrogarz	C232331-7	 	Lo Po 		544	NaVa	M8 V M5 D	{ -2 }	(620-3)	[4168]	B	0	-36
Dhue	I	0224	Kfakhaegog	C41287B-9	 	Ic Na Pi Ph 		202	NaVa	G3 V M0 D	{ 0 }	(A7B-1)	[786C]	BDe	0	-770
Dhue	I	0225	Kokhoeraedhghaghz	C400122-6	 	Lo Va 		403	NaVa	G2 V	{ -2 }	(600+1)	[4116]	B	0	6
Dhue	I	0226	Kokhoeraedhghaghz	B400347-8	 	Lo Va 		903	NaVa	G2 V	{ -1 }	(920+1)	[1268]	B	0	18
Dhue	I	0227	Ourrgaenourrgongzikanoukh	B728256-B	 	Lo 		402	NaVa	F0 III	{ 1 }	(811+1)	[235A]	B	0	8
Dhue	M	0232	Tegvaesakhungthagzgarrtaeth	X434203-2	 	Lo 		200	NaVa	F0 V M1 D M4 D	{ -3 }	(610+3)	[4162]	B	0	18
Dhue	A	0303	Saezzaezughksorrghgonae	X400744-4	 	Na Pi Va 		200	NaVa	M2 V	{ -2 }	(866-1)	[35A6]	BD	0	-288
Dhue	A	0304	Tsongaengirruez	E683645-4	 	Ni Ri 		303	NaVa	F7 V	{ -2 }	(550+1)	[3481]	BC	0	25
Dhue	A	0305	Tsongaengirruez	A68368D-A	 	Ni Ri 		803	NaVa	F7 V	{ 2 }	(756+2)	[B819]	BC	0	420
Dhue	A	0306	Tsongaengirruez	D683000-9	 	Di 		003	NaVa	F7 V	{ -2 }	(700+1)	[0000]	B	0	7
Dhue	E	0312	Gaenaeng	D325000-A	 	Di 		000	NaVa	G4 III	{ -1 }	(600-2)	[0000]	B	0	-12
Dhue	E	0319	Roerruen	X000359-5	 	As Va Lo 		900	NaVa	M6 V	{ -3 }	(520-2)	[3114]	B	0	-20
Dhue	I	0321	Gikhonruegogz	A252777-8	 	Po 		801	NaVa	F3 V M6 D	{ 0 }	(768+1)	[9758]	B	0	336
