Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Dhue	A	0101	Figirrugkfuksulaka	B130765-8	 	De Na Po 		302	Va	K1 IV M8 V	{ 0 }	(868-4)	[]	B	0	0
1157	Dhue	A	0101	Figirrugkfuksulaka	B1307AD-6	 	De Na Po 		102	Wild	K1 IV M8 V	{ 0 }	(66C+1)	[4769]	B	0	432
1508	Dhue	A	0101	Figirrugkfuksulaka	B130758-8	 	De Na Po 		102	Wild	K1 IV M8 V	{ 0 }	(866+1)	[3786]	B	0	288
1201	Dhue	A	0101	Figirrugkfuksulaka	X130000-8	 	De Di Na Po 		002	Wild	K1 IV M8 V	{ -3 }	(800-1)	[0000]	B	0	-8
1900	Dhue	A	0101	Figirrugkfuksulaka	C130232-7	 	De Lo Po 		802	NaVa	K1 IV M8 V	{ -2 }	(610+2)	[1152]	B	0	12

1105	Dhue	A	0106	Kfoevokhonuerrgh	BA6A775-7	 	Oc Ri 		410	Vd	F4 V M7 D	{ 0 }	(96A+3)	[]	BC	0	0
1157	Dhue	A	0106	Kfoevokhonuerrgh	BA6A776-5	 	Oc Ri 		210	Wild	F4 V M7 D	{ 1 }	(969+1)	[3895]	BC	0	486
1508	Dhue	A	0106	Kfoevokhonuerrgh	BA6A79A-6	 	Oc Ri 		110	Wild	F4 V M7 D	{ 1 }	(96C+1)	[B88A]	BC	0	648
1201	Dhue	A	0106	Kfoevokhonuerrgh	XA6A96A-3	 	Hi Oc Pr 	B	210	Wild	F4 V M7 D	{ -1 }	(984-5)	[B835]	BcE	0	-1440
1900	Dhue	A	0106	Kfoevokhonuerrgh	DA6A675-3	 	Ni Oc Ri 	B	210	NaVa	F4 V M7 D	{ -2 }	(950+1)	[4416]	BC	0	45

1105	Dhue	I	0121	Foegulu	D656105-1	 	Ga Lo 		320	Vd	G1 V	{ 0 }	(700+1)	[]	B	0	0
1201	Dhue	I	0121	Foegulu	X656223-0	 	Ga Lo 	B	820	Vd	G1 V	{ -3 }	(710+2)	[3171]	B	0	14
1157	Dhue	I	0121	Foegulu	X656000-0	 	Ba Ga 		020	Wild	G1 V	{ -3 }	(700+3)	[0000]	B	0	21
1508	Dhue	I	0121	Foegulu	X656000-0	 	Ba Ga 		020	Wild	G1 V	{ -3 }	(700+1)	[0000]	B	0	7
1900	Dhue	I	0121	Foegulu	A656457-7	 	Ga Ni Pa 		420	NaVa	G1 V	{ -1 }	(734-4)	[5356]	Bc	0	-336

1105	Dhue	I	0130	Zadzaenksaelaes	B410277-8	 	Lo 		103	Va	M8 V	{ 0 }	(C10-5)	[]	B	0	0
1201	Dhue	I	0130	Zadzaenksaelaes	X410000-8	 	Di 		003	Va	M8 V	{ -3 }	(C00-3)	[0000]	B	0	-36
1157	Dhue	I	0130	Zadzaenksaelaes	X410000-8	 	Di 		003	Wild	M8 V	{ -3 }	(C00-3)	[0000]	B	0	-36
1508	Dhue	I	0130	Zadzaenksaelaes	X410000-8	 	Di 		003	Wild	M8 V	{ -3 }	(C00-5)	[0000]	B	0	-60
1900	Dhue	I	0130	Zadzaenksaelaes	B410345-8	 	Lo 		903	NaVa	M8 V	{ -1 }	(C20+1)	[4235]	B	0	24

1105	Dhue	M	0133	Vougzueg	C638621-8	 	Ni 		900	Va	M0 V	{ 0 }	(856+4)	[]	B	0	0
1201	Dhue	M	0133	Vougzueg	X638000-8	 	Di 		000	Va	M0 V	{ -3 }	(800+3)	[0000]	B	0	24
1157	Dhue	M	0133	Vougzueg	X638000-8	 	Di 		000	Wild	M0 V	{ -3 }	(800+2)	[0000]	B	0	16
1508	Dhue	M	0133	Vougzueg	X638000-8	 	Di 		000	Wild	M0 V	{ -3 }	(800+1)	[0000]	B	0	8
1900	Dhue	M	0133	Vougzueg	B63867A-A	 	Ni 		400	NaVa	M0 V	{ 1 }	(857-3)	[676A]	B	0	-840

1105	Dhue	M	0139	Dadhoezorzksagaenkharze	B7A4446-A	 	Fl Ni Px 		500	Vo	M3 V	{ 0 }	(836-2)	[]	B	0	0
1201	Dhue	M	0139	Dadhoezorzksagaenkharze	X7A4000-A	 	Di Fl Px 		000	Vo	M3 V	{ -1 }	(800-4)	[0000]	B	0	-32
1157	Dhue	M	0139	Dadhoezorzksagaenkharze	X7A4000-A	 	Di Fl Px 		000	Wild	M3 V	{ -1 }	(800+1)	[0000]	B	0	8
1508	Dhue	M	0139	Dadhoezorzksagaenkharze	X7A4000-A	 	Di Fl 		000	Wild	M3 V	{ -1 }	(800+1)	[0000]	B	0	8
1900	Dhue	M	0139	Dadhoezorzksagaenkharze	C7A4233-8	 	Fl Lo 		100	NaVa	M3 V	{ -2 }	(810+1)	[618B]	B	0	8

1105	Dhue	M	0140	Aeakirfaetsuentuerrghgvaedz	A381133-A	 	Lo 		810	Vo	F5 V	{ 0 }	(B00+2)	[]	B	0	0
1201	Dhue	M	0140	Aeakirfaetsuentuerrghgvaedz	C381137-8	 	Lo 		410	Vo	F5 V	{ -2 }	(B00-1)	[1123]	B	0	-11
1157	Dhue	M	0140	Aeakirfaetsuentuerrghgvaedz	D381000-8	 	Di 		010	Wild	F5 V	{ -3 }	(B00-3)	[0000]	B	0	-33
1508	Dhue	M	0140	Aeakirfaetsuentuerrghgvaedz	D381000-8	 	Di 		010	Wild	F5 V	{ -3 }	(B00+2)	[0000]	B	0	22
1900	Dhue	M	0140	Aeakirfaetsuentuerrghgvaedz	C381542-6	 	Ni Pr 		810	NaVa	F5 V	{ -2 }	(A40-1)	[6357]	Bc	0	-40

1105	Dhue	A	0201	Gikungoenzaegh	A55549D-A	 	Ni Pa 		610	Va	F3 V M3 D	{ 0 }	(833+5)	[]	Bc	0	0
1157	Dhue	A	0201	Gikungoenzaegh	D555000-A	 	Di 		010	Wild	F3 V M3 D	{ -1 }	(800+1)	[0000]	B	0	8
1508	Dhue	A	0201	Gikungoenzaegh	D555000-A	 	Di 		010	Wild	F3 V M3 D	{ -1 }	(800-2)	[0000]	B	0	-16
1201	Dhue	A	0201	Gikungoenzaegh	X555000-A	 	Di 		010	Wild	F3 V M3 D	{ -1 }	(800+3)	[0000]	B	0	24
1900	Dhue	A	0201	Gikungoenzaegh	A555240-A	 	Lo 		310	NaVa	F3 V M3 D	{ 1 }	(811-3)	[5386]	B	0	-24

1105	Dhue	A	0206	Tsuakhkigorrg	C221578-A	 	Ni Px Po 		215	Vd	F3 V M3 D	{ 0 }	(D41-3)	[]	B	0	0
1157	Dhue	A	0206	Tsuakhkigorrg	C221559-9	 	Ni Px Po 		115	Wild	F3 V M3 D	{ -1 }	(D45-3)	[145A]	B	0	-780
1508	Dhue	A	0206	Tsuakhkigorrg	C221553-A	 	Ni Po 		215	Wild	F3 V M3 D	{ 0 }	(D43+1)	[858A]	B	0	156
1201	Dhue	A	0206	Tsuakhkigorrg	X221000-A	 	Di Po 		015	Wild	F3 V M3 D	{ -1 }	(D00-1)	[0000]	B	0	-13
1900	Dhue	A	0206	Tsuakhkigorrg	C221453-B	 	Ni Po 		815	NaVa	F3 V M3 D	{ 0 }	(D31+2)	[5429]	B	0	78

1105	Dhue	A	0207	Ueagzaegikh	C97A535-8	 	Ni Wa 		402	Vd	F7 V	{ 0 }	(741-1)	[]	B	0	0
1157	Dhue	A	0207	Ueagzaegikh	X97A000-8	 	Di Wa 		002	Wild	F7 V	{ -3 }	(700-2)	[0000]	B	0	-14
1508	Dhue	A	0207	Ueagzaegikh	X97A000-8	 	Di Wa 		002	Wild	F7 V	{ -3 }	(700+3)	[0000]	B	0	21
1201	Dhue	A	0207	Ueagzaegikh	X97A000-8	 	Di Wa 		002	Wild	F7 V	{ -3 }	(700+5)	[0000]	B	0	35
1900	Dhue	A	0207	Ueagzaegikh	D97A225-6	 	Lo Wa 		102	NaVa	F7 V	{ -3 }	(510+1)	[5158]	B	0	5

1105	Dhue	A	0209	Ikougagh	C674776-7	 	Ag Pi 		903	Vd	G5 V	{ 0 }	(564-1)	[]	BCD	0	0
1157	Dhue	A	0209	Ikougagh	X674000-7	 	Di Pi 		003	Wild	G5 V	{ -3 }	(500+1)	[0000]	BD	0	5
1508	Dhue	A	0209	Ikougagh	X674000-7	 	Di 		003	Wild	G5 V	{ -3 }	(500+2)	[0000]	B	0	10
1201	Dhue	A	0209	Ikougagh	X674000-7	 	Di 		003	Wild	G5 V	{ -3 }	(500+3)	[0000]	B	0	15
1900	Dhue	A	0209	Ikougagh	C674577-8	 	Ag Ni 		303	NaVa	G5 V	{ -1 }	(845-1)	[A416]	BC	0	-160

1105	Dhue	E	0215	Allughe	E759442-2	 	Ni 		311	Vd	F8 V M4 D	{ 0 }	(635-5)	[]	B	0	0
1157	Dhue	E	0215	Allughe	E759455-1	 	Ni 		111	Wild	F8 V M4 D	{ -3 }	(630-1)	[7161]	B	0	-18
1508	Dhue	E	0215	Allughe	E759485-1	 	Ni 		111	Wild	F8 V M4 D	{ -3 }	(631-1)	[1181]	B	0	-18
1201	Dhue	E	0215	Allughe	X759345-0	 	Lo 	B	711	Wild	F8 V M4 D	{ -3 }	(620+1)	[2142]	B	0	12
1900	Dhue	E	0215	Allughe	C759554-5	 	Ni 	B	711	NaVa	F8 V M4 D	{ -2 }	(641+4)	[3335]	B	0	96

1105	Dhue	E	0218	Rrogarz	A23279E-A	 	Na Po 		844	Vd	M8 V M5 D	{ 0 }	(E66+5)	[]	B	0	0
1201	Dhue	E	0218	Rrogarz	X232000-A	 	Di Na Po 		044	Vd	M8 V M5 D	{ -1 }	(E00-2)	[0000]	B	0	-28
1157	Dhue	E	0218	Rrogarz	X232000-A	 	Di Na Po 		044	Wild	M8 V M5 D	{ -1 }	(E00-1)	[0000]	B	0	-14
1508	Dhue	E	0218	Rrogarz	X232000-A	 	Di Po 		044	Wild	M8 V M5 D	{ -1 }	(E00-5)	[0000]	B	0	-70
1900	Dhue	E	0218	Rrogarz	C232331-7	 	Lo Po 		544	NaVa	M8 V M5 D	{ -2 }	(620-3)	[4168]	B	0	-36

1105	Dhue	I	0224	Kfakhaegog	X412773-3	 	Ic Na Pi 		602	Vd	G3 V M0 D	{ 0 }	(868-1)	[]	BD	0	0
1201	Dhue	I	0224	Kfakhaegog	X412000-3	 	Di Ic Na Pi 		002	Vd	G3 V M0 D	{ -3 }	(800-2)	[0000]	BD	0	-16
1157	Dhue	I	0224	Kfakhaegog	X412000-3	 	Di Ic Na Pi 		002	Wild	G3 V M0 D	{ -3 }	(800+3)	[0000]	BD	0	24
1508	Dhue	I	0224	Kfakhaegog	X412000-3	 	Di Ic 		002	Wild	G3 V M0 D	{ -3 }	(800+1)	[0000]	B	0	8
1900	Dhue	I	0224	Kfakhaegog	C41287B-9	 	Ic Na Pi Ph 		202	NaVa	G3 V M0 D	{ 0 }	(A7B-1)	[786C]	BDe	0	-770

1105	Dhue	I	0225	Kokhoeraedhghaghz	B400775-7	 	Na Pi Va 		703	Vd	G2 V	{ 0 }	(664-1)	[]	BD	0	0
1201	Dhue	I	0225	Kokhoeraedhghaghz	X400000-7	 	Di Na Pi Va 		003	Vd	G2 V	{ -3 }	(600+3)	[0000]	BD	0	18
1157	Dhue	I	0225	Kokhoeraedhghaghz	X400000-7	 	Di Na Pi Va 		003	Wild	G2 V	{ -3 }	(600+1)	[0000]	BD	0	6
1508	Dhue	I	0225	Kokhoeraedhghaghz	X400000-7	 	Di Va 		003	Wild	G2 V	{ -3 }	(600-4)	[0000]	B	0	-24
1900	Dhue	I	0225	Kokhoeraedhghaghz	C400122-6	 	Lo Va 		403	NaVa	G2 V	{ -2 }	(600+1)	[4116]	B	0	6

1105	Dhue	I	0226	Kokhoeraedhghaghz	B400775-7	 	Na Pi Va 		703	Vd	G2 V	{ 0 }	(666+3)	[]	BD	0	0
1201	Dhue	I	0226	Kokhoeraedhghaghz	X400000-7	 	Di Na Pi Va 		003	Vd	G2 V	{ -3 }	(600-5)	[0000]	BD	0	-30
1157	Dhue	I	0226	Kokhoeraedhghaghz	X400000-7	 	Di Na Pi Va 		003	Wild	G2 V	{ -3 }	(600+4)	[0000]	BD	0	24
