Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Dias	A	0103	Aladon	B6579CB-C	 	   Ga Hi (NIL)	A	404	ImDs	G0 V	3	(F8E+5)	[BC7E]	BE	13	8400
1201	Dias	A	0103	Aladon	D657125-8	 	   Ga Lo (NIL)		104	ImDs	G0 V	-3	(F00+3)	[1179]	B	13	45
1364	Dias	A	0103	Aladon	D657000-8	 	   Di Ga (NIL)		004	Wild	G0 V	-3	(F00+3)	[0000]	B	13	45
1508	Dias	A	0103	Aladon	D657000-8	 	   Di Ga (NIL)		004	Wild	G0 V	-3	(F00-2)	[0000]	B	13	-30
1900	Dias	A	0103	Aladon	D657000-8	 	   Di Ga (NIL)		004	Wild	G0 V	-3	(F00+5)	[0000]	B	13	75

1105	Dias	A	0104	Maxalla	A596444-D	 	   Ni Pa 		115	ImDs	M1 V	1	(C34-1)	[253B]	Bc	13	-144
1201	Dias	A	0104	Maxalla	X596277-4	 	    Lo 		715	ImDs	M1 V	-3	(610+2)	[3168]	B	13	12
1364	Dias	A	0104	Maxalla	X596000-4	 	    Di 		015	Wild	M1 V	-3	(600+1)	[0000]	B	13	6
1508	Dias	A	0104	Maxalla	X596000-4	 	    Di 		015	Wild	M1 V	-3	(600+1)	[0000]	B	13	6
1900	Dias	A	0104	Maxalla	X596000-4	 	    Di 		015	Wild	M1 V	-3	(600-3)	[0000]	B	13	-18

1105	Dias	A	0108	Sikora	E874626-6	 	   Ag Ni 		104	ImDs	K2 V	-2	(852-3)	[5445]	BC	11	-240
1201	Dias	A	0108	Sikora	X874685-4	 	   Ag Ni 	B	204	ImDs	K2 V	-2	(850+3)	[9428]	BC	11	120
1364	Dias	A	0108	Sikora	X874000-4	 	    Di 		004	Wild	K2 V	-3	(800-2)	[0000]	B	11	-16
1508	Dias	A	0108	Sikora	X874000-4	 	    Di 		004	Wild	K2 V	-3	(800-1)	[0000]	B	11	-8
1900	Dias	A	0108	Sikora	X874000-4	 	    Di 		004	Wild	K2 V	-3	(800-5)	[0000]	B	11	-40

1105	Dias	E	0111	Mosul	C5868B9-8	 	   Pa Ri Ph (NIL)	A	401	ImDs	M1 V	0	(B78+1)	[9869]	BcCe	9	616
1201	Dias	E	0111	Mosul	E586879-7	 	   Pa Ri Ph (NIL)	B	501	ImDs	M1 V	-1	(A76-3)	[A733]	BcCe	9	-1260
1364	Dias	E	0111	Mosul	E586875-4	 	   Pa Ri Ph (NIL)		201	Wild	M1 V	-1	(A71-1)	[8743]	BcCe	9	-70
1508	Dias	E	0111	Mosul	E586878-5	 	   Pa Ri Ph (NIL)		201	Wild	M1 V	-1	(A76-1)	[A733]	BcCe	9	-420
1900	Dias	E	0111	Mosul	E586842-6	 	   Pa Ri Ph (NIL)		301	Wild	M1 V	-1	(A76+1)	[7766]	BcCe	9	420

1105	Dias	E	0113	Toga	X674200-5	 	    Lo 	R	812	ImDs	K8 V M4 V	-3	(410-5)	[1111]	B	14	-20
1201	Dias	E	0113	Toga	X674140-4	 	    Lo 		612	ImDs	K8 V M4 V	-3	(400+1)	[3176]	B	14	4
1364	Dias	E	0113	Toga	X674000-4	 	    Di 		012	Wild	K8 V M4 V	-3	(400+1)	[0000]	B	14	4
1508	Dias	E	0113	Toga	X674000-4	 	    Di 		012	Wild	K8 V M4 V	-3	(400+3)	[0000]	B	14	12
1900	Dias	E	0113	Toga	X674000-4	 	    Di 		012	Wild	K8 V M4 V	-3	(400-2)	[0000]	B	14	-8

1105	Dias	E	0114	Ainor Lisea	C777510-9	 	   Ag Ni 		704	ImDs	M3 V M9 V	0	(B44-4)	[1514]	BC	11	-704
1201	Dias	E	0114	Ainor Lisea	X777551-3	 	   Ag Ni 	B	404	ImDs	M3 V M9 V	-2	(740+1)	[2332]	BC	11	28
1364	Dias	E	0114	Ainor Lisea	X777000-3	 	    Di 		004	Wild	M3 V M9 V	-3	(700+2)	[0000]	B	11	14
1508	Dias	E	0114	Ainor Lisea	X777000-3	 	    Di 		004	Wild	M3 V M9 V	-3	(700+5)	[0000]	B	11	35
1900	Dias	E	0114	Ainor Lisea	X777000-3	 	    Di 		004	Wild	M3 V M9 V	-3	(700-3)	[0000]	B	11	-21

1105	Dias	E	0116	Karaguuka	D789655-8	 	   Ni Ri 		214	ImDs	G1 V M4 V	-2	(D52-4)	[4436]	BC	8	-520
1201	Dias	E	0116	Karaguuka	E789612-7	 	   Ni Ri 	B	314	ImDs	G1 V M4 V	-2	(850-3)	[444A]	BC	8	-120
1364	Dias	E	0116	Karaguuka	E789633-5	 	   Ni Ri 		114	Wild	G1 V M4 V	-2	(851+1)	[A473]	BC	8	40
1508	Dias	E	0116	Karaguuka	E789624-6	 	   Ni Ri 		214	Wild	G1 V M4 V	-2	(850-1)	[5499]	BC	8	-40
1900	Dias	E	0116	Karaguuka	E789642-7	 	   Ni Ri 		314	Wild	G1 V M4 V	-2	(852-2)	[9442]	BC	8	-160

1105	Dias	E	0117	Zeranga	B100544-E	 	   Ni Va 		204	ImDs	A1 V	1	(B45-1)	[363C]	B	7	-220
1201	Dias	E	0117	Zeranga	X100000-E	 	   Di Va 		004	ImDs	A1 V	-1	(B00-3)	[0000]	B	7	-33
1364	Dias	E	0117	Zeranga	X100000-E	 	   Di Va 		004	Wild	A1 V	-1	(B00-1)	[0000]	B	7	-11
1508	Dias	E	0117	Zeranga	X100000-E	 	   Di Va 		004	Wild	A1 V	-1	(B00-2)	[0000]	B	7	-22
1900	Dias	E	0117	Zeranga	X100000-E	 	   Di Va 		004	Wild	A1 V	-1	(B00+1)	[0000]	B	7	11

1105	Dias	E	0120	Tomsk	C4247A8-A	 	    Pi (NIL)	A	513	ImDs	M3 V M6 V	1	(D6A+1)	[785A]	BD	7	780
1201	Dias	E	0120	Tomsk	X424000-A	 	   Di Pi (NIL)		013	ImDs	M3 V M6 V	-1	(D00-2)	[0000]	BD	7	-26
1364	Dias	E	0120	Tomsk	X424000-A	 	   Di Pi (NIL)		013	Wild	M3 V M6 V	-1	(D00+1)	[0000]	BD	7	13
1508	Dias	E	0120	Tomsk	X424000-A	 	    Di (NIL)		013	Wild	M3 V M6 V	-1	(D00-2)	[0000]	B	7	-26
1900	Dias	E	0120	Tomsk	X424000-A	 	    Di (NIL)		013	Wild	M3 V M6 V	-1	(D00-2)	[0000]	B	7	-26

1105	Dias	I	0121	Cod	D553200-8	 	   Lo Po 		504	ImDs	M2 V M3 V	-3	(810-5)	[1113]	B	12	-40
1201	Dias	I	0121	Cod	X553110-7	 	   Lo Po 		204	ImDs	M2 V M3 V	-3	(400+2)	[1156]	B	12	8
1364	Dias	I	0121	Cod	X553000-7	 	   Di Po 		004	Wild	M2 V M3 V	-3	(400-3)	[0000]	B	12	-12
1508	Dias	I	0121	Cod	X553000-7	 	   Di Po 		004	Wild	M2 V M3 V	-3	(400-2)	[0000]	B	12	-8
1900	Dias	I	0121	Cod	X553000-7	 	   Di Po 		004	Wild	M2 V M3 V	-3	(400+1)	[0000]	B	12	4

1105	Dias	M	0137	Keeper	C556312-9	 	    Lo 		403	ImDs	K9 V	-1	(820-5)	[1215]	B	9	-80
1201	Dias	M	0137	Keeper	X556200-3	 	    Lo 		103	ImDs	K9 V	-3	(510-1)	[3121]	B	9	-5
1364	Dias	M	0137	Keeper	X556000-3	 	    Di 		003	Wild	K9 V	-3	(500+1)	[0000]	B	9	5
1508	Dias	M	0137	Keeper	X556000-3	 	    Di 		003	Wild	K9 V	-3	(500-2)	[0000]	B	9	-10
1900	Dias	M	0137	Keeper	X556000-3	 	    Di 		003	Wild	K9 V	-3	(500-3)	[0000]	B	9	-15

1105	Dias	M	0138	Ranushana	E100586-A	 	   Ni Va 		304	ImDs	K3 V	-1	(B43-2)	[4449]	B	11	-264
1201	Dias	M	0138	Ranushana	X100000-A	 	   Di Va 		004	ImDs	K3 V	-1	(B00+3)	[0000]	B	11	33
1364	Dias	M	0138	Ranushana	X100000-A	 	   Di Va 		004	Wild	K3 V	-1	(B00+3)	[0000]	B	11	33
1508	Dias	M	0138	Ranushana	X100000-A	 	   Di Va 		004	Wild	K3 V	-1	(B00+1)	[0000]	B	11	11
1900	Dias	M	0138	Ranushana	X100000-A	 	   Di Va 		004	Wild	K3 V	-1	(B00+2)	[0000]	B	11	22

1105	Dias	M	0139	Kiev	A530132-9	 	  De Lo Po 		102	ImDs	M2 V	0	(500-4)	[1115]	B	10	-20
1201	Dias	M	0139	Kiev	X530000-9	 	  De Di Po 		002	ImDs	M2 V	-2	(500+1)	[0000]	B	10	5
1364	Dias	M	0139	Kiev	X530000-9	 	  De Di Po 		002	Wild	M2 V	-2	(500-1)	[0000]	B	10	-5
1508	Dias	M	0139	Kiev	X530000-9	 	  De Di Po 		002	Wild	M2 V	-2	(500+4)	[0000]	B	10	20
1900	Dias	M	0139	Kiev	X530000-9	 	  De Di Po 		002	Wild	M2 V	-2	(500-4)	[0000]	B	10	-20

1105	Dias	A	0202	Chipper	B792743-A	N 	   He Pi (NIL)		803	ImDs	M3 V	2	(C6B-1)	[4927]	BD	8	-792
1201	Dias	A	0202	Chipper	D792788-6	 	   He Pi (NIL)	B	803	ImDs	M3 V	-2	(969+3)	[6558]	BD	8	1458
1364	Dias	A	0202	Chipper	D792000-6	 	  Di He Pi (NIL)		003	Wild	M3 V	-3	(900-1)	[0000]	BD	8	-9
1508	Dias	A	0202	Chipper	D792000-6	 	   Di He (NIL)		003	Wild	M3 V	-3	(900+1)	[0000]	B	8	9
1900	Dias	A	0202	Chipper	D792000-6	 	   Di He (NIL)		003	Wild	M3 V	-3	(900+1)	[0000]	B	8	9

1105	Dias	A	0206	Rann	X89A9AB-6	 	  Hi In Wa (NIL)	R	314	ImDs	K4 V	0	(B88+2)	[B978]	BE	11	1408
1201	Dias	A	0206	Rann	X89A973-6	 	  Hi In Wa (NIL)	B	414	ImDs	K4 V	0	(B87-4)	[7949]	BE	11	-2464
1364	Dias	A	0206	Rann	X89A997-4	 	  Hi In Wa (NIL)		214	Wild	K4 V	0	(B82+3)	[7938]	BE	11	528
1508	Dias	A	0206	Rann	X89A9A9-5	 	  Hi In Wa (NIL)		114	Wild	K4 V	0	(B84+1)	[A951]	BE	11	352
1900	Dias	A	0206	Rann	X89A9DJ-8	 	  Hi In Wa (NIL)		214	Wild	K4 V	0	(G83+3)	[7956]	BE	11	1152

