Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Eali	A	0101	Oirlkho	X573000-0	 	    Ba 		010	Wild	M2 V	-3	(700-4)	[0000]	B	10	-28
Eali	A	0103	Aisaukh	X434000-6	 	    Di 		014	Wild	M2 V	-3	(600+1)	[0000]	B	17	6
Eali	A	0104	Ftearya	X867000-2	 	   Di Ga 		024	Wild	G7 III D	-3	(700-1)	[0000]	B	16	-7
Eali	A	0106	Yaiy'aho	X200000-A	 	   Di Va 		004	Wild	K0 V	-1	(700-2)	[0000]	B	12	-14
Eali	A	0107	Eayuya	E575000-5	 	    Di 		024	Wild	K7 V	-3	(300-3)	[0000]	B	13	-9
Eali	E	0113	Keiaoukhri	X310000-9	 	   Di Na 		000	Wild	M3 V M7 V	-2	(800+2)	[0000]	B	7	16
Eali	E	0114	Iywheiyel	X56A000-4	 	   Di Wa 		003	Wild	K1 V M7 V	-3	(600+4)	[0000]	B	10	24
Eali	E	0115	Eaalkhel	X7B4000-D	 	   Di Fl 		010	Wild	G2 V M0 V	-1	(800-2)	[0000]	B	11	-16
Eali	E	0116	Hkauehirl	E76588D-0	 	  Ga Pa Ri Ph (NIL)		300	Wild	M1 V	-1	(A75+5)	[47A2]	BcCe	9	1750
Eali	E	0119	Ikheaaw	X74A000-A	 	  Di Pi Wa (NIL)		004	Wild	K4 V M2 V M1 V	-1	(D00-2)	[0000]	BD	13	-26
Eali	I	0123	Yeltear	E566000-7	 	    Di 		004	Wild	M9 III D	-3	(500+4)	[0000]	B	7	20
Eali	I	0124	Khaoworl	X310000-8	 	   Di Na 		034	Wild	M0 V M1 V	-3	(F00-1)	[0000]	B	19	-15
Eali	I	0127	Khtewiyh	X7A5000-8	 	   Di Fl 		003	Wild	M2 V M2 V	-3	(800-4)	[0000]	B	11	-32
Eali	I	0130	Eawweaaw	X784000-5	 	    Di 		013	Wild	M7 II D	-3	(300+1)	[0000]	B	15	3
Eali	M	0134	Eaeilr	X431000-6	 	   Di Po 		002	Wild	K9 III D	-3	(300-1)	[0000]	B	8	-3
Eali	A	0201	Uirloikha	E578000-7	 	    Di 		025	Wild	K2 V	-3	(600+1)	[0000]	B	15	6
Eali	A	0206	Tluakheaiy	D578000-4	 	    Di 		013	Wild	G9 II	-3	(700+4)	[0000]	B	10	28
Eali	A	0209	Oalrelyerl	E767000-7	 	   Di Ga 		004	Wild	K0 V M7 V	-3	(600+1)	[0000]	B	14	6
Eali	A	0210	Eauioiwai	X563787-0	 	    Ri (NIL)		523	Wild	K2 V	-1	(969+1)	[6661]	BC	12	486
Eali	E	0213	Khteauwel	D687789-4	 	   Ag Ri Ga (NIL)		131	Wild	K4 IV M9 V	0	(967-2)	[C738]	BC	16	-756
Eali	E	0215	Aihaowkhtirl	X100000-7	 	   Di Va 		012	Wild	M1 V	-3	(300+2)	[0000]	B	10	6
Eali	I	0221	Areaarleih	X633000-6	 	   Di Px Po 		024	Wild	M2 V M2 V	-3	(600-1)	[0000]	B	15	-6
Eali	I	0222	Hluahyahe	X526000-7	 	    Di 		003	Wild	M2 V M5 V	-3	(300+2)	[0000]	B	11	6
Eali	I	0224	Eieyasoir	X697000-6	 	    Di 		004	Wild	M1 V M5 V M5 V	-3	(300+5)	[0000]	B	9	15
Eali	I	0227	Khaiheista	X542000-8	 	  Di He Pi Po (NIL)		001	Wild	M2 V	-3	(B00+4)	[0000]	BD	6	44
Eali	M	0231	Arlasye	E546000-8	 	   Di Pi (NIL)		013	Wild	M3 V	-3	(D00+2)	[0000]	BD	14	26
Eali	M	0233	Yawaaikh	X7A2000-C	 	   Di Fl He 		015	Wild	M2 V	-1	(900-1)	[0000]	B	13	-9
Eali	M	0234	Htaoairlawi	X422000-B	 	  Di He Px Po 		004	Wild	K3 V M1 V	-1	(B00+2)	[0000]	B	17	22
Eali	M	0240	Failraiskea	X788000-6	 	    Di 		004	Wild	F2 V	-3	(700-4)	[0000]	B	13	-28
Eali	A	0305	Oilrakhesaoh	X310000-B	 	    Di 		014	Wild	M2 V	-1	(B00+2)	[0000]	B	17	22
Eali	A	0307	Yohiyalyo	X8B3000-A	 	  Di Fl Px 		004	Wild	M1 V M8 V	-1	(A00-1)	[0000]	B	8	-10
Eali	A	0309	Aweakhei	X7A5000-C	 	   Di Fl 		002	Wild	K2 V	-1	(500+1)	[0000]	B	6	5
Eali	E	0311	Yeiyearailia	X100000-D	 	   Di Va 		004	Wild	G6 V	-1	(900-3)	[0000]	B	15	-27
Eali	E	0318	Aulaiiyoileah	X310000-E	 	    Di 		024	Wild	M1 V	-1	(D00+4)	[0000]	B	11	52
Eali	E	0320	Ftuiheaoel	X64A000-2	 	   Di Wa 		004	Wild	M3 V	-3	(400+4)	[0000]	B	14	16
Eali	I	0322	Oiaoilr	X000000-B	 	   As Va Di 		005	Wild	K2 V	-1	(B00+2)	[0000]	B	14	22
Eali	M	0332	Yerlaiaie	X522000-7	 	  Di He Na Px Po 		005	Wild	M2 V	-3	(800+1)	[0000]	B	16	8
Eali	A	0401	Yohiyalyo	X310000-A	 	    Di 		004	Wild	K2 V	-1	(B00-1)	[0000]	B	11	-11
Eali	A	0404	Kiryewola	X542000-6	 	  Di He Po 		010	Wild	G3 V M1 V	-3	(600-3)	[0000]	B	6	-18
Eali	A	0405	Yofteihya	X310000-C	 	   Di Na Pi 		000	Wild	M0 V M2 V	-1	(900+4)	[0000]	BD	10	36
Eali	A	0410	Yulyuaihyaoi	X531000-A	 	   Di Po 		000	Wild	K9 V	-1	(300-2)	[0000]	B	9	-6
Eali	E	0414	Aliyaeakh	X424000-7	 	    Di 		000	Wild	M1 V M8 V	-3	(500-3)	[0000]	B	7	-15
Eali	E	0416	Iyaleweawaooi	X310000-9	 	    Di 		003	Wild	M5 III	-2	(600-3)	[0000]	B	9	-18
Eali	E	0418	Teiih	X310000-8	 	   Di Na Pi 		013	Wild	M3 V	-3	(D00-2)	[0000]	BD	14	-26
Eali	E	0419	Oukhheatrui	X310000-9	 	    Di 		024	Wild	K4 V	-2	(C00-2)	[0000]	B	12	-24
Eali	E	0420	Uieyuh	X848000-5	 	    Di 		021	Wild	K4 V	-3	(700-2)	[0000]	B	8	-14
Eali	I	0422	Aiwaueil	E666557-6	 	  Ag Pr Ga Ni 		100	Wild	M0 V	-2	(740+3)	[6337]	BcC	8	84
Eali	I	0427	Eiwiilroah	X553000-3	 	   Di Po 		004	Wild	M3 V M8 V	-3	(500-2)	[0000]	B	12	-10
Eali	I	0429	Ihhroeiyasas	X66A538-3	 	  Ni Pr Wa 		113	Wild	G2 V	-3	(742-1)	[8224]	Bc	14	-56
Eali	M	0431	O'hfyuiyw	X424000-B	 	    Di 		023	Wild	G0 V	-1	(D00+1)	[0000]	B	16	13
Eali	M	0432	Auyashrakhew	X8B6000-A	 	   Di Fl 		002	Wild	M2 V	-1	(800+3)	[0000]	B	10	24
Eali	M	0437	Hyayelaa	X789000-5	 	    Di 		003	Wild	K0 V M3 V	-3	(600-1)	[0000]	B	8	-6
Eali	M	0439	Yoaokheah	D59A000-6	 	   Di Wa 		003	Wild	K0 V	-3	(300-5)	[0000]	B	16	-15
Eali	E	0511	Uawiywei	X772000-4	 	   Di He 		024	Wild	M1 V M7 V	-3	(400+3)	[0000]	B	13	12
Eali	E	0512	Eilriaiaus	X574000-3	 	   Di Pi (NIL)		023	Wild	K1 V M0 V	-3	(A00-4)	[0000]	BD	13	-40
Eali	E	0513	Aokah	X574000-6	 	    Di 		000	Wild	M0 II D	-3	(800+3)	[0000]	B	12	24
Eali	E	0514	Altleaair	E561000-8	 	    Di 		005	Wild	K7 II D	-3	(800+1)	[0000]	B	13	8
Eali	E	0517	Hleaew	X531000-8	 	   Di Px Po 		021	Wild	M3 V	-3	(A00-1)	[0000]	B	8	-10
Eali	E	0520	Uiheaail	X200000-E	 	  Di Na Pi Va 		014	Wild	M1 V M5 V	-1	(E00-1)	[0000]	BD	13	-14
Eali	I	0522	Eaalrhteir	X100000-D	 	   Di Va 		000	Wild	G8 V M2 V	-1	(500-3)	[0000]	B	8	-15
Eali	I	0523	Olrlauaai	X8C3000-B	 	   Di Fl (ENIL)		000	Wild	M0 III	-1	(A00-1)	[0000]	B	9	-10
Eali	I	0530	Eahyeai	X543000-5	 	   Di Po 		002	Wild	K0 V	-3	(800+2)	[0000]	B	8	16
Eali	M	0540	Aiwtleal	X527000-B	 	   Di Pi (NIL)		014	Wild	M2 V	-1	(E00+1)	[0000]	BD	10	14
Eali	A	0603	Fiykhaseal	X692000-4	 	   Di He 		012	Wild	M2 V M5 V	-3	(600-2)	[0000]	B	12	-12
Eali	A	0605	Arlyasoi	X87A000-6	 	   Di Wa 		000	Wild	M1 V	-3	(500-4)	[0000]	B	7	-20
Eali	A	0607	Eaesyoalea	X8A8000-8	 	   Di Fl 		004	Wild	G0 V	-3	(B00-4)	[0000]	B	15	-44
