Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Eali	A	0101	Oirlkho	B57357A-B	 	    Ni 		310	AsSc	M2 V	1	(845+3)	[767D]	B	10	480
1201	Eali	A	0101	Oirlkho	X573440-0	 	    Ni 		610	AsSc	M2 V	-3	(733-2)	[6131]	B	10	-126
1364	Eali	A	0101	Oirlkho	X573000-0	 	    Ba 		010	Wild	M2 V	-3	(700-4)	[0000]	B	10	-28
1508	Eali	A	0101	Oirlkho	X573000-0	 	    Ba 		010	Wild	M2 V	-3	(700+1)	[0000]	B	10	7
1900	Eali	A	0101	Oirlkho	X573000-0	 	    Ba 		010	Wild	M2 V	-3	(700-4)	[0000]	B	10	-28

1105	Eali	A	0103	Aisaukh	X43449A-6	 	    Ni 	R	514	AsMw	M2 V	-3	(631-1)	[6178]	B	17	-18
1201	Eali	A	0103	Aisaukh	X434000-6	 	    Di 		014	AsMw	M2 V	-3	(600-2)	[0000]	B	17	-12
1364	Eali	A	0103	Aisaukh	X434000-6	 	    Di 		014	Wild	M2 V	-3	(600+1)	[0000]	B	17	6
1508	Eali	A	0103	Aisaukh	X434000-6	 	    Di 		014	Wild	M2 V	-3	(600-5)	[0000]	B	17	-30
1900	Eali	A	0103	Aisaukh	X434000-6	 	    Di 		014	Wild	M2 V	-3	(600-3)	[0000]	B	17	-18

1105	Eali	A	0104	Ftearya	B8675A7-9	 	  Ag Pr Ga Ni 		924	AsWc	G7 III D	1	(D45+1)	[5659]	BcC	16	260
1201	Eali	A	0104	Ftearya	X867577-2	 	  Ag Pr Ga Ni 	B	524	AsWc	G7 III D	-2	(741-2)	[1315]	BcC	16	-56
1364	Eali	A	0104	Ftearya	X867000-2	 	   Di Ga 		024	Wild	G7 III D	-3	(700-1)	[0000]	B	16	-7
1508	Eali	A	0104	Ftearya	X867000-2	 	   Di Ga 		024	Wild	G7 III D	-3	(700-2)	[0000]	B	16	-14
1900	Eali	A	0104	Ftearya	X867000-2	 	   Di Ga 		024	Wild	G7 III D	-3	(700+2)	[0000]	B	16	14

1105	Eali	A	0106	Yaiy'aho	B200166-A	 	   Lo Va 		504	AsT9	K0 V	1	(701+1)	[1249]	B	12	7
1201	Eali	A	0106	Yaiy'aho	X200000-A	 	   Di Va 		004	AsT9	K0 V	-1	(700+1)	[0000]	B	12	7
1364	Eali	A	0106	Yaiy'aho	X200000-A	 	   Di Va 		004	Wild	K0 V	-1	(700-2)	[0000]	B	12	-14
1508	Eali	A	0106	Yaiy'aho	X200000-A	 	   Di Va 		004	Wild	K0 V	-1	(700+1)	[0000]	B	12	7
1900	Eali	A	0106	Yaiy'aho	X200000-A	 	   Di Va 		004	Wild	K0 V	-1	(700+2)	[0000]	B	12	14

1105	Eali	A	0107	Eayuya	C575167-8	 	    Lo 		924	AsTv	K7 V	-2	(900-2)	[1158]	B	13	-18
1201	Eali	A	0107	Eayuya	E575242-5	 	    Lo 		524	AsTv	K7 V	-3	(310-5)	[3151]	B	13	-15
1364	Eali	A	0107	Eayuya	E575000-5	 	    Di 		024	Wild	K7 V	-3	(300-3)	[0000]	B	13	-9
1508	Eali	A	0107	Eayuya	E575000-5	 	    Di 		024	Wild	K7 V	-3	(300+3)	[0000]	B	13	9
1900	Eali	A	0107	Eayuya	E575000-5	 	    Di 		024	Wild	K7 V	-3	(300+1)	[0000]	B	13	3

1105	Eali	E	0113	Keiaoukhri	B3106AB-9	 	   Na Ni 	A	100	AsWc	M3 V M7 V	0	(854+2)	[867B]	B	7	320
1201	Eali	E	0113	Keiaoukhri	X310000-9	 	   Di Na 		000	AsWc	M3 V M7 V	-2	(800+1)	[0000]	B	7	8
1364	Eali	E	0113	Keiaoukhri	X310000-9	 	   Di Na 		000	Wild	M3 V M7 V	-2	(800+2)	[0000]	B	7	16
1508	Eali	E	0113	Keiaoukhri	X310000-9	 	    Di 		000	Wild	M3 V M7 V	-2	(800-2)	[0000]	B	7	-16
1900	Eali	E	0113	Keiaoukhri	X310000-9	 	    Di 		000	Wild	M3 V M7 V	-2	(800-2)	[0000]	B	7	-16

1105	Eali	E	0114	Iywheiyel	A56A497-C	 	   Ni Wa 		903	AsWc	K1 V M7 V	1	(934+1)	[455C]	B	10	108
1201	Eali	E	0114	Iywheiyel	X56A410-4	 	   Ni Wa 	B	503	AsWc	K1 V M7 V	-3	(630+1)	[7152]	B	10	18
1364	Eali	E	0114	Iywheiyel	X56A000-4	 	   Di Wa 		003	Wild	K1 V M7 V	-3	(600+4)	[0000]	B	10	24
1508	Eali	E	0114	Iywheiyel	X56A000-4	 	   Di Wa 		003	Wild	K1 V M7 V	-3	(600+1)	[0000]	B	10	6
1900	Eali	E	0114	Iywheiyel	X56A000-4	 	   Di Wa 		003	Wild	K1 V M7 V	-3	(600+2)	[0000]	B	10	12

1105	Eali	E	0115	Eaalkhel	A7B459A-D	 	   Fl Ni 		310	AsWc	G2 V M0 V	1	(845+3)	[767F]	B	11	480
1201	Eali	E	0115	Eaalkhel	X7B4000-D	 	   Di Fl 		010	AsWc	G2 V M0 V	-1	(800-1)	[0000]	B	11	-8
1364	Eali	E	0115	Eaalkhel	X7B4000-D	 	   Di Fl 		010	Wild	G2 V M0 V	-1	(800-2)	[0000]	B	11	-16
1508	Eali	E	0115	Eaalkhel	X7B4000-D	 	   Di Fl 		010	Wild	G2 V M0 V	-1	(800+3)	[0000]	B	11	24
1900	Eali	E	0115	Eaalkhel	X7B4000-D	 	   Di Fl 		010	Wild	G2 V M0 V	-1	(800-3)	[0000]	B	11	-24

1105	Eali	E	0116	Hkauehirl	C7658DA-6	 	  Ga Pa Ri Ph (NIL)	A	600	AsT8	M1 V	0	(A77+2)	[A878]	BcCe	9	980
1201	Eali	E	0116	Hkauehirl	E765873-4	 	  Ga Pa Ri Ph (NIL)	B	700	AsT8	M1 V	-1	(A78-2)	[8773]	BcCe	9	-1120
1364	Eali	E	0116	Hkauehirl	E76588D-0	 	  Ga Pa Ri Ph (NIL)		300	Wild	M1 V	-1	(A75+5)	[47A2]	BcCe	9	1750
1508	Eali	E	0116	Hkauehirl	E765887-1	 	  Ga Pa Ri Ph (NIL)		200	Wild	M1 V	-1	(A78-4)	[4731]	BcCe	9	-2240
1900	Eali	E	0116	Hkauehirl	E765898-2	 	  Ga Pa Ri Ph (NIL)		300	Wild	M1 V	-1	(A79+4)	[C741]	BcCe	9	2520

1105	Eali	E	0119	Ikheaaw	C74A7C8-A	 	   Pi Wa (NIL)	A	204	AsWc	K4 V M2 V M1 V	1	(D6A+1)	[785A]	BD	13	780
