Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Empt	A	0110	Akgakhong	X501000-B	 	   Di Ic Va 		010	JuRu	M1 V	-1	(400-2)	[0000]	B	14	-8
Empt	E	0111	Kfueng	X421000-7	 	  Di He Po 		000	JuRu	M1 V M8 V	-3	(600+2)	[0000]	B	9	12
Empt	E	0116	Laenthataek	E540500-4	 	  De He Ni Po 		502	JuRu	G2 V	-3	(740+1)	[1293]	B	10	28
Empt	I	0127	Ababat	D757668-6	 	  Ag Ga Ni 		234	ImDa	K0 V	-2	(850-4)	[3459]	BC	14	-160
Empt	I	0128	Saffron	X540322-4	 	  De He Lo Po 	B	503	ImDa	G2 V	-3	(520+2)	[2123]	B	6	20
Empt	M	0132	Karsaka	D540522-6	 	  De He Ni Po 		302	ImDa	F9 V	-3	(742+2)	[5277]	B	11	112
Empt	M	0134	Rommel	X7B6000-9	 	   Di Fl (ENIL)		002	ImDa	M3 V	-2	(B00+3)	[0000]	B	10	33
Empt	M	0138	Guukerrii	X763210-1	 	    Lo 		801	ImDa	G1 V	-3	(410-4)	[5131]	B	8	-16
Empt	M	0139	Zukhisa	D574979-5	 	   Hi In (NIL)	B	812	ImDa	F9 V G5 V	0	(B87+3)	[C946]	BE	10	1848
Empt	M	0140	Ishkhigu	X413000-7	 	  Di Ic Na Pi 		024	ImDa	K1 V	-3	(A00+1)	[0000]	BD	16	10
Empt	A	0201	Odzsouu	X89A522-3	 	   Ni Wa 	B	223	JuRu	G1 V	-3	(740-2)	[8263]	B	12	-56
Empt	A	0204	Sekhthodu	X7C3000-9	 	   Di Fl 		024	JuRu	M1 V M5 V	-2	(C00-3)	[0000]	B	12	-36
Empt	A	0205	Roenksu	X65A549-6	 	   Ni Wa 	B	522	JuRu	K4 V M6 V	-3	(741+2)	[5229]	B	15	56
Empt	A	0206	Kuell	C572797-8	 	   He Pi (NIL)		624	JuRu	K2 V	-1	(F64-4)	[3637]	BD	17	-1440
Empt	A	0208	Ikon	X553000-1	 	   Di Po (NIL)		003	JuRu	K5 V	-3	(C00+1)	[0000]	B	12	12
Empt	E	0213	Thaeallikh	D566676-6	 	   Ag Ri Ni 		823	JuRu	G0 V	-1	(850-1)	[8575]	BC	13	-40
Empt	E	0216	Vuensoe	X542135-4	 	  He Lo Po 	B	602	JuRu	F9 V	-3	(500-4)	[4184]	B	7	-20
Empt	I	0227	Lukaau	X550977-4	 	  De Hi Po (NIL)	B	303	ImDa	K0 V	-1	(984+2)	[9892]	BE	12	576
Empt	I	0228	Mikik	X5409C9-4	 	  De He Hi In Po (NIL)	B	623	ImDa	M0 V	0	(B85+3)	[7961]	BE	11	1320
Empt	I	0229	Wesaswek	X886868-5	 	  Ga Pa Ri Ph (NIL)	B	225	ImDa	F5 V	-1	(A78+2)	[6754]	BcCe	10	1120
Empt	M	0231	Surogota	E55459C-5	 	   Ag Ni 	B	223	ImDa	G9 V	-2	(740+4)	[6333]	BC	8	112
Empt	M	0232	Sharduuaan	X533000-6	 	   Di Po 		023	ImDa	K8 V	-3	(500+1)	[0000]	B	8	5
Empt	M	0234	Barindra	X77A114-5	 	   Lo Wa 		523	ImDa	K3 V M6 V	-3	(800+4)	[1159]	B	14	32
Empt	M	0238	Kali	X300000-C	 	   Di Va 		020	ImDa	K7 V	-1	(900-2)	[0000]	B	12	-18
Empt	A	0302	Knaekiril	B540542-4	 	  De He Ni Po 		323	JuRu	G0 V	-1	(741+5)	[1468]	B	12	140
Empt	A	0305	Suezkha	D543459-7	 	   Ni Po 		223	JuRu	K5 V	-3	(631-2)	[116A]	B	16	-36
Empt	A	0308	Gvurrdakh	E653889-6	 	   Ph Po (NIL)	B	803	JuRu	M1 V	-2	(A75-1)	[863A]	Be	8	-350
Empt	E	0311	Aerrogh	E540400-7	 	  De He Ni Po 		523	JuRu	G2 V M0 V	-3	(630-2)	[5177]	B	9	-36
Empt	E	0314	Saerrogh	X310000-E	 	    Di 		013	JuRu	M4 V	-1	(700+3)	[0000]	B	12	21
Empt	I	0325	Faiza	X798252-3	 	    Lo 		123	NaHu	G2 V	-3	(410+1)	[1163]	B	9	4
Empt	I	0327	Upkugi	X64A487-3	 	   Ni Wa 	B	400	ImDa	M1 V M6 V	-3	(732+3)	[3161]	B	8	126
Empt	I	0328	Hadiya	X201000-E	 	   Di Ic Va 		023	NaHu	K3 V M7 V	-1	(800+2)	[0000]	B	12	16
Empt	I	0329	Wabeab	X566679-5	 	   Ag Ri Ni 		924	ImDa	G1 V M0 V	-1	(854-3)	[B568]	BC	17	-480
Empt	M	0334	Gudina	E7869BB-8	 	  Ga Hi Pr (NIL)	B	324	ImDa	G6 V M4 V	-1	(H89-2)	[B858]	BcE	9	-2448
Empt	M	0337	Pugaash	D8968C9-6	 	  Mr Pa Pi Ph (NIL)	B	623	ImDa	G7 V M4 V	-2	(A79-2)	[6648]	BcDe	14	-1260
Empt	M	0338	Nulinad	B556441-3	NS	  Cs Ni Pa (NIL)	B	323	ImDa	K6 V M0 V	0	(B36-3)	[3451]	BcF	14	-594
Empt	M	0339	Harshad	D559303-7	 	    Lo 		522	ImDa	G4 V	-3	(320+4)	[1156]	B	8	24
Empt	M	0340	Gagukam	D566454-6	 	   Ni Pa 		322	ImDa	F7 V M6 V	-3	(630-2)	[5124]	Bc	11	-36
Empt	A	0406	Varkh Bhargra	X100000-9	 	   Di Va 		024	JuRu	M1 V M8 V	-2	(B00-4)	[0000]	B	17	-44
Empt	A	0410	Tsai	E686677-2	 	  Ag Ri Ga Ni 	B	813	JuRu	K5 V	-1	(852+3)	[8554]	BC	11	240
Empt	E	0414	Kakhasaek	E875954-7	 	   Hi Pi (NIL)		110	JuRu	K4 V	-1	(A85-1)	[B858]	BDE	10	-400
Empt	I	0426	Marhaban	X56976D-4	 	   Cp Ri (NIL)		701	ImDa	G4 V M0 V M2 V M6 V	-1	(968+1)	[8665]	BCF	12	432
Empt	M	0435	Gingesh	X420000-C	 	  De He Di Po 		013	ImDa	G8 V M3 V	-1	(B00-2)	[0000]	B	11	-22
