Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Empt	A	0110	Akgakhong	C501100-B	 	   Ic Va Lo 		910	JuRu	M1 V	0	(400-4)	[1116]	B	14	-16
1201	Empt	A	0110	Akgakhong	X501000-B	 	   Di Ic Va 		010	JuRu	M1 V	-1	(400-2)	[0000]	B	14	-8
1240	Empt	A	0110	Akgakhong	X501000-B	 	   Di Ic Va 		010	Wild	M1 V	-1	(400-1)	[0000]	B	14	-4
1508	Empt	A	0110	Akgakhong	X501000-B	 	   Di Ic Va 		010	Wild	M1 V	-1	(400-5)	[0000]	B	14	-20
1900	Empt	A	0110	Akgakhong	X501000-B	 	   Di Ic Va 		010	Wild	M1 V	-1	(400+1)	[0000]	B	14	4

1105	Empt	E	0111	Kfueng	D421435-7	 	  He Ni Po 		900	JuRu	M1 V M8 V	-3	(631-5)	[2135]	B	9	-90
1201	Empt	E	0111	Kfueng	X421000-7	 	  Di He Po 		000	JuRu	M1 V M8 V	-3	(600+2)	[0000]	B	9	12
1240	Empt	E	0111	Kfueng	X421000-7	 	  Di He Po 		000	Wild	M1 V M8 V	-3	(600+3)	[0000]	B	9	18
1508	Empt	E	0111	Kfueng	X421000-7	 	  Di He Po 		000	Wild	M1 V M8 V	-3	(600+2)	[0000]	B	9	12
1900	Empt	E	0111	Kfueng	X421000-7	 	  Di He Po 		000	Wild	M1 V M8 V	-3	(600+3)	[0000]	B	9	18

1105	Empt	E	0116	Laenthataek	C540541-5	 	  De He Ni Po 		802	JuRu	G2 V	-2	(742-5)	[1311]	B	10	-280
1201	Empt	E	0116	Laenthataek	E540500-4	 	  De He Ni Po 		502	JuRu	G2 V	-3	(740+1)	[1293]	B	10	28
1240	Empt	E	0116	Laenthataek	E540416-1	 	  De He Ni Po 		202	Wild	G2 V	-3	(730+4)	[1191]	B	10	84
