Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Fadz	E	0113	Ghaerergvoulorz	C9A2720-7	 	Fl He 		320	Wild	F6 V	{ -1 }	(B64-4)	[36A7]	B	0	-1056
Fadz	E	0119	Dhuou	X596000-0	 	Ba 		024	Wild	F7 V M2 D	{ -3 }	(800+2)	[0000]	B	0	16
Fadz	I	0124	Rangoenghorar	X240000-8	 	De Di Po 		002	Wild	F6 V M1 D	{ -3 }	(A00-1)	[0000]	B	0	-10
Fadz	M	0131	Kiou	X534000-5	 	Di 		028	Wild	M6 V M8 D	{ -3 }	(A00+1)	[0000]	B	0	10
Fadz	M	0132	Kiou	X534000-5	 	Di 		028	Wild	M6 V M8 D	{ -3 }	(700+1)	[0000]	B	0	7
Fadz	M	0133	Dovo	D748000-6	 	Di 		004	Wild	F0 V M0 D	{ -3 }	(900+1)	[0000]	B	0	9
Fadz	M	0134	Dovo	D748000-6	 	Di 		004	Wild	F0 V M0 D	{ -3 }	(600-3)	[0000]	B	0	-18
Fadz	M	0135	Kadhaenikhs	X73A000-B	 	Di Wa 		001	Wild	M7 V	{ -1 }	(300-1)	[0000]	B	0	-3
Fadz	M	0137	Kadhaenikhs	X73A000-B	 	Di Wa 		001	Wild	M7 V	{ -1 }	(600-1)	[0000]	B	0	-6
Fadz	A	0201	Dzaerangaersoen	D655000-4	 	Di Ga 		025	Wild	G0 V M5 D	{ -3 }	(600+4)	[0000]	B	0	24
Fadz	A	0205	Ksoedhoksikduegh	C300453-9	 	Ni Va 		302	Wild	M0 V	{ -1 }	(931+3)	[5348]	B	0	81
Fadz	E	0213	Khuekoekoeksghan	E7A4000-B	 	Di Fl 		000	Wild	F7 V	{ -1 }	(900-1)	[0000]	B	0	-9
Fadz	E	0218	Ikaekoeng	X335000-5	 	Di 		002	Wild	K0 V K6 V	{ -3 }	(500-1)	[0000]	B	0	-5
Fadz	I	0221	Ghaksoenkankfongoghaedz	D361000-7	 	Di 		004	Wild	F6 V	{ -3 }	(400+1)	[0000]	B	0	4
Fadz	I	0230	Radzaenodztsaerr	X334000-5	 	Di 		007	Wild	M1 V M7 D	{ -3 }	(400+1)	[0000]	B	0	4
Fadz	M	0232	Radzaenodztsaerr	X334000-5	 	Di 		007	Wild	M1 V M7 D	{ -3 }	(800+3)	[0000]	B	0	24
Fadz	M	0238	Ruekhsaelkodzors	D596000-6	 	Di 		014	Wild	F6 V	{ -3 }	(700-1)	[0000]	B	0	-7
Fadz	A	0304	Vudhgnaghz	B436974-A	 	Hi 		212	Wild	F4 V M6 D	{ 3 }	(88D+2)	[6CAD]	BE	0	1664
Fadz	A	0309	Angudhfuegh	A230400-B	 	De Ni Po 		302	Wild	M3 V	{ 1 }	(933-2)	[3558]	B	0	-162
Fadz	A	0310	Angudhfuegh	E230000-C	 	De Di Po 		002	Wild	M3 V	{ -1 }	(900+5)	[0000]	B	0	45
Fadz	E	0313	Saaetsoukhksaeng	D544000-A	 	Di 		001	Wild	F5 V	{ -1 }	(700-4)	[0000]	B	0	-28
Fadz	E	0314	Saaetsoukhksaeng	X544000-A	 	Di 		001	Wild	F5 V	{ -1 }	(500-4)	[0000]	B	0	-20
Fadz	E	0319	Gougzagvoe	X736000-6	 	Di 		005	Wild	M3 V M2 D	{ -3 }	(500+2)	[0000]	B	0	10
Fadz	E	0320	Gougzagvoe	X736000-6	 	Di 		005	Wild	M3 V M2 D	{ -3 }	(700-2)	[0000]	B	0	-14
Fadz	I	0323	Llikhun	D767000-3	 	Di Ga 		010	Wild	F8 V	{ -3 }	(600+3)	[0000]	B	0	18
Fadz	I	0324	Errfaghgnaekhdhol	X532000-A	 	Di Po 		000	Wild	M5 V	{ -1 }	(400+3)	[0000]	B	0	12
Fadz	M	0335	Ulliannoerr	D374000-6	 	Di 		007	Wild	F5 V M0 D	{ -3 }	(A00+2)	[0000]	B	0	20
Fadz	M	0336	Ulliannoerr	D374000-7	 	Di 		007	Wild	F5 V M0 D	{ -3 }	(A00-3)	[0000]	B	0	-30
Fadz	M	0338	Duerrkhueth	E573000-5	 	Di 		013	Wild	F0 V M1 D	{ -3 }	(C00-1)	[0000]	B	0	-12
Fadz	M	0339	Duerrkhueth	E573000-7	 	Di 		013	Wild	F0 V M1 D	{ -3 }	(600-1)	[0000]	B	0	-6
Fadz	A	0401	Kfaengozil	E877000-5	 	Di 		010	Wild	F2 V	{ -3 }	(600+2)	[0000]	B	0	12
Fadz	A	0404	Dzoeghdzalogkfalanoghoks	A232740-8	 	Na Po 		100	Wild	G8 II	{ 0 }	(36A-4)	[279A]	B	0	-720
Fadz	A	0406	Dhustsogruenaerdzughz	E3407BD-5	 	De He Pi Po 		307	Wild	K2 V M8 D	{ -2 }	(469+1)	[A519]	BD	0	216
Fadz	A	0408	Rronguel	C251675-5	 	Ni Po 		115	Wild	F3 V M2 D	{ -2 }	(550-1)	[6482]	B	0	-25
Fadz	A	0410	Rronguel	C251676-5	 	Ni Po 		215	Wild	F3 V M2 D	{ -2 }	(854+2)	[5485]	B	0	320
Fadz	E	0412	Rronguel	C251644-5	 	Ni Po 		215	Wild	F3 V M2 D	{ -2 }	(652+5)	[5432]	B	0	300
Fadz	E	0413	Ksoughzlerrglaethoer	C36059C-5	 	De Ni Pr 		402	Wild	F0 V M6 D	{ -2 }	(744-2)	[13A6]	Bc	0	-224
Fadz	E	0415	Zakhsounzuekathzaekhsrel	E210000-B	 	Di 		003	Wild	G4 V	{ -1 }	(B00+3)	[0000]	B	0	33
Fadz	E	0419	Ngaeknonogh	X400000-6	 	Di Va 		003	Wild	M0 V	{ -3 }	(400+1)	[0000]	B	0	4
Fadz	I	0424	Llokhsuezaeloenggvaerrkhoksi	X738000-B	 	Di 		004	Wild	M5 V	{ -1 }	(C00+1)	[0000]	B	0	12
Fadz	M	0433	Onguerrighzounnguerra	D546000-8	 	Di 		003	Wild	F9 V	{ -3 }	(800-4)	[0000]	B	0	-32
Fadz	M	0434	Onguerrighzounnguerra	X546000-7	 	Di 		003	Wild	F9 V	{ -3 }	(700-2)	[0000]	B	0	-14
