Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Fadz	E	0113	Ghaerergvoulorz	C9A2777-8	 	Fl He 		920	Ve	F6 V	{ 0 }	(D69+1)	[]	B	0	0
1157	Fadz	E	0113	Ghaerergvoulorz	C9A27A8-6	 	Fl He 		420	Wild	F6 V	{ -1 }	(B67-2)	[7659]	B	0	-924
1508	Fadz	E	0113	Ghaerergvoulorz	C9A2720-7	 	Fl He 		320	Wild	F6 V	{ -1 }	(B64-4)	[36A7]	B	0	-1056
1201	Fadz	E	0113	Ghaerergvoulorz	X9A2000-7	 	Di Fl He 		020	Wild	F6 V	{ -3 }	(B00+2)	[0000]	B	0	22
1900	Fadz	E	0113	Ghaerergvoulorz	B9A2155-C	 	Fl He Lo 		820	NaVa	F6 V	{ 1 }	(D01-5)	[2239]	B	0	-65

1105	Fadz	E	0119	Dhuou	B596211-4	 	Lo 		424	Ve	F7 V M2 D	{ 0 }	(810-2)	[]	B	0	0
1201	Fadz	E	0119	Dhuou	X596125-0	 	Lo 		724	Ve	F7 V M2 D	{ -3 }	(800+1)	[2121]	B	0	8
1157	Fadz	E	0119	Dhuou	X596000-0	 	Ba 		024	Wild	F7 V M2 D	{ -3 }	(800-2)	[0000]	B	0	-16
1508	Fadz	E	0119	Dhuou	X596000-0	 	Ba 		024	Wild	F7 V M2 D	{ -3 }	(800+2)	[0000]	B	0	16
1900	Fadz	E	0119	Dhuou	D596743-0	 	Ag Pi 		224	NaVa	F7 V M2 D	{ -1 }	(865+1)	[3691]	BCD	0	240

1105	Fadz	I	0124	Rangoenghorar	C240002-8	 	De Di Po 		202	Ve	F6 V M1 D	{ 0 }	(A00+1)	[]	B	0	0
1201	Fadz	I	0124	Rangoenghorar	X240002-8	 	De Di Po 		202	Ve	F6 V M1 D	{ -3 }	(A00-2)	[0000]	B	0	-20
1157	Fadz	I	0124	Rangoenghorar	X240000-8	 	De Di Po 		002	Wild	F6 V M1 D	{ -3 }	(A00+1)	[0000]	B	0	10
1508	Fadz	I	0124	Rangoenghorar	X240000-8	 	De Di Po 		002	Wild	F6 V M1 D	{ -3 }	(A00-1)	[0000]	B	0	-10
1900	Fadz	I	0124	Rangoenghorar	E240545-A	 	De Ni Po 		602	NaVa	F6 V M1 D	{ -1 }	(A40-4)	[A469]	B	0	-160

1105	Fadz	M	0131	Kiou	E534326-5	 	Lo Px 		128	Ve	M6 V M8 D	{ 0 }	(A20-3)	[]	B	0	0
1201	Fadz	M	0131	Kiou	X534000-5	 	Di Px 		028	Ve	M6 V M8 D	{ -3 }	(A00+1)	[0000]	B	0	10
1157	Fadz	M	0131	Kiou	X534000-5	 	Di Px 		028	Wild	M6 V M8 D	{ -3 }	(A00+1)	[0000]	B	0	10
1508	Fadz	M	0131	Kiou	X534000-5	 	Di 		028	Wild	M6 V M8 D	{ -3 }	(A00+1)	[0000]	B	0	10
