Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Farf	A	0101	Vrialmanj	E573000-7	 	    Di 		004	Wild	K0 V	-3	(700+1)	[0000]	B	17	7
Farf	A	0105	Jdinz	B42778A-9	 	    Pi (NIL)		920	Wild	M3 III M1 V	1	(C66+1)	[788C]	BD	9	432
Farf	A	0108	Chtanshar	E95A000-E	 	   Di Wa 		001	Wild	F1 V	-1	(700+3)	[0000]	B	12	21
Farf	A	0109	Ishashiel	E774000-8	 	    Di 		003	Wild	K1 V	-3	(900+1)	[0000]	B	15	9
Farf	A	0110	Tsief	X200000-A	T 	   Di Va 		002	Wild	M0 V	-1	(900-2)	[0000]	B	14	-18
Farf	E	0111	Zhiafefezh	E200000-0	 	   Ba Va 		024	Wild	G4 IV	-3	(B00+1)	[0000]	B	14	11
Farf	E	0115	Blieplitl	B663899-8	 	   Ph Ri (NIL)		704	Wild	M0 V	1	(F78+1)	[494B]	BCe	11	840
Farf	E	0116	Zhans	E564000-0	 	    Ba 		024	Wild	G6 V	-3	(B00-1)	[0000]	B	14	-11
Farf	E	0117	Ievrchipr	X431000-8	 	   Di Po 		004	Wild	M1 V	-3	(B00-1)	[0000]	B	16	-11
Farf	E	0119	Kitl	E000000-9	W	   As Va Di 		002	Wild	M1 V	-1	(700+2)	[0000]	B	12	14
Farf	I	0123	Acropolis	A887536-8	 	  Ag Pr Ga Ni 		322	Wild	G6 V	0	(846+1)	[555B]	BcC	9	192
Farf	I	0124	Belekz	X553000-A	 	   Di Po 		000	Wild	F8 V	-1	(600-1)	[0000]	B	5	-6
Farf	I	0125	Drawmij	E5699AA-6	 	   Hi Pr (NIL)		303	Wild	G9 V	-1	(B88+3)	[4824]	BcE	9	2112
Farf	I	0128	Salinaikin	D000000-E	 	  As Va Cx Di 		013	Wild	M7 III	-1	(600+3)	[0000]	B	9	18
Farf	M	0134	Echocha	D543000-9	 	   Di Po 		004	Wild	G6 V	-2	(A00-1)	[0000]	B	12	-10
Farf	M	0138	Follette	D552000-7	 	   Di Po 		000	Wild	F5 V	-3	(700-2)	[0000]	B	13	-14
Farf	A	0205	Iketlshi'	B200578-C	 	   Ni Va 		722	Wild	M1 V	1	(C46+3)	[661D]	B	15	864
Farf	A	0207	Jdadlvetl	E30047A-9	 	   Ni Va 		103	Wild	G1 V	-2	(931-2)	[32AC]	B	9	-54
Farf	E	0216	Tlefiatsekr	X546000-5	 	    Di 		000	Wild	M2 V M7 V	-3	(800-3)	[0000]	B	9	-24
Farf	I	0225	Natlus	E859000-7	 	    Di 		011	Wild	F2 V	-3	(600+3)	[0000]	B	7	18
Farf	I	0226	Stamfor	D542875-6	 	  He Ph Pi Po (NIL)		113	Wild	K7 V	-2	(A73-1)	[8643]	BDe	11	-210
Farf	I	0228	Arbelletia	X435000-9	 	    Di 		011	Wild	G4 V	-2	(700-1)	[0000]	B	8	-7
Farf	I	0229	Yith	E423000-C	 	   Di Po 		011	Wild	K6 V M8 V	-1	(800+3)	[0000]	B	6	24
Farf	M	0232	Hrilopar	E622000-7	 	  Di He Po 		012	Wild	M1 V M3 V	-3	(500-3)	[0000]	B	13	-15
Farf	M	0236	Reseca	C5659DB-C	 	   Hi Pr (NIL)		303	Wild	G7 V D	2	(E89+1)	[AB3D]	BcE	11	1008
Farf	M	0237	Ort	D66A000-7	 	   Di Wa 		020	Wild	F4 V D	-3	(800+1)	[0000]	B	9	8
Farf	M	0240	Velpore	EA99000-8	 	    Di 		000	Wild	F8 V D	-3	(600+1)	[0000]	B	9	6
Farf	A	0301	Iajerekl	E548000-6	 	    Di 		004	Wild	M0 V M6 V D	-3	(800-2)	[0000]	B	8	-16
Farf	A	0308	Drprent	E534000-0	 	    Ba 		013	Wild	G7 III M2 V	-3	(900-5)	[0000]	B	10	-45
Farf	A	0310	Pie'a	C200549-A	 	   Ni Va 		400	Wild	M4 II M0 V	0	(843+1)	[85A5]	B	7	96
Farf	E	0311	Tlabratl	E683000-2	 	    Di 		002	Wild	M2 V M5 V	-3	(600+3)	[0000]	B	7	18
Farf	E	0312	Shaapl	D6A08DJ-A	 	   He Ph (ENIL)		114	Wild	K4 IV M3 V	0	(F7B+1)	[488B]	Be	12	1155
Farf	E	0315	Zdiplil	E672000-6	 	   Di He 		013	Wild	M0 V	-3	(700-3)	[0000]	B	9	-21
Farf	I	0322	Carcosa	X400000-0	 	   Ba Va 		011	Wild	F1 III M3 V D	-3	(200-1)	[0000]	B	5	-2
Farf	I	0324	Pleroo	BA86699-6	 	   Ag Ri Ni 		232	Wild	M1 V	1	(857+3)	[5728]	BC	10	840
Farf	I	0326	Bytar	D435000-E	 	    Di 		001	Wild	K8 V	-1	(500+1)	[0000]	B	9	5
Farf	I	0327	Mitra	B97579A-A	 	    Ag Pi (NIL)		303	Wild	M3 V	3	(A69+4)	[5A68]	BCD	9	2160
Farf	I	0329	Al-Jebel	E430000-C	 	  De Di Po 		001	Wild	G7 V	-1	(700+1)	[0000]	B	7	7
