Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Farf	A	0101	Vrialmanj	E573533-7	 	    Ni 		804	ZhIN	K0 V	-3	(741-5)	[2224]	B	17	-140
1240	Farf	A	0101	Vrialmanj	E573000-7	 	    Di 		004	Wild	K0 V	-3	(700+1)	[0000]	B	17	7
1508	Farf	A	0101	Vrialmanj	E573000-7	 	    Di 		004	Wild	K0 V	-3	(700+1)	[0000]	B	17	7
1900	Farf	A	0101	Vrialmanj	E573000-7	 	    Di 		004	Wild	K0 V	-3	(700+1)	[0000]	B	17	7

1105	Farf	A	0105	Jdinz	B4278A8-9	 	   Ph Pi (NIL)		420	ZhIN	M3 III M1 V	1	(C7A+1)	[8959]	BDe	9	840
1240	Farf	A	0105	Jdinz	B427895-7	 	   Ph Pi (NIL)		220	Wild	M3 III M1 V	0	(A79+1)	[6857]	BDe	9	630
1508	Farf	A	0105	Jdinz	B4278A9-8	 	   Ph Pi (NIL)		120	Wild	M3 III M1 V	0	(C79-2)	[9855]	BDe	9	-1512
1900	Farf	A	0105	Jdinz	B42778A-9	 	    Pi (NIL)		920	Wild	M3 III M1 V	1	(C66+1)	[788C]	BD	9	432

1105	Farf	A	0108	Chtanshar	A95A451-E	 	   Ni Wa 		301	ZhIN	F1 V	1	(734-3)	[151A]	B	12	-252
1240	Farf	A	0108	Chtanshar	E95A000-E	 	   Di Wa 		001	Wild	F1 V	-1	(700-1)	[0000]	B	12	-7
1508	Farf	A	0108	Chtanshar	E95A000-E	 	   Di Wa 		001	Wild	F1 V	-1	(700+4)	[0000]	B	12	28
1900	Farf	A	0108	Chtanshar	E95A000-E	 	   Di Wa 		001	Wild	F1 V	-1	(700+3)	[0000]	B	12	21

1105	Farf	A	0109	Ishashiel	C774410-8	 	   Ni Pa 		403	ZhIN	K1 V	-1	(931-5)	[1313]	Bc	15	-135
1240	Farf	A	0109	Ishashiel	E774000-8	 	    Di 		003	Wild	K1 V	-3	(900-2)	[0000]	B	15	-18
1508	Farf	A	0109	Ishashiel	E774000-8	 	    Di 		003	Wild	K1 V	-3	(900+3)	[0000]	B	15	27
1900	Farf	A	0109	Ishashiel	E774000-8	 	    Di 		003	Wild	K1 V	-3	(900+1)	[0000]	B	15	9

1105	Farf	A	0110	Tsief	C200578-A	W	   Ni Va 		902	ZhIN	M0 V	1	(944+1)	[565A]	B	14	144
1240	Farf	A	0110	Tsief	X200000-A	T 	   Di Va 		002	Wild	M0 V	-1	(900-3)	[0000]	B	14	-27
1508	Farf	A	0110	Tsief	X200000-A	T 	   Di Va 		002	Wild	M0 V	-1	(900+5)	[0000]	B	14	45
1900	Farf	A	0110	Tsief	X200000-A	T 	   Di Va 		002	Wild	M0 V	-1	(900-2)	[0000]	B	14	-18

1105	Farf	E	0111	Zhiafefezh	E200000-0	 	   Ba Va 		024	ZhIN	G4 IV	-3	(B00-1)	[0000]	B	14	-11
1240	Farf	E	0111	Zhiafefezh	E200000-0	 	   Ba Va 		024	Wild	G4 IV	-3	(B00-1)	[0000]	B	14	-11
1508	Farf	E	0111	Zhiafefezh	E200000-0	 	   Ba Va 		024	Wild	G4 IV	-3	(B00-5)	[0000]	B	14	-55
1900	Farf	E	0111	Zhiafefezh	E200000-0	 	   Ba Va 		024	Wild	G4 IV	-3	(B00+1)	[0000]	B	14	11

1105	Farf	E	0115	Blieplitl	B6639A7-A	 	   Hi Pr (NIL)		104	ZhIN	M0 V	3	(F8D+3)	[9C5A]	BcE	11	4680
1240	Farf	E	0115	Blieplitl	B663897-6	 	   Ph Ri (NIL)		504	Wild	M0 V	1	(B74+5)	[7947]	BCe	11	1540
1508	Farf	E	0115	Blieplitl	B6638DB-9	 	   Ph Ri (NIL)		604	Wild	M0 V	2	(F78-2)	[DA17]	BCe	11	-1680
1900	Farf	E	0115	Blieplitl	B663899-8	 	   Ph Ri (NIL)		704	Wild	M0 V	1	(F78+1)	[494B]	BCe	11	840

1105	Farf	E	0116	Zhans	E564000-0	 	    Ba 	A	024	ZhIN	G6 V	-2	(B00-3)	[0000]	B	14	-33
1240	Farf	E	0116	Zhans	E564000-0	 	    Ba 		024	Wild	G6 V	-3	(B00+1)	[0000]	B	14	11
1508	Farf	E	0116	Zhans	E564000-0	 	    Ba 		024	Wild	G6 V	-3	(B00+1)	[0000]	B	14	11
1900	Farf	E	0116	Zhans	E564000-0	 	    Ba 		024	Wild	G6 V	-3	(B00-1)	[0000]	B	14	-11

1105	Farf	E	0117	Ievrchipr	C431575-8	 	   Ni Po 		804	ZhIN	M1 V	-1	(B42-4)	[3436]	B	16	-352
1240	Farf	E	0117	Ievrchipr	X431000-8	 	   Di Po 		004	Wild	M1 V	-3	(B00-1)	[0000]	B	16	-11
1508	Farf	E	0117	Ievrchipr	X431000-8	 	   Di Po 		004	Wild	M1 V	-3	(B00-2)	[0000]	B	16	-22
1900	Farf	E	0117	Ievrchipr	X431000-8	 	   Di Po 		004	Wild	M1 V	-3	(B00-1)	[0000]	B	16	-11

1105	Farf	E	0119	Kitl	E000453-9	W	   As Va Ni 	A	302	ZhIN	M1 V	-1	(731-5)	[1326]	B	12	-105
1240	Farf	E	0119	Kitl	E000000-9	W	   As Va Di 		002	Wild	M1 V	-1	(700+1)	[0000]	B	12	7
1508	Farf	E	0119	Kitl	E000000-9	W	   As Va Di 		002	Wild	M1 V	-1	(700-2)	[0000]	B	12	-14
1900	Farf	E	0119	Kitl	E000000-9	W	   As Va Di 		002	Wild	M1 V	-1	(700+2)	[0000]	B	12	14

1105	Farf	I	0123	Acropolis	A887556-9	 	  Ag Pr Ga Ni 		822	SaCo	G6 V	2	(845+1)	[4748]	BcC	9	160
1240	Farf	I	0123	Acropolis	A887542-6	 	  Ag Pr Ga Ni 		422	Wild	G6 V	0	(445+5)	[3599]	BcC	9	400
1508	Farf	I	0123	Acropolis	A887531-7	 	  Ag Pr Ga Ni 		422	Wild	G6 V	0	(441+1)	[958A]	BcC	9	16
1900	Farf	I	0123	Acropolis	A887536-8	 	  Ag Pr Ga Ni 		322	Wild	G6 V	0	(846+1)	[555B]	BcC	9	192

1105	Farf	I	0124	Belekz	A553413-A	 	   Ni Po 		300	SaCo	F8 V	1	(634-2)	[1527]	B	5	-144
1240	Farf	I	0124	Belekz	X553000-A	 	   Di Po 		000	Wild	F8 V	-1	(600+1)	[0000]	B	5	6
1508	Farf	I	0124	Belekz	X553000-A	 	   Di Po 		000	Wild	F8 V	-1	(600+1)	[0000]	B	5	6
1900	Farf	I	0124	Belekz	X553000-A	 	   Di Po 		000	Wild	F8 V	-1	(600-1)	[0000]	B	5	-6

1105	Farf	I	0125	Drawmij	E569955-7	 	   Hi Pr (NIL)		903	SaCo	G9 V	-1	(B88-3)	[7835]	BcE	9	-2112
1240	Farf	I	0125	Drawmij	E569974-4	 	   Hi Pr (NIL)		403	Wild	G9 V	-1	(B87-1)	[B834]	BcE	9	-616
1508	Farf	I	0125	Drawmij	E5699AB-5	 	   Hi Pr (NIL)		403	Wild	G9 V	-1	(B87-2)	[4844]	BcE	9	-1232
1900	Farf	I	0125	Drawmij	E5699AA-6	 	   Hi Pr (NIL)		303	Wild	G9 V	-1	(B88+3)	[4824]	BcE	9	2112

1105	Farf	I	0128	Salinaikin	A000347-E	 	  As Va Cx Lo 		613	SaCo	M7 III	1	(621+1)	[345E]	B	9	12
1240	Farf	I	0128	Salinaikin	D000000-E	 	  As Va Cx Di 		013	Wild	M7 III	-1	(600+3)	[0000]	B	9	18
1508	Farf	I	0128	Salinaikin	D000000-E	 	  As Va Cx Di 		013	Wild	M7 III	-1	(600-1)	[0000]	B	9	-6
1900	Farf	I	0128	Salinaikin	D000000-E	 	  As Va Cx Di 		013	Wild	M7 III	-1	(600+3)	[0000]	B	9	18

1105	Farf	M	0134	Echocha	C543457-9	 	   Ni Po 		504	NaHu	G6 V	-1	(A32-1)	[4359]	B	12	-60
1240	Farf	M	0134	Echocha	D543000-9	 	   Di Po 		004	Wild	G6 V	-2	(A00-1)	[0000]	B	12	-10
1508	Farf	M	0134	Echocha	D543000-9	 	   Di Po 		004	Wild	G6 V	-2	(A00-3)	[0000]	B	12	-30
1900	Farf	M	0134	Echocha	D543000-9	 	   Di Po 		004	Wild	G6 V	-2	(A00-1)	[0000]	B	12	-10

1105	Farf	M	0138	Follette	D5525A9-7	 	   Ni Po 		500	NaHu	F5 V	-3	(741-2)	[6268]	B	13	-56
1240	Farf	M	0138	Follette	D552000-7	 	   Di Po 		000	Wild	F5 V	-3	(700-3)	[0000]	B	13	-21
1508	Farf	M	0138	Follette	D552000-7	 	   Di Po 		000	Wild	F5 V	-3	(700-1)	[0000]	B	13	-7
1900	Farf	M	0138	Follette	D552000-7	 	   Di Po 		000	Wild	F5 V	-3	(700-2)	[0000]	B	13	-14

1105	Farf	A	0205	Iketlshi'	B200634-B	 	  Na Ni Va 		122	ZhIN	M1 V	1	(C55-1)	[4739]	B	15	-300
1240	Farf	A	0205	Iketlshi'	B200552-B	 	   Ni Va 		522	Wild	M1 V	1	(C43-5)	[464A]	B	15	-720
1508	Farf	A	0205	Iketlshi'	B200556-C	 	   Ni Va 		622	Wild	M1 V	1	(C47+3)	[5639]	B	15	1008
1900	Farf	A	0205	Iketlshi'	B200578-C	 	   Ni Va 		722	Wild	M1 V	1	(C46+3)	[661D]	B	15	864

1105	Farf	A	0207	Jdadlvetl	E300442-9	 	   Ni Va 		203	ZhIN	G1 V	-2	(931-5)	[1215]	B	9	-135
1240	Farf	A	0207	Jdadlvetl	E30047C-7	 	   Ni Va 		103	Wild	G1 V	-3	(633+1)	[7135]	B	9	54
1508	Farf	A	0207	Jdadlvetl	E300422-8	 	   Ni Va 		203	Wild	G1 V	-3	(931+1)	[311C]	B	9	27
1900	Farf	A	0207	Jdadlvetl	E30047A-9	 	   Ni Va 		103	Wild	G1 V	-2	(931-2)	[32AC]	B	9	-54

1105	Farf	E	0216	Tlefiatsekr	X546675-5	 	   Ag Ni 	R	500	ZhIN	M2 V M7 V	-2	(852-4)	[4433]	BC	9	-320
1240	Farf	E	0216	Tlefiatsekr	X546000-5	 	    Di 		000	Wild	M2 V M7 V	-3	(800+1)	[0000]	B	9	8
1508	Farf	E	0216	Tlefiatsekr	X546000-5	 	    Di 		000	Wild	M2 V M7 V	-3	(800+1)	[0000]	B	9	8
1900	Farf	E	0216	Tlefiatsekr	X546000-5	 	    Di 		000	Wild	M2 V M7 V	-3	(800-3)	[0000]	B	9	-24

1105	Farf	I	0225	Natlus	C859457-7	 	    Ni 		611	SaCo	F2 V	-2	(631-2)	[4257]	B	7	-36
1240	Farf	I	0225	Natlus	E859000-7	 	    Di 		011	Wild	F2 V	-3	(600+3)	[0000]	B	7	18
1508	Farf	I	0225	Natlus	E859000-7	 	    Di 		011	Wild	F2 V	-3	(600-3)	[0000]	B	7	-18
1900	Farf	I	0225	Natlus	E859000-7	 	    Di 		011	Wild	F2 V	-3	(600+3)	[0000]	B	7	18

1105	Farf	I	0226	Stamfor	D542885-6	 	  He Ph Pi Po (NIL)		613	SaCo	K7 V	-2	(A75-4)	[6634]	BDe	11	-1400
1240	Farf	I	0226	Stamfor	D542845-4	 	  He Ph Pi Po (NIL)		313	Wild	K7 V	-2	(A79-1)	[6621]	BDe	11	-630
1508	Farf	I	0226	Stamfor	D542887-5	 	  He Ph Pi Po (NIL)		213	Wild	K7 V	-2	(A74+1)	[B648]	BDe	11	280
1900	Farf	I	0226	Stamfor	D542875-6	 	  He Ph Pi Po (NIL)		113	Wild	K7 V	-2	(A73-1)	[8643]	BDe	11	-210

1105	Farf	I	0228	Arbelletia	C435435-9	 	    Ni 		311	SaCo	G4 V	-1	(732-3)	[2337]	B	8	-126
1240	Farf	I	0228	Arbelletia	X435000-9	 	    Di 		011	Wild	G4 V	-2	(700+3)	[0000]	B	8	21
1508	Farf	I	0228	Arbelletia	X435000-9	 	    Di 		011	Wild	G4 V	-2	(700+1)	[0000]	B	8	7
1900	Farf	I	0228	Arbelletia	X435000-9	 	    Di 		011	Wild	G4 V	-2	(700-1)	[0000]	B	8	-7

1105	Farf	I	0229	Yith	C423558-C	 	   Ni Px Po 	A	611	SaCo	K6 V M8 V	0	(844+1)	[555C]	B	6	128
1240	Farf	I	0229	Yith	E423000-C	 	   Di Px Po 		011	Wild	K6 V M8 V	-1	(800-2)	[0000]	B	6	-16
1508	Farf	I	0229	Yith	E423000-C	 	   Di Po 		011	Wild	K6 V M8 V	-1	(800-1)	[0000]	B	6	-8
1900	Farf	I	0229	Yith	E423000-C	 	   Di Po 		011	Wild	K6 V M8 V	-1	(800+3)	[0000]	B	6	24

1105	Farf	M	0232	Hrilopar	E622300-7	 	  He Lo Po 		912	NaHu	M1 V M3 V	-3	(520-5)	[1112]	B	13	-50
1240	Farf	M	0232	Hrilopar	E622000-7	 	  Di He Po 		012	Wild	M1 V M3 V	-3	(500+1)	[0000]	B	13	5
1508	Farf	M	0232	Hrilopar	E622000-7	 	  Di He Po 		012	Wild	M1 V M3 V	-3	(500+1)	[0000]	B	13	5
1900	Farf	M	0232	Hrilopar	E622000-7	 	  Di He Po 		012	Wild	M1 V M3 V	-3	(500-3)	[0000]	B	13	-15

1105	Farf	M	0236	Reseca	C565997-A	 	   Hi Pr (NIL)		603	ZhCa	G7 V D	2	(E8C+2)	[9B5A]	BcE	11	2688
1240	Farf	M	0236	Reseca	C5659C8-8	 	   Hi Pr (NIL)		303	Wild	G7 V D	0	(E89+1)	[8955]	BcE	11	1008
1508	Farf	M	0236	Reseca	C5659CF-9	 	   Hi Pr (NIL)		203	Wild	G7 V D	1	(E86-1)	[BA3D]	BcE	11	-672
1900	Farf	M	0236	Reseca	C5659DB-C	 	   Hi Pr (NIL)		303	Wild	G7 V D	2	(E89+1)	[AB3D]	BcE	11	1008

1105	Farf	M	0237	Ort	D66A669-7	 	  Ni Ri Wa 		920	ZhCa	F4 V D	-2	(852-1)	[7468]	BC	9	-80
1240	Farf	M	0237	Ort	D66A000-7	 	   Di Wa 		020	Wild	F4 V D	-3	(800-3)	[0000]	B	9	-24
1508	Farf	M	0237	Ort	D66A000-7	 	   Di Wa 		020	Wild	F4 V D	-3	(800-2)	[0000]	B	9	-16
1900	Farf	M	0237	Ort	D66A000-7	 	   Di Wa 		020	Wild	F4 V D	-3	(800+1)	[0000]	B	9	8

1105	Farf	M	0240	Velpore	EA99422-8	 	    Ni 		700	NaHu	F8 V D	-3	(631-5)	[1114]	B	9	-90
1240	Farf	M	0240	Velpore	EA99000-8	 	    Di 		000	Wild	F8 V D	-3	(600-3)	[0000]	B	9	-18
1508	Farf	M	0240	Velpore	EA99000-8	 	    Di 		000	Wild	F8 V D	-3	(600-1)	[0000]	B	9	-6
1900	Farf	M	0240	Velpore	EA99000-8	 	    Di 		000	Wild	F8 V D	-3	(600+1)	[0000]	B	9	6

1105	Farf	A	0301	Iajerekl	C548645-6	 	   Ag Ni 		204	ZhIN	M0 V M6 V D	-1	(853-3)	[4534]	BC	8	-360
1240	Farf	A	0301	Iajerekl	E548000-6	 	    Di 		004	Wild	M0 V M6 V D	-3	(800+5)	[0000]	B	8	40
1508	Farf	A	0301	Iajerekl	E548000-6	 	    Di 		004	Wild	M0 V M6 V D	-3	(800-3)	[0000]	B	8	-24
