Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Fore	A	0103	828-596	X582000-4	 	     Di (NIL)		014	Wild	G3 V	-3	(600-2)	[0000]	B	10	-12
Fore	A	0104	716-040	X000000-C	 	    As Va Di 		033	Wild	A3 II	-1	(B00+1)	[0000]	B	13	11
Fore	A	0202	120-463	X376000-5	 	     Di 		025	Wild	M4 V   M9 D   M5 VI	-3	(600+2)	[0000]	B	19	12
Fore	A	0203	002-380	X851888-0	 	    Ph Po (NIL)		101	Wild	K8 V	-2	(371+1)	[B664]	Be	13	21
Fore	A	0302	642-365	E251621-5	 	    Ni Po 		102	Wild	F9 V	-3	(451+1)	[536A]	B	9	20
Fore	A	0304	200-244	X435000-C	 	     Di 		004	Wild	K3 V	-1	(F00+2)	[0000]	B	9	30
Fore	A	0305	444-332	X654000-4	 	     Di 		005	Wild	G3 V   M1 D 	-3	(900+1)	[0000]	B	10	9
Fore	A	0306	032-182	X321000-C	 	   Di He Na Pi Po (NIL)		014	Wild	M2 II	-1	(G00-1)	[0000]	BD	18	-16
Fore	A	0308	882-10A	X525000-0	 	     Ba 		005	Wild	K0 V   M4 V 	-3	(B00-1)	[0000]	B	14	-11
Fore	A	0309	378-432	X465000-3	 	     Di 		000	Wild	G4 III	-3	(400+1)	[0000]	B	9	4
Fore	A	0401	191-042	X313000-E	 	    Di Ic 		004	Wild	M3 V	-1	(D00+2)	[0000]	B	8	26
Fore	A	0402	176-440	X676000-7	 	     Di 		003	Wild	A7 V	-3	(700-5)	[0000]	B	11	-35
Fore	A	0403	408-3A1	X456442-0	 	    Ni Pa (NIL)		324	Wild	G2 V	-3	(831-1)	[3131]	Bc	13	-24
Fore	A	0404	732-350	X450444-2	 	   De Ni Po 		204	Wild	F8 V	-3	(C30-4)	[3141]	B	13	-144
Fore	A	0408	732-450	X477000-3	 	     Di 		004	Wild	K1 V   M3 V 	-3	(700-2)	[0000]	B	13	-14
Fore	A	0502	668-273	X242000-B	 	    Di Pi Po (NIL)		000	Wild	G0 V 	-1	(900-4)	[0000]	BD	7	-36
Fore	A	0503	431-044	X5A3000-B	 	    Di Fl 		004	Wild	M5 V   M8 D	-1	(800+3)	[0000]	B	13	24
Fore	A	0504	849-653	X997000-3	 	     Di 		004	Wild	G4 III	-3	(700+1)	[0000]	B	10	7
Fore	A	0505	824-079	X000000-8	 	   As Va Di Na Pi 		024	Wild	K5 V	-3	(B00-5)	[0000]	BD	14	-55
Fore	A	0507	619-528	X78A000-5	 	    Di Wa 		002	Wild	K6 V	-3	(700+1)	[0000]	B	11	7
Fore	A	0508	711-094	X513000-D	 	   Di Ic Na In 		005	Wild	M5 V   M7 D 	0	(A00-2)	[0000]	BE	16	-20
Fore	A	0604	596-465	E578000-7	 	     Di 		003	Wild	G9 V   M8 D	-3	(600+1)	[0000]	B	12	6
Fore	A	0607	849-30B	X458000-0	 	     Ba 		015	Wild	G3 III M3 V	-3	(600+2)	[0000]	B	12	12
Fore	A	0610	088-275	X533000-7	 	    Di Na Po (NIL)		004	Wild	F9 V   M4 D	-3	(500-2)	[0000]	B	17	-10
Fore	A	0708	724-454	D774000-5	 	     Di 		000	Wild	G1 V	-3	(C00-1)	[0000]	B	10	-12
Fore	A	0801	926-265	X537000-8	 	     Di 		003	Wild	G4 V	-3	(700-5)	[0000]	B	14	-35
Fore	A	0807	939-372	X75A477-3	 	    Ni Wa (NIL)		201	Wild	G2 V	-3	(832+2)	[3124]	B	5	96
Fore	A	0810	118-484	E779689-4	 	     Ni (NIL)		512	Wild	F9 V	-3	(750-1)	[5364]	B	9	-35
Fore	B	0902	947-432	D572000-5	 	    Di He 		024	Wild	G2 V	-3	(700-2)	[0000]	B	10	-14
Fore	B	0908	301-154	X724000-A	 	     Di 		024	Wild	G1 V	-1	(A00-4)	[0000]	B	15	-40
Fore	B	0909	787-275	E1408A8-4	 	   De Ph Pi Po (NIL)		513	Wild	F1 V	-2	(877+5)	[A662]	BDe	14	1960
Fore	B	0910	359-592	X687976-3	 	   Ga Hi Pr (NIL)		104	Wild	G5 V	-1	(789-2)	[8865]	BcE	11	-1008
Fore	B	1007	699-066	X311000-A	 	   Di Ic Na 		003	Wild	K2 V	-1	(D00-1)	[0000]	B	8	-13
Fore	B	1102	979-253	X230000-D	 	   De Di Po 		003	Wild	G9 V	-1	(900+2)	[0000]	B	8	18
Fore	B	1103	192-043	X000000-C	 	    As Va Di 		002	Wild	M3 V   M6 D 	-1	(600+1)	[0000]	B	6	6
Fore	B	1109	131-474	E46579B-2	 	     Ag Ri (NIL)		412	Wild	F5 V   M2 D  	0	(A67+1)	[3791]	BC	14	420
Fore	B	1205	223-065	X000000-A	 	   As Va Di Na 		023	Wild	F6 V   M5 D	-1	(C00+1)	[0000]	B	12	12
Fore	B	1209	633-585	E583886-3	 	    Ph Ri (NIL)		410	Wild	F3 V	-1	(876+4)	[7757]	BCe	14	1344
Fore	B	1303	641-575	E887746-3	 	    Ag Ri Ga (NIL)		102	Wild	F9 V	0	(765-5)	[5753]	BC	15	-1050
Fore	B	1304	045-326	X250000-3	 	   De Di Po 		013	Wild	G5 V	-3	(700-3)	[0000]	B	13	-21
Fore	B	1307	910-442	X666000-0	 	    Ba Ga 		004	Wild	G2 V	-3	(400+3)	[0000]	B	10	12
Fore	B	1403	067-013	X511000-C	 	    Di Ic 		010	Wild	M1 V   M6 D	-1	(C00+1)	[0000]	B	6	12
Fore	B	1404	486-691	X693000-3	 	     Di (NIL)		013	Wild	G3 V   M9 D	-3	(400-2)	[0000]	B	16	-8
Fore	B	1405	553-162	X325000-C	 	    Di Px 		003	Wild	G9 V	-1	(C00-3)	[0000]	B	11	-36
Fore	B	1410	867-454	E564000-6	 	     Di 		002	Wild	G4 V	-3	(B00-1)	[0000]	B	10	-11
Fore	B	1501	993-378	X95A000-5	 	    Di Wa (NIL)		005	Wild	G5 V	-3	(600+1)	[0000]	B	16	6
Fore	B	1504	502-259	X434000-7	 	     Di 		010	Wild	G0 V 	-3	(600+2)	[0000]	B	10	12
Fore	B	1507	020-025	X9B2000-A	 	    Di Fl He 		014	Wild	K4 IV  M6 V	-1	(G00-2)	[0000]	B	16	-32
Fore	B	1602	234-434	X270000-3	 	    De Di 		000	Wild	K4 V	-3	(700+1)	[0000]	B	7	7
Fore	C	1701	124-122	X320000-C	 	   De He Di Po 		002	Wild	G3 V   M1 D 	-1	(600-1)	[0000]	B	10	-6
Fore	C	1703	886-031	X211000-E	 	    Di Ic 		004	Wild	K8 V	-1	(C00-4)	[0000]	B	10	-48
Fore	C	1704	203-20B	X541000-0	 	   Ba He Po 		005	Wild	M1 V   M5 D	-3	(700+5)	[0000]	B	13	35
Fore	C	1804	943-664	D695000-6	 	     Di 		003	Wild	K6 V	-3	(200+1)	[0000]	B	13	2
Fore	C	1806	064-231	X642000-2	 	   Di He Po 		001	Wild	G3 V	-3	(A00-1)	[0000]	B	9	-10
Fore	C	1807	003-052	X411000-E	 	    Di Ic 		015	Wild	M3 V	-1	(H00+4)	[0000]	B	14	68
Fore	C	1808	237-260	X533000-A	 	    Di Na Po 		003	Wild	F1 V	-1	(C00+5)	[0000]	B	10	60
Fore	C	1901	835-20B	X638000-0	 	     Ba 		000	Wild	F9 V	-3	(400-3)	[0000]	B	6	-12
Fore	C	1905	735-573	D684746-2	 	     Ag Ri (NIL)		323	Wild	G4 V	0	(365+2)	[B731]	BC	10	180
Fore	C	2002	417-232	X246000-1	 	     Di 		005	Wild	M8 II  M3 V	-3	(700+1)	[0000]	B	11	7
Fore	C	2003	499-476	E7667BB-1	 	    Ag Ri Ga (NIL)		105	Wild	G3 V	0	(669+1)	[8763]	BC	15	324
Fore	C	2005	303-20C	X530000-0	 	   Ba De Po 		004	Wild	M3 V   M4 D	-3	(400-2)	[0000]	B	12	-8
Fore	C	2102	322-063	X100000-B	 	   Di Na Va 		004	Wild	F7 V   M9 D  M3 D	-1	(A00+1)	[0000]	B	8	10
Fore	C	2103	011-175	X320000-9	 	   De He Di Na Pi Po (NIL)		002	Wild	G8 IV	-2	(C00+1)	[0000]	BD	14	12
Fore	C	2202	954-071	X301000-C	 	   Di Ic Va Na Pi 		000	Wild	M7 V   M5 D  	-1	(600+5)	[0000]	BD	8	30
Fore	C	2209	911-667	X592000-2	 	    Di He 		000	Wild	G2 V	-3	(900+1)	[0000]	B	11	9
Fore	C	2304	993-033	X310000-D	 	     Di 		003	Wild	M6 V	-1	(B00-5)	[0000]	B	6	-55
Fore	C	2306	263-00C	X100000-0	 	    Ba Va 		004	Wild	M1 V   M9 D	-3	(300+1)	[0000]	B	15	3
Fore	C	2309	857-40A	X567000-0	 	     Ba 		004	Wild	F6 V	-3	(200-3)	[0000]	B	12	-6
Fore	C	2310	640-229	X237000-7	 	     Di 		005	Wild	G1 V	-3	(600+1)	[0000]	B	15	6
Fore	D	2501	860-0A5	X100000-C	 	   Di Na In Va 		004	Wild	K4 V	0	(700+1)	[0000]	BE	10	7
Fore	D	2502	952-16A	X623000-7	 	    Di Na Px Po 		023	Wild	M6 V   M8 D  M6 D	-3	(500+3)	[0000]	B	9	15
Fore	D	2505	917-242	X246445-0	 	    Ni Pa 		104	Wild	G1 V   M0 D 	-3	(932+3)	[2151]	Bc	10	162
Fore	D	2602	700-496	E87A000-9	 	    Di Wa (NIL)		020	Wild	K8 V   M8 D  M9 D	-2	(A00+2)	[0000]	B	7	20
Fore	D	2603	935-554	E887410-1	 	   Ga Ni Pa 		200	Wild	M4 V	-3	(733+1)	[5174]	Bc	6	63
Fore	D	2607	865-134	X223000-B	 	    Di Po 		015	Wild	M9 V   M2 D 	-1	(C00+1)	[0000]	B	11	12
Fore	D	2608	287-40C	X776000-0	 	     Ba 		002	Wild	K9 V	-3	(800-3)	[0000]	B	10	-24
Fore	D	2610	078-30A	X757000-0	 	    Ba Ga 		004	Wild	G0 V	-3	(A00+1)	[0000]	B	9	10
Fore	D	2710	063-042	X100000-E	 	    Di Va 		014	Wild	M7 V	-1	(E00+1)	[0000]	B	13	14
Fore	D	2805	297-065	X8B6000-9	 	    Di Fl 		002	Wild	M7 V	-2	(800+4)	[0000]	B	8	32
Fore	D	2807	999-012	X200000-9	 	    Di Va 		034	Wild	M4 V   M4 D	-2	(E00-3)	[0000]	B	17	-42
Fore	D	2808	258-449	X778000-7	 	     Di 		000	Wild	M9 V	-3	(600-2)	[0000]	B	12	-12
Fore	D	2905	065-040	X9C6000-D	 	    Di Fl 		013	Wild	G9 V	-1	(E00+4)	[0000]	B	16	56
Fore	D	2907	400-248	X547000-1	 	     Di 		005	Wild	M2 V   K5 D  M6 D	-3	(400-3)	[0000]	B	13	-12
Fore	D	2910	699-43A	X672000-5	 	    Di He 		014	Wild	G4 V	-3	(800+1)	[0000]	B	12	8
Fore	D	3003	769-473	D4657A8-3	 	     Ag Ri (NIL)		323	Wild	M3 V   K2 D	0	(86B+3)	[7711]	BC	12	1584
Fore	D	3006	600-057	XAB5000-8	 	    Di Fl 		025	Wild	M9 V   M3 D 	-3	(B00+5)	[0000]	B	13	55
Fore	D	3107	677-463	D6646A9-0	 	    Ag Ri Ni 		302	Wild	G3 III M3 V 	-1	(A54+1)	[3571]	BC	11	200
Fore	D	3108	800-236	E648000-4	 	     Di 		012	Wild	M5 V   M7 D 	-3	(400-3)	[0000]	B	14	-12
Fore	D	3201	512-055	X200000-7	 	    Di Va 		002	Wild	G3 V	-3	(300+3)	[0000]	B	10	9
Fore	D	3204	452-244	X431000-B	 	    Di Po 		014	Wild	M2 V   M9 D 	-1	(E00-1)	[0000]	B	13	-14
Fore	D	3205	170-265	X333000-8	 	    Di Na Po 		013	Wild	M6 V   M3 D 	-3	(A00-1)	[0000]	B	8	-10
Fore	D	3206	417-075	X300000-8	 	   Di Na Pi Va 		014	Wild	F0 V   M8 D 	-3	(B00-2)	[0000]	BD	12	-22
Fore	E	0112	015-352	X652577-0	 	    Ni Po 		201	Wild	G9 V   M8 D	-3	(840-2)	[9241]	B	9	-64
Fore	E	0113	260-262	X536000-8	 	     Di 		002	Wild	F5 V	-3	(900+1)	[0000]	B	12	9
Fore	E	0116	154-062	XAB8000-B	 	    Di Fl 		022	Wild	K3 V	-1	(E00+1)	[0000]	B	9	14
Fore	E	0211	697-376	E459756-5	 	      (NIL)		201	Wild	G5 V	-2	(966-1)	[7543]	B	13	-324
Fore	E	0212	073-00B	XAC5000-0	 	    Ba Fl 		004	Wild	A3 II	-3	(C00+2)	[0000]	B	12	24
Fore	E	0213	915-00A	X404000-0	 	    Ba Ic Va 		004	Wild	K6 V	-3	(800+1)	[0000]	B	13	8
Fore	E	0214	373-053	X6A2000-9	 	   Di Fl He Px 		004	Wild	K1 V	-2	(900+1)	[0000]	B	9	9
Fore	E	0218	400-466	X566577-1	 	    Ag Pr Ni 		103	Wild	G0 V	-2	(743-4)	[4375]	BcC	11	-336
Fore	E	0312	409-091	X000000-E	 	   As Va Di Na In 		025	Wild	F5 V   M8 D 	0	(G00+4)	[0000]	BE	14	64
Fore	E	0411	110-083	X9A5000-B	 	    Di Fl (ENIL)		005	Wild	K3 V   M5 D	-1	(900+3)	[0000]	B	10	27
Fore	E	0412	131-464	E666510-4	 	   Ag Pr Ga Ni 		405	Wild	G4 V	-2	(640-4)	[1331]	BcC	15	-96
Fore	E	0418	859-363	D352443-5	 	    Ni Po 		323	Wild	G5 V	-3	(730+1)	[1115]	B	11	21
Fore	E	0513	328-484	D56289A-2	 	    Ph Ri (NIL)		212	Wild	F8 V	-1	(77B+3)	[7761]	BCe	12	1617
Fore	E	0516	791-571	C886722-3	 	    Ag Ri Ga (NIL)		202	Wild	G9 V   M4 D	1	(26A+1)	[5898]	BC	8	120
Fore	E	0517	778-444	E765430-2	 	   Ga Ni Pa 		104	Wild	G9 V   M8 D	-3	(633+1)	[4172]	Bc	11	54
Fore	E	0520	666-018	X9C8000-7	 	    Di Fl 		002	Wild	K2 IV	-3	(900-3)	[0000]	B	10	-27
Fore	E	0612	495-463	X666676-0	 	   Ag Ri Ga Ni 		201	Wild	G3 V 	-1	(254+1)	[4591]	BC	8	40
Fore	E	0712	491-084	X7A2000-B	 	    Di Fl He (ENIL)		003	Wild	K4 V	-1	(900+1)	[0000]	B	12	9
Fore	E	0716	406-24A	X549000-2	 	     Di 		013	Wild	G4 V	-3	(700+1)	[0000]	B	12	7
Fore	E	0717	712-587	X6868A6-0	 	   Ga Pa Ri Ph (NIL)		424	Wild	G1 V	-1	(876-4)	[C745]	BcCe	16	-1344
Fore	E	0814	297-60A	X796000-0	 	     Ba 		013	Wild	F1 V	-3	(800+4)	[0000]	B	13	32
Fore	E	0815	783-419	X472000-5	 	    Di He 		014	Wild	G3 V	-3	(800+1)	[0000]	B	13	8
Fore	E	0818	787-264	X447000-8	 	     Di 		014	Wild	G2 V 	-3	(C00+1)	[0000]	B	12	12
Fore	E	0819	430-024	X7A1000-A	 	    Di Fl He 		023	Wild	F7 V	-1	(B00+2)	[0000]	B	16	22
Fore	E	0820	446-456	X878000-6	 	     Di 		000	Wild	G4 V	-3	(700-2)	[0000]	B	7	-14
Fore	F	0911	347-00C	X8B1000-0	 	    Ba Fl He 		010	Wild	K6 V 	-3	(300+1)	[0000]	B	12	3
Fore	F	0914	874-464	E661000-7	 	     Di 		003	Wild	G9 V	-3	(A00+2)	[0000]	B	13	20
Fore	F	0915	368-663	X895000-4	 	     Di 		021	Wild	F8 V   M4 D	-3	(800+4)	[0000]	B	12	32
Fore	F	0919	756-484	E5738CD-3	 	    Ph Pi (NIL)		201	Wild	F9 V	-2	(876-1)	[8684]	BDe	9	-336
