Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Fore	A	0103	828-596	C5829BA-A	 	    Hi Pr (NIL)	 	614		G3 V	0	(B83-5)	[]	BcE	10	0
1201	Fore	A	0103	828-596	X582130-4	 	     Lo (NIL)		614		G3 V	-3	(600+1)	[3145]	B	10	6
1240	Fore	A	0103	828-596	X582000-4	 	     Di (NIL)		014	Wild	G3 V	-3	(600-2)	[0000]	B	10	-12
1508	Fore	A	0103	828-596	X582000-4	 	     Di (NIL)		014	Wild	G3 V	-3	(600-4)	[0000]	B	10	-24
1900	Fore	A	0103	828-596	X582000-4	 	     Di (NIL)		014	Wild	G3 V	-3	(600+4)	[0000]	B	10	24

1105	Fore	A	0104	716-040	A000465-C	 	    As Va Ni 	 	233		A3 II	0	(B33+1)	[]	B	13	0
1201	Fore	A	0104	716-040	X000000-C	 	    As Va Di 		033		A3 II	-1	(B00-1)	[0000]	B	13	-11
1240	Fore	A	0104	716-040	X000000-C	 	    As Va Di 		033	Wild	A3 II	-1	(B00+1)	[0000]	B	13	11
1508	Fore	A	0104	716-040	X000000-C	 	    As Va Di 		033	Wild	A3 II	-1	(B00+1)	[0000]	B	13	11
1900	Fore	A	0104	716-040	X000000-C	 	    As Va Di 		033	Wild	A3 II	-1	(B00+3)	[0000]	B	13	33

1105	Fore	A	0202	120-463	B376669-A	 	    Ag Ni 	 	925		M4 V   M9 D   M5 VI	0	(D54+2)	[]	BC	19	0
1201	Fore	A	0202	120-463	C376657-5	 	    Ag Ni 		925		M4 V   M9 D   M5 VI	-1	(655+1)	[5556]	BC	19	150
1240	Fore	A	0202	120-463	X376000-5	 	     Di 		025	Wild	M4 V   M9 D   M5 VI	-3	(600+2)	[0000]	B	19	12
1508	Fore	A	0202	120-463	X376000-5	 	     Di 		025	Wild	M4 V   M9 D   M5 VI	-3	(600+1)	[0000]	B	19	6
1900	Fore	A	0202	120-463	X376000-5	 	     Di 		025	Wild	M4 V   M9 D   M5 VI	-3	(600+2)	[0000]	B	19	12

1105	Fore	A	0203	002-380	A851868-A	 	    Ph Po (NIL)	 	201		K8 V	0	(478-3)	[]	Be	13	0
1201	Fore	A	0203	002-380	X851869-4	 	    Ph Po (NIL)	B	201		K8 V	-2	(375+2)	[8694]	Be	13	210
1240	Fore	A	0203	002-380	X851888-0	 	    Ph Po (NIL)		101	Wild	K8 V	-2	(371+1)	[B664]	Be	13	21
1508	Fore	A	0203	002-380	X8518BB-0	 	    Ph Po (NIL)		201	Wild	K8 V	-2	(375+1)	[A651]	Be	13	105
1900	Fore	A	0203	002-380	X851830-0	 	    Ph Po (NIL)		201	Wild	K8 V	-2	(377-5)	[C671]	Be	13	-735

1105	Fore	A	0302	642-365	C251662-9	 	    Cy Ni Po 	 	202		F9 V	0	(653-1)	[]	B	9	0
1201	Fore	A	0302	642-365	E25169D-6	 	    Ni Po 		302		F9 V	-3	(451-5)	[A397]	B	9	-100
1240	Fore	A	0302	642-365	E251621-5	 	    Ni Po 		102	Wild	F9 V	-3	(451+1)	[536A]	B	9	20
1508	Fore	A	0302	642-365	E251659-7	 	    Ni Po 		202	Wild	F9 V	-3	(450+1)	[8377]	B	9	20
1900	Fore	A	0302	642-365	E251647-7	 	    Ni Po 		102	Wild	F9 V	-3	(452+2)	[9377]	B	9	80

1105	Fore	A	0304	200-244	B435424-C	 	     Ni 	 	204		K3 V	0	(F35+5)	[]	B	9	0
1201	Fore	A	0304	200-244	X435000-C	 	     Di 		004		K3 V	-1	(F00+1)	[0000]	B	9	15
1240	Fore	A	0304	200-244	X435000-C	 	     Di 		004	Wild	K3 V	-1	(F00+2)	[0000]	B	9	30
1508	Fore	A	0304	200-244	X435000-C	 	     Di 		004	Wild	K3 V	-1	(F00-2)	[0000]	B	9	-30
1900	Fore	A	0304	200-244	X435000-C	 	     Di 		004	Wild	K3 V	-1	(F00+5)	[0000]	B	9	75

1105	Fore	A	0305	444-332	B654335-B	 	     Lo 	 	705		G3 V   M1 D 	0	(E20+1)	[]	B	10	0
1201	Fore	A	0305	444-332	X654330-4	 	     Lo 		505		G3 V   M1 D 	-3	(920+2)	[4182]	B	10	36
1240	Fore	A	0305	444-332	X654000-4	 	     Di 		005	Wild	G3 V   M1 D 	-3	(900+1)	[0000]	B	10	9
1508	Fore	A	0305	444-332	X654000-4	 	     Di 		005	Wild	G3 V   M1 D 	-3	(900+5)	[0000]	B	10	45
1900	Fore	A	0305	444-332	X654000-4	 	     Di 		005	Wild	G3 V   M1 D 	-3	(900+1)	[0000]	B	10	9

1105	Fore	A	0306	032-182	A321868-C	 	   He Na Pi Po Ph (NIL)	 	314		M2 II	0	(G77+1)	[]	BDe	18	0
1201	Fore	A	0306	032-182	X321000-C	 	   Di He Na Pi Po (NIL)		014		M2 II	-1	(G00-1)	[0000]	BD	18	-16
1240	Fore	A	0306	032-182	X321000-C	 	   Di He Na Pi Po (NIL)		014	Wild	M2 II	-1	(G00-1)	[0000]	BD	18	-16
1508	Fore	A	0306	032-182	X321000-C	 	   Di He Po (NIL)		014	Wild	M2 II	-1	(G00-1)	[0000]	B	18	-16
1900	Fore	A	0306	032-182	X321000-C	 	   Di He Po (NIL)		014	Wild	M2 II	-1	(G00-1)	[0000]	B	18	-16

1105	Fore	A	0308	882-10A	X525000-0	 	     Ba 	R	005		K0 V   M4 V 	0	(B00-1)	[]	B	14	0
1201	Fore	A	0308	882-10A	X525000-0	 	     Ba 		005		K0 V   M4 V 	-3	(B00+1)	[0000]	B	14	11
1240	Fore	A	0308	882-10A	X525000-0	 	     Ba 		005	Wild	K0 V   M4 V 	-3	(B00-1)	[0000]	B	14	-11
1508	Fore	A	0308	882-10A	X525000-0	 	     Ba 		005	Wild	K0 V   M4 V 	-3	(B00-1)	[0000]	B	14	-11
1900	Fore	A	0308	882-10A	X525000-0	 	     Ba 		005	Wild	K0 V   M4 V 	-3	(B00+1)	[0000]	B	14	11

1105	Fore	A	0309	378-432	A465301-D	 	     Lo 	 	200		G4 III	0	(420+1)	[]	B	9	0
1201	Fore	A	0309	378-432	X465240-3	 	     Lo 		700		G4 III	-3	(410+4)	[1171]	B	9	16
1240	Fore	A	0309	378-432	X465000-3	 	     Di 		000	Wild	G4 III	-3	(400+1)	[0000]	B	9	4
1508	Fore	A	0309	378-432	X465000-3	 	     Di 		000	Wild	G4 III	-3	(400-1)	[0000]	B	9	-4
1900	Fore	A	0309	378-432	X465000-3	 	     Di 		000	Wild	G4 III	-3	(400+2)	[0000]	B	9	8

1105	Fore	A	0401	191-042	B313454-E	 	    Ic Ni 	 	704		M3 V	0	(D35-1)	[]	B	8	0
1201	Fore	A	0401	191-042	X313000-E	 	    Di Ic 		004		M3 V	-1	(D00-2)	[0000]	B	8	-26
1240	Fore	A	0401	191-042	X313000-E	 	    Di Ic 		004	Wild	M3 V	-1	(D00+2)	[0000]	B	8	26
1508	Fore	A	0401	191-042	X313000-E	 	    Di Ic 		004	Wild	M3 V	-1	(D00+3)	[0000]	B	8	39
1900	Fore	A	0401	191-042	X313000-E	 	    Di Ic 		004	Wild	M3 V	-1	(D00+3)	[0000]	B	8	39

1105	Fore	A	0402	176-440	A676402-C	 	    Ni Pa 	 	803		A7 V	0	(A33+1)	[]	Bc	11	0
1201	Fore	A	0402	176-440	X676455-7	 	    Ni Pa 		403		A7 V	-3	(731+3)	[912B]	Bc	11	63
1240	Fore	A	0402	176-440	X676000-7	 	     Di 		003	Wild	A7 V	-3	(700-5)	[0000]	B	11	-35
1508	Fore	A	0402	176-440	X676000-7	 	     Di 		003	Wild	A7 V	-3	(700-4)	[0000]	B	11	-28
1900	Fore	A	0402	176-440	X676000-7	 	     Di 		003	Wild	A7 V	-3	(700-1)	[0000]	B	11	-7

1105	Fore	A	0403	408-3A1	A456AA8-E	 	     Hi (NIL)	 	324		G2 V	0	(E97+1)	[]	BE	13	0
1201	Fore	A	0403	408-3A1	X456451-2	 	    Ni Pa (NIL)		624		G2 V	-3	(830-3)	[6174]	Bc	13	-72
1240	Fore	A	0403	408-3A1	X456442-0	 	    Ni Pa (NIL)		324	Wild	G2 V	-3	(831-1)	[3131]	Bc	13	-24
1508	Fore	A	0403	408-3A1	X456489-0	 	    Ni Pa (NIL)		424	Wild	G2 V	-3	(830-1)	[9141]	Bc	13	-24
1900	Fore	A	0403	408-3A1	X456457-2	 	    Ni Pa (NIL)		524	Wild	G2 V	-3	(833-3)	[4181]	Bc	13	-216

1105	Fore	A	0404	732-350	A450546-E	 	   De Ni Po 	 	204		F8 V	0	(G44-1)	[]	B	13	0
1201	Fore	A	0404	732-350	X450401-5	 	   De Ni Po 		504		F8 V	-3	(C30-4)	[2164]	B	13	-144
1240	Fore	A	0404	732-350	X450444-2	 	   De Ni Po 		204	Wild	F8 V	-3	(C30-4)	[3141]	B	13	-144
1508	Fore	A	0404	732-350	X450444-3	 	   De Ni Po 		304	Wild	F8 V	-3	(C33+1)	[4134]	B	13	108
1900	Fore	A	0404	732-350	X450475-4	 	   De Ni Po 		304	Wild	F8 V	-3	(C30+1)	[1118]	B	13	36

1105	Fore	A	0408	732-450	A477521-A	 	    Ag Ni 	 	104		K1 V   M3 V 	0	(B44+1)	[]	BC	13	0
1201	Fore	A	0408	732-450	X477479-3	 	    Ni Pa 	B	504		K1 V   M3 V 	-3	(731+5)	[1162]	Bc	13	105
1240	Fore	A	0408	732-450	X477000-3	 	     Di 		004	Wild	K1 V   M3 V 	-3	(700-2)	[0000]	B	13	-14
1508	Fore	A	0408	732-450	X477000-3	 	     Di 		004	Wild	K1 V   M3 V 	-3	(700+3)	[0000]	B	13	21
1900	Fore	A	0408	732-450	X477000-3	 	     Di 		004	Wild	K1 V   M3 V 	-3	(700-1)	[0000]	B	13	-7

1105	Fore	A	0502	668-273	B2427AB-B	 	     Pi Po (NIL)	 	400		G0 V 	0	(969-1)	[]	BD	7	0
1201	Fore	A	0502	668-273	X242000-B	 	    Di Pi Po (NIL)		000		G0 V 	-1	(900+2)	[0000]	BD	7	18
1240	Fore	A	0502	668-273	X242000-B	 	    Di Pi Po (NIL)		000	Wild	G0 V 	-1	(900-4)	[0000]	BD	7	-36
1508	Fore	A	0502	668-273	X242000-B	 	    Di Po (NIL)		000	Wild	G0 V 	-1	(900-2)	[0000]	B	7	-18
1900	Fore	A	0502	668-273	X242000-B	 	    Di Po (NIL)		000	Wild	G0 V 	-1	(900-3)	[0000]	B	7	-27

1105	Fore	A	0503	431-044	B5A3421-B	 	    Fl Ni 	 	104		M5 V   M8 D	0	(835-1)	[]	B	13	0
1201	Fore	A	0503	431-044	X5A3000-B	 	    Di Fl 		004		M5 V   M8 D	-1	(800+1)	[0000]	B	13	8
1240	Fore	A	0503	431-044	X5A3000-B	 	    Di Fl 		004	Wild	M5 V   M8 D	-1	(800+3)	[0000]	B	13	24
1508	Fore	A	0503	431-044	X5A3000-B	 	    Di Fl 		004	Wild	M5 V   M8 D	-1	(800-2)	[0000]	B	13	-16
1900	Fore	A	0503	431-044	X5A3000-B	 	    Di Fl 		004	Wild	M5 V   M8 D	-1	(800+1)	[0000]	B	13	8

1105	Fore	A	0504	849-653	B997541-B	 	    Ag Ni 	 	704		G4 III	0	(B44-4)	[]	BC	10	0
1201	Fore	A	0504	849-653	X997558-3	 	    Ag Ni 	B	404		G4 III	-2	(744+2)	[5312]	BC	10	224
1240	Fore	A	0504	849-653	X997000-3	 	     Di 		004	Wild	G4 III	-3	(700+1)	[0000]	B	10	7
1508	Fore	A	0504	849-653	X997000-3	 	     Di 		004	Wild	G4 III	-3	(700+1)	[0000]	B	10	7
1900	Fore	A	0504	849-653	X997000-3	 	     Di 		004	Wild	G4 III	-3	(700+4)	[0000]	B	10	28

1105	Fore	A	0505	824-079	E000778-8	 	    As Va Na Pi 	 	724		K5 V	0	(B67+1)	[]	BD	14	0
1201	Fore	A	0505	824-079	X000000-8	 	   As Va Di Na Pi 		024		K5 V	-3	(B00-4)	[0000]	BD	14	-44
