Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Forn	A	0102	Cianan	X565577-0	 	   Ag Pr Ni 		314	Wild	G3 V	-2	(742+4)	[1321]	BcC	11	224
Forn	A	0106	Imondec	X580000-5	 	   De Di 		002	Wild	M0 V M4 V	-3	(500+1)	[0000]	B	15	5
Forn	A	0107	Casidhe	X000000-D	 	   As Va Di 		015	Wild	G1 V	-1	(E00-1)	[0000]	B	13	-14
Forn	A	0109	Gimki	X869000-5	 	    Di 		000	Wild	M3 V	-3	(700+2)	[0000]	B	8	14
Forn	E	0113	Proust	X89A000-4	 	   Di Wa 		003	Wild	M1 V	-3	(500-3)	[0000]	B	13	-15
Forn	E	0114	Empuura	X8B5000-D	 	   Di Fl (ENIL)		003	Wild	G4 V	-1	(C00+1)	[0000]	B	11	12
Forn	E	0120	Resh	E692000-6	 	   Di He 		000	Wild	G5 V M1 V	-3	(400-3)	[0000]	B	4	-12
Forn	I	0124	Hankel	E654000-6	 	    Di 		002	Wild	G2 V M5 V	-3	(500+4)	[0000]	B	10	20
Forn	I	0127	Alia	X427000-C	 	    Di (NIL)		000	Wild	K0 V	-1	(900+2)	[0000]	B	13	18
Forn	I	0128	Kaar	X998000-4	 	    Di 		010	Wild	M2 V	-3	(700+2)	[0000]	B	14	14
Forn	M	0133	Eng	E546000-7	 	    Di 		004	Wild	M0 V	-3	(600+1)	[0000]	B	7	6
Forn	M	0134	Guimaas	X424000-B	 	    Di 		004	Wild	M3 V	-1	(B00+3)	[0000]	B	13	33
Forn	M	0135	De Hall	X8666AB-1	 	  Ag Ri Ga Ni 		104	Wild	G8 V	-1	(850+1)	[6561]	BC	17	40
Forn	M	0136	South	X547000-5	 	    Di 		003	Wild	K0 V M0 V	-3	(400+1)	[0000]	B	11	4
Forn	M	0140	Noos	X556774-1	 	    Ag (NIL)		300	Wild	G6 V	-1	(963+1)	[9671]	BC	4	162
Forn	A	0202	Giiar Me	X435000-9	 	    Di 		010	Wild	K3 V M1 V	-2	(800+1)	[0000]	B	9	8
Forn	A	0203	Sefe	X200000-B	 	   Di Va 		012	Wild	M5 III	-1	(A00+3)	[0000]	B	13	30
Forn	A	0208	Holst	X567674-0	 	   Ag Ri Ni 		323	Wild	M1 V	-1	(850+1)	[7511]	BC	10	40
Forn	A	0209	Shiirkan	X302000-E	 	  Cp Di Ic Va 		022	Wild	K1 V	-1	(F00+2)	[0000]	BF	12	30
Forn	E	0211	Geam	X000000-A	 	   As Va Di 		021	Wild	M2 V M9 V M5 V	-1	(B00+1)	[0000]	B	12	11
Forn	E	0212	Polor	E658000-6	 	    Di 		000	Wild	M3 V	-3	(300+4)	[0000]	B	13	12
Forn	E	0214	Rokke	D557634-1	 	   Ag Ni 		300	Wild	M3 V M6 V	-2	(852-2)	[7411]	BC	3	-160
Forn	E	0216	Rudde	X424000-E	 	    Di 		000	Wild	M2 V M7 V	-1	(700+1)	[0000]	B	10	7
Forn	E	0217	Miidkhim	X899000-6	 	    Di 		000	Wild	K9 V	-3	(600+1)	[0000]	B	13	6
Forn	I	0222	Niall	E541873-5	 	  He Ph Pi Po (NIL)		213	Wild	M2 V	-2	(975-4)	[C648]	BDe	10	-1260
Forn	I	0223	Arenim	X520000-C	 	  De He Di Po (NIL)		003	Wild	M0 V	-1	(C00+4)	[0000]	B	11	48
Forn	I	0226	Misharkin	X856999-3	 	   Ga Hi (NIL)		212	Wild	M1 V	-1	(B82-1)	[6814]	BE	12	-176
Forn	M	0233	Gaven	E782688-4	 	   Ni Ri 		523	Wild	G4 V M1 V	-2	(850-2)	[9423]	BC	12	-80
Forn	M	0236	Laraan	X436000-B	 	    Di 		022	Wild	K3 V M6 V	-1	(B00-1)	[0000]	B	9	-11
Forn	M	0239	Giir	X572000-3	 	   Di He 		022	Wild	M1 V	-3	(500-4)	[0000]	B	14	-20
Forn	M	0240	Becker	X99A000-1	 	   Di Wa 		023	Wild	K4 V	-3	(700-4)	[0000]	B	13	-28
Forn	A	0302	Maig La	D546000-7	 	   Di Mr 		000	Wild	M0 V	-3	(800-1)	[0000]	B	9	-8
Forn	A	0308	Darkbone	X310000-C	 	    Di 		003	Wild	M1 V	-1	(600-1)	[0000]	B	11	-6
Forn	A	0309	Dubro	X79A000-4	 	   Di Wa (NIL)		002	Wild	M3 V	-3	(A00-4)	[0000]	B	12	-40
Forn	A	0310	Tolsen	X673000-2	 	    Di 		012	Wild	F7 V	-3	(500+2)	[0000]	B	10	10
Forn	E	0311	Spede	X9C5000-A	 	   Di Fl (ENIL)		003	Wild	F4 V M2 V	-1	(D00-3)	[0000]	B	15	-39
Forn	E	0313	Nagshii Ar	E558000-5	 	    Di 		020	Wild	K8 V M7 V	-3	(400-5)	[0000]	B	15	-20
Forn	E	0314	Ricon	E55269B-5	 	   Ni Po 		124	Wild	M2 V	-3	(851-5)	[9376]	B	9	-200
Forn	E	0317	Berthegad	X895776-3	 	    Ag Pi (NIL)		100	Wild	M2 V M5 V	-1	(969+3)	[9634]	BCD	12	1458
Forn	E	0318	Amoli	X694000-9	 	    Di 		000	Wild	G1 V M5 V	-2	(800-2)	[0000]	B	13	-16
Forn	I	0322	Rustion	E745000-4	 	    Di 		000	Wild	F4 V M5 V	-3	(700-1)	[0000]	B	9	-7
Forn	I	0324	Steinegir	X54199B-2	 	  He Hi In Po (NIL)		304	Wild	K1 V M5 V M8 V	0	(A8A-5)	[B994]	BE	10	-4000
Forn	I	0325	Varag	X8B3000-C	 	   Di Fl 		004	Wild	M2 V	-1	(A00-5)	[0000]	B	17	-50
Forn	I	0326	Impe	X562000-2	 	    Di 		020	Wild	M3 V	-3	(300+3)	[0000]	B	10	9
Forn	M	0331	Direr	X76A659-3	 	  Ni Ri Wa 		101	Wild	M2 V	-2	(854+5)	[3458]	BC	7	800
Forn	M	0335	Gadi	X638000-8	 	    Di 		003	Wild	K3 V	-3	(800+1)	[0000]	B	11	8
Forn	M	0337	Khaap Dind	E575000-7	 	    Di (NIL)		020	Wild	K2 V	-3	(A00-1)	[0000]	B	5	-10
Forn	M	0338	Setten	X529000-F	 	    Di (NIL)		014	Wild	K9 V	-1	(H00+4)	[0000]	B	8	68
Forn	M	0340	Qadir	X560657-2	 	  De Ni Ri (NIL)		303	Wild	M2 V M3 V	-2	(A54-2)	[5441]	BC	11	-400
Forn	A	0402	Mensagaag	X646000-7	 	    Di (NIL)		004	Wild	M3 V	-3	(900+1)	[0000]	B	11	9
Forn	A	0403	Jasmin	X510000-A	 	    Di 		020	Wild	M3 V	-1	(900+1)	[0000]	B	13	9
Forn	A	0408	Nemli	X511000-A	 	   Di Ic 		004	Wild	M1 V M9 V	-1	(A00-4)	[0000]	B	14	-40
Forn	E	0411	Mongugikiish	X000000-F	 	   As Va Di 		004	Wild	M2 V M6 V	-1	(700+2)	[0000]	B	10	14
Forn	E	0413	Squibb	D57579C-3	 	    Ag Pi (NIL)		322	Wild	K0 V	-1	(968+1)	[C652]	BCD	9	432
Forn	E	0414	Punsiir	XA7A000-2	 	   Di Oc 		014	Wild	M1 V	-3	(600+1)	[0000]	B	9	6
Forn	E	0415	Cognious	E573000-3	 	    Di 		022	Wild	M0 V M4 V	-3	(700+2)	[0000]	B	14	14
Forn	E	0418	Coddington	X798000-2	 	    Di 		004	Wild	M3 V	-3	(600-1)	[0000]	B	8	-6
Forn	E	0419	Prestuyf	X6B1000-D	 	  Cp Di Fl He 		014	Wild	M0 V M5 V	-1	(D00-2)	[0000]	BF	8	-26
Forn	E	0420	Wylkyn	D856000-6	 	   Di Ga 		012	Wild	M0 V M0 V	-3	(500-3)	[0000]	B	16	-15
Forn	I	0421	Jada	X75A577-1	 	   Ni Wa 		220	Wild	K4 V	-3	(740+1)	[5231]	B	14	28
Forn	I	0423	Norwalk	X997000-3	 	    Di 		022	Wild	G1 V	-3	(700-5)	[0000]	B	12	-35
Forn	I	0424	Haley	X576000-6	 	    Di 		013	Wild	M2 V M3 V	-3	(600+1)	[0000]	B	15	6
Forn	M	0434	Eshge	D656458-4	 	  Ga Ni Pa 		104	Wild	M1 V	-3	(633+1)	[1131]	Bc	11	54
Forn	M	0438	Wernher	X000000-C	 	   As Va Di 		013	Wild	M1 V M6 V	-1	(800+3)	[0000]	B	8	24
Forn	M	0439	Dale	X200000-A	 	   Di Va 		000	Wild	M2 V M5 V	-1	(800+2)	[0000]	B	7	16
Forn	A	0501	Ererashir	E752433-3	 	   Ni Po 		101	Wild	G4 V	-3	(633-4)	[4148]	B	8	-216
Forn	A	0506	Rossen	X000000-9	 	   As Va Di 		010	Wild	K3 V M5 V	-2	(A00+2)	[0000]	B	8	20
Forn	A	0507	Pedrishda	X420000-C	 	  De He Di Po (NIL)		033	Wild	M2 V	-1	(G00-2)	[0000]	B	9	-32
Forn	A	0510	Zervicit	X100000-C	 	   Di Va 		004	Wild	M0 V M4 V	-1	(800-2)	[0000]	B	7	-16
Forn	E	0511	Hafleikr	X551000-6	 	   Di Po 		000	Wild	M1 V	-3	(500+2)	[0000]	B	10	10
Forn	E	0513	Hamlin	E563873-4	 	   Ph Ri (NIL)		603	Wild	M1 V	-1	(A74-2)	[5721]	BCe	8	-560
Forn	E	0517	Kendrin	X312000-C	 	   Di Ic 		000	Wild	G1 V	-1	(600+1)	[0000]	B	13	6
Forn	E	0519	Ekkamshas	X533000-A	 	   Di Po 		000	Wild	G2 V	-1	(700-3)	[0000]	B	8	-21
Forn	E	0520	Naaka	E66779A-5	 	   Ag Ri Ga (NIL)		100	Wild	M1 V	0	(966-3)	[9723]	BC	9	-972
Forn	I	0522	Sancia	X658453-3	 	   Ni Pa 		303	Wild	M2 V	-3	(632-4)	[3195]	Bc	15	-144
Forn	I	0523	Mclean Four	E560000-3	 	   De Di 		004	Wild	K9 V	-3	(400+1)	[0000]	B	7	4
Forn	I	0524	Klose	X100000-C	 	   Di Va 		010	Wild	M3 V M7 V	-1	(800+5)	[0000]	B	5	40
Forn	I	0526	Algenib	E554000-3	 	    Di 		023	Wild	G4 V	-3	(800+1)	[0000]	B	8	8
Forn	I	0527	Brangwen	X563854-2	 	  Cp Ph Ri (NIL)		200	Wild	K6 V	-1	(A74-2)	[B756]	BCeF	8	-560
Forn	I	0530	Khaandadshi	C555740-4	 	    Ag (NIL)		402	Wild	M2 V	0	(969-2)	[C721]	BC	7	-972
Forn	M	0531	Spartanaki	X7447AA-0	 	    Ag Pi (NIL)		510	Wild	K0 V M5 V M8 V	-1	(965+5)	[5651]	BCD	14	1350
Forn	M	0533	Kirik	X676000-2	 	    Di 		013	Wild	M0 V	-3	(500+1)	[0000]	B	7	5
Forn	M	0535	Slath	X843000-3	 	   Di Po 		000	Wild	M2 V	-3	(400+4)	[0000]	B	8	16
Forn	M	0537	Khalu	X524000-F	 	   Cp Di (NIL)		004	Wild	M3 V M6 V	-1	(F00-2)	[0000]	BF	10	-30
Forn	M	0538	Rirkshuur	X56269A-1	 	   Ni Ri 		300	Wild	M2 V M6 V	-2	(852-3)	[5453]	BC	8	-240
Forn	M	0540	Lamberd	C562789-6	 	    Ri (NIL)		400	Wild	M3 V M9 V	0	(963-3)	[9725]	BC	13	-486
Forn	A	0601	Pashuug	X9B8000-A	 	   Di Fl 		004	Wild	M0 V	-1	(900+3)	[0000]	B	15	27
Forn	A	0602	Nubiamka	X560349-1	 	   De Lo (NIL)		912	Wild	M2 V M9 V	-3	(A20-2)	[3131]	B	10	-40
Forn	A	0604	Deboren	X887000-3	 	   Di Ga 		003	Wild	K4 V	-3	(500+1)	[0000]	B	10	5
Forn	A	0605	Florengam	E99A000-8	 	   Di Wa 		023	Wild	M1 V M3 V	-3	(C00+2)	[0000]	B	16	24
Forn	A	0606	Endshi	X525000-B	 	    Di (NIL)		020	Wild	M0 V	-1	(C00+1)	[0000]	B	15	12
Forn	A	0607	Laag Ane	X310000-A	 	    Di 		003	Wild	K6 V M0 V	-1	(D00+1)	[0000]	B	13	13
Forn	E	0615	Clenen	X89A000-4	 	   Di Wa 		000	Wild	M1 V M4 V M7 V	-3	(400-1)	[0000]	B	10	-4
Forn	E	0619	Del Fforge	XA9A000-4	 	   Di Oc 		004	Wild	G8 V	-3	(400+1)	[0000]	B	14	4
Forn	I	0622	Eloka	X7797AA-0	 	    Pi (NIL)		521	Wild	K1 V M4 V	-2	(A63+1)	[5531]	BD	10	180
Forn	I	0623	Figire	X763789-1	 	    Ri (NIL)		223	Wild	M2 V	-1	(968-4)	[A631]	BC	9	-1728
Forn	I	0625	Belshaug	X528000-D	 	    Di 		023	Wild	M0 V	-1	(D00+1)	[0000]	B	10	13
Forn	I	0627	Immupi	X8A3000-D	 	   Di Fl 		024	Wild	M2 V	-1	(900+1)	[0000]	B	15	9
Forn	I	0629	Olon	X200000-D	 	   Di Va 		000	Wild	G5 V	-1	(500-4)	[0000]	B	11	-20
Forn	I	0630	Temair	X436000-9	 	    Di 		012	Wild	K4 V M9 V	-2	(900+4)	[0000]	B	10	36
