Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Forn	A	0102	Cianan	B565553-9	 	      Ag Pr Ni 		814	ImDc	G3 V	1	(C45-2)	[2626]	BcC	11	-480
1201	Forn	A	0102	Cianan	X565599-3	 	      Ag Pr Ni 	B	414	ImDc	G3 V	-2	(741+1)	[7393]	BcC	11	28
1281	Forn	A	0102	Cianan	X565572-0	 	      Ag Pr Ni 		214	Wild	G3 V	-2	(742+1)	[5331]	BcC	11	56
1508	Forn	A	0102	Cianan	X565572-0	 	      Ag Pr Ni 		214	Wild	G3 V	-2	(740+2)	[8371]	BcC	11	56
1900	Forn	A	0102	Cianan	X565574-0	 	      Ag Pr Ni 		314	Wild	G3 V	-2	(740-3)	[5351]	BcC	11	-84

1105	Forn	A	0106	Imondec	B580310-B	 	     De Lo 		902	ImDc	M0 V M4 V	1	(721-3)	[1416]	B	15	-42
1201	Forn	A	0106	Imondec	X580124-3	 	     De Lo 		102	ImDc	M0 V M4 V	-3	(500-3)	[1156]	B	15	-15
1281	Forn	A	0106	Imondec	X580000-3	 	     De Di 		002	Wild	M0 V M4 V	-3	(500+4)	[0000]	B	15	20
1508	Forn	A	0106	Imondec	X580000-3	 	     De Di 		002	Wild	M0 V M4 V	-3	(500+1)	[0000]	B	15	5
1900	Forn	A	0106	Imondec	X580000-3	 	     De Di 		002	Wild	M0 V M4 V	-3	(500-2)	[0000]	B	15	-10

1105	Forn	A	0107	Casidhe	B000655-D	 	      As Va Na Ni 		315	ImDc	G1 V	1	(E55-1)	[473B]	B	13	-350
1201	Forn	A	0107	Casidhe	X000000-D	 	      As Va Di Na 		015	ImDc	G1 V	-1	(E00-1)	[0000]	B	13	-14
1281	Forn	A	0107	Casidhe	X000000-D	 	      As Va Di Na 		015	Wild	G1 V	-1	(E00-5)	[0000]	B	13	-70
1508	Forn	A	0107	Casidhe	X000000-D	 	       As Va Di 		015	Wild	G1 V	-1	(E00-1)	[0000]	B	13	-14
1900	Forn	A	0107	Casidhe	X000000-D	 	       As Va Di 		015	Wild	G1 V	-1	(E00+1)	[0000]	B	13	14

1105	Forn	A	0109	Gimki	E869569-6	 	    O:0209  Ni Pr 		100	ImDc	M3 V	-3	(741-2)	[6267]	Bc	8	-56
1201	Forn	A	0109	Gimki	X869440-4	 	     O:0209  Ni 	B	600	ImDc	M3 V	-3	(733-2)	[7111]	B	8	-126
1281	Forn	A	0109	Gimki	X869000-4	 	     O:0209  Di 		000	Wild	M3 V	-3	(700+1)	[0000]	B	8	7
