Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gate	I	0127	Tanis	XA89634-3	 	   Ni Ri 		120	Wild	F0 V	-2	(853+1)	[2446]	BC	8	120
Gate	I	0130	Far Portal	X438000-A	 	    Di 		023	Wild	M4 III	-1	(C00-4)	[0000]	B	12	-48
Gate	M	0135	Harper	X647000-2	 	    Di (NIL)		015	Wild	F9 V G9 V	-3	(C00-1)	[0000]	B	14	-12
Gate	M	0140	Brevin	X563000-6	 	    Di 		020	Wild	F7 V	-3	(500-1)	[0000]	B	9	-5
Gate	I	0230	Costavan	E560400-8	 	   De Ni 		301	Wild	F4 V G0 V	-3	(733-1)	[7196]	B	7	-63
Gate	M	0233	Renaldo	X430000-9	 	  De Di Po 		023	Wild	K2 V M6 V	-2	(D00+1)	[0000]	B	16	13
Gate	M	0236	Hesperinth	X673000-4	 	    Di 		005	Wild	F3 V	-3	(800+2)	[0000]	B	14	16
Gate	M	0239	Hadley Station	XABA000-8	 	   Di Fl 		013	Wild	M3 V	-3	(800+5)	[0000]	B	12	40
Gate	I	0323	Newpontere	X597000-4	 	    Di 		024	Wild	F2 V M8 V	-3	(600-4)	[0000]	B	16	-24
Gate	I	0327	Castamaria	E64A000-5	 	   Di Wa 		001	Wild	F6 V	-3	(800-2)	[0000]	B	7	-16
Gate	M	0332	Caldwell	X401000-A	 	   Di Ic Va 		023	Wild	M3 V	-1	(D00-1)	[0000]	B	12	-13
Gate	M	0334	Baker	X876000-5	 	    Di (NIL)		005	Wild	F9 V	-3	(900-3)	[0000]	B	9	-27
Gate	M	0337	Thomwell	X776850-1	 	   Pa Pi Ph (NIL)		301	Wild	A3 V G3 V	-2	(A73+3)	[B621]	BcDe	13	630
Gate	M	0340	Mork	X558000-0	 	    Ba 		011	Wild	F3 V	-3	(600-2)	[0000]	B	12	-12
Gate	A	0407	Isolation	X7C2000-B	 	   Di Fl He 		014	Wild	K1 V K8 V	-1	(C00+3)	[0000]	B	15	36
Gate	I	0425	Redstorm	X626000-7	 	    Di (NIL)		000	Wild	F7 V	-3	(A00+1)	[0000]	B	11	10
Gate	I	0430	Tamerij	C567845-7	 	   Pa Ri Ph (NIL)		905	Wild	F2 V M9 V	0	(B79+1)	[9854]	BcCe	16	693
Gate	M	0433	Dumnar	E554452-6	 	   Ni Pa 		200	Wild	A3 V F2 V	-3	(732+1)	[2115]	Bc	5	42
Gate	M	0437	Pendejest	XAB5000-8	 	   Di Fl 		021	Wild	M1 V M1 V	-3	(A00+1)	[0000]	B	12	10
Gate	A	0502	Winternight	X516000-A	 	   Di Ic 		022	Wild	M6 II D	-1	(800-1)	[0000]	B	8	-8
Gate	E	0515	Splinter	XAAA000-8	 	   Di Fl 		012	Wild	M0 V	-3	(800+2)	[0000]	B	10	16
Gate	I	0527	Amberinth	E785898-6	 	  Ga Pa Ri Ph (NIL)		500	Wild	G1 V	-1	(A7B-2)	[5737]	BcCe	4	-1540
Gate	I	0528	Tharver	X775000-4	 	    Di (NIL)		011	Wild	F3 V	-3	(B00-1)	[0000]	B	9	-11
Gate	M	0534	Monopoly	E8888A8-3	 	   Pa Ri Ph (NIL)		313	Wild	F2 V	-1	(A76-3)	[5737]	BcCe	14	-1260
Gate	M	0536	Grom	XAA5000-8	 	   Di Fl 		001	Wild	M1 V	-3	(600+1)	[0000]	B	7	6
Gate	I	0622	Ithelu	X675000-3	 	    Di 		033	Wild	F4 V	-3	(700-2)	[0000]	B	14	-14
Gate	I	0625	Revonis	X420000-A	 	  De He Di Po 		002	Wild	M1 V	-1	(800-4)	[0000]	B	8	-32
Gate	I	0629	Williwaw	X999000-4	 	    Di 		002	Wild	F3 V	-3	(700-2)	[0000]	B	9	-14
Gate	M	0631	Sanderay	D59A000-5	 	   Di Wa 		011	Wild	F5 V	-3	(700-2)	[0000]	B	11	-14
Gate	M	0637	Jove	X310000-9	 	    Di 		012	Wild	F4 V M0 V	-2	(B00-4)	[0000]	B	12	-44
Gate	M	0639	Basternevis	E575000-5	 	    Di 		021	Wild	F6 V M4 V	-3	(700+2)	[0000]	B	8	14
Gate	E	0720	Hollmann	X9B4000-9	 	   Di Fl 		013	Wild	M1 V	-2	(A00-1)	[0000]	B	8	-10
Gate	I	0724	Carper	X000000-B	 	   As Va Di 		033	Wild	A4 V F4 V	-1	(C00-2)	[0000]	B	12	-24
Gate	I	0727	Thermal	X752000-7	 	   Di Po 		024	Wild	F1 V G6 V	-3	(700-4)	[0000]	B	15	-28
Gate	M	0732	Basilisk	X300000-7	 	   Di Va 		002	Wild	F3 V	-3	(800-1)	[0000]	B	8	-8
Gate	M	0735	Shivaree	X768777-2	 	    Ag Ri (NIL)		412	Wild	F7 V	0	(967-4)	[8776]	BC	11	-1512
Gate	A	0801	Glee	X430000-A	 	  De Di Po 		010	Wild	K4 V	-1	(900-1)	[0000]	B	12	-9
Gate	A	0804	Fornook	X100000-9	 	   Di Va 		002	Wild	M0 V	-2	(800+3)	[0000]	B	14	24
Gate	I	0825	Corstation	X005000-8	 	   Di Ic Va 		011	Wild	M0 V M1 V	-3	(500+3)	[0000]	B	14	15
Gate	M	0831	Grosbeak	X7C2000-A	 	   Di Fl He 		010	Wild	M3 V M5 V	-1	(500-2)	[0000]	B	8	-10
Gate	M	0832	Aqua Marina	X58A000-A	 	   Di Wa (NIL)		000	Wild	G7 V M7 V	-1	(A00-1)	[0000]	B	6	-10
