Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Gate	I	0127	Tanis	DA89654-8	 	     Ni Ri 		220	NaHu	F0 V	-2	(A52-4)	[4436]	BC	8	-400
1201	Gate	I	0127	Tanis	XA89684-8	 	     Ni Ri 	B	320	NaHu	F0 V	-2	(A54-1)	[942A]	BC	8	-200
1281	Gate	I	0127	Tanis	XA89413-2	 	      Ni 		120	Wild	F0 V	-3	(830+1)	[2164]	B	8	24
1508	Gate	I	0127	Tanis	XA89420-3	 	      Ni 		220	Wild	F0 V	-3	(833-3)	[7141]	B	8	-216
1900	Gate	I	0127	Tanis	XA89486-4	 	      Ni 		320	Wild	F0 V	-3	(832+1)	[1162]	B	8	48

1105	Gate	I	0130	Far Portal	A438546-A	 	     Ni 		823	NaHu	M4 III	1	(C45+1)	[4649]	B	12	240
1201	Gate	I	0130	Far Portal	X438000-A	 	     Di 		023	NaHu	M4 III	-1	(C00+1)	[0000]	B	12	12
1281	Gate	I	0130	Far Portal	X438000-A	 	     Di 		023	Wild	M4 III	-1	(C00-3)	[0000]	B	12	-36
1508	Gate	I	0130	Far Portal	X438000-A	 	     Di 		023	Wild	M4 III	-1	(C00+2)	[0000]	B	12	24
1900	Gate	I	0130	Far Portal	X438000-A	 	     Di 		023	Wild	M4 III	-1	(C00-3)	[0000]	B	12	-36

1105	Gate	M	0135	Harper	E647ABC-9	 	    Pz  Hi In (NIL)	A	115	NaHu	F9 V G9 V	1	(J9B+4)	[DB8C]	BE	14	7128
1201	Gate	M	0135	Harper	X647866-5	 	    Pz  Pa Pi Ph (NIL)		115	NaHu	F9 V G9 V	-2	(C75+1)	[8613]	BcDe	14	420
1281	Gate	M	0135	Harper	X647788-0	 	     Pz  Ag Pi (NIL)		515	Wild	F9 V G9 V	-1	(C65+3)	[8641]	BCD	14	1080
1508	Gate	M	0135	Harper	X647746-0	 	     Pz  Ag Pi (NIL)		615	Wild	F9 V G9 V	-1	(C63-4)	[4662]	BCD	14	-864
1900	Gate	M	0135	Harper	X647785-1	 	     Pz  Ag Pi (NIL)		715	Wild	F9 V G9 V	-1	(C68-1)	[7681]	BCD	14	-576

1105	Gate	M	0140	Brevin	D563310-7	 	     Lo 		120	NaHu	F7 V	-3	(520-5)	[1112]	B	9	-50
1201	Gate	M	0140	Brevin	X563120-6	 	     Lo 		120	NaHu	F7 V	-3	(500+4)	[1143]	B	9	20
1281	Gate	M	0140	Brevin	X563000-6	 	     Di 		020	Wild	F7 V	-3	(500-3)	[0000]	B	9	-15
1508	Gate	M	0140	Brevin	X563000-6	 	     Di 		020	Wild	F7 V	-3	(500-1)	[0000]	B	9	-5
1900	Gate	M	0140	Brevin	X563000-6	 	     Di 		020	Wild	F7 V	-3	(500-4)	[0000]	B	9	-20

1105	Gate	I	0230	Costavan	C560431-9	 	     De Ni 		601	NaHu	F4 V G0 V	-1	(732-5)	[1315]	B	7	-210
1201	Gate	I	0230	Costavan	X560410-4	 	     De Ni 	B	301	NaHu	F4 V G0 V	-3	(630-3)	[4125]	B	7	-54
1281	Gate	I	0230	Costavan	X560447-1	 	     De Ni 		101	Wild	F4 V G0 V	-3	(630+2)	[5161]	B	7	36
1508	Gate	I	0230	Costavan	X560431-2	 	     De Ni 		201	Wild	F4 V G0 V	-3	(630+1)	[7171]	B	7	18
1900	Gate	I	0230	Costavan	X560473-3	 	     De Ni 		301	Wild	F4 V G0 V	-3	(632+5)	[4156]	B	7	180

1105	Gate	M	0233	Renaldo	C430668-9	 	     O:0332  De Na Po Ni 		323	NaHu	K2 V M6 V	-1	(D53-1)	[6559]	B	16	-195
1201	Gate	M	0233	Renaldo	X430000-9	 	     O:0332  De Di Na Po 		023	NaHu	K2 V M6 V	-2	(D00+1)	[0000]	B	16	13
1281	Gate	M	0233	Renaldo	X430000-9	 	     O:0332  De Di Na Po 		023	Wild	K2 V M6 V	-2	(D00-4)	[0000]	B	16	-52
1508	Gate	M	0233	Renaldo	X430000-9	 	     O:0332  De Di Po 		023	Wild	K2 V M6 V	-2	(D00-1)	[0000]	B	16	-13
1900	Gate	M	0233	Renaldo	X430000-9	 	     O:0332  De Di Po 		023	Wild	K2 V M6 V	-2	(D00-1)	[0000]	B	16	-13

1105	Gate	M	0236	Hesperinth	E673675-6	 	     Ni 		905	NaHu	F3 V	-3	(851-5)	[4334]	B	14	-200
1201	Gate	M	0236	Hesperinth	X673773-6	 	      	B	105	NaHu	F3 V	-2	(868-2)	[4545]	B	14	-768
1281	Gate	M	0236	Hesperinth	X673652-1	 	     Ni 		505	Wild	F3 V	-3	(850-1)	[5342]	B	14	-40
1508	Gate	M	0236	Hesperinth	X673625-1	 	     Ni 		405	Wild	F3 V	-3	(851-2)	[A311]	B	14	-80
1900	Gate	M	0236	Hesperinth	X673677-2	 	     Ni 		305	Wild	F3 V	-3	(852+3)	[9315]	B	14	240

1105	Gate	M	0239	Hadley Station	CABA241-8	 	     Fl Lo 		913	NaHu	M3 V	-2	(810-5)	[1114]	B	12	-40
1201	Gate	M	0239	Hadley Station	XABA000-8	 	     Di Fl 		013	NaHu	M3 V	-3	(800+1)	[0000]	B	12	8
1281	Gate	M	0239	Hadley Station	XABA000-8	 	     Di Fl 		013	Wild	M3 V	-3	(800+4)	[0000]	B	12	32
1508	Gate	M	0239	Hadley Station	XABA000-8	 	     Di Fl 		013	Wild	M3 V	-3	(800+1)	[0000]	B	12	8
1900	Gate	M	0239	Hadley Station	XABA000-8	 	     Di Fl 		013	Wild	M3 V	-3	(800+3)	[0000]	B	12	24

1105	Gate	I	0323	Newpontere	D597488-7	 	     Ni Pa 		724	NaHu	F2 V M8 V	-3	(631-3)	[4157]	Bc	16	-54
1201	Gate	I	0323	Newpontere	X597475-6	 	     Ni Pa 		424	NaHu	F2 V M8 V	-3	(630+4)	[4116]	Bc	16	72
1281	Gate	I	0323	Newpontere	X597000-6	 	      Di 		024	Wild	F2 V M8 V	-3	(600-4)	[0000]	B	16	-24
1508	Gate	I	0323	Newpontere	X597000-6	 	      Di 		024	Wild	F2 V M8 V	-3	(600-3)	[0000]	B	16	-18
1900	Gate	I	0323	Newpontere	X597000-6	 	      Di 		024	Wild	F2 V M8 V	-3	(600-4)	[0000]	B	16	-24

1105	Gate	I	0327	Castamaria	C64A672-A	 	     Ni Wa 		201	NaHu	F6 V	0	(954-4)	[2616]	B	7	-720
1201	Gate	I	0327	Castamaria	X64A334-4	 	     Lo Wa 		801	NaHu	F6 V	-3	(820-5)	[3175]	B	7	-80
1281	Gate	I	0327	Castamaria	X64A000-4	 	     Di Wa 		001	Wild	F6 V	-3	(800-3)	[0000]	B	7	-24
1508	Gate	I	0327	Castamaria	X64A000-4	 	     Di Wa 		001	Wild	F6 V	-3	(800-1)	[0000]	B	7	-8
1900	Gate	I	0327	Castamaria	X64A000-4	 	     Di Wa 		001	Wild	F6 V	-3	(800+3)	[0000]	B	7	24

1105	Gate	M	0332	Caldwell	A401654-A	 	      Ic Va Na Ni 		423	NaHu	M3 V	1	(D55-1)	[4738]	B	12	-325
1201	Gate	M	0332	Caldwell	X401000-A	 	      Di Ic Va Na 		023	NaHu	M3 V	-1	(D00+1)	[0000]	B	12	13
1281	Gate	M	0332	Caldwell	X401000-A	 	      Di Ic Va Na 		023	Wild	M3 V	-1	(D00-4)	[0000]	B	12	-52
1508	Gate	M	0332	Caldwell	X401000-A	 	       Di Ic Va 		023	Wild	M3 V	-1	(D00+3)	[0000]	B	12	39
1900	Gate	M	0332	Caldwell	X401000-A	 	       Di Ic Va 		023	Wild	M3 V	-1	(D00+3)	[0000]	B	12	39

1105	Gate	M	0334	Baker	A87679B-8	 	     Pz  Ag Pi (NIL)	A	105	NaHu	F9 V	1	(E69+3)	[987A]	BCD	9	2268
1201	Gate	M	0334	Baker	C876778-8	 	     Pz  Ag Pi (NIL)	B	205	NaHu	F9 V	0	(E66+2)	[B717]	BCD	9	1008
1281	Gate	M	0334	Baker	D876000-8	 	    Pz  Di Pi (NIL)		005	Wild	F9 V	-3	(E00+1)	[0000]	BD	9	14
1508	Gate	M	0334	Baker	D876000-8	 	     Pz  Di (NIL)		005	Wild	F9 V	-3	(E00+1)	[0000]	B	9	14
1900	Gate	M	0334	Baker	D876000-8	 	     Pz  Di (NIL)		005	Wild	F9 V	-3	(E00+2)	[0000]	B	9	28

1105	Gate	M	0337	Thomwell	B7768AB-8	 	     Pz  Pa Pi Ph (NIL)	A	601	NaHu	A3 V G3 V	0	(B78+2)	[A87A]	BcDe	13	1232
1201	Gate	M	0337	Thomwell	D776879-8	 	     Pz  Pa Pi Ph (NIL)	B	701	NaHu	A3 V G3 V	-2	(B72+3)	[8666]	BcDe	13	462
1281	Gate	M	0337	Thomwell	D776000-8	 	     Pz  Di Pi (NIL)		001	Wild	A3 V G3 V	-3	(B00-2)	[0000]	BD	13	-22
1508	Gate	M	0337	Thomwell	D776000-8	 	      Pz  Di (NIL)		001	Wild	A3 V G3 V	-3	(B00+3)	[0000]	B	13	33
1900	Gate	M	0337	Thomwell	D776000-8	 	      Pz  Di (NIL)		001	Wild	A3 V G3 V	-3	(B00+2)	[0000]	B	13	22

1105	Gate	M	0340	Mork	C558445-4	 	     Ni Pa 		711	NaHu	F3 V	-2	(631-4)	[2232]	Bc	12	-72
1201	Gate	M	0340	Mork	E558449-0	 	     Ni Pa 	B	411	NaHu	F3 V	-3	(630+1)	[5121]	Bc	12	18
