Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ghoe	A	0101		X231000-0	 	Ba Po 		003	Wild	K1 V	{ -3 }	(200+1)	[0000]	B	0	2
Ghoe	A	0104		X565000-0	 	Ba 		000	Wild	F7 V	{ -3 }	(500+2)	[0000]	B	0	10
Ghoe	A	0105		X445000-0	 	Ba 		011	Wild	F6 V D	{ -3 }	(600+1)	[0000]	B	0	6
Ghoe	A	0106		X500000-0	 	Ba Va 		012	Wild	M7 V	{ -3 }	(700+1)	[0000]	B	0	7
Ghoe	E	0111		X362000-0	 	Ba 		000	Wild	F3 V D	{ -3 }	(500-3)	[0000]	B	0	-15
Ghoe	E	0112		X679000-0	 	Ba 		005	Wild	F2 V D	{ -3 }	(300-3)	[0000]	B	0	-9
Ghoe	E	0114		X320000-0	 	Ba De He Po 		002	Wild	M8 V	{ -3 }	(200+2)	[0000]	B	0	4
Ghoe	E	0119	Grunepid	X777000-6	 	Di DrakW 		022	Wild	F0 V	{ -3 }	(A00+1)	[0000]	B	0	10
Ghoe	I	0122	Dethan	X200000-8	 	Di DrakW Va 		000	Wild	K4 V	{ -3 }	(A00-3)	[0000]	B	0	-30
Ghoe	I	0123	Matoue	X7B4000-9	 	Di DrakW Fl 		000	Wild	M3 V	{ -2 }	(A00+2)	[0000]	B	0	20
Ghoe	I	0125	Vorio	X444000-4	 	Di DrakW 		027	Wild	K4 V D	{ -3 }	(600-1)	[0000]	B	0	-6
Ghoe	I	0126	Ara	X310000-6	 	Di DrakW Na 		003	Wild	M3 V D	{ -3 }	(600-1)	[0000]	B	0	-6
Ghoe	I	0130		X453000-0	 	Ba Po 		014	Wild	K3 V	{ -3 }	(B00+1)	[0000]	B	0	11
Ghoe	M	0132		X456000-0	 	Ba 		003	Wild	F1 V	{ -3 }	(400+3)	[0000]	B	0	12
Ghoe	M	0135	Fivshie	X96A000-B	 	Di Wa 		003	Wild	M0 V	{ -1 }	(800+1)	[0000]	B	0	8
Ghoe	A	0204		X9C5000-0	 	Ba Fl 		010	Wild	M5 V D	{ -3 }	(600-3)	[0000]	B	0	-18
Ghoe	A	0205		X575000-0	 	Ba 		003	Wild	F3 V D	{ -3 }	(700+4)	[0000]	B	0	28
Ghoe	A	0208		X100000-0	 	Ba Va 		008	Wild	K2 V G0 V D	{ -3 }	(800+1)	[0000]	B	0	8
Ghoe	A	0210		X694000-0	 	Ba 		010	Wild	F6 V D	{ -3 }	(500-2)	[0000]	B	0	-10
Ghoe	E	0212		X200000-0	 	Ba Va 		014	Wild	M8 V	{ -3 }	(400+1)	[0000]	B	0	4
Ghoe	E	0213		X400000-0	 	Ba Va 		003	Wild	M8 II	{ -3 }	(500+1)	[0000]	B	0	5
Ghoe	E	0217		X441000-0	 	Ba He Po 		002	Wild	F6 V	{ -3 }	(400-3)	[0000]	B	0	-12
Ghoe	E	0219	Wea	X322000-C	 	Di DrakW He Po 		016	Wild	M5 V D	{ -1 }	(A00-1)	[0000]	B	0	-10
Ghoe	I	0227		X455000-0	 	Ba 		010	Wild	F6 V D	{ -3 }	(800-2)	[0000]	B	0	-16
Ghoe	I	0228		X9B6000-0	 	Ba Fl 		017	Wild	M3 V D	{ -3 }	(800+1)	[0000]	B	0	8
Ghoe	M	0231		X100000-0	 	Ba Va 		001	Wild	M5 V D	{ -3 }	(400+1)	[0000]	B	0	4
Ghoe	M	0235	Ishfafpiapr	X491000-0	 	Ba He 		004	Wild	M2 V	{ -3 }	(800+1)	[0000]	B	0	8
Ghoe	M	0237	Anjyekl	X9B6000-5	 	Di Fl In 		024	Wild	F0 V	{ -2 }	(400+1)	[0000]	BE	0	4
Ghoe	M	0238	Ezheiench	X883000-6	 	Di 		023	Wild	G8 V	{ -3 }	(600+5)	[0000]	B	0	30
Ghoe	M	0240	Shazshidra	X636000-7	 	Di 		000	Wild	F7 V	{ -3 }	(900+1)	[0000]	B	0	9
Ghoe	A	0303		X200000-0	 	Ba Va 		003	Wild	M3 II	{ -3 }	(700+5)	[0000]	B	0	35
Ghoe	E	0311		X230000-0	 	Ba De Po 		005	Wild	K8 V D	{ -3 }	(800-5)	[0000]	B	0	-40
Ghoe	E	0312		X694000-0	 	Ba 		010	Wild	F4 V	{ -3 }	(B00+3)	[0000]	B	0	33
Ghoe	E	0320	Shonee	D68A7A7-5	 	DrakW Ri Wa 	B	614	Wild	F5 V	{ -1 }	(465-3)	[5685]	BC	0	-360
Ghoe	I	0321	Hata	D999986-5	 	DrakW Hi In 	B	413	Wild	F8 V D	{ 0 }	(A83+5)	[4943]	BE	0	1200
Ghoe	I	0322	Vowori	X866000-7	 	Di DrakW Ga 		000	Wild	F1 V	{ -3 }	(A00+2)	[0000]	B	0	20
Ghoe	I	0323	Kas'Drak	X667968-6	 	(Drakarans) Ga Hi Pr 	B	420	Wild	K5 V	{ -1 }	(686+4)	[B885]	BcE	0	1152
Ghoe	I	0325		X767000-0	 	Ba Ga 		003	Wild	F2 V	{ -3 }	(700+3)	[0000]	B	0	21
Ghoe	I	0326		X847000-0	 	Ba 		012	Wild	M8 V	{ -3 }	(500-4)	[0000]	B	0	-20
Ghoe	I	0327		X669000-0	 	Ba 		004	Wild	F2 V	{ -3 }	(C00-2)	[0000]	B	0	-24
Ghoe	I	0330		X332000-0	 	Ba Po 		000	Wild	M2 V D	{ -3 }	(900+3)	[0000]	B	0	27
Ghoe	M	0331		X320000-0	 	Ba De He Po 		004	Wild	F8 IV	{ -3 }	(800+1)	[0000]	B	0	8
Ghoe	M	0334		X795000-0	 	Ba 		020	Wild	G3 V	{ -3 }	(800-1)	[0000]	B	0	-8
Ghoe	M	0335		X777000-0	 	Ba 		011	Wild	F0 V D	{ -3 }	(900+1)	[0000]	B	0	9
Ghoe	A	0406		X584000-0	 	Ba 		002	Wild	F6 V	{ -3 }	(900+4)	[0000]	B	0	36
Ghoe	A	0408		X410000-0	 	Ba 		001	Wild	M7 V	{ -3 }	(600-3)	[0000]	B	0	-18
Ghoe	E	0411		X245000-0	 	Ba 		004	Wild	G8 V	{ -3 }	(600+2)	[0000]	B	0	12
Ghoe	E	0413		X251000-0	 	Ba Po 		010	Wild	F2 V	{ -3 }	(700-2)	[0000]	B	0	-14
Ghoe	E	0420	Yadanweteack	X8A3000-9	 	Di DrakW Fl 		003	Wild	M5 V	{ -2 }	(600-2)	[0000]	B	0	-12
Ghoe	I	0421	Faneef	X56A301-4	 	DrakW Lo Wa 		805	Wild	K8 V	{ -3 }	(A20+1)	[2177]	B	0	20
Ghoe	I	0422	Thagatho	X736000-7	 	Di DrakW 		001	Wild	M4 V	{ -3 }	(300-3)	[0000]	B	0	-9
Ghoe	I	0430		X6A3000-0	 	Ba Fl 		000	Wild	G1 V	{ -3 }	(600+1)	[0000]	B	0	6
Ghoe	M	0432		X277000-0	 	Ba 		003	Wild	F3 V	{ -3 }	(300+3)	[0000]	B	0	9
Ghoe	M	0436		X526000-0	 	Ba 		003	Wild	M1 V D	{ -3 }	(600+1)	[0000]	B	0	6
Ghoe	M	0437		X857000-0	 	Ba Ga 		021	Wild	F2 V	{ -3 }	(800+2)	[0000]	B	0	16
Ghoe	M	0440	Eovl	X73A000-8	 	Di Wa 		013	Wild	M7 V D	{ -3 }	(600-1)	[0000]	B	0	-6
Ghoe	A	0502		XAB7000-0	 	Ba Fl 		006	Wild	F7 V D	{ -3 }	(900+1)	[0000]	B	0	9
