Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Ghoe	A	0101		X231000-0	 	Ba Po 		003	--	K1 V	{ 0 }	(200-1)	[]	B	0	0
1116	Ghoe	A	0101		X231000-0	 	Ba Po 		003	Wild	K1 V	{ -3 }	(200+2)	[0000]	B	0	4
1508	Ghoe	A	0101		X231000-0	 	Ba Po 		003	Wild	K1 V	{ -3 }	(200-1)	[0000]	B	0	-2
1201	Ghoe	A	0101		X231000-0	 	Ba Po 		003	Wild	K1 V	{ -3 }	(200+1)	[0000]	B	0	2
1900	Ghoe	A	0101		C231644-4	 	Na Po Ni 		403	NaVa	K1 V	{ -2 }	(254+1)	[8465]	B	0	40

1105	Ghoe	A	0104		X565000-0	 	Ba 		000	--	F7 V	{ 0 }	(500-1)	[]	B	0	0
1116	Ghoe	A	0104		X565000-0	 	Ba 		000	Wild	F7 V	{ -3 }	(500-2)	[0000]	B	0	-10
1508	Ghoe	A	0104		X565000-0	 	Ba 		000	Wild	F7 V	{ -3 }	(500+1)	[0000]	B	0	5
1201	Ghoe	A	0104		X565000-0	 	Ba 		000	Wild	F7 V	{ -3 }	(500+2)	[0000]	B	0	10
1900	Ghoe	A	0104		B565898-4	 	Pa Ri Ph 		200	NaVa	F7 V	{ 1 }	(57B+1)	[A973]	BcCe	0	385

1105	Ghoe	A	0105		X445000-0	 	Ba 		011	--	F6 V D	{ 0 }	(600+1)	[]	B	0	0
1116	Ghoe	A	0105		X445000-0	 	Ba 		011	Wild	F6 V D	{ -3 }	(600-4)	[0000]	B	0	-24
1508	Ghoe	A	0105		X445000-0	 	Ba 		011	Wild	F6 V D	{ -3 }	(600-2)	[0000]	B	0	-12
1201	Ghoe	A	0105		X445000-0	 	Ba 		011	Wild	F6 V D	{ -3 }	(600+1)	[0000]	B	0	6
1900	Ghoe	A	0105		B445884-5	 	Pa Pi Ph 		411	NaVa	F6 V D	{ 0 }	(678+2)	[6873]	BcDe	0	672

1105	Ghoe	A	0106		X500000-0	 	Ba Va 		012	--	M7 V	{ 0 }	(700-3)	[]	B	0	0
1116	Ghoe	A	0106		X500000-0	 	Ba Va 		012	Wild	M7 V	{ -3 }	(700+1)	[0000]	B	0	7
1508	Ghoe	A	0106		X500000-0	 	Ba Va 		012	Wild	M7 V	{ -3 }	(700+3)	[0000]	B	0	21
1201	Ghoe	A	0106		X500000-0	 	Ba Va 		012	Wild	M7 V	{ -3 }	(700+1)	[0000]	B	0	7
1900	Ghoe	A	0106		C50047A-4	 	Ni Va 		812	NaVa	M7 V	{ -2 }	(732+2)	[7221]	B	0	84

1105	Ghoe	E	0111		X362000-0	 	Ba 		000	--	F3 V D	{ 0 }	(500+3)	[]	B	0	0
1116	Ghoe	E	0111		X362000-0	 	Ba 		000	Wild	F3 V D	{ -3 }	(500-1)	[0000]	B	0	-5
1508	Ghoe	E	0111		X362000-0	 	Ba 		000	Wild	F3 V D	{ -3 }	(500+3)	[0000]	B	0	15
1201	Ghoe	E	0111		X362000-0	 	Ba 		000	Wild	F3 V D	{ -3 }	(500-3)	[0000]	B	0	-15
1900	Ghoe	E	0111		A362545-8	 	Ni Pr 		500	NaVa	F3 V D	{ -1 }	(544+1)	[348A]	Bc	0	80

1105	Ghoe	E	0112		X679000-0	 	Ba 		005	--	F2 V D	{ 0 }	(300-3)	[]	B	0	0
1116	Ghoe	E	0112		X679000-0	 	Ba 		005	Wild	F2 V D	{ -3 }	(300-2)	[0000]	B	0	-6
1508	Ghoe	E	0112		X679000-0	 	Ba 		005	Wild	F2 V D	{ -3 }	(300-2)	[0000]	B	0	-6
1201	Ghoe	E	0112		X679000-0	 	Ba 		005	Wild	F2 V D	{ -3 }	(300-3)	[0000]	B	0	-9
1900	Ghoe	E	0112		C679220-4	 	Lo 		305	NaVa	F2 V D	{ -2 }	(310-2)	[1168]	B	0	-6

1105	Ghoe	E	0114		X320000-0	 	Ba De He Po 		002	--	M8 V	{ 0 }	(200+2)	[]	B	0	0
1116	Ghoe	E	0114		X320000-0	 	Ba De He Po 		002	Wild	M8 V	{ -3 }	(200+1)	[0000]	B	0	2
1508	Ghoe	E	0114		X320000-0	 	Ba De He Po 		002	Wild	M8 V	{ -3 }	(200+1)	[0000]	B	0	2
1201	Ghoe	E	0114		X320000-0	 	Ba De He Po 		002	Wild	M8 V	{ -3 }	(200+2)	[0000]	B	0	4
1900	Ghoe	E	0114		D320620-2	 	De He Na Po Ni 		602	NaVa	M8 V	{ -3 }	(251+1)	[5351]	B	0	10

1105	Ghoe	E	0119	Grunepid	D777620-6	 	Ag DrakW Ni 		622	TY	F0 V	{ 0 }	(A56+1)	[]	BC	0	0
1116	Ghoe	E	0119	Grunepid	D777000-6	 	Di DrakW 		022	Wild	F0 V	{ -3 }	(A00+1)	[0000]	B	0	10
1508	Ghoe	E	0119	Grunepid	D777000-6	 	Di DrakW 		022	Wild	F0 V	{ -3 }	(A00+1)	[0000]	B	0	10
1201	Ghoe	E	0119	Grunepid	X777000-6	 	Di DrakW 		022	Wild	F0 V	{ -3 }	(A00+1)	[0000]	B	0	10
1900	Ghoe	E	0119	Grunepid	C777678-8	 	Ag DrakW Ni 		422	NaVa	F0 V	{ -1 }	(E50-4)	[5588]	BC	0	-280

1105	Ghoe	I	0122	Dethan	E200300-8	 	DrakW Lo Va 		100	TY	K4 V	{ 0 }	(A20+1)	[]	B	0	0
1116	Ghoe	I	0122	Dethan	E200000-8	 	Di DrakW Va 		000	Wild	K4 V	{ -3 }	(A00+2)	[0000]	B	0	20
1508	Ghoe	I	0122	Dethan	E200000-8	 	Di DrakW Va 		000	Wild	K4 V	{ -3 }	(A00+1)	[0000]	B	0	10
1201	Ghoe	I	0122	Dethan	X200000-8	 	Di DrakW Va 		000	Wild	K4 V	{ -3 }	(A00-3)	[0000]	B	0	-30
1900	Ghoe	I	0122	Dethan	B200876-A	 	DrakW Na Pi Ph Va 		300	NaVa	K4 V	{ 2 }	(A79-1)	[CA57]	BDe	0	-630

1105	Ghoe	I	0123	Matoue	C7B4452-9	 	DrakW Fl Ni 		800	TY	M3 V	{ 0 }	(A32+1)	[]	B	0	0
1116	Ghoe	I	0123	Matoue	D7B4000-9	 	Di DrakW Fl 		000	Wild	M3 V	{ -2 }	(A00-5)	[0000]	B	0	-50
1508	Ghoe	I	0123	Matoue	D7B4000-9	 	Di DrakW Fl 		000	Wild	M3 V	{ -2 }	(A00+1)	[0000]	B	0	10
1201	Ghoe	I	0123	Matoue	X7B4000-9	 	Di DrakW Fl 		000	Wild	M3 V	{ -2 }	(A00+2)	[0000]	B	0	20
1900	Ghoe	I	0123	Matoue	C7B4542-8	 	DrakW Fl Ni 		400	NaVa	M3 V	{ -2 }	(A40+1)	[8367]	B	0	40

1105	Ghoe	I	0125	Vorio	C444640-4	 	Ag DrakW Ni 		527	TY	K4 V D	{ 0 }	(652+1)	[]	BC	0	0
1116	Ghoe	I	0125	Vorio	E444000-4	 	Di DrakW 		027	Wild	K4 V D	{ -3 }	(600+4)	[0000]	B	0	24
1508	Ghoe	I	0125	Vorio	E444000-4	 	Di DrakW 		027	Wild	K4 V D	{ -3 }	(600+2)	[0000]	B	0	12
1201	Ghoe	I	0125	Vorio	X444000-4	 	Di DrakW 		027	Wild	K4 V D	{ -3 }	(600-1)	[0000]	B	0	-6
1900	Ghoe	I	0125	Vorio	B4447CB-6	 	Ag Pi DrakW 		827	NaVa	K4 V D	{ 1 }	(665-3)	[6872]	BCD	0	-540

1105	Ghoe	I	0126	Ara	B310657-8	W	DrakW Na Ni 		203	TY	M3 V D	{ 0 }	(956-1)	[]	B	0	0
1116	Ghoe	I	0126	Ara	B31069B-5	W	DrakW Na Ni 		103	Wild	M3 V D	{ 0 }	(653-3)	[3647]	B	0	-270
1508	Ghoe	I	0126	Ara	B310687-6	W	DrakW Na Ni 		203	Wild	M3 V D	{ 0 }	(652+3)	[467B]	B	0	180
1201	Ghoe	I	0126	Ara	X310000-6	 	Di DrakW Na 		003	Wild	M3 V D	{ -3 }	(600-1)	[0000]	B	0	-6
1900	Ghoe	I	0126	Ara	C310152-7	 	DrakW Lo 		803	NaVa	M3 V D	{ -2 }	(600+1)	[3159]	B	0	6

1105	Ghoe	I	0130		X453000-0	 	Ba Po 		014	--	K3 V	{ 0 }	(B00+1)	[]	B	0	0
1116	Ghoe	I	0130		X453000-0	 	Ba Po 		014	Wild	K3 V	{ -3 }	(B00+4)	[0000]	B	0	44
1508	Ghoe	I	0130		X453000-0	 	Ba Po 		014	Wild	K3 V	{ -3 }	(B00-4)	[0000]	B	0	-44
1201	Ghoe	I	0130		X453000-0	 	Ba Po 		014	Wild	K3 V	{ -3 }	(B00+1)	[0000]	B	0	11
1900	Ghoe	I	0130		B453403-7	 	Ni Po 		114	NaVa	K3 V	{ -1 }	(B35+3)	[838A]	B	0	495

1105	Ghoe	M	0132		X456000-0	 	Ba 		003	--	F1 V	{ 0 }	(400+1)	[]	B	0	0
1116	Ghoe	M	0132		X456000-0	 	Ba 		003	Wild	F1 V	{ -3 }	(400+1)	[0000]	B	0	4
1508	Ghoe	M	0132		X456000-0	 	Ba 		003	Wild	F1 V	{ -3 }	(400-2)	[0000]	B	0	-8
1201	Ghoe	M	0132		X456000-0	 	Ba 		003	Wild	F1 V	{ -3 }	(400+3)	[0000]	B	0	12
1900	Ghoe	M	0132		C456685-3	 	Ag Ni 		403	NaVa	F1 V	{ -1 }	(454+3)	[7521]	BC	0	240

1105	Ghoe	M	0135	Fivshie	C96A501-B	 	Ni Pr Wa 		303	Zh	M0 V	{ 0 }	(841-1)	[]	Bc	0	0
1116	Ghoe	M	0135	Fivshie	D96A000-B	 	Di Wa 		003	Wild	M0 V	{ -1 }	(800+4)	[0000]	B	0	32
1508	Ghoe	M	0135	Fivshie	D96A000-B	 	Di Wa 		003	Wild	M0 V	{ -1 }	(800+3)	[0000]	B	0	24
