Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Glim	A	0105	Ker	E896000-4	 	      Di 		022	Wild	K4 V M4 V	-3	(600-2)	[0000]	B	13	-12
Glim	I	0125	Ipdamgasi	D693000-7	 	     Di 		004	Wild	M1 V	-3	(400-1)	[0000]	B	14	-4
Glim	I	0126	Gadir Murgis	X5846AA-0	 	      Ag Ri Ni 		504	Wild	K9 V	-1	(853+1)	[4534]	BC	13	120
Glim	M	0131	Paradise	X300000-D	 	      Pz  Di Na In Va 		012	Wild	M2 V M9 V	0	(F00+2)	[0000]	BE	7	30
Glim	M	0133	Mesinam	E564401-2	 	     Ni Pa 		224	Wild	M2 V	-3	(630-5)	[3132]	Bc	16	-90
Glim	A	0206	Idkhusi	X435000-6	 	     Di 		020	Wild	K2 V	-3	(400+1)	[0000]	B	12	4
Glim	I	0230	Shalakur	C656786-2	 	     Ag Ga (NIL)		423	Wild	K2 V K3 V	0	(966-1)	[8741]	BC	11	-324
Glim	M	0233	Arrilinshu	X757573-0	 	     Ag Ga Ni 		203	Wild	K4 V	-2	(741+1)	[5361]	BC	15	28
Glim	M	0236	Manei Lu	X86A000-6	 	     Di Wa 		015	Wild	G1 V	-3	(400+4)	[0000]	B	17	16
Glim	I	0324	Sheridan	X525000-C	 	    Pz  Di In (NIL)		013	Wild	M0 V	0	(G00+1)	[0000]	BE	9	16
Glim	I	0327	Merbizinkhi	D566000-6	 	     Di 		011	Wild	M2 V	-3	(400+1)	[0000]	B	9	4
Glim	I	0329	Khamkhabu	E878879-3	 	      Pa Pi Ph (NIL)		114	Wild	M1 V M9 V	-2	(A76-1)	[6611]	BcDe	16	-420
Glim	M	0331	Eduukhiima	X100000-D	 	     Di Va 		013	Wild	G4 V M4 V	-1	(B00-3)	[0000]	B	8	-33
Glim	M	0336	Dashanilin	X100000-A	 	     Di Va 		014	Wild	K9 V	-1	(800+1)	[0000]	B	8	8
Glim	M	0338	Dimirbukhiir	X889454-0	 	     Da  Ni 		305	Wild	K8 V M0 V	-3	(733-4)	[1171]	B	12	-252
Glim	I	0424	Chilok	X426000-A	 	     Di 		014	Wild	K4 V	-1	(C00-4)	[0000]	B	14	-48
Glim	I	0430	Dakharili	X574000-5	 	      Di 		014	Wild	K4 V	-3	(700+1)	[0000]	B	8	7
Glim	M	0431	Guziikumgii	X591000-4	 	     Di He 		004	Wild	M3 V	-3	(800+3)	[0000]	B	10	24
Glim	M	0432	Sha	XA97000-3	 	     Di 		014	Wild	F7 V	-3	(500+1)	[0000]	B	15	5
Glim	M	0433	Mimdiishshasli	D558676-2	 	     Ag Ni 		204	Wild	G2 V M7 V	-2	(851-1)	[6465]	BC	10	-40
Glim	M	0434	Amkhash	X433000-7	 	     Da  Di Na Po 		024	Wild	M0 V	-3	(800+5)	[0000]	B	12	40
Glim	M	0435	Gukishdamash	D772000-2	 	     Di He 		022	Wild	M2 V	-3	(600+1)	[0000]	B	15	6
Glim	M	0436	Nusgukhigi	X99A000-6	 	     Di Wa 		003	Wild	M2 V M3 V M6 V	-3	(600+1)	[0000]	B	15	6
Glim	M	0437	Irkhi	X552477-0	 	     Ni Po 		203	Wild	M0 V	-3	(631+5)	[4133]	B	8	90
Glim	M	0440	Ungimula	X438000-8	 	     Di 		013	Wild	M2 V M6 V	-3	(C00+2)	[0000]	B	10	24
Glim	E	0519	Haida	X310000-7	 	     Di Na Pi 		011	Wild	K4 V	-3	(900-4)	[0000]	BD	8	-36
Glim	E	0520	Granicus	X435000-7	 	    Di Px 		004	Wild	K4 V M4 V	-3	(700-3)	[0000]	B	15	-21
Glim	I	0521	Sardis	X667000-0	 	       Ba Ga 		011	Wild	K4 V	-3	(700+1)	[0000]	B	14	7
Glim	I	0522	Novae	B686754-6	 	      Ag Ri Ga (NIL)		323	Wild	M2 V M3 V	2	(967+1)	[6924]	BC	14	378
Glim	M	0533	Memgug	D843000-6	 	     Di Po 		022	Wild	K5 V M5 V	-3	(500-1)	[0000]	B	7	-5
Glim	M	0536	110-796	XAF5000-B	 	     Di 		004	Wild	K9 V M5 V	-1	(C00+1)	[0000]	B	10	12
Glim	M	0538	Ushkhesh	X400000-7	 	     Di Na Va 		013	Wild	M2 V	-3	(800+3)	[0000]	B	10	24
Glim	I	0623	Thermon	D888789-0	 	      Ag Ri (NIL)		324	Wild	M1 V	0	(966+1)	[5722]	BC	17	324
Glim	M	0633	Mikhuurgakha	X586000-5	 	     Di 		003	Wild	M1 V	-3	(300-4)	[0000]	B	8	-12
Glim	M	0635	Lamente	X88A000-C	 	      Di Wa (NIL)		004	Wild	M0 V M2 V	-1	(E00-4)	[0000]	B	13	-56
Glim	M	0636	Umi	D552796-2	 	    O:0635  Po (NIL)		404	Wild	G1 V	-2	(963+3)	[C534]	B	13	486
Glim	M	0637	Mishanuumlir	X551000-2	 	     Di Po (NIL)		000	Wild	M2 V M7 V	-3	(A00+3)	[0000]	B	6	30
Glim	M	0638	Ulaginkiir	X310000-D	 	    O:0837  Di 		012	Wild	M0 V	-1	(900+1)	[0000]	B	15	9
Glim	A	0703	Aluudi	X434000-E	 	     Di (NIL)		014	Wild	K0 V	-1	(G00+1)	[0000]	B	13	16
Glim	A	0705	Midaamaka	X652477-0	 	     Ni Po 		302	Wild	K4 V	-3	(733+1)	[9151]	B	6	63
Glim	E	0714	Iishe	X89A000-6	 	     Pz  Di Wa (NIL)		020	Wild	K0 V M9 V	-3	(B00-3)	[0000]	B	11	-33
Glim	I	0726	Ilium	E595888-1	 	      Pa Pi Ph (NIL)		404	Wild	M3 V	-2	(A76+4)	[7682]	BcDe	13	1680
Glim	I	0729	Asher	X76A548-0	 	     Ni Pr Wa 		123	Wild	M0 V	-3	(741+1)	[5261]	Bc	12	28
Glim	M	0732	Shallax	X200000-B	 	    Da  Di Va 		000	Wild	M1 V M2 V	-1	(700-4)	[0000]	B	10	-28
Glim	M	0735	Disha	X100000-8	 	    Da  Di Na Va 		000	Wild	G1 V	-3	(800+3)	[0000]	B	11	24
Glim	A	0803	Ipurguukhi	E645000-4	 	     Di 		002	Wild	F3 V	-3	(400-1)	[0000]	B	8	-4
Glim	E	0815	Bannock	D554500-6	 	     Ag Ni 		203	Wild	M2 V	-2	(742-1)	[3345]	BC	10	-56
Glim	I	0827	Asla	E89A679-3	 	     Ni Wa 		500	Wild	M2 V	-3	(852+1)	[7326]	B	5	80
Glim	M	0837	Ilaria	X796000-2	 	      Di (NIL)		023	Wild	M2 V	-3	(C00+1)	[0000]	B	10	12
Glim	M	0840	Shanka	X100000-8	 	     Di Na Pi Va 		005	Wild	M2 V	-3	(E00+3)	[0000]	BD	12	42
Glim	B	0905	Gar	X567744-0	 	     Pz  Ag Ri (NIL)		204	Wild	G0 V M9 V	0	(962-2)	[6781]	BC	13	-216
Glim	F	0912	Adasha	X785543-0	 	      Ag Pr Ga Ni 		225	Wild	M2 V	-2	(842-2)	[7344]	BcC	15	-128
Glim	F	0919	Modoc	X65A000-1	 	     Di Wa 		023	Wild	K6 V	-3	(500+2)	[0000]	B	15	10
Glim	J	0921	Heron	X432000-A	 	      Di Na Po (NIL)		004	Wild	K0 V	-1	(D00+1)	[0000]	B	7	13
Glim	J	0925	Lasdaa	X310000-7	 	     Di 		023	Wild	G4 V	-3	(700-2)	[0000]	B	13	-14
Glim	J	0928	Lushi	X100000-9	 	     Di Va 		004	Wild	M2 V	-2	(A00+1)	[0000]	B	13	10
Glim	J	0929	Otrai	X878000-6	 	     (Otrai)  Di Pi (NIL)		003	Wild	F5 V	-3	(A00-3)	[0000]	BD	10	-30
Glim	J	0930	Amour	X535000-8	 	    Da  Di 		023	Wild	G1 V	-3	(B00+2)	[0000]	B	14	22
Glim	N	0932	Oban's Rock	X000000-7	 	      As Va Di Na 		005	Wild	M2 V M9 V	-3	(800+1)	[0000]	B	14	8
Glim	B	1003	Khermi	X100000-A	 	    Da  Di Va 		002	Wild	K5 V	-1	(900+5)	[0000]	B	6	45
Glim	B	1004	Esgiganuu	X310000-C	 	     Di 		002	Wild	K5 V	-1	(600-4)	[0000]	B	15	-24
Glim	B	1008	Amunkhan	X100000-E	 	     Pz  Di Na In Va 		005	Wild	K0 V	0	(G00-1)	[0000]	BE	13	-16
Glim	B	1009	Gidiilar	X591000-6	 	     Di He 		004	Wild	G2 V K4 V	-3	(400+1)	[0000]	B	16	4
Glim	F	1013	Irda	X423000-7	 	      Pz  Di Na Pi Po (NIL)		000	Wild	K2 V M3 V	-3	(A00+1)	[0000]	BD	9	10
Glim	F	1014	Gesham	X100000-9	 	     Pz  Di Na Pi Va 		001	Wild	G2 V	-2	(B00-5)	[0000]	BD	11	-55
Glim	F	1018	Ember	E989000-3	 	    Da  Di 		024	Wild	M2 V M6 V	-3	(400-3)	[0000]	B	11	-12
Glim	J	1022	Fiedler	X543000-4	 	    Da  Di Po 		003	Wild	M3 V M8 V	-3	(700+2)	[0000]	B	14	14
Glim	J	1023	Neruda	X68367B-0	 	    Da  Ni Ri 		425	Wild	M2 V M3 V	-2	(851+1)	[4471]	BC	15	40
Glim	J	1027	Kisdish	E86A000-5	 	     Di Wa 		010	Wild	M2 V M9 V	-3	(400+1)	[0000]	B	8	4
Glim	N	1031	Pointer	X310000-7	 	     Di 		000	Wild	G8 V	-3	(400+2)	[0000]	B	9	8
