Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Glim	A	0105	Ker	C896444-7	 	     Ni Pa 		922	NaHu	K4 V M4 V	-2	(631-4)	[2235]	Bc	13	-72
1201	Glim	A	0105	Ker	E896458-4	 	     Ni Pa 	B	522	NaHu	K4 V M4 V	-3	(632+3)	[4143]	Bc	13	108
1323	Glim	A	0105	Ker	E896000-4	 	      Di 		022	Wild	K4 V M4 V	-3	(600-2)	[0000]	B	13	-12
1508	Glim	A	0105	Ker	E896000-4	 	      Di 		022	Wild	K4 V M4 V	-3	(600-1)	[0000]	B	13	-6
1900	Glim	A	0105	Ker	E896000-4	 	      Di 		022	Wild	K4 V M4 V	-3	(600+1)	[0000]	B	13	6

1105	Glim	I	0125	Ipdamgasi	B693256-8	 	     Lo 		404	NaHu	M1 V	-1	(810-2)	[1147]	B	14	-16
1201	Glim	I	0125	Ipdamgasi	D693136-7	 	     Lo 		504	NaHu	M1 V	-3	(400+2)	[2147]	B	14	8
1323	Glim	I	0125	Ipdamgasi	D693000-7	 	     Di 		004	Wild	M1 V	-3	(400-1)	[0000]	B	14	-4
1508	Glim	I	0125	Ipdamgasi	D693000-7	 	     Di 		004	Wild	M1 V	-3	(400+2)	[0000]	B	14	8
1900	Glim	I	0125	Ipdamgasi	D693000-7	 	     Di 		004	Wild	M1 V	-3	(400-4)	[0000]	B	14	-16

1105	Glim	I	0126	Gadir Murgis	A584630-A	 	      Ag Ri Ni 		904	NaHu	K9 V	3	(C57-1)	[1915]	BC	13	-420
1201	Glim	I	0126	Gadir Murgis	X58479C-7	 	       Ag Ri 		104	NaHu	K9 V	0	(869+1)	[2732]	BC	13	432
1323	Glim	I	0126	Gadir Murgis	X5846AA-0	 	      Ag Ri Ni 		504	Wild	K9 V	-1	(853+1)	[4534]	BC	13	120
1508	Glim	I	0126	Gadir Murgis	X584632-0	 	      Ag Ri Ni 		604	Wild	K9 V	-1	(850+4)	[6581]	BC	13	160
1900	Glim	I	0126	Gadir Murgis	X584621-0	 	      Ag Ri Ni 		704	Wild	K9 V	-1	(854+1)	[6541]	BC	13	160

1105	Glim	M	0131	Paradise	B300A9D-D	N 	      Pz  Hi Na In Va 	A	412	ImDg	M2 V M9 V	4	(F9G+5)	[EE9H]	BEf	7	10800
1201	Glim	M	0131	Paradise	X300000-D	 	      Pz  Di Na In Va 		012	ImDg	M2 V M9 V	0	(F00-4)	[0000]	BE	7	-60
1323	Glim	M	0131	Paradise	X300000-D	 	      Pz  Di Na In Va 		012	Wild	M2 V M9 V	0	(F00+2)	[0000]	BE	7	30
1508	Glim	M	0131	Paradise	X300000-D	 	       Pz  Di Va 		012	Wild	M2 V M9 V	-1	(F00+1)	[0000]	B	7	15
1900	Glim	M	0131	Paradise	X300000-D	 	       Pz  Di Va 		012	Wild	M2 V M9 V	-1	(F00-2)	[0000]	B	7	-30

1105	Glim	M	0133	Mesinam	C564421-5	 	     Ni Pa 		924	ImDg	M2 V	-2	(631-5)	[1211]	Bc	16	-90
1201	Glim	M	0133	Mesinam	E564432-2	 	     Ni Pa 		524	ImDg	M2 V	-3	(633+1)	[8161]	Bc	16	54
1323	Glim	M	0133	Mesinam	E564401-2	 	     Ni Pa 		224	Wild	M2 V	-3	(630-5)	[3132]	Bc	16	-90
1508	Glim	M	0133	Mesinam	E564496-2	 	     Ni Pa 		224	Wild	M2 V	-3	(630-4)	[5166]	Bc	16	-72
1900	Glim	M	0133	Mesinam	E564422-3	 	     Ni Pa 		324	Wild	M2 V	-3	(630-2)	[3171]	Bc	16	-36

1105	Glim	A	0206	Idkhusi	E435215-6	 	     Lo 		720	CsIm	K2 V	-3	(410-5)	[1134]	B	12	-20
1201	Glim	A	0206	Idkhusi	X435000-6	 	     Di 		020	CsIm	K2 V	-3	(400+2)	[0000]	B	12	8
1323	Glim	A	0206	Idkhusi	X435000-6	 	     Di 		020	Wild	K2 V	-3	(400+1)	[0000]	B	12	4
1508	Glim	A	0206	Idkhusi	X435000-6	 	     Di 		020	Wild	K2 V	-3	(400-1)	[0000]	B	12	-4
1900	Glim	A	0206	Idkhusi	X435000-6	 	     Di 		020	Wild	K2 V	-3	(400+5)	[0000]	B	12	20

