Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gush	I	0125	Hannrii	X565449-0	 	       Ni Pa 		204	Wild	M2 V	-3	(732-2)	[5171]	Bc	9	-84
Gush	I	0126	Egurgadi	X65A000-7	 	     Di Wa 		003	Wild	K1 V	-3	(400-2)	[0000]	B	9	-8
Gush	I	0130	Praodelf	XAB6000-A	 	     Di Fl (ENIL)		000	Wild	G4 V M1 V	-1	(A00+5)	[0000]	B	13	50
Gush	M	0131	Sirir	X796000-2	 	     Fo  Di (NIL)		023	Wild	K3 V	-3	(B00+1)	[0000]	B	12	11
Gush	M	0132	Aapu	X560000-5	 	     De Di 		000	Wild	K1 V M2 V	-3	(500+1)	[0000]	B	13	5
Gush	M	0135	Maerol	X200000-8	 	     Di Na Pi Va 		002	Wild	K1 V	-3	(B00-4)	[0000]	BD	9	-44
Gush	M	0136	Choltonrul	X587000-4	 	     TapaW  Di 		024	Wild	M0 V	-3	(600+1)	[0000]	B	10	6
Gush	M	0137	Ushulu	X782000-8	 	     Pz  Di (NIL)		000	Wild	M0 V M4 V	-3	(B00-1)	[0000]	B	13	-11
Gush	M	0138	Roolyz	X433000-B	 	     Di Po 		022	Wild	G8 V M3 V M0 V	-1	(700-2)	[0000]	B	12	-14
Gush	M	0140	Joutect	X768000-3	 	     Di 		000	Wild	M0 V M7 V	-3	(300-2)	[0000]	B	12	-6
Gush	I	0222	Daze	X776000-4	 	     Di 		000	Wild	K7 V	-3	(500+4)	[0000]	B	6	20
Gush	I	0223	Abalesk	X433000-C	 	     Di Po 		013	Wild	M0 V	-1	(B00+1)	[0000]	B	13	11
Gush	I	0227	Stoend	X86A77A-2	 	     Ri Wa (NIL)		124	Wild	M2 V	-1	(961+2)	[5631]	BC	13	108
Gush	I	0228	Barren	X652000-0	 	    Fo  Ba Po 		000	Wild	M1 V M2 V	-3	(200+3)	[0000]	B	13	6
Gush	I	0229	Foussough	X653688-0	 	     Ni Po 		200	Wild	K0 V M5 V	-3	(850+1)	[5381]	B	13	40
Gush	I	0230	Estos	X425000-D	 	     Di 		005	Wild	K2 V M6 V M1 V	-1	(D00+2)	[0000]	B	15	26
Gush	M	0231	Hentor	X503000-7	 	      Di Ic Va 		022	Wild	M3 V D	-3	(700-1)	[0000]	B	16	-7
Gush	M	0233	Abaelou	X695000-3	 	    (eskalth)0  Di 		003	Wild	M1 V	-3	(500-2)	[0000]	B	11	-10
Gush	M	0236	Gihmentahlish	D895000-5	 	      Di 		022	Wild	K7 V	-3	(700+1)	[0000]	B	15	7
Gush	M	0237	Strand	X548000-5	 	      Di (NIL)		002	Wild	G4 V	-3	(B00+1)	[0000]	B	9	11
Gush	M	0239	Ounash	X420000-7	 	     Fo  De He Di Po 		004	Wild	K9 V	-3	(500-1)	[0000]	B	8	-5
Gush	I	0327	Fay	X540000-9	 	      De He Di Po 		022	Wild	M0 V M7 V	-2	(C00-3)	[0000]	B	8	-36
Gush	I	0328	Manuri	X543000-3	 	      Di Po 		002	Wild	K8 V M8 V	-3	(600+2)	[0000]	B	9	12
Gush	I	0329	Somit	X55A000-4	 	    Fo  Di Wa 		000	Wild	M0 V	-3	(500+1)	[0000]	B	12	5
Gush	M	0332	Blezon	X572000-4	 	    Fo  Di He 		023	Wild	K2 V M8 V	-3	(600-3)	[0000]	B	12	-18
Gush	M	0333	Vaelouf	X537000-9	 	     Di 		011	Wild	M0 V	-2	(700-2)	[0000]	B	8	-14
Gush	M	0334	Endran	X515000-A	 	     Di Ic 		003	Wild	K3 IV M6 V	-1	(600+1)	[0000]	B	12	6
Gush	M	0338	Phoenaeg	X560420-0	 	     Droy3   De Ni (NIL)		113	Wild	G0 V M1 V	-3	(A31+1)	[6165]	B	12	30
Gush	M	0339	Sagal	X887AE9-4	 	    Fo  Ga Hi (NIL)		413	Wild	K1 V M0 V	-1	(C9B-1)	[A976]	BE	7	-1188
Gush	I	0422	Rucciset	X514000-B	 	     Di Ic 		012	Wild	K0 V	-1	(A00+2)	[0000]	B	7	20
Gush	I	0428	Charlotte	X565000-0	 	     Ba 		000	Wild	K6 V	-3	(500-3)	[0000]	B	11	-15
Gush	M	0432	Trichach	D573000-6	 	     Di 		004	Wild	K8 V M9 V	-3	(600+3)	[0000]	B	13	18
Gush	M	0433	Cemloch	X646000-5	 	     Di Pi (NIL)		005	Wild	M2 V	-3	(900+1)	[0000]	BD	8	9
Gush	M	0434	Nemeet	X430000-8	 	    Pz  De Di Na Po (NIL)		004	Wild	M2 V	-3	(D00+1)	[0000]	B	9	13
Gush	M	0435	Gwelbyph	X423000-8	 	      Di Po 		005	Wild	K3 V	-3	(C00-1)	[0000]	B	8	-12
Gush	M	0436	Flaslousk	X543000-4	 	     Di Po 		010	Wild	M4 V	-3	(700+1)	[0000]	B	12	7
Gush	M	0437	Jaeyelya	D58467B-0	 	     (Ael Yael)  Ag Ri Ni 		402	Wild	K6 V	-1	(850+1)	[4574]	BC	10	40
Gush	M	0438	Lem	X532000-8	 	     Di Po 		000	Wild	M1 V M3 V	-3	(400+1)	[0000]	B	10	4
Gush	M	0439	Dimkodrarn	X553453-2	 	      Ni Po 		103	Wild	G0 V	-3	(630+3)	[6142]	B	13	54
Gush	E	0517	Imaniik	D968755-0	 	     An ChirW  Ag Ri (NIL)		524	Wild	M0 V	0	(964+3)	[8731]	BC	9	648
Gush	I	0526	Kinurgii	X200000-8	 	     Di Va 		022	Wild	K3 V	-3	(800+1)	[0000]	B	9	8
Gush	I	0527	Armec-Zamaa	X895000-5	 	     Di 		003	Wild	G3 V M7 V	-3	(500+1)	[0000]	B	11	5
Gush	I	0529	Priinargh	X584000-6	 	     Di 		010	Wild	M2 V M4 V	-3	(300+4)	[0000]	B	11	12
Gush	I	0530	Burle's Point	X662000-3	 	     Di 		002	Wild	K3 V M2 V	-3	(400-1)	[0000]	B	7	-4
Gush	M	0531	Rake	X425000-A	 	     Di 		002	Wild	K3 V M4 V	-1	(900+2)	[0000]	B	13	18
Gush	M	0532	Soel	X8A5000-8	 	   Pz  Di Fl (ENIL)		002	Wild	K0 V M1 V	-3	(B00+1)	[0000]	B	14	11
Gush	M	0536	Imagalu	D967877-1	 	      Pa Ri Ph (NIL)		504	Wild	M0 V	-1	(A78-4)	[B763]	BcCe	13	-2240
Gush	M	0537	Wols	X764000-5	 	     Di 		000	Wild	M0 V M4 V	-3	(300+1)	[0000]	B	11	3
Gush	A	0610	Habelut	X86A722-0	 	    Pz  Ri Wa (NIL)		102	Wild	K3 V	-1	(967-1)	[9651]	BC	7	-378
Gush	E	0614	Deychavilosta	X200000-9	 	     Di Va 		024	Wild	M2 V	-2	(D00-1)	[0000]	B	9	-13
Gush	E	0617	Bubenel	X779000-3	 	     Di 		012	Wild	M3 V M7 V	-3	(400-1)	[0000]	B	6	-4
Gush	I	0623	Hartesh	X657489-1	 	     Ga Ni Pa 		105	Wild	M1 V	-3	(732+4)	[8173]	Bc	10	168
Gush	I	0626	Thelkourd	E5607A8-3	 	    Pz  De Ri (NIL)		213	Wild	K4 V M5 V	-1	(969+1)	[A621]	BC	9	486
Gush	I	0627	Guhnesh	E757000-5	 	     Di Ga 		000	Wild	M2 V M2 V	-3	(400+2)	[0000]	B	13	8
Gush	I	0628	Norton	D571000-8	 	     Di He 		002	Wild	K3 V M2 V M1 V	-3	(800-4)	[0000]	B	5	-32
Gush	I	0630	Orren Station	D545758-5	 	       Ag Pi (NIL)		524	Wild	G4 V M6 V	-1	(965-4)	[8621]	BCD	10	-1080
Gush	M	0631	Homage	D594000-5	 	     Da  Di 		012	Wild	M2 V	-3	(800-4)	[0000]	B	6	-32
Gush	M	0632	Vipach	X738000-A	 	     Di 		010	Wild	K4 V M5 V	-1	(700-3)	[0000]	B	14	-21
Gush	M	0634	Sern	XAE6000-7	 	      Di 		000	Wild	M0 V	-3	(400+1)	[0000]	B	10	4
Gush	M	0639	Asiilish	X565000-4	 	      Di 		014	Wild	K3 V M4 V M4 V	-3	(600-3)	[0000]	B	13	-18
Gush	M	0640	Chezpan	X200000-B	 	     Di Na Pi Va 		002	Wild	K4 V M2 V	-1	(B00-1)	[0000]	BD	9	-11
Gush	E	0718	Pannolk	X79A000-1	 	     Di Wa 		000	Wild	M0 V	-3	(700-5)	[0000]	B	13	-35
Gush	I	0722	Younis	X310000-C	 	     Di 		004	Wild	K3 V	-1	(B00-2)	[0000]	B	8	-22
Gush	I	0723	Inapiirn	D542775-4	 	      (pethi)  He Pi Po (NIL)		110	Wild	G2 V	-2	(A64+3)	[6537]	BD	12	720
Gush	I	0725	Tungohl	X411000-E	 	     Di Ic 		014	Wild	M3 V M4 V	-1	(900-2)	[0000]	B	16	-18
Gush	I	0727	Hulr	X73A000-9	 	     Di Wa (NIL)		014	Wild	M2 V M5 V	-2	(G00+2)	[0000]	B	8	32
Gush	I	0728	Wenton	X433000-A	 	     Di Po 		000	Wild	M2 V	-1	(700+1)	[0000]	B	7	7
Gush	I	0729	Jousta	X300000-D	 	     Di Va 		022	Wild	M3 V	-1	(B00-3)	[0000]	B	12	-33
Gush	M	0732	Th'dir	X100000-E	 	     Di Va 		013	Wild	M4 V	-1	(A00+4)	[0000]	B	10	40
Gush	M	0733	Dendaash	X9C7000-B	 	     Di Fl 		004	Wild	A6 V M6 V	-1	(900+2)	[0000]	B	15	18
Gush	M	0737	Zamashuug	X585000-3	 	     Di 		000	Wild	K6 V M3 V	-3	(300+1)	[0000]	B	13	3
Gush	M	0738	Dikaash	X627000-D	 	      Di In (NIL)		001	Wild	M4 V	0	(C00+1)	[0000]	BE	13	12
Gush	M	0740	Wilson	X100000-B	 	     Di Va 		000	Wild	M2 V M4 V	-1	(500-3)	[0000]	B	13	-15
Gush	A	0803	Menguno	X7B2000-8	 	      Di Fl He 		000	Wild	K1 V M3 V	-3	(800-2)	[0000]	B	7	-16
Gush	A	0810	Gelhhach	X558574-1	 	    (Hhrachddrumm)  Ag Ni 		101	Wild	M3 V M3 V	-2	(841+2)	[2361]	BC	13	64
Gush	E	0813	Kkoymjirad	X55559E-1	 	     Ag Ni 		200	Wild	K4 V	-2	(742+1)	[2391]	BC	7	56
Gush	E	0820	Asshashur	E576000-8	 	       Di 		020	Wild	M3 V	-3	(A00+3)	[0000]	B	8	30
Gush	I	0824	Nonescue	X547000-6	 	     Di 		005	Wild	K1 V M1 V	-3	(500+1)	[0000]	B	10	5
Gush	I	0826	Delaag	X8B3000-B	 	     Di Fl (ENIL)		013	Wild	M3 V M5 V	-1	(E00+1)	[0000]	B	10	14
Gush	I	0827	Loniva	X203000-8	 	      Di Ic Va 		005	Wild	M2 V	-3	(900-3)	[0000]	B	11	-27
Gush	I	0829	Query	X645000-2	 	      Di 		002	Wild	K2 V	-3	(600+1)	[0000]	B	12	6
Gush	M	0831	Tenraash	X79A000-1	 	     Di Wa 		002	Wild	G4 V	-3	(700+4)	[0000]	B	8	28
Gush	M	0839	Ginupa	X559476-2	 	    Pz  Ni (NIL)		203	Wild	G0 V	-3	(B32+1)	[4161]	B	11	66
Gush	M	0840	Teuterom	X502000-C	 	      Di Ic Va 		013	Wild	M2 V M4 V	-1	(A00+2)	[0000]	B	7	20
Gush	F	0912	Gakhamesh	D683000-5	 	      Di 		000	Wild	K7 V	-3	(800+3)	[0000]	B	6	24
Gush	F	0914	Chulesh	E575000-6	 	     Da   Di 		013	Wild	K4 V M9 V	-3	(800-1)	[0000]	B	12	-8
Gush	F	0920	Drayrk	X550501-2	 	     De Ni Po 		103	Wild	M0 V M2 V	-3	(741-3)	[7256]	B	9	-84
Gush	J	0921	Obarr	X534000-B	 	     Di 		004	Wild	M3 V	-1	(C00-1)	[0000]	B	7	-12
Gush	J	0922	Chang	X775000-1	 	     Di 		003	Wild	K2 V	-3	(300-2)	[0000]	B	9	-6
Gush	J	0923	Liini	XA9A88D-2	 	     Oc Ph Pi (NIL)		502	Wild	M0 V M0 V	-2	(B75-3)	[7673]	BDe	10	-1155
Gush	J	0924	Zilu	X426000-B	 	    Da  Di 		001	Wild	M2 V M6 V	-1	(600-4)	[0000]	B	5	-24
Gush	J	0925	Tamesh	X87A000-9	 	    Di Pi Wa (NIL)		002	Wild	M1 V	-2	(B00+4)	[0000]	BD	7	44
Gush	J	0926	Igamaal	D55755A-6	 	      Ag Ni 		203	Wild	M2 V M6 V M7 V	-2	(841+1)	[5326]	BC	13	32
Gush	J	0927	Saol	X678000-7	 	      Di 		021	Wild	G5 V	-3	(600-2)	[0000]	B	13	-12
Gush	J	0928	Ongelbal	E692000-6	 	     Di He 		013	Wild	M2 V	-3	(500+2)	[0000]	B	13	10
Gush	J	0930	Dehruu	X542000-6	 	     Di He Po 		023	Wild	M2 V	-3	(700+1)	[0000]	B	10	7
Gush	N	0933	Taalish	X572000-4	 	     Di He 		003	Wild	M2 V M4 V	-3	(700+3)	[0000]	B	12	21
Gush	N	0934	Eycoltou	E887000-7	 	     Di Ga 		001	Wild	M3 V M8 V	-3	(300-2)	[0000]	B	9	-6
Gush	N	0935	Lemantine	X865000-3	 	     Di Ga 		000	Wild	G1 V M6 V	-3	(400-2)	[0000]	B	12	-8
Gush	N	0936	Baalaansh	E56159A-4	 	     Ni Pr 		204	Wild	G4 V M5 V	-3	(842-4)	[1266]	Bc	10	-256
Gush	N	0937	Gamaliss	X572000-8	 	     Di He 		000	Wild	F3 V	-3	(600+1)	[0000]	B	12	6
Gush	N	0940	Swinedune	X000000-8	 	      As Va Di 		000	Wild	K3 V	-3	(700+1)	[0000]	B	9	7
Gush	F	1013	Munnarn	X410000-F	 	     Di 		002	Wild	M3 V M5 V	-1	(900+1)	[0000]	B	11	9
Gush	F	1015	Usdiki	X6649AB-2	 	     Pz  Hi Pr (NIL)		203	Wild	M0 V M0 V M9 V	-1	(B85-5)	[8881]	BcE	10	-2200
Gush	F	1018	Toraago	X544000-6	 	      Di 		000	Wild	M0 V M3 V	-3	(600+1)	[0000]	B	10	6
Gush	F	1019	Lishuggi	B565687-6	 	      Ag Ri Ni 		414	Wild	M0 V M2 V	1	(853-5)	[3716]	BC	13	-600
Gush	F	1020	Shir	X100000-F	 	     Di Na Va 		004	Wild	M2 V	-1	(C00+1)	[0000]	B	7	12
Gush	J	1021	Bragg	E571000-3	 	     Di He 		000	Wild	K9 V M9 V	-3	(500+1)	[0000]	B	6	5
Gush	J	1023	Lorris	X420000-B	 	      De He Di Po 		015	Wild	K3 V	-1	(B00-1)	[0000]	B	15	-11
