Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Gush	I	0125	Hannrii	E565568-6	 	       Ag Pr Ni 		604	ImDv	M2 V	{ -2 }	(742-2)	[5356]	BcC	9	-112
1201	Gush	I	0125	Hannrii	X565555-5	 	       Ag Pr Ni 		404	ImDv	M2 V	{ -2 }	(744+3)	[3363]	BcC	9	336
1281	Gush	I	0125	Hannrii	X565475-0	 	       Ni Pa 		204	Wild	M2 V	{ -3 }	(731-2)	[6163]	Bc	9	-42
1508	Gush	I	0125	Hannrii	X565401-2	 	       Ni Pa 		304	Wild	M2 V	{ -3 }	(730-2)	[2146]	Bc	9	-42
1900	Gush	I	0125	Hannrii	X565434-2	 	       Ni Pa 		404	Wild	M2 V	{ -3 }	(731-2)	[6131]	Bc	9	-42

1105	Gush	I	0126	Egurgadi	A65A200-F	 	     Lo Wa 		503	ImDv	K1 V	{ 1 }	(711-3)	[131A]	B	9	-21
1201	Gush	I	0126	Egurgadi	X65A345-3	 	     Lo Wa 	B	903	ImDv	K1 V	{ -3 }	(420+2)	[2143]	B	9	16
1281	Gush	I	0126	Egurgadi	X65A000-3	 	     Di Wa 		003	Wild	K1 V	{ -3 }	(400+2)	[0000]	B	9	8
1508	Gush	I	0126	Egurgadi	X65A000-3	 	     Di Wa 		003	Wild	K1 V	{ -3 }	(400+2)	[0000]	B	9	8
1900	Gush	I	0126	Egurgadi	X65A000-3	 	     Di Wa 		003	Wild	K1 V	{ -3 }	(400+4)	[0000]	B	9	16

1105	Gush	I	0130	Praodelf	AAB687A-A	 	     Fl Ph 		600	ImDv	G4 V M1 V	{ 2 }	(A7B+4)	[AA7C]	Be	13	3080
1201	Gush	I	0130	Praodelf	XAB6000-A	 	     Di Fl 		000	ImDv	G4 V M1 V	{ -1 }	(A00+2)	[0000]	B	13	20
1281	Gush	I	0130	Praodelf	XAB6000-A	 	     Di Fl 		000	Wild	G4 V M1 V	{ -1 }	(A00+2)	[0000]	B	13	20
1508	Gush	I	0130	Praodelf	XAB6000-A	 	     Di Fl 		000	Wild	G4 V M1 V	{ -1 }	(A00+1)	[0000]	B	13	10
1900	Gush	I	0130	Praodelf	XAB6000-A	 	     Di Fl 		000	Wild	G4 V M1 V	{ -1 }	(A00+2)	[0000]	B	13	20

1105	Gush	M	0131	Sirir	X7969AA-5	 	      Hi In 	R	723	ImDv	K3 V	{ 0 }	(B88+2)	[B977]	BE	12	1408
1201	Gush	M	0131	Sirir	X796476-2	 	      Ni Pa 		423	ImDv	K3 V	{ -3 }	(B30-3)	[3181]	Bc	12	-99
1281	Gush	M	0131	Sirir	X796000-2	 	       Di 		023	Wild	K3 V	{ -3 }	(B00-3)	[0000]	B	12	-33
1508	Gush	M	0131	Sirir	X796000-2	 	       Di 		023	Wild	K3 V	{ -3 }	(B00+1)	[0000]	B	12	11
1900	Gush	M	0131	Sirir	X796000-2	 	       Di 		023	Wild	K3 V	{ -3 }	(B00-3)	[0000]	B	12	-33

1105	Gush	M	0132	Aapu	D560345-6	 	     De Lo 		300	ImDv	K1 V M2 V	{ -3 }	(520-5)	[1134]	B	13	-50
1201	Gush	M	0132	Aapu	X560244-2	 	     De Lo 		100	ImDv	K1 V M2 V	{ -3 }	(510-3)	[2191]	B	13	-15
1281	Gush	M	0132	Aapu	X560000-2	 	     De Di 		000	Wild	K1 V M2 V	{ -3 }	(500-1)	[0000]	B	13	-5
1508	Gush	M	0132	Aapu	X560000-2	 	     De Di 		000	Wild	K1 V M2 V	{ -3 }	(500+4)	[0000]	B	13	20
1900	Gush	M	0132	Aapu	X560000-2	 	     De Di 		000	Wild	K1 V M2 V	{ -3 }	(500+1)	[0000]	B	13	5

1105	Gush	M	0135	Maerol	E200774-8	 	      Na Pi Va 		102	ImDv	K1 V	{ -2 }	(B66-4)	[5536]	BD	9	-1584
1201	Gush	M	0135	Maerol	X200000-8	 	     Di Na Pi Va 		002	ImDv	K1 V	{ -3 }	(B00+1)	[0000]	BD	9	11
1281	Gush	M	0135	Maerol	X200000-8	 	     Di Na Pi Va 		002	Wild	K1 V	{ -3 }	(B00+1)	[0000]	BD	9	11
1508	Gush	M	0135	Maerol	X200000-8	 	      Di Va 		002	Wild	K1 V	{ -3 }	(B00+3)	[0000]	B	9	33
1900	Gush	M	0135	Maerol	X200000-8	 	      Di Va 		002	Wild	K1 V	{ -3 }	(B00+1)	[0000]	B	9	11

1105	Gush	M	0136	Choltonrul	A587452-D	S	    TapaW  Ni Pa 		224	ImDv	M0 V	{ 1 }	(C34-3)	[1519]	Bc	10	-432
1201	Gush	M	0136	Choltonrul	X587311-6	 	     TapaW  Lo 		324	ImDv	M0 V	{ -3 }	(620+1)	[3172]	B	10	12
1281	Gush	M	0136	Choltonrul	X587000-6	 	     TapaW  Di 		024	Wild	M0 V	{ -3 }	(600+4)	[0000]	B	10	24
1508	Gush	M	0136	Choltonrul	X587000-6	 	     TapaW  Di 		024	Wild	M0 V	{ -3 }	(600+4)	[0000]	B	10	24
1900	Gush	M	0136	Choltonrul	X587000-6	 	     TapaW  Di 		024	Wild	M0 V	{ -3 }	(600+1)	[0000]	B	10	6

1105	Gush	M	0137	Ushulu	C7829DA-8	 	      Hi Pr 	A	700	ImDv	M0 V M4 V	{ 0 }	(B89+2)	[B97A]	BcE	13	1584
1201	Gush	M	0137	Ushulu	E782997-7	 	      Hi Pr 	B	800	ImDv	M0 V M4 V	{ -1 }	(B89-1)	[8838]	BcE	13	-792
1281	Gush	M	0137	Ushulu	E7829C9-2	 	      Hi Pr 		400	Wild	M0 V M4 V	{ -1 }	(B86+1)	[A882]	BcE	13	528
1508	Gush	M	0137	Ushulu	E782998-3	 	      Hi Pr 		300	Wild	M0 V M4 V	{ -1 }	(B8B-1)	[C861]	BcE	13	-968
1900	Gush	M	0137	Ushulu	E782973-4	 	      Hi Pr 		200	Wild	M0 V M4 V	{ -1 }	(B88+4)	[6835]	BcE	13	2816

1105	Gush	M	0138	Roolyz	C433103-B	 	     Lo Po 		222	ImDv	G8 V M3 V M0 V	{ 0 }	(700-3)	[1128]	B	12	-21
1201	Gush	M	0138	Roolyz	X433000-B	 	     Di Po 		022	ImDv	G8 V M3 V M0 V	{ -1 }	(700+1)	[0000]	B	12	7
1281	Gush	M	0138	Roolyz	X433000-B	 	     Di Po 		022	Wild	G8 V M3 V M0 V	{ -1 }	(700-3)	[0000]	B	12	-21
1508	Gush	M	0138	Roolyz	X433000-B	 	     Di Po 		022	Wild	G8 V M3 V M0 V	{ -1 }	(700-3)	[0000]	B	12	-21
1900	Gush	M	0138	Roolyz	X433000-B	 	     Di Po 		022	Wild	G8 V M3 V M0 V	{ -1 }	(700+1)	[0000]	B	12	7

1105	Gush	M	0140	Joutect	B768145-B	N 	     Lo 		600	ImDv	M0 V M7 V	{ 1 }	(301-1)	[1239]	B	12	-3
1201	Gush	M	0140	Joutect	X768300-0	 	     Lo 	B	200	ImDv	M0 V M7 V	{ -3 }	(320-2)	[2131]	B	12	-12
1281	Gush	M	0140	Joutect	X768000-0	 	     Ba 		000	Wild	M0 V M7 V	{ -3 }	(300+1)	[0000]	B	12	3
1508	Gush	M	0140	Joutect	X768000-0	 	     Ba 		000	Wild	M0 V M7 V	{ -3 }	(300+1)	[0000]	B	12	3
