Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gvur	A	0104	Enjtodl	X8A8000-8	 	Di Fl 		001	ZhIN	K4 V M4 V	{ -3 }	(400+3)	[0000]	B	12	12
Gvur	E	0112	Fufoekkfal	X638000-6	 	(Katl*lalt) Di 		012	VTzE	F9 V	{ -3 }	(800+2)	[0000]	B	12	16
Gvur	E	0113	Taraeng	X000000-A	 	As Va Di Na In 		012	VTzE	M1 V	{ 0 }	(E00+4)	[0000]	BE	10	56
Gvur	I	0130	Tjenl	C68386C-8	 	Ph Ri 	B	420	ZhIN	G3 V M1 V	{ 0 }	(C74+1)	[B895]	BCe	9	336
Gvur	M	0131	Satlpenzh	X657443-6	 	Ga Ni Pa 		605	ZhIN	K6 V	{ -3 }	(730+1)	[516B]	Bc	11	21
Gvur	M	0137	Chench	X559453-0	 	Ni 	B	214	ZhIN	K1 IV	{ -3 }	(630-1)	[61A2]	B	12	-18
Gvur	A	0202	Zhenchve'chip	D666599-5	 	Ag Pr Ga Ni 	B	502	ZhIN	K7 V M9 V	{ -2 }	(744-4)	[8344]	BcC	11	-448
Gvur	A	0205	Matlmadl	D646786-6	 	Ag Pi 	B	922	ZhIN	F0 V	{ -1 }	(967-3)	[6658]	BCD	12	-1134
Gvur	A	0208	Dho Ega	X580687-4	 	De Ni Ri 	B	610	VTzE	K4 V M7 V	{ -2 }	(850+4)	[8446]	BC	10	160
Gvur	E	0212	Onagzorrruell	E889735-0	 	Ri 	B	701	VTzE	K4 V M0 V	{ -1 }	(965+1)	[7643]	BC	13	270
Gvur	E	0215	Kerkukhaeka	X88856D-3	 	Ag Pr Ni 	B	225	VTzE	K6 V	{ -2 }	(744+3)	[5345]	BcC	10	336
Gvur	E	0216	Saezghen	X200000-C	 	Di Na In Va 		002	VTzE	M0 V	{ 0 }	(E00-2)	[0000]	BE	11	-28
Gvur	E	0220	Telfazagnou	X7A5000-8	 	Di Fl 		024	VTzE	M3 V	{ -3 }	(D00+1)	[0000]	B	14	13
Gvur	I	0221	Aersaedha	D98A652-6	 	Ni Ri Wa 	B	722	VTzE	F6 V	{ -2 }	(A54-1)	[3466]	BC	11	-200
Gvur	I	0223	Aedhue	X9C4000-0	 	Ba Fl 		024	VTzE	K0 II	{ -3 }	(200+1)	[0000]	B	15	2
Gvur	I	0226	Qanstanze	X739000-6	 	Di 		010	ZhIN	M1 V	{ -3 }	(A00+2)	[0000]	B	9	20
Gvur	I	0230	Eblonzyerefl	X434000-D	 	Di 		003	ZhIN	G7 V	{ -1 }	(700+5)	[0000]	B	13	35
Gvur	M	0231	Tseezh	X000000-B	 	As Va Cy Di Na Pi 		011	ZhIN	M3 V	{ -1 }	(B00-2)	[0000]	BD	5	-22
Gvur	M	0232	Jdiprqrafr	X100000-C	 	Di Na In Va 		023	ZhIN	M4 III	{ 0 }	(H00-1)	[0000]	BE	10	-17
Gvur	M	0233	Yied	X436000-C	 	Di 		021	ZhIN	G3 V	{ -1 }	(C00-3)	[0000]	B	13	-36
Gvur	M	0235	Pliploranshich	D662657-5	 	Ni Ri 		925	ZhIN	F3 IV	{ -2 }	(852+1)	[6435]	BC	12	80
Gvur	M	0239	Tlrt	C698566-4	 	Ag An Ni 		403	ZhIN	F5 V	{ -1 }	(742+1)	[6484]	BC	12	56
Gvur	M	0240	Astanch	C541427-9	 	He Ni Po 		201	ZhIN	M0 V	{ -1 }	(730-3)	[9379]	B	6	-63
Gvur	A	0306	Zaerrg	E674640-7	 	Ag Ni 		203	NaVa	K3 V	{ -2 }	(851+2)	[3447]	BC	10	80
Gvur	A	0309	Unoldhasaellae	X300000-9	 	Di Na Va 		010	VTzE	G7 V	{ -2 }	(900-3)	[0000]	B	4	-27
Gvur	E	0317	Gzoulakhgha	X793243-A	 	Lo 		310	VTzE	K9 V M0 V	{ -1 }	(D10+5)	[1187]	B	7	65
Gvur	I	0323	Llathoevaghoe	D673869-5	 	Ph Pi 	B	410	NaVa	F3 V M3 V	{ -2 }	(A78+1)	[6629]	BDe	5	560
Gvur	I	0325	Dzado	X6A4000-8	 	Di Fl 		003	NaVa	K3 V	{ -3 }	(D00+1)	[0000]	B	9	13
Gvur	I	0327	Iatl Iatl	X685304-3	 	Ga Lo 		222	ZhIN	G5 V M4 V	{ -3 }	(420-3)	[1135]	B	10	-24
Gvur	I	0329	Enjqore	C547141-5	 	Lo 		310	ZhIN	K7 V	{ -2 }	(400+3)	[5115]	B	13	12
Gvur	M	0334	Blienzkats	X565100-5	 	Lo 		701	ZhIN	G8 V M2 V	{ -3 }	(300+1)	[2127]	B	6	3
