Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Gvur	A	0104	Enjtodl	C8A8100-8	 	Fl Lo 		501	ZhIN	K4 V M4 V	{ -2 }	(400-5)	[1113]	B	12	-20
1201	Gvur	A	0104	Enjtodl	X8A8000-8	 	Di Fl 		001	ZhIN	K4 V M4 V	{ -3 }	(400+3)	[0000]	B	12	12
1199	Gvur	A	0104	Enjtodl	X8A8000-8	 	Di Fl 		001	Wild	K4 V M4 V	{ -3 }	(400+1)	[0000]	B	12	4
1508	Gvur	A	0104	Enjtodl	X8A8000-8	 	Di Fl 		001	Wild	K4 V M4 V	{ -3 }	(400+2)	[0000]	B	12	8
1900	Gvur	A	0104	Enjtodl	B8A8788-8	 	Fl 		401	NaVa	K4 V M4 V	{ 0 }	(469+1)	[7769]	B	12	216

1105	Gvur	E	0112	Fufoekkfal	E638665-6	 	(Katl*lalt) Ni 		312	VTzE	F9 V	{ -3 }	(851-5)	[4334]	B	12	-200
1201	Gvur	E	0112	Fufoekkfal	X638000-6	 	(Katl*lalt) Di 		012	VTzE	F9 V	{ -3 }	(800+2)	[0000]	B	12	16
1199	Gvur	E	0112	Fufoekkfal	X638000-6	 	(Katl*lalt) Di 		012	Wild	F9 V	{ -3 }	(800-3)	[0000]	B	12	-24
1508	Gvur	E	0112	Fufoekkfal	X638000-6	 	(Katl*lalt) Di 		012	Wild	F9 V	{ -3 }	(800+5)	[0000]	B	12	40
1900	Gvur	E	0112	Fufoekkfal	D638400-8	 	(Katl*lalt) Ni 		912	NaVa	F9 V	{ -3 }	(B31+1)	[116A]	B	12	33

1105	Gvur	E	0113	Taraeng	B00098C-A	 	As Va Hi Na In 	A	212	VTzE	M1 V	{ 4 }	(E8E+5)	[CD8D]	BEf	10	7840
1201	Gvur	E	0113	Taraeng	X000000-A	 	As Va Di Na In 		012	VTzE	M1 V	{ 0 }	(E00+4)	[0000]	BE	10	56
1199	Gvur	E	0113	Taraeng	X000000-A	 	As Va Di Na In 		012	Wild	M1 V	{ 0 }	(E00+1)	[0000]	BE	10	14
1508	Gvur	E	0113	Taraeng	X000000-A	 	As Va Di 		012	Wild	M1 V	{ -1 }	(E00-5)	[0000]	B	10	-70
1900	Gvur	E	0113	Taraeng	C000535-7	 	As Va Ni 		712	NaVa	M1 V	{ -2 }	(B40+1)	[33A8]	B	10	44

1105	Gvur	I	0130	Tjenl	A683865-C	 	Ph Ri 		420	ZhIN	G3 V M1 V	{ 3 }	(C7D+1)	[6B3A]	BCe	9	1092
1201	Gvur	I	0130	Tjenl	C68386C-8	 	Ph Ri 	B	420	ZhIN	G3 V M1 V	{ 0 }	(C74+1)	[B895]	BCe	9	336
1199	Gvur	I	0130	Tjenl	C683889-6	 	Ph Ri 		220	Wild	G3 V M1 V	{ 0 }	(A7B+2)	[9868]	BCe	9	1540
1508	Gvur	I	0130	Tjenl	C683877-7	 	Ph Ri 		120	Wild	G3 V M1 V	{ 0 }	(A75-4)	[6885]	BCe	9	-1400
1900	Gvur	I	0130	Tjenl	B683300-C	 	Lo 		320	NaVa	G3 V M1 V	{ 1 }	(C21-2)	[6459]	B	9	-48

1105	Gvur	M	0131	Satlpenzh	B657586-B	 	Ag Ga Ni 		205	ZhIN	K6 V	{ 2 }	(C46+1)	[474A]	BC	11	288
1201	Gvur	M	0131	Satlpenzh	X657443-6	 	Ga Ni Pa 		605	ZhIN	K6 V	{ -3 }	(730+1)	[516B]	Bc	11	21
1199	Gvur	M	0131	Satlpenzh	X657476-1	 	Ga Ni Pa 		305	Wild	K6 V	{ -3 }	(732+4)	[1196]	Bc	11	168
1508	Gvur	M	0131	Satlpenzh	X657444-2	 	Ga Ni Pa 		205	Wild	K6 V	{ -3 }	(733+2)	[6126]	Bc	11	126
1900	Gvur	M	0131	Satlpenzh	C657510-9	 	Ag Ga Ni 		105	NaVa	K6 V	{ 0 }	(C46-2)	[8566]	BC	11	-576

1105	Gvur	M	0137	Chench	D559426-3	 	Ni 		214	ZhIN	K1 IV	{ -3 }	(631-4)	[3142]	B	12	-72
1201	Gvur	M	0137	Chench	X559453-0	 	Ni 	B	214	ZhIN	K1 IV	{ -3 }	(630-1)	[61A2]	B	12	-18
1199	Gvur	M	0137	Chench	X559422-0	 	Ni 		114	Wild	K1 IV	{ -3 }	(630+3)	[4151]	B	12	54
1508	Gvur	M	0137	Chench	X559422-0	 	Ni 		214	Wild	K1 IV	{ -3 }	(631-4)	[3194]	B	12	-72
1900	Gvur	M	0137	Chench	X559555-0	 	Ni 		714	NaVa	K1 IV	{ -3 }	(643+1)	[7271]	B	12	72

1105	Gvur	A	0202	Zhenchve'chip	B666558-8	 	Ag Pr Ga Ni 		902	ZhIN	K7 V M9 V	{ 0 }	(944+1)	[5558]	BcC	11	144
1201	Gvur	A	0202	Zhenchve'chip	D666599-5	 	Ag Pr Ga Ni 	B	502	ZhIN	K7 V M9 V	{ -2 }	(744-4)	[8344]	BcC	11	-448
1199	Gvur	A	0202	Zhenchve'chip	D666000-5	 	Di Ga 		002	Wild	K7 V M9 V	{ -3 }	(700-1)	[0000]	B	11	-7
1508	Gvur	A	0202	Zhenchve'chip	D666000-5	 	Di Ga 		002	Wild	K7 V M9 V	{ -3 }	(700+1)	[0000]	B	11	7
1900	Gvur	A	0202	Zhenchve'chip	C666535-5	 	Ag Pr Ga Ni 		602	NaVa	K7 V M9 V	{ -1 }	(743+1)	[4415]	BcC	11	84

1105	Gvur	A	0205	Matlmadl	B646730-8	 	Ag Pi 		822	ZhIN	F0 V	{ 1 }	(D69-3)	[2813]	BCD	12	-2106
