Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Hint	A	0101	Nahru	X100000-7	 	   Di Va 		003	Wild	G0 V M8 V	-3	(400-1)	[0000]	B	12	-4
Hint	A	0102	Halanna	X62A000-7	 	    Di 		000	Wild	M3 V	-3	(600+4)	[0000]	B	6	24
Hint	A	0104	Adar	X100000-A	 	   Di Va 		002	Wild	M3 V M5 V	-1	(800+1)	[0000]	B	7	8
Hint	E	0114	Ranlm	X100000-A	 	   Di Va 		003	Wild	M2 V M4 V	-1	(B00-2)	[0000]	B	12	-22
Hint	E	0116	Shaa	X300000-A	 	   Di Va 		000	Wild	M2 V	-1	(A00+2)	[0000]	B	4	20
Hint	E	0120	Aqqle	X9D8000-4	 	    Di (NIL)		022	Wild	K4 V	-3	(B00+1)	[0000]	B	12	11
Hint	I	0123	Kunlam	X551000-2	 	   Di Po 		013	Wild	K4 V M4 V	-3	(700+4)	[0000]	B	8	28
Hint	I	0124	Relar	E567535-2	 	   Ag Pr Ni 		215	Wild	K1 V M5 V	-2	(844+4)	[9324]	BcC	15	512
Hint	I	0126	Khi	X643000-4	 	   Di Po 		005	Wild	A4 V G6 V	-3	(700-4)	[0000]	B	12	-28
Hint	I	0128	Irdikur	D666788-3	 	   Ag Ri Ga (NIL)		221	Wild	G4 V	0	(967+5)	[9721]	BC	10	1890
Hint	M	0131	Krevor	X200000-7	 	   Di Va 		015	Wild	A2 V	-3	(800-4)	[0000]	B	17	-32
Hint	M	0134	Byooki	X310000-7	 	    Di 		003	Wild	M2 V	-3	(900+5)	[0000]	B	9	45
Hint	M	0137	Eki Chi	X200000-7	 	   Di Va 		000	Wild	M2 V	-3	(800+2)	[0000]	B	7	16
Hint	A	0201	Kaggits	X545000-4	 	    Di 		014	Wild	M1 V	-3	(500+4)	[0000]	B	15	20
Hint	A	0210	Deymun Na	X310000-D	 	    Di 		004	Wild	K3 V M5 V	-1	(900+3)	[0000]	B	11	27
Hint	M	0232	Murlum	X8A5000-8	 	   Di Fl 		002	Wild	G1 V M3 V	-3	(800-1)	[0000]	B	10	-8
Hint	M	0233	Goromas	X728000-8	 	    Di (NIL)		020	Wild	K1 V M4 V	-3	(B00+4)	[0000]	B	10	44
Hint	M	0238	Ame	E876000-3	 	    Di 		013	Wild	A3 V M8 V	-3	(400+1)	[0000]	B	14	4
Hint	M	0239	Famerra	X310000-7	 	    Di 		004	Wild	F4 V	-3	(600-1)	[0000]	B	15	-6
Hint	A	0306	Terbain	E98A443-3	 	   Ni Wa 		303	Wild	K3 V M9 V	-3	(733+3)	[6113]	B	9	189
Hint	A	0307	Nii	X310000-B	 	    Di 		003	Wild	M1 V	-1	(A00-1)	[0000]	B	11	-10
Hint	E	0311	Berange	X428000-7	 	   Cx Di (NIL)		014	Wild	M3 V	-3	(C00-2)	[0000]	B	16	-24
Hint	E	0315	Gisamuve	X9A6000-8	 	   Di Fl 		005	Wild	M3 V M7 V	-3	(900+1)	[0000]	B	17	9
Hint	E	0316	Ravane	X7B6000-8	 	   Di Fl 		001	Wild	F3 V M4 V	-3	(900-2)	[0000]	B	8	-18
Hint	E	0317	Herann	X425000-9	 	    Di 		003	Wild	G1 V M6 V	-2	(900-4)	[0000]	B	7	-36
Hint	E	0318	Gaggin	X310000-7	 	    Di 		004	Wild	F7 III	-3	(600+1)	[0000]	B	12	6
Hint	E	0320	Blessed	X200000-7	 	   Di Va 		002	Wild	F0 V	-3	(800+1)	[0000]	B	11	8
Hint	I	0322	Mire	E668501-5	 	   Ag Pr Ni 		202	Wild	K3 V	-2	(740-2)	[7353]	BcC	8	-56
Hint	I	0326	Aympe	X6A1000-9	 	   Di Fl He 		023	Wild	K5 V M1 V	-2	(A00+1)	[0000]	B	13	10
Hint	I	0327	Strabbin	X765000-1	 	   Di Ga 		003	Wild	M3 V M5 V	-3	(400+5)	[0000]	B	11	20
Hint	I	0328	Galazii	X8A3000-8	 	   Di Fl 		013	Wild	K1 V	-3	(C00+3)	[0000]	B	11	36
Hint	M	0334	Kotori	E747000-4	 	    Di 		004	Wild	G1 IV	-3	(800+4)	[0000]	B	13	32
Hint	M	0337	Tonde Monai	X200000-E	 	   Di Va 		015	Wild	F2 V M1 V	-1	(A00+2)	[0000]	B	15	20
Hint	A	0402	Venad	X421000-B	 	  Di He Po 		024	Wild	M0 V M6 V	-1	(E00+1)	[0000]	B	14	14
Hint	A	0406	Dirmidi	X310000-7	 	    Di 		003	Wild	M0 V M0 V	-3	(900+1)	[0000]	B	11	9
Hint	A	0407	Gerdane	X000000-7	 	   As Va Di 		001	Wild	M9 III D	-3	(300+1)	[0000]	B	13	3
Hint	A	0410	Leral	X310000-9	 	    Di 		021	Wild	A2 V	-2	(900+3)	[0000]	B	16	27
Hint	E	0413	Kandusa	X200000-7	 	   Di Va 		004	Wild	G0 V M8 V	-3	(900+2)	[0000]	B	13	18
