Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Hint	A	0101	Nahru	D100201-7	 	   Lo Va 		703	RaRa	G0 V M8 V	-3	(410-5)	[1113]	B	12	-20
1201	Hint	A	0101	Nahru	X100000-7	 	   Di Va 		003	RaRa	G0 V M8 V	-3	(400+1)	[0000]	B	12	4
1364	Hint	A	0101	Nahru	X100000-7	 	   Di Va 		003	Wild	G0 V M8 V	-3	(400-4)	[0000]	B	12	-16
1508	Hint	A	0101	Nahru	X100000-7	 	   Di Va 		003	Wild	G0 V M8 V	-3	(400-1)	[0000]	B	12	-4
1900	Hint	A	0101	Nahru	X100000-7	 	   Di Va 		003	Wild	G0 V M8 V	-3	(400+1)	[0000]	B	12	4

1105	Hint	A	0102	Halanna	D62A442-7	 	    Ni 		300	RaRa	M3 V	-3	(631-5)	[1113]	B	6	-90
1201	Hint	A	0102	Halanna	X62A000-7	 	    Di 		000	RaRa	M3 V	-3	(600+5)	[0000]	B	6	30
1364	Hint	A	0102	Halanna	X62A000-7	 	    Di 		000	Wild	M3 V	-3	(600-4)	[0000]	B	6	-24
1508	Hint	A	0102	Halanna	X62A000-7	 	    Di 		000	Wild	M3 V	-3	(600+4)	[0000]	B	6	24
1900	Hint	A	0102	Halanna	X62A000-7	 	    Di 		000	Wild	M3 V	-3	(600-5)	[0000]	B	6	-30

1105	Hint	A	0104	Adar	B100456-A	 	   Ni Va 		402	ImDg	M3 V M5 V	1	(834+1)	[3549]	B	7	96
1201	Hint	A	0104	Adar	X100000-A	 	   Di Va 		002	ImDg	M3 V M5 V	-1	(800+1)	[0000]	B	7	8
1364	Hint	A	0104	Adar	X100000-A	 	   Di Va 		002	Wild	M3 V M5 V	-1	(800+3)	[0000]	B	7	24
1508	Hint	A	0104	Adar	X100000-A	 	   Di Va 		002	Wild	M3 V M5 V	-1	(800+1)	[0000]	B	7	8
1900	Hint	A	0104	Adar	X100000-A	 	   Di Va 		002	Wild	M3 V M5 V	-1	(800+3)	[0000]	B	7	24

1105	Hint	E	0114	Ranlm	C100630-A	 	  Na Ni Va 		503	RaRa	M2 V M4 V	0	(B54-4)	[1615]	B	12	-880
1201	Hint	E	0114	Ranlm	X100000-A	 	  Di Na Va 		003	RaRa	M2 V M4 V	-1	(B00+1)	[0000]	B	12	11
1364	Hint	E	0114	Ranlm	X100000-A	 	  Di Na Va 		003	Wild	M2 V M4 V	-1	(B00-2)	[0000]	B	12	-22
1508	Hint	E	0114	Ranlm	X100000-A	 	   Di Va 		003	Wild	M2 V M4 V	-1	(B00-2)	[0000]	B	12	-22
1900	Hint	E	0114	Ranlm	X100000-A	 	   Di Va 		003	Wild	M2 V M4 V	-1	(B00-1)	[0000]	B	12	-11

1105	Hint	E	0116	Shaa	A300842-A	 	  Na Pi Ph Va 		600	NaHu	M2 V	2	(A7B-2)	[4A16]	BDe	4	-1540
1201	Hint	E	0116	Shaa	X300000-A	 	  Di Na Pi Va 		000	NaHu	M2 V	-1	(A00+1)	[0000]	BD	4	10
1364	Hint	E	0116	Shaa	X300000-A	 	  Di Na Pi Va 		000	Wild	M2 V	-1	(A00-2)	[0000]	BD	4	-20
1508	Hint	E	0116	Shaa	X300000-A	 	   Di Va 		000	Wild	M2 V	-1	(A00+2)	[0000]	B	4	20
1900	Hint	E	0116	Shaa	X300000-A	 	   Di Va 		000	Wild	M2 V	-1	(A00-5)	[0000]	B	4	-50

1105	Hint	E	0120	Aqqle	E9D89B9-4	 	    Hi (NIL)	A	822	NaHu	K4 V	-1	(B86+1)	[A865]	BE	12	528
1201	Hint	E	0120	Aqqle	X9D8000-4	 	    Di (NIL)		022	NaHu	K4 V	-3	(B00-2)	[0000]	B	12	-22
1364	Hint	E	0120	Aqqle	X9D8000-4	 	    Di (NIL)		022	Wild	K4 V	-3	(B00-4)	[0000]	B	12	-44
1508	Hint	E	0120	Aqqle	X9D8000-4	 	    Di (NIL)		022	Wild	K4 V	-3	(B00+1)	[0000]	B	12	11
1900	Hint	E	0120	Aqqle	X9D8000-4	 	    Di (NIL)		022	Wild	K4 V	-3	(B00+5)	[0000]	B	12	55

1105	Hint	I	0123	Kunlam	D551522-3	 	   Ni Po 		613	NaHu	K4 V M4 V	-3	(741-5)	[1211]	B	8	-140
1201	Hint	I	0123	Kunlam	X551513-2	 	   Ni Po 	B	413	NaHu	K4 V M4 V	-3	(740-1)	[1231]	B	8	-28
1364	Hint	I	0123	Kunlam	X551000-2	 	   Di Po 		013	Wild	K4 V M4 V	-3	(700+3)	[0000]	B	8	21
1508	Hint	I	0123	Kunlam	X551000-2	 	   Di Po 		013	Wild	K4 V M4 V	-3	(700+4)	[0000]	B	8	28
1900	Hint	I	0123	Kunlam	X551000-2	 	   Di Po 		013	Wild	K4 V M4 V	-3	(700-2)	[0000]	B	8	-14

1105	Hint	I	0124	Relar	C567699-4	 	   Ag Ri Ni 		115	NaHu	K1 V M5 V	0	(854+1)	[7665]	BC	15	160
1201	Hint	I	0124	Relar	E56767C-2	 	   Ag Ri Ni 	B	215	NaHu	K1 V M5 V	-1	(850+1)	[8541]	BC	15	40
1364	Hint	I	0124	Relar	E567512-1	 	   Ag Pr Ni 		115	Wild	K1 V M5 V	-2	(840-2)	[5351]	BcC	15	-64
1508	Hint	I	0124	Relar	E567535-2	 	   Ag Pr Ni 		215	Wild	K1 V M5 V	-2	(844+4)	[9324]	BcC	15	512
1900	Hint	I	0124	Relar	E567512-3	 	   Ag Pr Ni 		315	Wild	K1 V M5 V	-2	(841+3)	[5381]	BcC	15	96

1105	Hint	I	0126	Khi	A643500-B	 	   Ni Po 		805	NaHu	A4 V G6 V	1	(C45-3)	[1616]	B	12	-720
1201	Hint	I	0126	Khi	X643568-4	 	   Ni Po 	B	405	NaHu	A4 V G6 V	-3	(742+1)	[3241]	B	12	56
1364	Hint	I	0126	Khi	X643000-4	 	   Di Po 		005	Wild	A4 V G6 V	-3	(700-3)	[0000]	B	12	-21
1508	Hint	I	0126	Khi	X643000-4	 	   Di Po 		005	Wild	A4 V G6 V	-3	(700-4)	[0000]	B	12	-28
1900	Hint	I	0126	Khi	X643000-4	 	   Di Po 		005	Wild	A4 V G6 V	-3	(700+5)	[0000]	B	12	35

1105	Hint	I	0128	Irdikur	B666777-8	 	   Ag Ri Ga (NIL)	A	221	SoCf	G4 V	2	(C6A+2)	[7958]	BC	10	1440
1201	Hint	I	0128	Irdikur	D66678D-8	 	   Ag Ri Ga (NIL)		321	SoCf	G4 V	0	(C69+5)	[6756]	BC	10	3240
1364	Hint	I	0128	Irdikur	D666788-2	 	   Ag Ri Ga (NIL)		121	Wild	G4 V	0	(968-2)	[6721]	BC	10	-864
1508	Hint	I	0128	Irdikur	D666788-3	 	   Ag Ri Ga (NIL)		221	Wild	G4 V	0	(967+5)	[9721]	BC	10	1890
1900	Hint	I	0128	Irdikur	D666799-4	 	   Ag Ri Ga (NIL)		121	Wild	G4 V	0	(968+1)	[8749]	BC	10	432

1105	Hint	M	0131	Krevor	B200686-7	 	  Na Ni Va 		115	NaHu	A2 V	-1	(853-2)	[5546]	B	17	-240
1201	Hint	M	0131	Krevor	X200000-7	 	  Di Na Va 		015	NaHu	A2 V	-3	(800+1)	[0000]	B	17	8
1364	Hint	M	0131	Krevor	X200000-7	 	  Di Na Va 		015	Wild	A2 V	-3	(800+1)	[0000]	B	17	8
1508	Hint	M	0131	Krevor	X200000-7	 	   Di Va 		015	Wild	A2 V	-3	(800-4)	[0000]	B	17	-32
1900	Hint	M	0131	Krevor	X200000-7	 	   Di Va 		015	Wild	A2 V	-3	(800+1)	[0000]	B	17	8

1105	Hint	M	0134	Byooki	D31079A-7	 	    Na Pi 		903	NaHu	M2 V	-2	(966+1)	[9579]	BD	9	324
1201	Hint	M	0134	Byooki	X310000-7	 	   Di Na Pi 		003	NaHu	M2 V	-3	(900+1)	[0000]	BD	9	9
1364	Hint	M	0134	Byooki	X310000-7	 	   Di Na Pi 		003	Wild	M2 V	-3	(900-3)	[0000]	BD	9	-27
1508	Hint	M	0134	Byooki	X310000-7	 	    Di 		003	Wild	M2 V	-3	(900+5)	[0000]	B	9	45
1900	Hint	M	0134	Byooki	X310000-7	 	    Di 		003	Wild	M2 V	-3	(900+3)	[0000]	B	9	27

1105	Hint	M	0137	Eki Chi	D200640-7	 	  Na Ni Va 		400	NaHu	M2 V	-3	(851-5)	[1312]	B	7	-200
1201	Hint	M	0137	Eki Chi	X200000-7	 	  Di Na Va 		000	NaHu	M2 V	-3	(800+1)	[0000]	B	7	8
1364	Hint	M	0137	Eki Chi	X200000-7	 	  Di Na Va 		000	Wild	M2 V	-3	(800+1)	[0000]	B	7	8
1508	Hint	M	0137	Eki Chi	X200000-7	 	   Di Va 		000	Wild	M2 V	-3	(800+2)	[0000]	B	7	16
1900	Hint	M	0137	Eki Chi	X200000-7	 	   Di Va 		000	Wild	M2 V	-3	(800+1)	[0000]	B	7	8

1105	Hint	A	0201	Kaggits	A545300-B	 	    Lo 		214	RaRa	M1 V	2	(A22-2)	[1516]	B	15	-80
1201	Hint	A	0201	Kaggits	X545320-4	 	    Lo 		514	RaRa	M1 V	-3	(520-1)	[5153]	B	15	-10
1364	Hint	A	0201	Kaggits	X545000-4	 	    Di 		014	Wild	M1 V	-3	(500-2)	[0000]	B	15	-10
1508	Hint	A	0201	Kaggits	X545000-4	 	    Di 		014	Wild	M1 V	-3	(500+4)	[0000]	B	15	20
1900	Hint	A	0201	Kaggits	X545000-4	 	    Di 		014	Wild	M1 V	-3	(500-1)	[0000]	B	15	-5

1105	Hint	A	0210	Deymun Na	B310352-D	 	    Lo 		104	RaRa	K3 V M5 V	2	(922-2)	[1519]	B	11	-72
1201	Hint	A	0210	Deymun Na	X310000-D	 	    Di 		004	RaRa	K3 V M5 V	-1	(900-3)	[0000]	B	11	-27
1364	Hint	A	0210	Deymun Na	X310000-D	 	    Di 		004	Wild	K3 V M5 V	-1	(900+1)	[0000]	B	11	9
1508	Hint	A	0210	Deymun Na	X310000-D	 	    Di 		004	Wild	K3 V M5 V	-1	(900+3)	[0000]	B	11	27
1900	Hint	A	0210	Deymun Na	X310000-D	 	    Di 		004	Wild	K3 V M5 V	-1	(900-1)	[0000]	B	11	-9

1105	Hint	M	0232	Murlum	C8A5420-8	 	   Fl Ni 	A	502	SoCf	G1 V M3 V	-2	(831-5)	[1213]	B	10	-120
1201	Hint	M	0232	Murlum	X8A5000-8	 	   Di Fl 		002	SoCf	G1 V M3 V	-3	(800-5)	[0000]	B	10	-40
1364	Hint	M	0232	Murlum	X8A5000-8	 	   Di Fl 		002	Wild	G1 V M3 V	-3	(800-2)	[0000]	B	10	-16
1508	Hint	M	0232	Murlum	X8A5000-8	 	   Di Fl 		002	Wild	G1 V M3 V	-3	(800-1)	[0000]	B	10	-8
1900	Hint	M	0232	Murlum	X8A5000-8	 	   Di Fl 		002	Wild	G1 V M3 V	-3	(800+1)	[0000]	B	10	8

1105	Hint	M	0233	Goromas	C728787-8	 	    Pi (NIL)		620	NaHu	K1 V M4 V	-1	(B67-1)	[7658]	BD	10	-462
1201	Hint	M	0233	Goromas	X728000-8	 	   Di Pi (NIL)		020	NaHu	K1 V M4 V	-3	(B00-1)	[0000]	BD	10	-11
1364	Hint	M	0233	Goromas	X728000-8	 	   Di Pi (NIL)		020	Wild	K1 V M4 V	-3	(B00+1)	[0000]	BD	10	11
1508	Hint	M	0233	Goromas	X728000-8	 	    Di (NIL)		020	Wild	K1 V M4 V	-3	(B00+4)	[0000]	B	10	44
1900	Hint	M	0233	Goromas	X728000-8	 	    Di (NIL)		020	Wild	K1 V M4 V	-3	(B00+4)	[0000]	B	10	44

1105	Hint	M	0238	Ame	C876221-6	 	    Lo 		513	NaHu	A3 V M8 V	-2	(410-5)	[1112]	B	14	-20
1201	Hint	M	0238	Ame	E876100-3	 	    Lo 	B	813	NaHu	A3 V M8 V	-3	(400+4)	[1141]	B	14	16
1364	Hint	M	0238	Ame	E876000-3	 	    Di 		013	Wild	A3 V M8 V	-3	(400-1)	[0000]	B	14	-4
1508	Hint	M	0238	Ame	E876000-3	 	    Di 		013	Wild	A3 V M8 V	-3	(400+1)	[0000]	B	14	4
1900	Hint	M	0238	Ame	E876000-3	 	    Di 		013	Wild	A3 V M8 V	-3	(400-3)	[0000]	B	14	-12

1105	Hint	M	0239	Famerra	E310499-7	 	    Ni 		104	NaHu	F4 V	-3	(631-2)	[5168]	B	15	-36
1201	Hint	M	0239	Famerra	X310000-7	 	    Di 		004	NaHu	F4 V	-3	(600+4)	[0000]	B	15	24
1364	Hint	M	0239	Famerra	X310000-7	 	    Di 		004	Wild	F4 V	-3	(600+1)	[0000]	B	15	6
1508	Hint	M	0239	Famerra	X310000-7	 	    Di 		004	Wild	F4 V	-3	(600-1)	[0000]	B	15	-6
1900	Hint	M	0239	Famerra	X310000-7	 	    Di 		004	Wild	F4 V	-3	(600+2)	[0000]	B	15	12

1105	Hint	A	0306	Terbain	C98A523-6	 	  Ni Pr Wa 		603	NaHu	K3 V M9 V	-2	(742-5)	[2323]	Bc	9	-280
1201	Hint	A	0306	Terbain	E98A531-5	 	  Ni Pr Wa 	B	403	NaHu	K3 V M9 V	-3	(741+2)	[5215]	Bc	9	56
1364	Hint	A	0306	Terbain	E98A456-3	 	   Ni Wa 		203	Wild	K3 V M9 V	-3	(731+1)	[3126]	B	9	21
1508	Hint	A	0306	Terbain	E98A443-3	 	   Ni Wa 		303	Wild	K3 V M9 V	-3	(733+3)	[6113]	B	9	189
1900	Hint	A	0306	Terbain	E98A446-4	 	   Ni Wa 		203	Wild	K3 V M9 V	-3	(731-4)	[4133]	B	9	-84

1105	Hint	A	0307	Nii	C310599-B	 	    Ni 		803	NaHu	M1 V	0	(A44+1)	[656C]	B	11	160
1201	Hint	A	0307	Nii	X310000-B	 	    Di 		003	NaHu	M1 V	-1	(A00+3)	[0000]	B	11	30
1364	Hint	A	0307	Nii	X310000-B	 	    Di 		003	Wild	M1 V	-1	(A00+1)	[0000]	B	11	10
1508	Hint	A	0307	Nii	X310000-B	 	    Di 		003	Wild	M1 V	-1	(A00-1)	[0000]	B	11	-10
1900	Hint	A	0307	Nii	X310000-B	 	    Di 		003	Wild	M1 V	-1	(A00-1)	[0000]	B	11	-10

1105	Hint	E	0311	Berange	C428ACB-7	 	  Cx Hi In (NIL)	A	414	RaRa	M3 V	1	(C9A+3)	[CB79]	BE	16	3240
1201	Hint	E	0311	Berange	X428000-7	 	  Cx Di In (NIL)		014	RaRa	M3 V	-2	(C00-2)	[0000]	BE	16	-24
1364	Hint	E	0311	Berange	X428000-7	 	  Cx Di In (NIL)		014	Wild	M3 V	-2	(C00-2)	[0000]	BE	16	-24
1508	Hint	E	0311	Berange	X428000-7	 	   Cx Di (NIL)		014	Wild	M3 V	-3	(C00-2)	[0000]	B	16	-24
1900	Hint	E	0311	Berange	X428000-7	 	   Cx Di (NIL)		014	Wild	M3 V	-3	(C00+1)	[0000]	B	16	12

1105	Hint	E	0315	Gisamuve	C9A6249-8	 	   Fl Lo 		605	RaRa	M3 V M7 V	-2	(910-1)	[3169]	B	17	-9
1201	Hint	E	0315	Gisamuve	X9A6000-8	 	   Di Fl 		005	RaRa	M3 V M7 V	-3	(900+1)	[0000]	B	17	9
1364	Hint	E	0315	Gisamuve	X9A6000-8	 	   Di Fl 		005	Wild	M3 V M7 V	-3	(900-4)	[0000]	B	17	-36
1508	Hint	E	0315	Gisamuve	X9A6000-8	 	   Di Fl 		005	Wild	M3 V M7 V	-3	(900+1)	[0000]	B	17	9
1900	Hint	E	0315	Gisamuve	X9A6000-8	 	   Di Fl 		005	Wild	M3 V M7 V	-3	(900+2)	[0000]	B	17	18

1105	Hint	E	0316	Ravane	B7B6675-8	 	   Fl Ni 		301	RaRa	F3 V M4 V	-1	(953-3)	[4536]	B	8	-405
1201	Hint	E	0316	Ravane	X7B6000-8	 	   Di Fl 		001	RaRa	F3 V M4 V	-3	(900-1)	[0000]	B	8	-9
1364	Hint	E	0316	Ravane	X7B6000-8	 	   Di Fl 		001	Wild	F3 V M4 V	-3	(900-2)	[0000]	B	8	-18
1508	Hint	E	0316	Ravane	X7B6000-8	 	   Di Fl 		001	Wild	F3 V M4 V	-3	(900-2)	[0000]	B	8	-18
1900	Hint	E	0316	Ravane	X7B6000-8	 	   Di Fl 		001	Wild	F3 V M4 V	-3	(900+2)	[0000]	B	8	18

1105	Hint	E	0317	Herann	C425473-9	S	    Ni 		603	CsIm	G1 V M6 V	-1	(932-4)	[1326]	B	7	-216
1201	Hint	E	0317	Herann	X425000-9	 	    Di 		003	CsIm	G1 V M6 V	-2	(900+2)	[0000]	B	7	18
1364	Hint	E	0317	Herann	X425000-9	 	    Di 		003	Wild	G1 V M6 V	-2	(900-5)	[0000]	B	7	-45
1508	Hint	E	0317	Herann	X425000-9	 	    Di 		003	Wild	G1 V M6 V	-2	(900-4)	[0000]	B	7	-36
1900	Hint	E	0317	Herann	X425000-9	 	    Di 		003	Wild	G1 V M6 V	-2	(900-3)	[0000]	B	7	-27

1105	Hint	E	0318	Gaggin	D310411-7	 	    Ni 		404	NaHu	F7 III	-3	(631-5)	[1113]	B	12	-90
1201	Hint	E	0318	Gaggin	X310000-7	 	    Di 		004	NaHu	F7 III	-3	(600+2)	[0000]	B	12	12
1364	Hint	E	0318	Gaggin	X310000-7	 	    Di 		004	Wild	F7 III	-3	(600+2)	[0000]	B	12	12
1508	Hint	E	0318	Gaggin	X310000-7	 	    Di 		004	Wild	F7 III	-3	(600+1)	[0000]	B	12	6
1900	Hint	E	0318	Gaggin	X310000-7	 	    Di 		004	Wild	F7 III	-3	(600-3)	[0000]	B	12	-18

1105	Hint	E	0320	Blessed	E20068A-7	 	  Na Ni Va 		102	NaHu	F0 V	-3	(851-1)	[8379]	B	11	-40
1201	Hint	E	0320	Blessed	X200000-7	 	  Di Na Va 		002	NaHu	F0 V	-3	(800-5)	[0000]	B	11	-40
1364	Hint	E	0320	Blessed	X200000-7	 	  Di Na Va 		002	Wild	F0 V	-3	(800-4)	[0000]	B	11	-32
1508	Hint	E	0320	Blessed	X200000-7	 	   Di Va 		002	Wild	F0 V	-3	(800+1)	[0000]	B	11	8
1900	Hint	E	0320	Blessed	X200000-7	 	   Di Va 		002	Wild	F0 V	-3	(800-3)	[0000]	B	11	-24

1105	Hint	I	0322	Mire	C66859D-7	 	   Ag Pr Ni 	A	402	NaHu	K3 V	-1	(743+3)	[949B]	BcC	8	252
1201	Hint	I	0322	Mire	E66859E-5	 	   Ag Pr Ni 		302	NaHu	K3 V	-2	(740+1)	[7345]	BcC	8	28
1364	Hint	I	0322	Mire	E66859A-3	 	   Ag Pr Ni 		102	Wild	K3 V	-2	(744+1)	[8351]	BcC	8	112
1508	Hint	I	0322	Mire	E668501-5	 	   Ag Pr Ni 		202	Wild	K3 V	-2	(740-2)	[7353]	BcC	8	-56
1900	Hint	I	0322	Mire	E668547-5	 	   Ag Pr Ni 		302	Wild	K3 V	-2	(740+4)	[3343]	BcC	8	112

1105	Hint	I	0326	Aympe	A6A137A-9	 	   Fl He Lo 		223	NaHu	K5 V M1 V	1	(A21+3)	[547B]	B	13	60
1201	Hint	I	0326	Aympe	X6A1000-9	 	   Di Fl He 		023	NaHu	K5 V M1 V	-2	(A00-1)	[0000]	B	13	-10
1364	Hint	I	0326	Aympe	X6A1000-9	 	   Di Fl He 		023	Wild	K5 V M1 V	-2	(A00+5)	[0000]	B	13	50
1508	Hint	I	0326	Aympe	X6A1000-9	 	   Di Fl He 		023	Wild	K5 V M1 V	-2	(A00+1)	[0000]	B	13	10
1900	Hint	I	0326	Aympe	X6A1000-9	 	   Di Fl He 		023	Wild	K5 V M1 V	-2	(A00-3)	[0000]	B	13	-30

1105	Hint	I	0327	Strabbin	B765236-B	 	   Ga Lo 	A	603	NaHu	M3 V M5 V	1	(711+1)	[134A]	B	11	7
1201	Hint	I	0327	Strabbin	X765210-1	 	   Ga Lo 	B	803	NaHu	M3 V M5 V	-3	(410+1)	[1161]	B	11	4
1364	Hint	I	0327	Strabbin	X765000-1	 	   Di Ga 		003	Wild	M3 V M5 V	-3	(400+1)	[0000]	B	11	4
1508	Hint	I	0327	Strabbin	X765000-1	 	   Di Ga 		003	Wild	M3 V M5 V	-3	(400+5)	[0000]	B	11	20
1900	Hint	I	0327	Strabbin	X765000-1	 	   Di Ga 		003	Wild	M3 V M5 V	-3	(400-4)	[0000]	B	11	-16

1105	Hint	I	0328	Galazii	B8A3679-8	 	  Fl Ni Px 		713	NaHu	K1 V	-1	(C53+1)	[7569]	B	11	180
1201	Hint	I	0328	Galazii	X8A3000-8	 	  Di Fl Px 		013	NaHu	K1 V	-3	(C00-1)	[0000]	B	11	-12
1364	Hint	I	0328	Galazii	X8A3000-8	 	  Di Fl Px 		013	Wild	K1 V	-3	(C00-4)	[0000]	B	11	-48
1508	Hint	I	0328	Galazii	X8A3000-8	 	   Di Fl 		013	Wild	K1 V	-3	(C00+3)	[0000]	B	11	36
1900	Hint	I	0328	Galazii	X8A3000-8	 	   Di Fl 		013	Wild	K1 V	-3	(C00-1)	[0000]	B	11	-12

