Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ilel	A	0101	Harding	X100000-E	 	   Di Va 		020	Wild	K4 V	-1	(700-3)	[0000]	B	8	-21
Ilel	A	0102	Lorne	D546000-4	 	    Di (NIL)		000	Wild	F5 V M5 V	-3	(A00+2)	[0000]	B	9	20
Ilel	A	0108	Eufemia	X599000-4	 	    Di 		012	Wild	M2 V	-3	(800-3)	[0000]	B	14	-24
Ilel	A	0110	Randall	D541000-8	 	  Di He Po 		014	Wild	F4 V	-3	(C00+1)	[0000]	B	13	12
Ilel	E	0113	McCoy	X423000-7	 	   Di Po 		001	Wild	M2 V M3 V	-3	(600+1)	[0000]	B	11	6
Ilel	E	0116	Fearghal	X430000-C	 	  De Di Po 		002	Wild	M2 V	-1	(800+2)	[0000]	B	11	16
Ilel	I	0127	Tyr	X565000-0	 	    Ba 		013	Wild	M2 V	-3	(500-2)	[0000]	B	7	-10
Ilel	I	0128	Welles	X893000-4	 	    Di 		003	Wild	F5 V	-3	(400+1)	[0000]	B	12	4
Ilel	M	0132	Antwerp	X994000-3	 	    Di 		010	Wild	G6 V	-3	(600-2)	[0000]	B	13	-12
Ilel	M	0133	Rozumund	X765000-0	 	   Ba Ga 		003	Wild	F8 V M5 V	-3	(400-3)	[0000]	B	12	-12
Ilel	A	0204	De Camsall	X546000-3	 	    Di 		020	Wild	M3 V M6 V	-3	(600+2)	[0000]	B	15	12
Ilel	A	0205	Kiril	X544000-1	 	    Di 		002	Wild	M1 V	-3	(500+1)	[0000]	B	13	5
Ilel	A	0206	Darven Limner	X576000-2	 	    Di 		000	Wild	M3 V	-3	(700-1)	[0000]	B	8	-7
Ilel	A	0207	Nasi	X200000-E	 	   Di Va 		002	Wild	F5 V M9 V M0 V	-1	(D00+2)	[0000]	B	13	26
Ilel	A	0208	Winthrop	X786526-2	 	  Ag Pr Ga Ni 		210	Wild	F9 V	-2	(743-3)	[1372]	BcC	14	-252
Ilel	A	0209	Byrne	X552000-A	 	   Di Po (NIL)		002	Wild	M2 V	-1	(C00+2)	[0000]	B	11	24
Ilel	E	0211	Saper	X535000-D	 	    Di 		024	Wild	M1 V	-1	(B00+5)	[0000]	B	10	55
Ilel	E	0212	Seke	X654000-0	 	    Ba 		000	Wild	M0 V	-3	(400+1)	[0000]	B	13	4
Ilel	E	0217	Heridd	X310000-F	 	    Di 		004	Wild	M0 V M1 V	-1	(700+1)	[0000]	B	9	7
Ilel	E	0218	Geldall	X8B4000-8	 	   Di Fl (ENIL)		022	Wild	F1 V	-3	(E00+2)	[0000]	B	7	28
Ilel	E	0220	Gons	X310000-F	 	    Di 		000	Wild	M1 V M3 V	-1	(500+3)	[0000]	B	8	15
Ilel	I	0226	Allentown	EA8A000-5	 	   Di Oc 		000	Wild	F6 V M3 V	-3	(500-4)	[0000]	B	13	-20
Ilel	I	0227	Willlelmo	X798741-1	 	    Ag Pi (NIL)		103	Wild	K2 V	-1	(968+5)	[A652]	BCD	12	2160
Ilel	M	0231	Neala	X756000-4	 	   Di Ga 		015	Wild	F6 V	-3	(700-2)	[0000]	B	13	-14
Ilel	M	0232	Tharthar	X528000-9	 	    Di 		003	Wild	G4 V M2 V	-2	(A00-2)	[0000]	B	6	-20
Ilel	M	0233	Gwlsdys	X424000-C	 	    Di 		024	Wild	M2 V	-1	(E00-4)	[0000]	B	10	-56
Ilel	A	0303	Woodlawn	X422000-C	 	  Di He Po (NIL)		020	Wild	M1 V	-1	(C00-1)	[0000]	B	7	-12
Ilel	A	0305	Astea	X94A000-5	 	   Di Wa (NIL)		004	Wild	G2 V M4 V	-3	(900+4)	[0000]	B	11	36
Ilel	A	0307	Tylio	X646000-4	 	    Di (NIL)		005	Wild	M1 V	-3	(C00-2)	[0000]	B	8	-24
Ilel	A	0309	Earnest	X5588CA-1	 	   Pa Ph (NIL)		301	Wild	F7 V M4 V	-2	(A75+1)	[5641]	Bce	9	350
Ilel	E	0312	Tunis	C565379-7	 	    Lo 		904	Wild	F9 V M5 V	-2	(820-5)	[4155]	B	15	-80
Ilel	E	0313	Kerim	X310000-B	 	    Di 		004	Wild	M1 V M4 V	-1	(C00+5)	[0000]	B	13	60
Ilel	E	0314	Serbia	X310000-9	 	    Di 		003	Wild	M0 III	-2	(A00-3)	[0000]	B	8	-30
Ilel	E	0315	Leuet	D542000-8	 	  Di He Po 		004	Wild	M0 V	-3	(C00+2)	[0000]	B	9	24
Ilel	E	0316	Byrland	X557000-6	 	    Di 		012	Wild	M0 V M6 V	-3	(700-2)	[0000]	B	10	-14
Ilel	E	0318	Bohemia	X8799CB-0	 	   Hi In (NIL)		502	Wild	G7 V	0	(B86+3)	[7914]	BE	7	1584
Ilel	E	0319	Gwenhwyvar	X795000-2	 	    Di 		000	Wild	G4 V M2 V	-3	(600+4)	[0000]	B	11	24
Ilel	I	0322	Allanon	XAD6000-8	 	    Di 		004	Wild	M1 V M7 V	-3	(900+1)	[0000]	B	13	9
Ilel	I	0328	Irvine	D849000-7	 	    Di 		014	Wild	M2 V	-3	(600-1)	[0000]	B	8	-6
Ilel	I	0330	Rekagun	X426000-C	 	    Di (NIL)		002	Wild	F3 V M2 V	-1	(E00-4)	[0000]	B	7	-56
Ilel	M	0331	Ambolphudrius	X510000-C	 	    Di 		003	Wild	F3 V	-1	(900-2)	[0000]	B	12	-18
Ilel	A	0401	Eggii	X300000-E	 	   Di Va 		005	Wild	F2 V M7 V	-1	(G00-1)	[0000]	B	12	-16
Ilel	A	0402	Grannoth	D671000-5	 	   Di He 		010	Wild	M1 V M2 V	-3	(700+4)	[0000]	B	9	28
Ilel	A	0403	Ansha	X55269A-0	 	   Ni Po (NIL)		405	Wild	F8 V	-3	(C50+1)	[A373]	B	9	60
Ilel	A	0406	Kkikla	E693000-5	 	    Di (NIL)		003	Wild	G2 V	-3	(C00-2)	[0000]	B	6	-24
