Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Ilel	A	0101	Harding	B100324-E	 	     Lo Va 		120	ImDi	K4 V	1	(721-1)	[143C]	B	8	-14
1201	Ilel	A	0101	Harding	X100000-E	 	     Di Va 		020	ImDi	K4 V	-1	(700-4)	[0000]	B	8	-28
1323	Ilel	A	0101	Harding	X100000-E	 	     Di Va 		020	Wild	K4 V	-1	(700+3)	[0000]	B	8	21
1508	Ilel	A	0101	Harding	X100000-E	 	     Di Va 		020	Wild	K4 V	-1	(700+2)	[0000]	B	8	14
1900	Ilel	A	0101	Harding	X100000-E	 	     Di Va 		020	Wild	K4 V	-1	(700+2)	[0000]	B	8	14

1105	Ilel	A	0102	Lorne	B546849-9	 	      Pa Pi Ph (NIL)		600	ImDi	F5 V M5 V	1	(A7A+2)	[996A]	BcDe	9	1400
1201	Ilel	A	0102	Lorne	D5468A5-6	 	      Pa Pi Ph (NIL)		700	ImDi	F5 V M5 V	-2	(A71-4)	[7627]	BcDe	9	-280
1323	Ilel	A	0102	Lorne	D546896-3	 	      Pa Pi Ph (NIL)		300	Wild	F5 V M5 V	-2	(A77-4)	[3643]	BcDe	9	-1960
1508	Ilel	A	0102	Lorne	D5468AB-4	 	      Pa Pi Ph (NIL)		200	Wild	F5 V M5 V	-2	(A74-2)	[A652]	BcDe	9	-560
1900	Ilel	A	0102	Lorne	D54689A-5	 	      Pa Pi Ph (NIL)		100	Wild	F5 V M5 V	-2	(A74-1)	[9634]	BcDe	9	-280

1105	Ilel	A	0108	Eufemia	B599699-B	 	     Ni 		312	ImDi	M2 V	1	(B55+2)	[776C]	B	14	550
1201	Ilel	A	0108	Eufemia	X59966B-6	 	     Ni 	B	312	ImDi	M2 V	-3	(853+5)	[7339]	B	14	600
1323	Ilel	A	0108	Eufemia	X599000-6	 	     Di 		012	Wild	M2 V	-3	(800-3)	[0000]	B	14	-24
1508	Ilel	A	0108	Eufemia	X599000-6	 	     Di 		012	Wild	M2 V	-3	(800-4)	[0000]	B	14	-32
1900	Ilel	A	0108	Eufemia	X599000-6	 	     Di 		012	Wild	M2 V	-3	(800+2)	[0000]	B	14	16

1105	Ilel	A	0110	Randall	B541533-B	 	     He Ni Po 		414	ImDi	F4 V	1	(C45-2)	[2628]	B	13	-480
1201	Ilel	A	0110	Randall	X541568-3	 	     He Ni Po 		214	ImDi	F4 V	-3	(741-4)	[8222]	B	13	-112
1323	Ilel	A	0110	Randall	X541000-3	 	     Di He Po 		014	Wild	F4 V	-3	(700-2)	[0000]	B	13	-14
1508	Ilel	A	0110	Randall	X541000-3	 	     Di He Po 		014	Wild	F4 V	-3	(700-3)	[0000]	B	13	-21
1900	Ilel	A	0110	Randall	X541000-3	 	     Di He Po 		014	Wild	F4 V	-3	(700+1)	[0000]	B	13	7

1105	Ilel	E	0113	McCoy	E42347B-7	 	     Ni Po 		901	ImDi	M2 V M3 V	-3	(631-1)	[6179]	B	11	-18
1201	Ilel	E	0113	McCoy	X423000-7	 	     Di Po 		001	ImDi	M2 V M3 V	-3	(600+1)	[0000]	B	11	6
1323	Ilel	E	0113	McCoy	X423000-7	 	     Di Po 		001	Wild	M2 V M3 V	-3	(600+2)	[0000]	B	11	12
1508	Ilel	E	0113	McCoy	X423000-7	 	     Di Po 		001	Wild	M2 V M3 V	-3	(600+4)	[0000]	B	11	24
1900	Ilel	E	0113	McCoy	X423000-7	 	     Di Po 		001	Wild	M2 V M3 V	-3	(600+1)	[0000]	B	11	6

1105	Ilel	E	0116	Fearghal	B430437-C	 	     De Ni Po 		902	ImDi	M2 V	1	(834+1)	[455C]	B	11	96
1201	Ilel	E	0116	Fearghal	X430000-C	 	     De Di Po 		002	ImDi	M2 V	-1	(800+1)	[0000]	B	11	8
1323	Ilel	E	0116	Fearghal	X430000-C	 	     De Di Po 		002	Wild	M2 V	-1	(800+1)	[0000]	B	11	8
1508	Ilel	E	0116	Fearghal	X430000-C	 	     De Di Po 		002	Wild	M2 V	-1	(800-1)	[0000]	B	11	-8
1900	Ilel	E	0116	Fearghal	X430000-C	 	     De Di Po 		002	Wild	M2 V	-1	(800+1)	[0000]	B	11	8

1105	Ilel	I	0127	Tyr	A565300-E	 	     Lo 		413	ImDi	M2 V	1	(921-3)	[1419]	B	7	-54
1201	Ilel	I	0127	Tyr	X56517A-5	 	     Lo 		713	ImDi	M2 V	-3	(500-1)	[1111]	B	7	-5
1323	Ilel	I	0127	Tyr	X565000-5	 	     Di 		013	Wild	M2 V	-3	(500+3)	[0000]	B	7	15
1508	Ilel	I	0127	Tyr	X565000-5	 	     Di 		013	Wild	M2 V	-3	(500-1)	[0000]	B	7	-5
1900	Ilel	I	0127	Tyr	X565000-5	 	     Di 		013	Wild	M2 V	-3	(500+1)	[0000]	B	7	5

1105	Ilel	I	0128	Welles	B893249-B	NS	     Lo 		603	ImDi	F5 V	2	(712+3)	[346C]	B	12	42
1201	Ilel	I	0128	Welles	X893100-0	 	     Lo 		903	ImDi	F5 V	-3	(400-4)	[3152]	B	12	-16
1323	Ilel	I	0128	Welles	X893000-0	 	     Ba 		003	Wild	F5 V	-3	(400+4)	[0000]	B	12	16
1508	Ilel	I	0128	Welles	X893000-0	 	     Ba 		003	Wild	F5 V	-3	(400-4)	[0000]	B	12	-16
1900	Ilel	I	0128	Welles	X893000-0	 	     Ba 		003	Wild	F5 V	-3	(400+3)	[0000]	B	12	12

1105	Ilel	M	0132	Antwerp	D994411-7	S	     Ni Pa 		410	ImDi	G6 V	-3	(631-5)	[1113]	Bc	13	-90
1201	Ilel	M	0132	Antwerp	X994420-4	 	     Ni Pa 	B	310	ImDi	G6 V	-3	(630-2)	[3185]	Bc	13	-36
