Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Khar	A	0103	Dzoghuerrvae	D628000-5	 	Di 		003	Wild	M0 V	{ -3 }	(800-2)	[0000]	B	0	-16
Khar	A	0104	Naaellina	E673000-6	 	Di 		004	Wild	K4 V	{ -3 }	(A00-1)	[0000]	B	0	-10
Khar	A	0105	Llaekaello	C867513-5	 	Ag Pr Ga Ni 		313	Wild	F1 V M5 D	{ -1 }	(945+2)	[1445]	BcC	0	360
Khar	A	0110	Dzuekhae	A20168B-B	 	Ic Va Na Ni 		300	Wild	F0 III M7 V	{ 1 }	(655+4)	[475B]	B	0	600
Khar	E	0112	Dhuekaga	B689776-5	 	Ri 		304	Wild	F1 V	{ 1 }	(666-5)	[7843]	BC	0	-1080
Khar	E	0115	Eog	C451576-3	 	Ni Po 		310	Wild	F5 V M3 D	{ -2 }	(342-1)	[5331]	B	0	-24
Khar	E	0117	Tsesogtaegh	B561879-5	 	Ph Ri 		413	Wild	F0 V	{ 1 }	(574-4)	[6921]	BCe	0	-560
Khar	E	0119	Rragvudhue	E89A000-9	 	Di Wa 		005	Wild	F6 V	{ -2 }	(B00+1)	[0000]	B	0	11
Khar	I	0128	Rravoesdhung	E98A99C-7	 	Hi Pr Wa 		106	Wild	M2 V M7 D	{ -1 }	(C86+2)	[485B]	BcE	0	1152
Khar	I	0129	Kurrtsas	E8B4000-2	 	Di Fl 		002	Wild	M1 V	{ -3 }	(900-5)	[0000]	B	0	-45
Khar	M	0131	Aekok	E658000-A	 	Di 		004	Wild	F7 V	{ -1 }	(D00+3)	[0000]	B	0	39
Khar	M	0137	Vitsikhal	D974000-5	 	Di 		000	Wild	G3 V	{ -3 }	(700+3)	[0000]	B	0	21
Khar	M	0138	Gueghu	C220676-6	 	De Na Po Ni 		301	Wild	G2 V	{ -2 }	(551+1)	[3426]	B	0	25
Khar	M	0139	Aenaesnuzarr	D569000-7	 	Di 		022	Wild	F1 V M5 D	{ -3 }	(700+2)	[0000]	B	0	14
Khar	A	0201	Giaeknoghoek	D547000-6	 	Di 		003	Wild	F0 V M6 D	{ -3 }	(700-1)	[0000]	B	0	-7
Khar	A	0203	Zaeuerrgh	E447000-1	 	Di 		014	Wild	F4 V M5 D	{ -3 }	(300-2)	[0000]	B	0	-6
Khar	E	0212	Othaevoza	D555000-1	 	Di 		005	Wild	F2 V M8 D	{ -3 }	(800-3)	[0000]	B	0	-24
Khar	E	0216	Gouengon	E6A3000-C	 	Di Fl 		000	Wild	M6 V	{ -1 }	(700+1)	[0000]	B	0	7
Khar	I	0223	Tsikataek	X684000-4	 	Di 		003	Wild	F9 V M3 D	{ -3 }	(200+2)	[0000]	B	0	4
Khar	M	0231	Zadzikon	D300000-6	 	Di Va 		022	Wild	F9 V	{ -3 }	(500+2)	[0000]	B	0	10
Khar	A	0303	Dhoukfur	C685758-4	 	Ag Ri Ga 		305	Wild	F6 V	{ 1 }	(A67+3)	[B841]	BC	0	1260
Khar	A	0304	Kiunaez	C10098A-9	 	Hi Na In Va 		300	Wild	K4 V M2 D	{ 2 }	(B8B+4)	[9B25]	BE	0	3872
Khar	A	0306	Foerill	C000779-9	 	As Va Na Pi 		406	Wild	F5 V M7 D	{ 0 }	(D66+1)	[376D]	BD	0	468
