Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Khar	A	0103	Dzoghuerrvae	C628343-5	 	Lo 		303	VA	M0 V	{ 0 }	(820-1)	[]	B	0	0
1116	Khar	A	0103	Dzoghuerrvae	D628000-5	 	Di 		003	Wild	M0 V	{ -3 }	(800+2)	[0000]	B	0	16
1508	Khar	A	0103	Dzoghuerrvae	D628000-5	 	Di 		003	Wild	M0 V	{ -3 }	(800-2)	[0000]	B	0	-16
1201	Khar	A	0103	Dzoghuerrvae	X628000-5	 	Di 		003	Wild	M0 V	{ -3 }	(800+1)	[0000]	B	0	8
1900	Khar	A	0103	Dzoghuerrvae	A628411-9	 	Ni 		903	NaVa	M0 V	{ 0 }	(B34+3)	[1435]	B	0	396

1105	Khar	A	0104	Naaellina	C67347B-6	 	Ni 		504	VA	K4 V	{ 0 }	(A31-2)	[]	B	0	0
1116	Khar	A	0104	Naaellina	E673000-6	 	Di 		004	Wild	K4 V	{ -3 }	(A00-2)	[0000]	B	0	-20
1508	Khar	A	0104	Naaellina	E673000-6	 	Di 		004	Wild	K4 V	{ -3 }	(A00-1)	[0000]	B	0	-10
1201	Khar	A	0104	Naaellina	X673000-6	 	Di 		004	Wild	K4 V	{ -3 }	(A00+1)	[0000]	B	0	10
1900	Khar	A	0104	Naaellina	B673312-8	 	Lo 		404	NaVa	K4 V	{ -1 }	(E20-1)	[425A]	B	0	-28

1105	Khar	A	0105	Llaekaello	C867577-6	 	Ag Pr Ga Ni 		513	VA	F1 V M5 D	{ 0 }	(945+2)	[]	BcC	0	0
1116	Khar	A	0105	Llaekaello	C867577-4	 	Ag Pr Ga Ni 		213	Wild	F1 V M5 D	{ -1 }	(945+3)	[4483]	BcC	0	540
1508	Khar	A	0105	Llaekaello	C867513-5	 	Ag Pr Ga Ni 		313	Wild	F1 V M5 D	{ -1 }	(945+2)	[1445]	BcC	0	360
1201	Khar	A	0105	Llaekaello	E867555-4	 	Ag Pr Ga Ni 	B	213	Wild	F1 V M5 D	{ -2 }	(943+1)	[1346]	BcC	0	108
1900	Khar	A	0105	Llaekaello	C867201-7	 	Ga Lo 	B	313	NaVa	F1 V M5 D	{ -2 }	(910+2)	[6196]	B	0	18

1105	Khar	A	0110	Dzuekhae	A201679-C	 	Ic Va Na Ni 		400	VA	F0 III M7 V	{ 0 }	(653+1)	[]	B	0	0
1116	Khar	A	0110	Dzuekhae	A20168A-A	 	Ic Va Na Ni 		200	Wild	F0 III M7 V	{ 1 }	(657-1)	[274B]	B	0	-210
1508	Khar	A	0110	Dzuekhae	A20168B-B	 	Ic Va Na Ni 		300	Wild	F0 III M7 V	{ 1 }	(655+4)	[475B]	B	0	600
1201	Khar	A	0110	Dzuekhae	X201000-B	 	Di Ic Va Na 		000	Wild	F0 III M7 V	{ -1 }	(600+1)	[0000]	B	0	6
1900	Khar	A	0110	Dzuekhae	D201000-B	 	Di Ic Va 		000	NaVa	F0 III M7 V	{ -1 }	(600+2)	[0000]	B	0	12

1105	Khar	E	0112	Dhuekaga	B6897AD-6	 	Ri 		604	VA	F1 V	{ 0 }	(66B+1)	[]	BC	0	0
1116	Khar	E	0112	Dhuekaga	B689775-4	 	Ri 		304	Wild	F1 V	{ 1 }	(66B+1)	[A868]	BC	0	396
1508	Khar	E	0112	Dhuekaga	B689776-5	 	Ri 		304	Wild	F1 V	{ 1 }	(666-5)	[7843]	BC	0	-1080
1201	Khar	E	0112	Dhuekaga	D689775-4	 	Ri 	B	404	Wild	F1 V	{ -1 }	(668+2)	[9645]	BC	0	576
1900	Khar	E	0112	Dhuekaga	C689311-5	 	Lo 	B	304	NaVa	F1 V	{ -2 }	(620-1)	[5157]	B	0	-12

1105	Khar	E	0115	Eog	C45157B-4	 	Ni Po 		410	VA	F5 V M3 D	{ 0 }	(341+1)	[]	B	0	0
1116	Khar	E	0115	Eog	C451545-2	 	Ni Po 		210	Wild	F5 V M3 D	{ -2 }	(341+2)	[4372]	B	0	24
1508	Khar	E	0115	Eog	C451576-3	 	Ni Po 		310	Wild	F5 V M3 D	{ -2 }	(342-1)	[5331]	B	0	-24
1201	Khar	E	0115	Eog	E451513-2	 	Ni Po 		210	Wild	F5 V M3 D	{ -3 }	(343-3)	[2252]	B	0	-108
1900	Khar	E	0115	Eog	C451414-4	 	Ni Po 		710	NaVa	F5 V M3 D	{ -2 }	(333-1)	[4232]	B	0	-27

1105	Khar	E	0117	Tsesogtaegh	B5619AA-8	 	Hi Pr 		113	VA	F0 V	{ 0 }	(989+1)	[]	BcE	0	0
1116	Khar	E	0117	Tsesogtaegh	B561831-4	 	Ph Ri 		513	Wild	F0 V	{ 1 }	(577+1)	[5941]	BCe	0	245
1508	Khar	E	0117	Tsesogtaegh	B561879-5	 	Ph Ri 		413	Wild	F0 V	{ 1 }	(574-4)	[6921]	BCe	0	-560
1201	Khar	E	0117	Tsesogtaegh	D5618A9-2	 	Ph Ri 	B	513	Wild	F0 V	{ -1 }	(579+4)	[D782]	BCe	0	1260
1900	Khar	E	0117	Tsesogtaegh	C561777-4	 	Ri 	B	613	NaVa	F0 V	{ 0 }	(569+1)	[8741]	BC	0	270

1105	Khar	E	0119	Rragvudhue	C89A232-9	 	Lo Wa 		405	VA	F6 V	{ 0 }	(B10-2)	[]	B	0	0
1116	Khar	E	0119	Rragvudhue	E89A000-9	 	Di Wa 		005	Wild	F6 V	{ -2 }	(B00+1)	[0000]	B	0	11
1508	Khar	E	0119	Rragvudhue	E89A000-9	 	Di Wa 		005	Wild	F6 V	{ -2 }	(B00+1)	[0000]	B	0	11
1201	Khar	E	0119	Rragvudhue	X89A000-9	 	Di Wa 		005	Wild	F6 V	{ -2 }	(B00-1)	[0000]	B	0	-11
1900	Khar	E	0119	Rragvudhue	E89A889-6	 	Ph Pi Wa 		905	NaVa	F6 V	{ -2 }	(67A+5)	[A64A]	BDe	0	2100

1105	Khar	I	0128	Rravoesdhung	E98A985-8	 	Hi Pr Wa 		206	VA	M2 V M7 D	{ 0 }	(J86+2)	[]	BcE	0	0
1116	Khar	I	0128	Rravoesdhung	E98A99A-6	 	Hi Pr Wa 		106	Wild	M2 V M7 D	{ -1 }	(C86+2)	[A859]	BcE	0	1152
1508	Khar	I	0128	Rravoesdhung	E98A99C-7	 	Hi Pr Wa 		106	Wild	M2 V M7 D	{ -1 }	(C86+2)	[485B]	BcE	0	1152
1201	Khar	I	0128	Rravoesdhung	X98A996-7	 	Hi Pr Wa 	B	206	Wild	M2 V M7 D	{ -1 }	(C8B+1)	[7867]	BcE	0	1056
1900	Khar	I	0128	Rravoesdhung	C98A546-9	 	Ni Pr Wa 	B	706	NaVa	M2 V M7 D	{ -1 }	(J40+1)	[3444]	Bc	0	72

1105	Khar	I	0129	Kurrtsas	E8B4456-2	 	Fl Ni Px 		902	VA	M1 V	{ 0 }	(934+1)	[]	B	0	0
1116	Khar	I	0129	Kurrtsas	E8B4000-2	 	Di Fl Px 		002	Wild	M1 V	{ -3 }	(900-5)	[0000]	B	0	-45
