Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Knoe	A	0103	Jelniekl	C5559DJ-B	 	Hi 		412	Wild	F7 V	{ 2 }	(A8A+1)	[9B8B]	BE	12	800
Knoe	A	0106	Ovlshablde	E566000-5	 	Di O:Knoe-0403 Tp 		003	Wild	F8 V	{ -3 }	(800+1)	[0000]	B	11	8
Knoe	A	0108	Olzitranjonshiaplsti	C65A515-9	 	Ni O:Knoe-0310 Wa 		303	Wild	F9 V D	{ -1 }	(E44-1)	[5444]	B	7	-224
Knoe	E	0111	Obliaaklbel	D558579-5	 	Ag Ni 		423	Wild	F4 V	{ -2 }	(740+3)	[734A]	BC	12	84
Knoe	E	0113	Iaievriafl	E584000-0	 	Ba 		002	Wild	F7 V D	{ -3 }	(700-5)	[0000]	B	9	-35
Knoe	E	0114	Flizhedchtech	D000000-A	 	As Va Di 		001	Wild	F7 V D	{ -1 }	(900+5)	[0000]	B	9	45
Knoe	E	0116	Rfchrnshieaklziazh	D5A5000-8	 	Di Fl 		000	Wild	M0 V	{ -3 }	(600-2)	[0000]	B	9	-12
Knoe	E	0118	Zdianchklav	X8B7000-9	 	Di Fl 		014	Wild	G5 V D	{ -2 }	(B00+1)	[0000]	B	12	11
Knoe	I	0124	Iabrzotlstepl	X300000-9	 	Di Va 		002	Wild	K0 V	{ -2 }	(D00+3)	[0000]	B	7	39
Knoe	I	0125	Erjdanzhqledl	X428000-8	 	Di 		001	Wild	K0 V	{ -3 }	(900+1)	[0000]	B	7	9
Knoe	I	0128	Ikofl	X413000-8	 	Co Di Ic 		002	Wild	M2 V	{ -3 }	(600-4)	[0000]	B	10	-24
Knoe	I	0129	Intdepribradr	X728000-7	 	Di 		003	Wild	M8 V D	{ -3 }	(400-2)	[0000]	B	7	-8
Knoe	I	0130	Pladchozhdafr	X4516A6-4	 	Ni Po 		101	Wild	M8 V D	{ -3 }	(A50+1)	[6321]	B	9	50
Knoe	M	0131	Tiavrieqtliebr	X120000-6	 	De Di Po 		001	Wild	M8 V D	{ -3 }	(800+4)	[0000]	B	11	32
Knoe	M	0135	Ebljodla	X302000-D	 	Co Di Ic Va 		003	Wild	G3 V D	{ -1 }	(700+1)	[0000]	B	9	7
Knoe	A	0201	Sablzhdafrne	B31078D-7	 	Na Pi 		402	Wild	M4 V	{ 0 }	(364-1)	[3793]	BD	10	-72
Knoe	A	0203	Chrnzhponshchti	D675000-3	 	Di Tp 		001	Wild	M4 V	{ -3 }	(B00-1)	[0000]	B	11	-11
Knoe	A	0207	Enzhra	B4109DF-A	 	Hi Na In 		224	Wild	F8 V D	{ 4 }	(G8D+3)	[AD68]	BEf	17	4992
Knoe	E	0213	Ietledevlshtia	A34689B-B	 	Pa Pi Ph 		523	Wild	F6 V	{ 2 }	(B7B+5)	[9A8B]	BcDe	13	4235
Knoe	E	0220	Chtakrchieshrienshla	D656000-5	 	Di Ga 		012	Wild	F0 V D	{ -3 }	(900+4)	[0000]	B	15	36
Knoe	I	0225	Baotchij	X78A000-7	 	Di Wa 		030	Wild	F2 V	{ -3 }	(B00+3)	[0000]	B	10	33
