Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Knoe	A	0103	Jelniekl	C555977-A	 	Hi 		712	ZhSh	F7 V	{ 2 }	(A8D+3)	[7B6B]	BE	12	0
1157	Knoe	A	0103	Jelniekl	C5559CF-8	 	Hi 		312	Wild	F7 V	{ 0 }	(A87+1)	[6929]	BE	12	560
1508	Knoe	A	0103	Jelniekl	C5559DJ-B	 	Hi 		412	Wild	F7 V	{ 2 }	(A8A+1)	[9B8B]	BE	12	800
1201	Knoe	A	0103	Jelniekl	E555147-6	 	Lo 		812	Wild	F7 V	{ -3 }	(700+2)	[4148]	B	12	14
1900	Knoe	A	0103	Jelniekl	C555430-9	 	Ni Pa 		412	NaVa	F7 V	{ -1 }	(A30+1)	[1375]	Bc	12	30

1105	Knoe	A	0106	Ovlshablde	B566663-5	 	Ag Ri Cy Ni O:Knoe-0403 Tp 	U	103	ZhSh	F8 V	{ 1 }	(857-2)	[2767]	BC	11	0
1157	Knoe	A	0106	Ovlshablde	E566000-5	 	Cy Di O:Knoe-0403 Tp 		003	Wild	F8 V	{ -3 }	(800-3)	[0000]	B	11	-24
1508	Knoe	A	0106	Ovlshablde	E566000-5	 	Di O:Knoe-0403 Tp 		003	Wild	F8 V	{ -3 }	(800+1)	[0000]	B	11	8
1201	Knoe	A	0106	Ovlshablde	X566000-5	 	Di O:Knoe-0403 Tp 		003	Wild	F8 V	{ -3 }	(800-4)	[0000]	B	11	-32
1900	Knoe	A	0106	Ovlshablde	C566252-5	 	Lo O:Knoe-0403 Tp 		203	NaVa	F8 V	{ -2 }	(810-3)	[6123]	B	11	-24

1105	Knoe	A	0108	Olzitranjonshiaplsti	C65A565-A	 	Ni O:Knoe-0310 Wa 		903	ZhSh	F9 V D	{ 1 }	(E46+4)	[962D]	B	7	0
1157	Knoe	A	0108	Olzitranjonshiaplsti	C65A589-8	 	Ni O:Knoe-0310 Wa 		403	Wild	F9 V D	{ -2 }	(E42+1)	[8354]	B	7	112
1508	Knoe	A	0108	Olzitranjonshiaplsti	C65A515-9	 	Ni O:Knoe-0310 Wa 		303	Wild	F9 V D	{ -1 }	(E44-1)	[5444]	B	7	-224
1201	Knoe	A	0108	Olzitranjonshiaplsti	E65A587-5	 	Ni O:Knoe-0310 Wa 	B	203	Wild	F9 V D	{ -3 }	(B40+1)	[7253]	B	7	44
1900	Knoe	A	0108	Olzitranjonshiaplsti	C65A423-A	 	Ni O:Knoe-0310 Wa 	B	603	NaVa	F9 V D	{ 0 }	(E36-1)	[2469]	B	7	-252

1105	Knoe	E	0111	Obliaaklbel	D558669-5	 	Ag Ni 		723	ZhSh	F4 V	{ -2 }	(753+0)	[7446]	BC	12	0
1157	Knoe	E	0111	Obliaaklbel	D558550-5	 	Ag Ni 		323	Wild	F4 V	{ -2 }	(740-3)	[4314]	BC	12	-84
1508	Knoe	E	0111	Obliaaklbel	D558579-5	 	Ag Ni 		423	Wild	F4 V	{ -2 }	(740+3)	[734A]	BC	12	84
1201	Knoe	E	0111	Obliaaklbel	X558546-2	 	Ag Ni 		323	Wild	F4 V	{ -2 }	(742-1)	[7311]	BC	12	-56
1900	Knoe	E	0111	Obliaaklbel	B558A74-D	 	Hi 		923	NaVa	F4 V	{ 3 }	(C99-4)	[9D8E]	BE	12	-3888

1105	Knoe	E	0113	Iaievriafl	A584000-0	 	Ba 		502	ZhSh	F7 V D	{ -1 }	(700-5)	[0000]	B	9	0
1157	Knoe	E	0113	Iaievriafl	E584000-0	 	Ba 		002	Wild	F7 V D	{ -3 }	(700+1)	[0000]	B	9	7
1508	Knoe	E	0113	Iaievriafl	E584000-0	 	Ba 		002	Wild	F7 V D	{ -3 }	(700-5)	[0000]	B	9	-35
