Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ksin	A	0102		X534000-0	 	Ba 		002	Wild	M5 V	{ -3 }	(800-2)	[0000]	B	0	-16
Ksin	A	0105		X363000-0	 	Ba 		011	Wild	F2 V M7 D	{ -3 }	(500-1)	[0000]	B	0	-5
Ksin	A	0106		X231000-0	 	Ba Po 		001	Wild	M7 V	{ -3 }	(900-4)	[0000]	B	0	-36
Ksin	A	0109	Kaeuerzgueg	C433679-2	 	Na Px Po Ni 		307	Wild	M8 V M2 D	{ -2 }	(651-2)	[8444]	B	0	-60
Ksin	E	0111	Dzaerakhsaeg	D310000-7	 	Di Na 		001	Wild	M4 V M0 D	{ -3 }	(200+1)	[0000]	B	0	2
Ksin	E	0112	Vuesagouvull	D463000-4	 	Di 		025	Wild	K5 V M7 D	{ -3 }	(800-1)	[0000]	B	0	-8
Ksin	E	0115	Okuvoe	E8A2000-7	 	Di Fl He 		002	Wild	K0 V	{ -3 }	(500+3)	[0000]	B	0	15
Ksin	E	0116	Sughue	E559000-B	 	Di 		003	Wild	K4 V	{ -1 }	(900+1)	[0000]	B	0	9
Ksin	E	0118	Ruezerrfugar	C000579-6	 	As Va Ni 		102	Wild	M2 V	{ -2 }	(644+5)	[5356]	B	0	480
Ksin	I	0121	Igarangan	D0009CC-5	 	As Va Hi Na In 		402	Wild	F5 V M3 D	{ 0 }	(783+2)	[8924]	BE	0	336
Ksin	I	0122	Roksue	E435411-5	 	Ni 		400	Wild	M8 V	{ -3 }	(332-2)	[9164]	B	0	-36
Ksin	I	0124	Gvueksoudzu	E100000-D	 	Di Va 		012	Wild	G7 III M0 V	{ -1 }	(900+4)	[0000]	B	0	36
Ksin	I	0125	Vakhuegh	E200000-4	 	Di Va 		000	Wild	K1 V	{ -3 }	(700+3)	[0000]	B	0	21
Ksin	I	0127	Daeguea	C436675-1	 	Ni 		114	Wild	F3 V M3 D	{ -2 }	(852-1)	[9433]	B	0	-80
Ksin	I	0130	Aeoengghuk	E66A440-0	 	Ni Wa 		212	Wild	F9 V	{ -3 }	(531-1)	[3145]	B	0	-15
Ksin	M	0132	Zoelkhazats	E429000-B	 	Di 		001	Wild	M7 V	{ -1 }	(500+2)	[0000]	B	0	10
Ksin	M	0133	Ullonzong	E212000-E	 	Di Ic 		004	Wild	K2 V M5 D	{ -1 }	(B00-2)	[0000]	B	0	-22
Ksin	M	0135	Oursonoag	E334000-B	 	Di Px 		002	Wild	M1 V M1 D	{ -1 }	(900+1)	[0000]	B	0	9
Ksin	M	0137	Segrarruefo	C506630-2	 	Ic Va Ni 		202	Wild	M8 V	{ -2 }	(450-1)	[5457]	B	0	-20
Ksin	M	0139	Tsaenzuellog	E0008BB-5	 	As Va Na Pi Ph 		214	Wild	F1 D	{ -2 }	(576-4)	[8648]	BDe	0	-840
Ksin	A	0208	Khaello	E672000-7	 	Di He 		015	Wild	G6 V	{ -3 }	(600-1)	[0000]	B	0	-6
Ksin	A	0209	Enouvarro	C484655-5	 	Ag Ri Ni 		304	Wild	F9 V M1 D	{ 0 }	(A52+2)	[7664]	BC	0	200
Ksin	A	0210	Vesueksaon	D427000-9	 	Di Pi 		003	Wild	M4 V	{ -2 }	(D00+1)	[0000]	BD	0	13
Ksin	E	0211	Kfuegvakue	D482000-B	 	Di 		000	Wild	G6 V	{ -1 }	(B00-1)	[0000]	B	0	-11
Ksin	E	0218	Sighangarorr	C669557-5	 	Ni Pr 		104	Wild	F9 V M8 D	{ -2 }	(B40-4)	[A361]	Bc	0	-176
Ksin	E	0219	Ughkuesdorr	A464899-4	 	Pa Ri Ph 		305	Wild	K1 V	{ 1 }	(B79+5)	[A943]	BcCe	0	3465
Ksin	E	0220	Knougzaeue	D464000-9	 	Di 		026	Wild	F8 V M6 D	{ -2 }	(B00-3)	[0000]	B	0	-33
Ksin	I	0223	Ueoegvaghung	X736000-8	 	Di 		000	Wild	F0 V	{ -3 }	(900+1)	[0000]	B	0	9
Ksin	I	0225	Ataetu	D200000-D	 	Di Va 		001	Wild	M5 V	{ -1 }	(800+1)	[0000]	B	0	8
Ksin	I	0227	Ghuergnogzu	X402000-7	 	Di Ic Va 		025	Wild	F1 V M2 D	{ -3 }	(600-1)	[0000]	B	0	-6
