Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Ksin	A	0102		X534000-0	 	Ba 		002	--	M5 V	{ 0 }	(800+2)	[]	B	0	0
1116	Ksin	A	0102		X534000-0	 	Ba 		002	Wild	M5 V	{ -3 }	(800-2)	[0000]	B	0	-16
1508	Ksin	A	0102		X534000-0	 	Ba 		002	Wild	M5 V	{ -3 }	(800+3)	[0000]	B	0	24
1201	Ksin	A	0102		X534000-0	 	Ba 		002	Wild	M5 V	{ -3 }	(800-1)	[0000]	B	0	-8
1900	Ksin	A	0102		B534796-5	 			502	NaVa	M5 V	{ 0 }	(866-4)	[6765]	B	0	-1152

1105	Ksin	A	0105		X363000-0	 	Ba 		011	--	F2 V M7 D	{ 0 }	(500-3)	[]	B	0	0
1116	Ksin	A	0105		X363000-0	 	Ba 		011	Wild	F2 V M7 D	{ -3 }	(500-1)	[0000]	B	0	-5
1508	Ksin	A	0105		X363000-0	 	Ba 		011	Wild	F2 V M7 D	{ -3 }	(500-1)	[0000]	B	0	-5
1201	Ksin	A	0105		X363000-0	 	Ba 		011	Wild	F2 V M7 D	{ -3 }	(500+1)	[0000]	B	0	5
1900	Ksin	A	0105		C363246-4	 	Lo 		311	NaVa	F2 V M7 D	{ -2 }	(510+1)	[6192]	B	0	5

1105	Ksin	A	0106		X231000-0	 	Ba Po 		001	--	M7 V	{ 0 }	(900+1)	[]	B	0	0
1116	Ksin	A	0106		X231000-0	 	Ba Po 		001	Wild	M7 V	{ -3 }	(900-4)	[0000]	B	0	-36
1508	Ksin	A	0106		X231000-0	 	Ba Po 		001	Wild	M7 V	{ -3 }	(900+1)	[0000]	B	0	9
1201	Ksin	A	0106		X231000-0	 	Ba Po 		001	Wild	M7 V	{ -3 }	(900+1)	[0000]	B	0	9
1900	Ksin	A	0106		B231311-7	 	Lo Po 		101	NaVa	M7 V	{ -1 }	(920+1)	[2259]	B	0	18

1105	Ksin	A	0109	Kaeuerzgueg	C433666-4	 	Na Px Po Ni 		707	Va	M8 V M2 D	{ 0 }	(654-1)	[]	B	0	0
1116	Ksin	A	0109	Kaeuerzgueg	C433679-2	 	Na Px Po Ni 		307	Wild	M8 V M2 D	{ -2 }	(651-2)	[8444]	B	0	-60
1508	Ksin	A	0109	Kaeuerzgueg	C433611-3	 	Na Po Ni 		207	Wild	M8 V M2 D	{ -2 }	(653+3)	[9451]	B	0	270
1201	Ksin	A	0109	Kaeuerzgueg	X433000-3	 	Di Na Po 		007	Wild	M8 V M2 D	{ -3 }	(600-4)	[0000]	B	0	-24
1900	Ksin	A	0109	Kaeuerzgueg	B433656-7	 	Na Px Po Ni 		507	NaVa	M8 V M2 D	{ -1 }	(651-3)	[9514]	B	0	-90

1105	Ksin	E	0111	Dzaerakhsaeg	B310657-7	 	Na Ni 		301	Va	M4 V M0 D	{ 0 }	(255-3)	[]	B	0	0
1116	Ksin	E	0111	Dzaerakhsaeg	D310000-7	 	Di Na 		001	Wild	M4 V M0 D	{ -3 }	(200+1)	[0000]	B	0	2
1508	Ksin	E	0111	Dzaerakhsaeg	D310000-7	 	Di 		001	Wild	M4 V M0 D	{ -3 }	(200+1)	[0000]	B	0	2
1201	Ksin	E	0111	Dzaerakhsaeg	X310000-7	 	Di 		001	Wild	M4 V M0 D	{ -3 }	(200+1)	[0000]	B	0	2
1900	Ksin	E	0111	Dzaerakhsaeg	E310572-3	 	Ni 		501	NaVa	M4 V M0 D	{ -3 }	(242-1)	[6216]	B	0	-16

