Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ley	A	0101	Amikell	X545000-4	 	    Di (NIL)		004	Wild	K8 V	-3	(A00+3)	[0000]	B	9	30
Ley	A	0102	Kagemushi	X435000-6	 	    Di 		012	Wild	K1 V	-3	(800-5)	[0000]	B	15	-40
Ley	A	0107	Lousanne	E56499C-2	 	   Hi Pr (NIL)		300	Wild	M1 V M9 V	-1	(B88-1)	[A831]	BcE	5	-704
Ley	A	0108	Askiimir	X79A88D-2	 	  Ph Pi Wa 		514	Wild	K2 V M2 V	-2	(877-1)	[7661]	BDe	15	-392
Ley	A	0109	Khingir	E547676-3	 	   Ag Ni (NIL)		912	Wild	K7 V M7 V	-2	(953-2)	[5464]	BC	13	-270
Ley	E	0111	Kalu Marasiin	EA7A000-7	 	   Di Oc 		003	Wild	K0 V M9 V	-3	(700+1)	[0000]	B	12	7
Ley	E	0113	Naasirka Ual	C75467C-6	 	   Ag Ni 		200	Wild	K6 V	-1	(854+4)	[3586]	BC	11	640
Ley	E	0114	Ir	E686795-3	 	   Ag Ri Ga (NIL)		300	Wild	F9 V	0	(967+2)	[B741]	BC	13	756
Ley	E	0118	119-404	DA9A000-7	 	   Di Oc 		012	Wild	M1 V	-3	(500-2)	[0000]	B	9	-10
Ley	E	0119	Ikstraat	X544000-5	 	    Di (NIL)		000	Wild	K3 V M9 V	-3	(A00+2)	[0000]	B	5	20
Ley	I	0122	Sikiir	D566000-7	 	    Di 		010	Wild	G9 V	-3	(600-2)	[0000]	B	11	-12
Ley	I	0123	Urewr	X887AAB-1	 	   Ga Hi (NIL)		105	Wild	G2 V	-1	(C93+1)	[9973]	BE	8	324
Ley	I	0127	720-018	X8C3000-A	 	   Di Fl 		004	Wild	M2 V	-1	(B00+2)	[0000]	B	10	22
Ley	I	0129	Dirir	X8889DD-2	 	   Hi Pr (NIL)		100	Wild	F5 V	-1	(B82+2)	[9855]	BcE	7	352
Ley	M	0139	Secundus	X403000-D	 	   Di Ic Va 		002	Wild	M2 V M2 V	-1	(800-5)	[0000]	B	8	-40
Ley	A	0201	Econdora	X400000-E	 	   Di Va 		014	Wild	M2 V	-1	(D00-2)	[0000]	B	10	-26
Ley	A	0202	Garakhu	X533000-6	 	   Di Po 		003	Wild	M2 V	-3	(800-1)	[0000]	B	10	-8
Ley	A	0204	Agalamgur	X300000-B	 	  Cp Di Va 		013	Wild	M2 V M5 V	-1	(D00+1)	[0000]	BF	11	13
Ley	A	0205	Alsuy	X575000-4	 	    Di 		004	Wild	K6 V	-3	(700-3)	[0000]	B	7	-21
Ley	E	0213	Kaapelli	X000000-9	 	   As Va Di 		021	Wild	G0 IV M5 V	-2	(B00-1)	[0000]	B	8	-11
Ley	E	0214	Rurur	X560797-0	 	   De Ri (NIL)		103	Wild	G4 V	-1	(B65+1)	[8641]	BC	10	330
Ley	E	0217	Guill En	X573000-5	 	    Di 		005	Wild	G1 V	-3	(800+1)	[0000]	B	8	8
Ley	E	0219	Es Aal Insi	X573000-6	 	    Di 		004	Wild	G2 V	-3	(600-1)	[0000]	B	7	-6
Ley	I	0221	Silver	X424000-9	 	    Di 		003	Wild	M1 V	-2	(A00+1)	[0000]	B	9	10
Ley	I	0223	Umshush	X421000-8	 	  Di He Po 		013	Wild	K5 V M7 V	-3	(700+1)	[0000]	B	10	7
Ley	I	0224	Rising	X969000-4	 	    Di 		012	Wild	G2 V	-3	(700+1)	[0000]	B	8	7
Ley	I	0226	Llushtor	D774000-5	 	    Di 		012	Wild	G7 V	-3	(700+1)	[0000]	B	10	7
Ley	I	0227	Dir-Lackbaad	X577845-0	 	   Pa Pi Ph (NIL)		402	Wild	M0 V	-2	(A74-3)	[B614]	BcDe	9	-840
Ley	I	0228	Elizibeth	E540402-3	 	  De He Ni Po 		904	Wild	K8 V M7 V	-3	(730-3)	[5175]	B	10	-63
Ley	M	0231	L'Orient	E547000-8	T 	    Di 		013	Wild	F3 V	-3	(C00-4)	[0000]	B	7	-48
Ley	A	0302	Admidar	D570444-2	 	   De He Ni 		203	Wild	K1 V	-3	(632-5)	[7161]	B	11	-180
Ley	A	0310	Zagu	X100000-B	 	   Di Va 		011	Wild	M1 V	-1	(800-5)	[0000]	B	11	-40
Ley	E	0311	Gishuumka	X435000-9	 	    Di (NIL)		000	Wild	K3 V	-2	(900-1)	[0000]	B	13	-9
Ley	E	0313	Tile	X7C3000-B	 	   Di Fl (ENIL)		013	Wild	F9 V	-1	(F00-1)	[0000]	B	8	-15
Ley	E	0314	Tender Mercy	X547000-5	 	    Di 		000	Wild	K2 V M6 V	-3	(400+1)	[0000]	B	13	4
Ley	E	0315	Shore	X545000-7	 	    Di 		004	Wild	F5 V M4 V	-3	(800+1)	[0000]	B	12	8
Ley	E	0316	Luria	X522000-7	 	  Di He Po 		002	Wild	K7 V	-3	(600-2)	[0000]	B	7	-12
Ley	E	0318	Ithukar	D543756-6	 	    Pi Po (NIL)		504	Wild	G3 V	-2	(A63+2)	[8547]	BD	8	360
Ley	I	0322	Xenophone	E88A450-6	 	   Ni Wa 		404	Wild	M0 V	-3	(832-2)	[5197]	B	10	-96
Ley	I	0327	Kasuma	X000000-C	 	   As Va Di 		002	Wild	M2 V	-1	(B00+2)	[0000]	B	14	22
Ley	I	0328	Sharone	X432000-9	 	   Di Po 		022	Wild	K5 V K6 V M8 V	-2	(C00-3)	[0000]	B	11	-36
Ley	I	0330	Kaluud	X968787-0	 	    Ag Ri (NIL)		502	Wild	F4 V	0	(968-1)	[5711]	BC	14	-432
Ley	M	0333	Unlimited	D551000-7	 	   Di Po 		004	Wild	G4 V	-3	(600-1)	[0000]	B	12	-6
Ley	A	0401	Irnak-Kodur	X536000-B	 	    Di 		013	Wild	K0 V M2 V	-1	(A00+1)	[0000]	B	8	10
Ley	A	0402	Ku	X430000-C	 	  De Di Po (NIL)		012	Wild	M0 V	-1	(C00+3)	[0000]	B	6	36
