Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Ley	A	0101	Amikell	A545833-9	N 	   Pa Pi Ph (NIL)	A	404	ImDg	K8 V	1	(E7A-2)	[5926]	BcDe	9	-1960
1201	Ley	A	0101	Amikell	X545105-4	 	    Lo (NIL)		804	ImDg	K8 V	-3	(A00+2)	[2175]	B	9	20
1281	Ley	A	0101	Amikell	X545000-4	 	    Di (NIL)		004	Wild	K8 V	-3	(A00+1)	[0000]	B	9	10
1508	Ley	A	0101	Amikell	X545000-4	 	    Di (NIL)		004	Wild	K8 V	-3	(A00+3)	[0000]	B	9	30
1900	Ley	A	0101	Amikell	X545000-4	 	    Di (NIL)		004	Wild	K8 V	-3	(A00+1)	[0000]	B	9	10

1105	Ley	A	0102	Kagemushi	D435615-6	 	    Ni 		312	ImDg	K1 V	-3	(851-5)	[4334]	B	15	-200
1201	Ley	A	0102	Kagemushi	X435000-6	 	    Di 		012	ImDg	K1 V	-3	(800-2)	[0000]	B	15	-16
1281	Ley	A	0102	Kagemushi	X435000-6	 	    Di 		012	Wild	K1 V	-3	(800+2)	[0000]	B	15	16
1508	Ley	A	0102	Kagemushi	X435000-6	 	    Di 		012	Wild	K1 V	-3	(800-5)	[0000]	B	15	-40
1900	Ley	A	0102	Kagemushi	X435000-6	 	    Di 		012	Wild	K1 V	-3	(800+1)	[0000]	B	15	8

1105	Ley	A	0107	Lousanne	C564977-5	 	   Hi Pr (NIL)		700	ImDg	M1 V M9 V	0	(B88+1)	[9955]	BcE	5	704
1201	Ley	A	0107	Lousanne	E564987-5	 	   Hi Pr (NIL)	B	800	ImDg	M1 V M9 V	-1	(B89-4)	[7846]	BcE	5	-3168
1281	Ley	A	0107	Lousanne	E5649AC-1	 	   Hi Pr (NIL)		400	Wild	M1 V M9 V	-1	(B87+1)	[8881]	BcE	5	616
1508	Ley	A	0107	Lousanne	E56499C-2	 	   Hi Pr (NIL)		300	Wild	M1 V M9 V	-1	(B88-1)	[A831]	BcE	5	-704
1900	Ley	A	0107	Lousanne	E5649B6-3	 	   Hi Pr (NIL)		400	Wild	M1 V M9 V	-1	(B84+1)	[8851]	BcE	5	352

1105	Ley	A	0108	Askiimir	E79A642-7	 	   Ni Wa 		814	ImDg	K2 V M2 V	-3	(851-5)	[2313]	B	15	-200
1201	Ley	A	0108	Askiimir	X79A87C-7	 	  Ph Pi Wa 	B	914	ImDg	K2 V M2 V	-2	(871+2)	[9637]	BDe	15	112
1281	Ley	A	0108	Askiimir	X79A8BC-1	 	  Ph Pi Wa 		414	Wild	K2 V M2 V	-2	(876+1)	[B682]	BDe	15	336
1508	Ley	A	0108	Askiimir	X79A88D-2	 	  Ph Pi Wa 		514	Wild	K2 V M2 V	-2	(877-1)	[7661]	BDe	15	-392
1900	Ley	A	0108	Askiimir	X79A851-4	 	  Ph Pi Wa 		414	Wild	K2 V M2 V	-2	(873-1)	[7691]	BDe	15	-168

1105	Ley	A	0109	Khingir	C547731-6	S	    Ag Pi (NIL)		112	ImDg	K7 V M7 V	0	(967-4)	[3712]	BCD	13	-1512
1201	Ley	A	0109	Khingir	E54778D-6	 	    Ag Pi (NIL)	B	212	ImDg	K7 V M7 V	-1	(968+3)	[8645]	BCD	13	1296
1281	Ley	A	0109	Khingir	E547772-2	 	    Ag Pi (NIL)		112	Wild	K7 V M7 V	-1	(967+5)	[A641]	BCD	13	1890
1508	Ley	A	0109	Khingir	E547676-3	 	   Ag Ni (NIL)		912	Wild	K7 V M7 V	-2	(953-2)	[5464]	BC	13	-270
1900	Ley	A	0109	Khingir	E547720-4	 	    Ag Pi (NIL)		112	Wild	K7 V M7 V	-1	(966-1)	[9681]	BCD	13	-324

1105	Ley	E	0111	Kalu Marasiin	AA7A526-A	 	   Ni Oc 		303	ImDg	K0 V M9 V	1	(A45+1)	[4649]	B	12	200
1201	Ley	E	0111	Kalu Marasiin	CA7A475-7	 	   Ni Oc 	B	203	ImDg	K0 V M9 V	-2	(730-1)	[1248]	B	12	-21
1281	Ley	E	0111	Kalu Marasiin	EA7A000-7	 	   Di Oc 		003	Wild	K0 V M9 V	-3	(700+1)	[0000]	B	12	7
1508	Ley	E	0111	Kalu Marasiin	EA7A000-7	 	   Di Oc 		003	Wild	K0 V M9 V	-3	(700+1)	[0000]	B	12	7
