Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Lish	A	0101	Ishimaga	X734000-9	 	     Di 		003	Wild	K4 V M2 V	-2	(900+2)	[0000]	B	10	18
Lish	A	0110	Jesikara	X798000-5	 	      (J'sia)  Di (NIL)		003	Wild	F7 V	-3	(A00+4)	[0000]	B	8	40
Lish	E	0111	Oksanad	X569000-4	 	     Di 		013	Wild	M2 V	-3	(500+3)	[0000]	B	8	15
Lish	E	0112	Vakada	X100000-D	 	     Di Va 		010	Wild	M3 V	-1	(600+3)	[0000]	B	8	18
Lish	E	0116	Ropha	X410000-B	 	     Di 		001	Wild	G8 V	-1	(400+3)	[0000]	B	8	12
Lish	E	0117	Darad	D675000-8	 	     Di 		002	Wild	M1 V M4 V	-3	(700-3)	[0000]	B	8	-21
Lish	E	0118	Solod	X310000-F	 	     Di 		001	Wild	M1 V M8 V	-1	(700+1)	[0000]	B	8	7
Lish	E	0119	Omshona	X420000-A	 	      De He Di Po 		004	Wild	M1 V M4 V	-1	(B00-4)	[0000]	B	8	-44
Lish	I	0121	Asli	X000000-B	 	      O:0221  As Va Di 		003	Wild	M1 V M6 V	-1	(C00-1)	[0000]	B	8	-12
Lish	I	0122	Base Two	X584000-3	 	     Di 		003	Wild	G9 V M1 V	-3	(500-1)	[0000]	B	8	-5
Lish	I	0124	Inru	X425000-9	 	     Di 		003	Wild	K0 V M7 V	-2	(A00+1)	[0000]	B	8	10
Lish	I	0125	Kiur	X9C5000-B	 	   Pz  Di Fl (ENIL)		014	Wild	K1 V	-1	(E00-1)	[0000]	B	8	-14
Lish	I	0128	Kasha	X543000-4	 	     Di Po 		021	Wild	G0 V M4 V	-3	(600+1)	[0000]	B	8	6
Lish	I	0130	Voyd	X424000-A	 	     Pz  Di (NIL)		002	Wild	K9 V M7 V	-1	(D00+1)	[0000]	B	7	13
Lish	M	0132	Samphan	E797000-7	 	     Di 		010	Wild	G7 V	-3	(400-1)	[0000]	B	10	-4
Lish	M	0133	Ribunu	D655784-3	 	    Pz  Ag Ga (NIL)		300	Wild	M0 V	-1	(968+1)	[9685]	BC	7	432
Lish	M	0134	Erlukam	X437000-F	 	     Di 		012	Wild	M2 V	-1	(700+1)	[0000]	B	12	7
Lish	M	0136	Ram Sho	E675000-8	 	     O:0138  Di 		004	Wild	G0 V	-3	(C00-1)	[0000]	B	7	-12
Lish	M	0138	Amkash	X427000-A	 	    Pz  Di (NIL)		012	Wild	M2 V	-1	(C00+2)	[0000]	B	12	24
Lish	M	0139	Polaz	X744000-6	 	     Di 		013	Wild	M2 V	-3	(400-2)	[0000]	B	8	-8
Lish	M	0140	Vodyr	D78299D-5	 	     Hi Pr (NIL)		314	Wild	G8 V	-1	(B84-4)	[8862]	BcE	12	-1408
Lish	A	0201	Rasan	X000000-7	 	       As Va Di 		003	Wild	G3 V M0 V	-3	(800+2)	[0000]	B	14	16
Lish	A	0203	Ilani	X300000-9	 	     Di Va 		022	Wild	K1 III D	-2	(900+1)	[0000]	B	9	9
Lish	A	0205	Shuka	XACA000-C	 	     Di Fl 		003	Wild	K8 V M1 V	-1	(800-1)	[0000]	B	9	-8
Lish	A	0206	Odsad	X9A8000-A	 	     Di Fl 		001	Wild	M2 V	-1	(900-1)	[0000]	B	9	-9
Lish	A	0210	Umilikha	X795000-2	 	     Di 		004	Wild	K6 V M0 V	-3	(500+1)	[0000]	B	9	5
Lish	E	0212	Zemud	D686841-2	 	     Pz  Ga Pa Ri Ph (NIL)		401	Wild	K3 V	-1	(A77-1)	[9715]	BcCe	9	-490
Lish	E	0214	Kaso	X200000-F	 	       Di Va 		004	Wild	G3 V	-1	(F00+4)	[0000]	B	9	60
Lish	E	0217	Opnoz	X421000-8	 	     Pz  Di He Po (NIL)		003	Wild	K3 V M6 V	-3	(C00+1)	[0000]	B	9	12
Lish	E	0218	Pholan	X8B7000-B	 	     Di Fl 		021	Wild	M2 III	-1	(600+1)	[0000]	B	9	6
Lish	I	0221	Parshi	X000000-E	 	       As Va Di 		003	Wild	K3 V	-1	(C00+1)	[0000]	B	9	12
Lish	I	0222	Liiar	E677000-8	 	      Di 		011	Wild	M0 V	-3	(A00-3)	[0000]	B	9	-30
Lish	I	0223	Urdiki	X5998BD-2	 	    Pz  Ph Pi (NIL)		410	Wild	M2 V	-2	(A76+2)	[B653]	BDe	9	840
Lish	I	0227	Shuna	X585552-2	 	     Ag Pr Ni (NIL)		212	Wild	G5 V M4 V	-2	(C41+2)	[1342]	BcC	9	96
Lish	I	0228	Ungik	X865000-6	 	     Di Ga 		013	Wild	M3 V	-3	(300+3)	[0000]	B	12	9
Lish	M	0232	Kulas Pha	E646000-6	 	     Di 		013	Wild	G1 V	-3	(500+2)	[0000]	B	11	10
Lish	M	0234	Irkila	X583510-2	 	     Ni Pr 		114	Wild	K4 V	-3	(742+1)	[42A5]	Bc	10	56
Lish	M	0235	Gidin	X310000-C	 	      Di 		010	Wild	M2 V	-1	(900-2)	[0000]	B	14	-18
Lish	M	0236	Sered Pha	X524000-E	 	    O:0235  Di 		013	Wild	M3 V M8 V	-1	(900+3)	[0000]	B	7	27
Lish	M	0237	Sulai	X422000-A	 	      Pz  Di He Po (NIL)		020	Wild	M0 V	-1	(D00+1)	[0000]	B	13	13
Lish	M	0239	Iidimar	X6B5000-8	 	    Pz  Di Fl (ENIL)		004	Wild	F2 V	-3	(E00+4)	[0000]	B	7	56
Lish	A	0301	Ambon	X550000-7	 	    Pz  De Di Po (NIL)		002	Wild	G4 V M1 V	-3	(B00-2)	[0000]	B	14	-22
Lish	A	0303	Irgukh	X431000-A	 	     rg7  Di Po (NIL)		014	Wild	M0 V M1 V	-1	(H00-2)	[0000]	B	8	-34
Lish	A	0309	Kilikiir	X411000-D	 	      Di Ic 		020	Wild	M2 V	-1	(B00+1)	[0000]	B	6	11
Lish	E	0311	Popok	X87A000-3	 	    Pz  Di Wa (NIL)		014	Wild	G4 V	-3	(900+1)	[0000]	B	8	9
Lish	E	0312	Hrun	X516000-B	 	      Di Ic 		013	Wild	K3 V	-1	(F00+3)	[0000]	B	7	45
Lish	E	0315	Sima	E758784-2	 	     Ag (NIL)		600	Wild	G3 V	-1	(963+3)	[A672]	BC	6	486
Lish	E	0316	Pryden	X75A47B-2	 	      Ni Wa (NIL)		202	Wild	F3 V	-3	(B30+5)	[5153]	B	6	165
Lish	E	0317	Odrairo	X558455-3	 	     Ni Pa 		304	Wild	K0 V M6 V M1 V	-3	(832-3)	[1111]	Bc	7	-144
Lish	E	0318	Lakakmu	D550000-5	 	     De Di Po (NIL)		012	Wild	G9 V M3 V	-3	(A00+1)	[0000]	B	6	10
Lish	I	0321	Shela	X424000-C	 	     Pz  Di (NIL)		002	Wild	G2 V M3 V	-1	(C00-5)	[0000]	B	6	-60
Lish	M	0331	Shuun	X9B5000-E	 	      Pz  Di Fl (ENIL)		032	Wild	F1 V	-1	(G00-4)	[0000]	B	8	-64
Lish	M	0332	Panak Pha	X000000-D	 	      As Va Di 		000	Wild	M0 V M2 V M8 V	-1	(600+1)	[0000]	B	6	6
Lish	M	0334	Galake	E795000-8	 	      Di 		014	Wild	G1 V	-3	(D00+2)	[0000]	B	13	26
Lish	M	0335	Ragapa	X403000-8	 	      Di Ic Va 		003	Wild	M0 V	-3	(900+5)	[0000]	B	15	45
Lish	M	0336	Kakilar	X310000-B	 	     Di 		013	Wild	M3 V	-1	(700+3)	[0000]	B	7	21
Lish	M	0337	Canback	X556000-3	 	     Di 		020	Wild	G3 V M6 V	-3	(500+1)	[0000]	B	13	5
Lish	M	0338	Maelgard	X947000-0	 	      Ba 		002	Wild	G0 V M7 V	-3	(700-4)	[0000]	B	9	-28
Lish	A	0401	Zheos Theong	X52A000-A	 	     Di 		003	Wild	M1 V M3 V	-1	(700-5)	[0000]	B	11	-35
Lish	A	0406	Sproan	X412000-C	 	       Di Ic 		001	Wild	K8 V M1 V	-1	(C00-4)	[0000]	B	14	-48
Lish	A	0407	Saden	D585545-6	 	      Ag Pr Ni 		200	Wild	K8 V M1 V	-2	(744-2)	[8321]	BcC	10	-224
Lish	A	0408	Breeden	X310000-9	 	     Di 		014	Wild	M0 V M3 V	-2	(C00+4)	[0000]	B	12	48
Lish	E	0411	Pradman	D675000-7	 	      Pz  Di (NIL)		000	Wild	M2 V M5 V M7 V	-3	(A00+2)	[0000]	B	10	20
Lish	E	0412	Olny	X569899-2	 	    O:0312  Ph Ri (NIL)		514	Wild	G4 V M6 V	-1	(B75+2)	[5762]	BCe	10	770
Lish	E	0414	Silverring	X000000-F	 	       As Va Di 		010	Wild	F1 V	-1	(A00+1)	[0000]	B	10	10
Lish	E	0417	Kigkar	X543000-2	 	     Di Po 		003	Wild	K0 V	-3	(500+1)	[0000]	B	10	5
Lish	E	0420	Nara Pha	X645000-5	 	      Di 		004	Wild	M0 V M9 V	-3	(800+2)	[0000]	B	10	16
Lish	I	0427	Irmen	X623000-E	 	     Di Po 		000	Wild	G7 V	-1	(700+3)	[0000]	B	10	21
Lish	I	0429	Amsa	X420000-B	 	      De He Di Po 		010	Wild	M2 V	-1	(600+2)	[0000]	B	8	12
Lish	M	0431	Kaakumu	X311000-E	 	     Di Ic 		005	Wild	A6 III	-1	(B00+2)	[0000]	B	12	22
Lish	M	0434	Anga	X512000-D	 	     O:0331  Di Ic 		003	Wild	K4 V M3 V	-1	(B00-3)	[0000]	B	9	-33
Lish	M	0437	Inader	X56579D-0	 	      Ag Ri (NIL)		202	Wild	K7 V	0	(965+2)	[B751]	BC	11	540
Lish	A	0501	Barapalok	X310000-8	 	      Di 		004	Wild	M2 V M6 V	-3	(D00+2)	[0000]	B	13	26
Lish	A	0504	Satin	X76698A-2	 	     Ga Hi Pr (NIL)		204	Wild	K8 V	-1	(B87-2)	[4843]	BcE	11	-1232
Lish	A	0505	Aamigim	X560401-3	 	     De Ni 		120	Wild	M2 V	-3	(630-1)	[2176]	B	15	-18
Lish	E	0513	Gishinridu	X536000-A	 	    Da  Di 		000	Wild	M1 V	-1	(500-1)	[0000]	B	13	-5
Lish	E	0516	Rakrarro	X88A644-0	 	    rg6  Ni Ri Wa 		204	Wild	K5 V M6 V	-2	(851+2)	[4411]	BC	13	80
Lish	E	0517	Haraffii	X000000-D	 	       Pz  As Va Di 		013	Wild	G7 V	-1	(F00+5)	[0000]	B	8	75
Lish	E	0519	Nora Pha	X666000-7	 	     Di Ga 		001	Wild	K0 V M7 V	-3	(400-4)	[0000]	B	12	-16
Lish	I	0526	Mudliru	XAE5000-C	 	     Di 		000	Wild	M2 V M8 V	-1	(500+3)	[0000]	B	13	15
Lish	I	0527	Kipaar	X000000-E	 	      As Va Di 		003	Wild	M1 V	-1	(A00+1)	[0000]	B	14	10
Lish	I	0529	Surli	X000000-7	 	        As Va Di 		013	Wild	G4 V M7 V	-3	(A00+1)	[0000]	B	10	10
Lish	I	0530	Biaz Ven	X545000-C	 	      Di (NIL)		022	Wild	K2 V M9 V	-1	(G00+3)	[0000]	B	10	48
Lish	M	0532	Liisarkuur	X788000-5	 	     Di 		000	Wild	K6 V	-3	(500+3)	[0000]	B	13	15
Lish	M	0533	Dene Po	D673000-5	 	     Di 		002	Wild	M1 V	-3	(800-1)	[0000]	B	6	-8
Lish	A	0604	Sorsa Pha	X584431-2	 	      Ni Pa 		913	Wild	M1 V	-3	(730+3)	[2115]	Bc	9	63
Lish	A	0607	Vakkuum	X543000-4	 	      Pz  Di Po (NIL)		003	Wild	G1 V	-3	(B00+2)	[0000]	B	10	22
Lish	A	0610	Irgiida	E542000-6	 	     Di He Po 		000	Wild	G4 V M8 V	-3	(700+1)	[0000]	B	9	7
Lish	E	0612	Lashlaminan	X595000-2	 	     Da (Lass-lumminm)  Di 		000	Wild	K3 V M6 V M1 V	-3	(700+1)	[0000]	B	10	7
Lish	E	0614	Gikimurka	X420000-8	 	       O:0616  De He Di Po (NIL)		002	Wild	F7 V M3 V M2 V	-3	(C00+1)	[0000]	B	9	12
Lish	E	0616	Maneg Pha	X655799-1	 	     Ag Ga (NIL)		105	Wild	M1 V M4 V	-1	(968-1)	[4651]	BC	8	-432
Lish	I	0621	Kaiid	X786000-4	 	    (Minlad)7  Di Ga 		024	Wild	K7 V	-3	(500+1)	[0000]	B	9	5
Lish	I	0622	Enmish	X613000-B	 	     Di Ic 		003	Wild	G5 V M3 V	-1	(900-2)	[0000]	B	8	-18
Lish	I	0623	Girshi	E575000-3	 	     Da  Di 		000	Wild	K0 V	-3	(700+1)	[0000]	B	11	7
Lish	I	0625	Shaiga	X885000-3	 	      Di Ga 		010	Wild	G9 V	-3	(600+1)	[0000]	B	8	6
Lish	I	0626	Iksha	X300000-E	 	      Di Va 		000	Wild	K4 V	-1	(900+3)	[0000]	B	12	27
Lish	I	0628	Dudmaak	E56047B-6	 	     De Ni 		103	Wild	G3 V M8 V	-3	(633+2)	[1126]	B	15	108
Lish	M	0632	Nakhelishiir	C647757-7	 	      Ag Pi (NIL)		203	Wild	M0 V	0	(96A+2)	[677C]	BCD	6	1080
Lish	M	0634	Kose	D554000-4	 	     Di 		004	Wild	K8 V	-3	(500-2)	[0000]	B	7	-10
Lish	M	0637	Bimada	X200000-A	 	      Di Va 		023	Wild	G2 IV M8 V	-1	(D00+1)	[0000]	B	12	13
Lish	M	0638	Pemonamsha	X436000-8	 	     Di 		022	Wild	M1 V	-3	(A00+1)	[0000]	B	10	10
Lish	M	0639	Irkha	X541000-7	 	      Di He Po (NIL)		000	Wild	K4 V M9 V	-3	(A00-5)	[0000]	B	8	-50
Lish	A	0702	Shiime	X000000-7	 	      As Va Di 		015	Wild	M1 V	-3	(500-1)	[0000]	B	16	-5
Lish	A	0705	Norijo	E542000-7	 	     Di He Po 		000	Wild	K6 V M5 V	-3	(800+3)	[0000]	B	10	24
Lish	A	0707	Naloz	D542000-9	 	    Da  Di He Po 		000	Wild	G1 V M0 V	-2	(600+1)	[0000]	B	12	6
Lish	E	0711	Dekilari	X896000-7	 	     Di 		010	Wild	M2 V	-3	(400-2)	[0000]	B	9	-8
Lish	E	0712	Larkarda	C676775-7	 	     O:0810  Ag Pi (NIL)		222	Wild	K4 V M2 V	0	(966+1)	[97AB]	BCD	15	324
Lish	E	0713	Khamsir	X551527-0	 	     Ni Po 		204	Wild	K5 V M1 V	-3	(740+1)	[4231]	B	11	28
Lish	E	0714	Apmudurduna	X427000-9	 	     Di 		004	Wild	M2 V	-2	(C00-4)	[0000]	B	8	-48
Lish	E	0719	Osaed	D558646-4	 	     Ag Ni 		302	Wild	K1 V M0 V M0 V	-2	(853+2)	[6477]	BC	8	240
Lish	I	0722	Tonnes	E897000-7	 	     Pz  Di (NIL)		000	Wild	G6 V M9 V	-3	(C00-1)	[0000]	B	11	-12
Lish	I	0723	Ixteline	X524000-B	 	      Di (NIL)		010	Wild	G9 V M5 V	-1	(D00-3)	[0000]	B	5	-39
Lish	I	0725	Adli	X657000-5	 	     Di Ga 		002	Wild	K6 V	-3	(500+1)	[0000]	B	10	5
Lish	I	0726	Agada	X402000-B	 	      Di Ic Va 		000	Wild	K2 III	-1	(600-3)	[0000]	B	5	-18
Lish	I	0728	Shuka Gipdim	X570000-4	 	      De He Di 		003	Wild	F3 V	-3	(700-1)	[0000]	B	9	-7
Lish	I	0729	Unkurshu	X561000-6	 	      Di 		021	Wild	K8 V M5 V	-3	(800-1)	[0000]	B	12	-8
Lish	I	0730	Iskar	X5516AD-0	 	     Ni Po 		222	Wild	M1 V M4 V	-3	(851+3)	[6361]	B	9	120
Lish	M	0731	Mabod Pha	X100000-C	 	     Di Va 		025	Wild	G1 III	-1	(C00-1)	[0000]	B	13	-12
Lish	M	0732	Imaakaan	E594000-5	 	      Di 		010	Wild	G2 V M9 V	-3	(600+1)	[0000]	B	13	6
Lish	M	0740	Luugu	D683000-6	 	     Di 		003	Wild	G7 V	-3	(400+2)	[0000]	B	12	8
Lish	A	0802	Amumisshar	E584000-7	 	     Di 		000	Wild	M0 V M9 V	-3	(500-1)	[0000]	B	7	-5
Lish	A	0805	Sharasham	X541000-9	 	     Di He Po (NIL)		003	Wild	M0 V	-2	(C00+1)	[0000]	B	7	12
Lish	A	0806	Pei Ok	X560000-3	 	     De Di 		013	Wild	K9 V	-3	(500-1)	[0000]	B	7	-5
Lish	A	0808	Gegirur	X200000-A	 	      Di Va 		024	Wild	M0 V M1 V	-1	(F00+4)	[0000]	B	14	60
Lish	A	0810	Phago	X420000-C	 	        De He Di Po (NIL)		012	Wild	K2 V M2 V	-1	(D00+5)	[0000]	B	8	65
Lish	E	0815	Arlir Im	E554586-6	 	     Ag Ni 		200	Wild	G4 V	-2	(744-4)	[3327]	BC	13	-448
Lish	E	0816	Dimadkha	X100000-B	 	      Di Va 		004	Wild	M2 V M4 V	-1	(D00+2)	[0000]	B	13	26
Lish	E	0819	Eisar	X978745-1	 	      Ag Pi (NIL)		103	Wild	G8 V M9 V	-1	(969-2)	[8631]	BCD	6	-972
Lish	I	0826	Mashnamii	XA9A000-1	 	     Di Oc 		020	Wild	K7 V	-3	(600+2)	[0000]	B	11	12
Lish	I	0827	Asduad	D768000-6	 	     Di 		023	Wild	M2 V	-3	(400-3)	[0000]	B	8	-12
