Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Lish	A	0101	Ishimaga	A734433-9	 	     Ni 		603	ImDa	K4 V M2 V	0	(933-3)	[1426]	B	10	-243
1201	Lish	A	0101	Ishimaga	X734000-9	 	     Di 		003	ImDa	K4 V M2 V	-2	(900+1)	[0000]	B	10	9
1240	Lish	A	0101	Ishimaga	X734000-9	 	     Di 		003	Wild	K4 V M2 V	-2	(900-1)	[0000]	B	10	-9
1508	Lish	A	0101	Ishimaga	X734000-9	 	     Di 		003	Wild	K4 V M2 V	-2	(900+2)	[0000]	B	10	18
1900	Lish	A	0101	Ishimaga	X734000-9	 	     Di 		003	Wild	K4 V M2 V	-2	(900-2)	[0000]	B	10	-18

1105	Lish	A	0110	Jesikara	A7988A5-C	S	     (J'sia)  Pa Pi Ph (NIL)		303	ImDa	F7 V	2	(D7C+1)	[6A3A]	BcDe	8	1092
1201	Lish	A	0110	Jesikara	X7988CD-5	 	     (J'sia)  Pa Pi Ph (NIL)	B	303	ImDa	F7 V	-2	(A76+1)	[A679]	BcDe	8	420
1240	Lish	A	0110	Jesikara	X798000-5	 	     (J'sia)  Di Pi (NIL)		003	Wild	F7 V	-3	(A00+1)	[0000]	BD	8	10
1508	Lish	A	0110	Jesikara	X798000-5	 	      (J'sia)  Di (NIL)		003	Wild	F7 V	-3	(A00+4)	[0000]	B	8	40
1900	Lish	A	0110	Jesikara	X798000-5	 	      (J'sia)  Di (NIL)		003	Wild	F7 V	-3	(A00-1)	[0000]	B	8	-10

1105	Lish	E	0111	Oksanad	A569359-D	 	     Lo 		613	ImDa	M2 V	1	(921+2)	[446E]	B	8	36
1201	Lish	E	0111	Oksanad	X569388-4	 	     Lo 		313	ImDa	M2 V	-3	(520+1)	[5152]	B	8	10
1240	Lish	E	0111	Oksanad	X569000-4	 	     Di 		013	Wild	M2 V	-3	(500+2)	[0000]	B	8	10
