Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Magy	A	0102	Oasis	X850753-2	 	   De Po (NIL)		400	Wild	G3 V M2 V	-2	(965+2)	[8525]	B	6	540
Magy	A	0104	Pity	X301000-C	 	   Di Ic Va 		003	Wild	M0 V	-1	(700-2)	[0000]	B	9	-14
Magy	A	0105	Reynold	X401000-B	 	   Di Ic Va 		013	Wild	M1 V	-1	(E00+3)	[0000]	B	7	42
Magy	A	0106	Vala's World	X830000-7	 	  De Di Po 		010	Wild	G2 V	-3	(400-2)	[0000]	B	7	-8
Magy	E	0113	Schurz	E874000-6	 	    Di 		001	Wild	F1 V G6 V	-3	(500+1)	[0000]	B	9	5
Magy	E	0115	Pryon	X8897CA-2	 	    Ri (NIL)		302	Wild	K9 V M3 V	-1	(965+1)	[A681]	BC	10	270
Magy	E	0116	Wair	E89A000-6	 	   Di Wa (NIL)		001	Wild	G2 V M6 V	-3	(B00-4)	[0000]	B	11	-44
Magy	E	0118	Hool	X421000-A	 	  Di He Po (NIL)		004	Wild	G7 V M4 V	-1	(E00+2)	[0000]	B	10	28
Magy	E	0119	Mickel	X742000-D	 	  Di He Po (NIL)		003	Wild	F5 V	-1	(D00+1)	[0000]	B	10	13
Magy	E	0120	Factn	E740000-4	 	  De He Di Po (NIL)		003	Wild	G2 V	-3	(B00-2)	[0000]	B	15	-22
Magy	I	0122	Vaneken	X7B7000-9	 	   Di Fl (ENIL)		003	Wild	M3 V M7 V	-2	(D00-1)	[0000]	B	9	-13
Magy	I	0125	Ulm	X548000-5	 	    Di 		014	Wild	G1 V G4 V	-3	(800+1)	[0000]	B	11	8
Magy	I	0130	Rosefeld	X521000-7	 	  Di He Po (NIL)		021	Wild	G3 V M8 V	-3	(A00+4)	[0000]	B	11	40
Magy	M	0131	Indet	X7B7000-D	 	   Di Fl (ENIL)		002	Wild	M0 V	-1	(D00+1)	[0000]	B	8	13
Magy	M	0134	Quizen	X6AA000-D	 	   Di Fl (ENIL)		010	Wild	M1 V	-1	(B00+3)	[0000]	B	9	33
Magy	M	0135	Regasas	X100000-E	 	  Di Lk Va 		000	Wild	M1 V M2 V	-1	(A00+1)	[0000]	B	8	10
Magy	M	0136	Wilkerson	X7BA000-E	 	   Di Fl (ENIL)		012	Wild	M0 V M1 V	-1	(C00+3)	[0000]	B	11	36
Magy	M	0137	Bentley	X422000-C	 	  Di He Po 		004	Wild	M1 V	-1	(C00+1)	[0000]	B	13	12
Magy	M	0139	Xianjin	X776000-5	 	    Di 		012	Wild	K0 V M0 V	-3	(800-1)	[0000]	B	12	-8
Magy	M	0140	Falkenthal	X59A000-2	 	  Di Sa Wa 		013	Wild	G7 V M8 V	-3	(400-3)	[0000]	B	15	-12
Magy	A	0203	Wu	X66A000-0	 	  Ba Cp Wa (NIL)		014	Wild	F9 V G9 V	-3	(B00+4)	[0000]	BF	13	44
Magy	A	0205	Clan	X640572-2	 	  De He Ni Po (NIL)		103	Wild	G9 V	-3	(B43+1)	[6281]	B	8	132
Magy	A	0208	Spit	X530000-8	 	 De Di Po Sa (NIL)		022	Wild	F4 V G3 V	-3	(E00-5)	[0000]	B	13	-70
Magy	A	0210	Chou	X621000-9	 	  Di He Po (NIL)		003	Wild	K1 V	-2	(D00-2)	[0000]	B	12	-26
Magy	E	0211	Seung	X000000-D	 	   As Va Di 		001	Wild	G7 III G6 V	-1	(900-1)	[0000]	B	10	-9
Magy	E	0212	Zentara	X201000-C	 	  Di Ic Va Lk 		004	Wild	M2 V	-1	(800+2)	[0000]	B	13	16
Magy	E	0215	Amonchomchu	E599752-7	 	    Pi (NIL)		401	Wild	K7 V	-2	(966+3)	[356A]	BD	9	972
Magy	E	0216	Planck	X201000-E	 	  Di Ic Va Sa 		004	Wild	M2 V M9 V	-1	(900-3)	[0000]	B	15	-27
Magy	E	0220	Anderson	X550000-0	 	  Ba De Po 		003	Wild	K9 V	-3	(400-1)	[0000]	B	8	-4
Magy	I	0223	Campany	C641733-7	 	   He Pi Po (NIL)		321	Wild	G9 V	-1	(A69+2)	[C63C]	BD	11	1080
Magy	I	0224	Romm	X531000-D	 	   Di Po 		003	Wild	M2 V	-1	(800+1)	[0000]	B	11	8
Magy	I	0225	Adopoulos	X100000-C	 	  Di Sa Va 		011	Wild	M0 V	-1	(900-3)	[0000]	B	9	-27
Magy	I	0227	Ock	X9A8000-E	 	  Cp Di Fl (ENIL)		010	Wild	M2 V M4 V	-1	(B00-1)	[0000]	BF	7	-11
Magy	I	0229	Tworek	X8AA000-A	 	   Di Fl 		012	Wild	K5 V	-1	(900-2)	[0000]	B	10	-18
Magy	M	0233	Drang	X543674-1	 	  Cp Ni Po (NIL)		513	Wild	K2 V	-3	(950-5)	[8381]	BF	16	-225
Magy	M	0239	Crecilius	X6A7000-C	 	   Di Fl 		013	Wild	K8 V M1 V	-1	(700+2)	[0000]	B	9	14
Magy	A	0303	Placid	X545000-3	 	    Di 		014	Wild	G0 V K9 V	-3	(600+3)	[0000]	B	16	18
Magy	A	0305	Veller	X546000-6	 	    Di 		010	Wild	F7 V	-3	(600+4)	[0000]	B	10	24
Magy	A	0308	Tamroff	X775000-7	 	    Di 		013	Wild	G4 V K2 V	-3	(500-1)	[0000]	B	10	-5
Magy	A	0309	Rudikk	X301000-8	 	  Di Ic Va Lk 		020	Wild	M1 V	-3	(B00-1)	[0000]	B	6	-11
Magy	A	0310	Carn	X430000-A	 	  De Di Po 		004	Wild	M0 V M2 V	-1	(C00+1)	[0000]	B	10	12
Magy	E	0315	McManus	X511000-7	 	   Di Ic 		002	Wild	F8 V	-3	(900-1)	[0000]	B	6	-9
Magy	E	0317	Sawiykao'	X301000-9	 	   Di Ic Va 		014	Wild	K0 V M9 V	-2	(B00+1)	[0000]	B	11	11
Magy	E	0319	Kelriya	X434000-B	 	    Di 		020	Wild	G1 V M3 V	-1	(800+2)	[0000]	B	5	16
Magy	I	0321	Usi Ub	X696000-5	 	    Di (NIL)		014	Wild	G5 V K9 V	-3	(B00+1)	[0000]	B	14	11
Magy	I	0322	Wright	X000000-D	 	   As Va Di 		013	Wild	M2 V	-1	(900-2)	[0000]	B	11	-18
Magy	I	0327	Ciaconn	X89A000-8	 	   Di Wa 		000	Wild	G0 V	-3	(400+3)	[0000]	B	7	12
Magy	I	0329	Tenson	X632000-A	 	   Di Po 		002	Wild	F6 V	-1	(900-2)	[0000]	B	12	-18
Magy	I	0330	Awrenek	X556000-4	 	    Di 		004	Wild	M2 V	-3	(300+1)	[0000]	B	15	3
Magy	M	0333	Leto	X301000-A	 	  Di Ic Va Sa 		012	Wild	G8 III D	-1	(B00+1)	[0000]	B	12	11
Magy	M	0337	Zandervort	X874677-1	 	   Ag Ni (NIL)		902	Wild	F4 V	-2	(A53+1)	[5481]	BC	11	150
Magy	M	0338	Mitava	X540000-5	 	  De He Di Po 		032	Wild	G6 V	-3	(400-1)	[0000]	B	17	-4
Magy	M	0340	Rundle	X511000-E	 	  Di Ic Mr 		000	Wild	G5 V	-1	(500-3)	[0000]	B	7	-15
Magy	A	0403	Downfall	D547000-4	 	    Di 		014	Wild	F1 V	-3	(300+5)	[0000]	B	16	15
Magy	A	0404	Oyama	X5A3000-B	 	   Di Fl 		003	Wild	K3 V	-1	(A00+2)	[0000]	B	13	20
Magy	A	0409	Gunsan	X645000-5	 	    Di 		013	Wild	G7 V	-3	(700+1)	[0000]	B	13	7
Magy	E	0411	Yergin	X767697-1	 	  Ag Ri Ga Ni 		220	Wild	G4 V M3 V	-1	(855-3)	[1571]	BC	11	-600
Magy	E	0413	Kaig	X6AA000-E	 	  Cp Di Fl (ENIL)		002	Wild	M1 V M4 V M3 V	-1	(B00+3)	[0000]	BF	7	33
Magy	E	0415	Dormant	X650500-3	 	  De Ni Po 		303	Wild	G4 V	-3	(840+1)	[5263]	B	11	32
Magy	I	0423	Wieaaw	X401000-9	 	  Di Ic Va Sa 		001	Wild	G8 V M5 V	-2	(900-1)	[0000]	B	10	-9
Magy	I	0425	Mitaro	D895000-7	 	    Di 		000	Wild	G9 V	-3	(500+1)	[0000]	B	8	5
Magy	I	0427	Yoeahti	X542000-6	 	  Di He Po 		014	Wild	M0 V	-3	(600-1)	[0000]	B	10	-6
Magy	I	0428	Weiji	X741000-6	 	  Di He Po 		000	Wild	M2 V	-3	(800-4)	[0000]	B	8	-32
Magy	M	0432	Agari	X58A000-C	 	   Di Wa (NIL)		014	Wild	M1 V	-1	(G00+1)	[0000]	B	12	16
Magy	M	0440	Sammadar	X557000-3	 	    Di 		010	Wild	M0 V M9 V	-3	(400-4)	[0000]	B	8	-16
Magy	A	0502	Fairbairn	X630000-7	 	  De Di Po 		003	Wild	K3 V M0 V	-3	(400+1)	[0000]	B	8	4
Magy	A	0503	New Sol	X501000-7	 	   Di Ic Va 		004	Wild	G3 V	-3	(B00+2)	[0000]	B	13	22
Magy	A	0504	Greenvald	X864449-2	 	   Ni Pa 		400	Wild	M1 V	-3	(830-2)	[5153]	Bc	11	-48
Magy	A	0505	Holywell	X7B9000-D	 	   Di Fl 		010	Wild	M1 V	-1	(700-3)	[0000]	B	10	-21
Magy	A	0509	Redden	E554000-4	 	    Di 		005	Wild	F9 V M8 V	-3	(300-5)	[0000]	B	11	-15
Magy	E	0516	Papesh	X200000-8	 	  Di Lk Va 		003	Wild	M0 V	-3	(B00+1)	[0000]	B	7	11
