Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Magy	A	0102	Oasis	B8507A9-A	 	     De Po (NIL)		600	SoCf	G3 V M2 V	3	(96C+4)	[8A6B]	B	6	2592
1201	Magy	A	0102	Oasis	X850769-8	 	     De Po (NIL)		700	SoCf	G3 V M2 V	-2	(966-3)	[4529]	B	6	-972
1406	Magy	A	0102	Oasis	X850740-0	 	     De Po (NIL)		300	Wild	G3 V M2 V	-2	(960+1)	[4571]	B	6	54
1508	Magy	A	0102	Oasis	X850798-1	 	     De Po (NIL)		200	Wild	G3 V M2 V	-2	(964+4)	[6551]	B	6	864
1900	Magy	A	0102	Oasis	X8507A9-2	 	     De Po (NIL)		300	Wild	G3 V M2 V	-2	(963+1)	[6534]	B	6	162

1105	Magy	A	0104	Pity	C301200-C	 	     Co Tz  Ic Va Lo 		303	SoCf	M0 V	0	(710-4)	[1217]	B	9	-28
1201	Magy	A	0104	Pity	X301000-C	 	     Co Tz  Di Ic Va 		003	SoCf	M0 V	-1	(700+1)	[0000]	B	9	7
1406	Magy	A	0104	Pity	X301000-C	 	     Co Tz  Di Ic Va 		003	Wild	M0 V	-1	(700+3)	[0000]	B	9	21
1508	Magy	A	0104	Pity	X301000-C	 	     Co Tz  Di Ic Va 		003	Wild	M0 V	-1	(700-2)	[0000]	B	9	-14
1900	Magy	A	0104	Pity	X301000-C	 	     Co Tz  Di Ic Va 		003	Wild	M0 V	-1	(700-5)	[0000]	B	9	-35

1105	Magy	A	0105	Reynold	C401899-B	 	      Tz  Ic Va Na Pi Ph 		613	NaHu	M1 V	1	(E7B+2)	[996C]	BDe	7	2156
1201	Magy	A	0105	Reynold	X401000-B	 	      Tz  Di Ic Va Na Pi 		013	NaHu	M1 V	-1	(E00+2)	[0000]	BD	7	28
1406	Magy	A	0105	Reynold	X401000-B	 	      Tz  Di Ic Va Na Pi 		013	Wild	M1 V	-1	(E00-3)	[0000]	BD	7	-42
1508	Magy	A	0105	Reynold	X401000-B	 	       Tz  Di Ic Va 		013	Wild	M1 V	-1	(E00+2)	[0000]	B	7	28
1900	Magy	A	0105	Reynold	X401000-B	 	       Tz  Di Ic Va 		013	Wild	M1 V	-1	(E00-4)	[0000]	B	7	-56

1105	Magy	A	0106	Vala's World	D830210-7	 	    Co  De Lo Po 		610	SoCf	G2 V	-3	(410-5)	[1112]	B	7	-20
1201	Magy	A	0106	Vala's World	X830000-7	 	    Co  De Di Po 		010	SoCf	G2 V	-3	(400-2)	[0000]	B	7	-8
1406	Magy	A	0106	Vala's World	X830000-7	 	    Co  De Di Po 		010	Wild	G2 V	-3	(400-4)	[0000]	B	7	-16
1508	Magy	A	0106	Vala's World	X830000-7	 	    Co  De Di Po 		010	Wild	G2 V	-3	(400-3)	[0000]	B	7	-12
1900	Magy	A	0106	Vala's World	X830000-7	 	    Co  De Di Po 		010	Wild	G2 V	-3	(400-4)	[0000]	B	7	-16

1105	Magy	E	0113	Schurz	A874310-D	 	    Co Tu  Lo 		201	SoCf	F1 V G6 V	1	(621-3)	[1418]	B	9	-36
1201	Magy	E	0113	Schurz	C874252-A	 	    Co Tu  Lo 		501	SoCf	F1 V G6 V	0	(610+3)	[3267]	B	9	18
1406	Magy	E	0113	Schurz	X874000-A	 	    Co Tu  Di 		001	Wild	F1 V G6 V	-1	(600+1)	[0000]	B	9	6
1508	Magy	E	0113	Schurz	X874000-A	 	    Co Tu  Di 		001	Wild	F1 V G6 V	-1	(600+1)	[0000]	B	9	6
1900	Magy	E	0113	Schurz	X874000-A	 	    Co Tu  Di 		001	Wild	F1 V G6 V	-1	(600-4)	[0000]	B	9	-24

1105	Magy	E	0115	Pryon	A889747-D	 	     Ri (NIL)		902	SoCf	K9 V M3 V	3	(B6E+3)	[7A5D]	BC	10	2772
1201	Magy	E	0115	Pryon	X88976B-5	 	     Ri (NIL)	B	802	SoCf	K9 V M3 V	-1	(965-1)	[8664]	BC	10	-270
1406	Magy	E	0115	Pryon	X889742-1	 	     Ri (NIL)		402	Wild	K9 V M3 V	-1	(965+1)	[B673]	BC	10	270
1508	Magy	E	0115	Pryon	X889779-2	 	     Ri (NIL)		302	Wild	K9 V M3 V	-1	(963+3)	[5611]	BC	10	486
