Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Mass	A	0109	Tahspek	D546000-6	 	    Di (NIL)		013	Wild	G0 V	-3	(A00-3)	[0000]	B	7	-30
Mass	A	0110	Mond	X737000-A	 	    Di (NIL)		021	Wild	G4 V	-1	(C00-3)	[0000]	B	8	-36
Mass	E	0112	Arilla	X585476-1	 	   Ni Pa 		303	Wild	M0 V M0 V	-3	(630-1)	[6141]	Bc	12	-18
Mass	E	0113	Enid	D676000-6	 	    Di (NIL)		001	Wild	M0 V	-3	(B00+1)	[0000]	B	13	11
Mass	E	0115	Juweit	X310000-A	 	    Di 		014	Wild	F2 V M2 V	-1	(D00-5)	[0000]	B	9	-65
Mass	E	0116	Appomma	E646000-7	 	    Di 		010	Wild	K6 V M7 V M6 V	-3	(400-4)	[0000]	B	11	-16
Mass	E	0118	Ambriana	X200000-B	 	   Di Va 		013	Wild	A8 V	-1	(900+2)	[0000]	B	7	18
Mass	I	0121	Meridian	X657453-2	 	  Ga Ni Pa 		104	Wild	M3 V M3 V	-3	(631+4)	[5121]	Bc	7	72
Mass	I	0123	Albion	X565000-3	 	    Di 		025	Wild	M2 V M4 V	-3	(500-4)	[0000]	B	11	-20
Mass	I	0124	K'zass	D546000-8	 	   Cp Di (NIL)		014	Wild	G3 V M9 V	-3	(G00+3)	[0000]	BF	11	48
Mass	I	0125	Lant	X310000-8	 	    Di 		000	Wild	G0 V	-3	(800+5)	[0000]	B	9	40
Mass	I	0130	Dalsam	X994000-7	 	    Di 		013	Wild	M0 V	-3	(600+2)	[0000]	B	13	12
Mass	M	0134	Forever	X000000-F	 	   As Va Di 		003	Wild	K6 II M6 V	-1	(600+4)	[0000]	B	10	24
Mass	M	0138	Kenbine	X421000-B	 	  Di He Po 		003	Wild	G8 V	-1	(600-2)	[0000]	B	10	-12
Mass	M	0140	Sekeltin	X633000-B	 	   Di Po 		001	Wild	M2 V M4 V	-1	(700+1)	[0000]	B	12	7
Mass	A	0205	Vilardi	X8D6000-E	 	    Di 		013	Wild	M1 V	-1	(A00-2)	[0000]	B	7	-20
Mass	A	0206	Trostar	X78A67C-3	 	  Ni Ri Wa 		320	Wild	M0 V M1 V	-2	(850-1)	[5425]	BC	10	-40
Mass	A	0207	Kapabu-Sepple	X878000-7	 	    Di (NIL)		004	Wild	F8 V M7 V	-3	(A00+5)	[0000]	B	16	50
Mass	A	0210	Tanoo	X78A000-2	 	   Di Wa 		002	Wild	K1 V M1 V	-3	(600+3)	[0000]	B	5	18
Mass	E	0212	Enrique	X200000-E	 	   Di Va 		004	Wild	F1 V M8 V	-1	(F00-3)	[0000]	B	9	-45
Mass	E	0213	Naston	X9D7000-C	 	    Di 		002	Wild	G0 V M7 V	-1	(900-5)	[0000]	B	5	-45
Mass	E	0214	Shigi	X648677-0	 	   Ag Ni (NIL)		913	Wild	G0 V	-2	(B53-2)	[7431]	BC	11	-330
